,Acanthonotozoma.inflatum,Acanthonotozoma.rusanovae,Acanthostepheia.behringiensis,Acanthostepheia.malmgreni,Actinaria,Adalaria.sp.,Admete.solida,Admete.sp..,Admete.viridula,Alcyonidium.disciforme,Alcyonidium.gelatinosum,Allantactis.parasitica,Amicula.vestita,Amphipoda,Amphiura.sundevalli,Anomalisipho.martensi,Anomalisipho.verkruezeni,Anonyx.sp.,Anthosactis.janmayeni,Arcteobia.anticostiensis,Arctolembos.arcticus,Arctonoe.vittata,Argis.sp.,Ariadnaria.borealis,Arrhis.luthkei,Arrhis.phyllonyx,Ascidia.callosa,Ascidiacea,Asterias.amurensis,Atylus.bruggeni,Atylus.carinatus,Atylus.smitti,Aulacofusus.brevicauda,Balanus.sp.,Bathypolypus.sp..,Beringius.stimpsoni,Boltenia.echinata,Boltenia.ovifera,Boreoscala.greenlandica,Boreotrophon.clathratus,Boreotrophon.cymatus,Boreotrophon.sp..,Boreotrophon.truncatus,Brachiopoda,Bryozoa,Buccinum.angulosum,Buccinum.ciliatum,Buccinum.glaciale,Buccinum.plectrum,Buccinum.polare,Buccinum.scalariforme,Buccinum.solenum,Buccinum.sp..,Buccinum.tenellum,Bylgides.promamme,Bylgides.sarsii,Bylgides.sp.,Calycidoris.guentheri,Caprella,Ceradocus.torelli,Cerianthus.lloydi,Chelyosoma.macleayanum,Chionoecetes.opilio,Chlamys.behringiana,Clinocardium.ciliatum,Colus.sabini,Colus.sp..,Corella.willmeriana,Coryphella.sp..,Crangon.dalli,Crepidula.sp..,Crossaster.papposus,Cryptonatica.affinis,Ctenodiscus.crispatus,Curtitoma.decussata,Curtitoma.incisula,Curtitoma.novajasemljensis,Curtitoma.sp..,Curtitoma.violacea,Cylichna.alba,Cylinchnoides.occultus,Dendrobeania.sp..,Dendrodoa.sp..,Dendronotus.sp.,Diaphana.hiemalis,Diastylis.alaskensis,Diastylis.goodsiri.scorpioides,Diastylis.sp.,Diastylis.spinulosa,Didemnum.albidum,Distaplia.alaskensis,Distaplia.occidentalis,Dulichia.spinosissima,Echinarachnius.parma,Edwardsia.sp..,Ericthonius.sp.,Eteone.spetsbergensis,Eualus.sp..,Eucratea.loricata,Eudistoma.parvum,Eugyra.sp..,Eunicidae,Eunoe.depressa,Eunoe.nodosa,Eunoe.oerstedi,Eunoe.sp.,Euphrosinidae,Eupyrgus.scaber,Eusirus.cuspidatus,Euspira.pallida,Evasterias.echinosoma,Flabelligera.mastigophora,Flabellina.sp..,Florometra,Gammaridae,Gastropoda,Gattyana.amondseni,Gattyana.ciliata,Gattyana.cirrhosa,Gattyana.sp.,Gaudichaudius.iphionelloides,Gersemia.rubiformis,Gorgonocephalus.sp.,Granotoma.albrechti,Halichondria.sp.,Haliclona.sp.,Halirages.nilssoni,Haliclystus.,Halocynthia.aurantium,Harmothoe.extenuata,Harmothoe.imbricata,Harmothoe.sp.,Henricia.sanguinolenta,Henricia.sp.,Henricia.tumida,Heteropora.sp.,Hexactinellida,Hiatella.arctica,Hippomedon.rylovi,Hippomedon.sp.,Holothuroidea,Hormathia.nodosa,Hyas.coarctatus,Hydrozoa,Ischyrocerus.latipes,Ischyrocerus.sp..,Isopoda,Labidochirus.splendescens,Lacuna.crassior,Lafoeina.maxima,Latisipho.hypolispus,Lebbeus.groenlandicus,Lebbeus.polaris,Lepeta.caeca,Lepeta.sp.,Leptasterias.arctica,Leptasterias.groenlandica,Leptasterias.polaris,Leptasterias.sp..,Lethasterias.nanimensis,Limneria.undata,Lumbrineridae,Maera.danae,Maera.prionochira,Margarites.costalis,Margarites.groenlandicus,Margarites.helicinus,Margarites.sp.,Melaenis.loveni,Melita.dentata,Melita.sp..,Melphidippa.sp.,Metopa.spitzbergensis,Metridium.sp..,Mohnia.sp..,Molgula.griffithsii,Molgula.retortiformis.,Molgula.sp..,Monoculodes.diamesus,Munnopsidae,Munnopsis.typica,Musculus.glacialis,Musculus.niger,Musculus.sp..,Myriotrochus.rinkii,Naticidae,Nemertea,Nemidia.microlepida,Neocrangon.communis,Neohela.monstrosa,Neoiphinoe.coronata,Neoiphinoe.kroyeri,Neopleustes.pulchellus.var..euacanthus,Nephtys.longosetosa,Nepthys.ciliata,Nepthys.sp.,Neptunea.communis,Neptunea.heros,Neptunea.sp.,Nereis.sp.,Nodulotrophon.coronatus,Nothria.conchylega,Obesotoma.japonica,Obesotoma.sp..,Obesotoma.tenuilirata,Ocnus.glacialis,Oenopota.bicarinata,Oenopota.declivis.,Oenopota.elegans,Oenopota.harpa,Oenopota.impressa,Oenopota.pyramidalis,Oenopota.sp..,Onchidiopsis.sp.,Ophiacantha.bidentata,Ophiocten.sericeum,Ophiopholis.aculeata,Ophiopleura.borealis,Ophiura.robusta,Ophiura.sarsii,Ophiuroidea,Opisthobranchia,Orchomene.pinguis,Orchomene.sp..,Orchomenella.minuta,Pagurus.capillatus,Pagurus.rathbuni,Pagurus.sp.,Pagurus.trigonocheirus,Pandalina.sp..,Pandalus.borealis,Pandalus.goniurus,Pandora.glacialis,Pannychia.moseleyi,Paramphithoe.cuspidata,Paramphithoe.polyacantha,Paroediceros.lynceus,Paroediceros.propinquus,Pelonaia.corrugata,Philine.sp..,Photis.sp..,Phyllodoce.groenlandica,Phyllodocidae,Platyhelminthes,Pleustes.cataphractus,Pleustes.panopla,Plicifusus.kroeyeri,Plicifusus.sp..,Polymastia.sp.,Polynoidae,Pontoporeia.femorata,Porifera,Propebela.arctica,Propebela.nobilis,Propebela.sp..,Protomedeia.grandimana,Protomedia.sp.,Pseudoliomesus.ooides,Psolus.peronii,Psolus.phantapus,Pteraster.jordani,Pteraster.militaris,Pteraster.obscurus,Pteraster.sp..,Pycnogonidae,Pyrulofusus.deformis,Quasimelita.formosa,Quasimelita.quadrispinosa,Retifusus.sp..,Rhachotropis.aculeata,Rhachotropis.oculata,Rhegaster.tumidus,Rozinante.fragilis,Sabinea.septemcarinata,Saduria.entomon,Saduria.sabini,Saduria.sibirica,Sclerocrangon.boreas,Scoletoma.fragilis,Scoletoma.sp..,Semisuberites.cribrosa,Serripes.groenlandicus,Serripes.sp..,Sertularia.sp...Thuiaria.sp.,Similipecten.greenlandicus,Socarnes.bidenticulatus,Solariella.obscura,Solaster.sp.,Spinther.sp..,Spirontocaris.sp.,Stegocephalus.ampulla,Stegocephalus.inflatus,Stegocephalus.sp.,Stegophiura.nodosa,Stenosemus.albus,Stomphia.sp.,Strongylocentrotus.pallidus,Styela.rustica,Styela.sp.,Suberites.sp..,Syllis.armillaris,Synidotea.bicuspida,Synidotea.sp.,Syrrhoe.crenulata,Tachyrhynchus.erosus,Tachyrhynchus.sp..,Tanaidacea,Tecticeps.sp..,Telmessus.cheiragonus,Tmetonyx.cicada,Trichotropis.sp..,Triopha,Tritonia.sp.,Tubularia.sp.,Unciola.leucopsis,Urasterias.lincki,Urticina.sp.,Velutina.coriacea,Velutina.laevigata,Velutina.sp.,Velutina.velutina,Volutopsius.sp..,Vulcanella.sp...,Weyprechtia.heuglini,Weyprechtia.pinguis,Zoanthidea
DBO3-7,0,0,0,0,238.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.92,0,0,0,0,0,0,0,0,0,0,41.84,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,435.85,27.89,31.38,83.68,0,0,0,0,0,0,0,0,0,3974.94,0,0,0,0,0,0,0,0,0,244.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.94,0,0,0,0,0,0,0,0,0,0,0,0,0,289.4,479.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.17,0,0,80.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBO3-8,0,0,0,0,567.15,0,0,0,0,0,90.96,0,0,0,0,0,0,0,0,0,0.89,0,19.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.67,0,0,85.61,28.54,108.79,41.02,49.94,0,0,0,0,0,0,0,0,2081.35,0,0,0,0,0,0,0,0,0,131.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.19,0,0,0,0,0,0,0,0,0,0,0,71.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.54,12.48,0,0,0,5.35,0,0,0,0,0,0,0,48.15,499.38,741.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,26.75,167.65,0,26.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.42,0,852.51,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1-1,0,0,0,0,136.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4,0,0,0,0,0,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,6.83,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.07,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,17.07,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,6.83,0,0,0,13.66,0,0,0,0.85,0,32.43,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,61.45,0,0,0,27.31,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,372.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,19.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.59,0,0,0,0,0,0,0,0,0,0,0,1689.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.95,0,0,0,0,0,0,0,0,0,0,0,33.4,0,0,0,0,0,0,0.16,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,1.59,0,0,0,11.13,0,0,23.86,0,0,0,0,0,0,112.94,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,4.77,0,3.18,0.48,0,0,0,0,0,0,0,0,0,192.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,302.22,0,0,0,0,0,34.99,0,0,31.81,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1-12,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,1.49,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1857.49,0,0,0,0,0,0,0,0,0,22.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,16.39,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.82,0,0,40.25,0,0,0,0,0,74.54,186.35,0,0,0,0,0,0,8.94,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.62,0,22.36,0,0,0,0,0,0,0,0,0,44.72,16.4,0,0,5.96,0,0,0,0,0,0,0,0,0,0.75,0,0,0.75,0,0,0,0,0,1094.22,0,0,0,0,0,58.14,25.34,0,79.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,14.907623,0,0,0,0,0,1.49,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1-13,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1.68,0,0,0,0,0,0,0,0,0,0,0,1969.5,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,5.04,0,0,0,31.93,0,0,30.25,0,0,0,0,0,0,184.85,0,0,0,0,0,0,0.84,0,5.04,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,95.79,0,0.84,0,0,0,0,0,0,0,0,0,30.25,26.89,0,0,15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381.34,0,0,0,0,0,38.65,16.8,0.84,43.69,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,5.041388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1-2,0,0,50.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,2103.21,0,0,0,0,0,1714.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,1.64,0,0,0,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1-4,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0,0.86,0,0,0,0,135.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,1045.9,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14293.41,0,0,0,53.06,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,1377.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.74,2.57,0,0,0,23.97,0,0,0,0,0,0,0,0,0,1403.66,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1-5,0,0,0,0,0,0,0,0,0.82,0,79.02,0,0,0,0,0,1.65,0,0,0,0,0,102.07,0,0,0,0,0,0,0,0,0,1.65,0,0,0,3.29,3843.92,0,3.29,0,0,0,0,54.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3308.9,0,0,0,0,0,0,0,0,29.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.16,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,6222.71,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,337.47,68.32,0,0,0,79.02,0,0,0,0,0,0,0,0,6.58,0,0,0,0,0,0,0,1.65,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.41,0,0,0,0,0,0,0,0,0.82,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,27.99,0,14.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1-6,0,0,0,0,0,0,0,0,0,0,109.9,0,0,0,0,0,0,0,0,2.5,0,0,474.59,2.47,0,0,89.92,0,0,0,0,0,0,0,0,0,0,7893.15,0,0,0,0,19.98,0,439.62,0,0,0,0,5,2.5,0,0,0,0,0,0,0,0,0,0,0,3377.07,0,0,9.99,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.85,29.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,779.32,3716.78,0,6844.06,0,0,0,0,0,0,0,0,0,84.93,0,0,0,0,0,0,0,1134.02,84.93,0,0,0,139.88,5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,14.99,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.93,474.59,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,6.49,309.73,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,34.97,0,0,29.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.76,0,0,0,0,0,0,0,0,0,0,0,799.31,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.945709,0,5,0,714.38,0,179.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML1-7,0,0,0,0,4.7,0,1.57,0,1.57,0,32.9,0,0,0,0,0,6.27,0,0,0,0,0,48.57,0.78,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,1.57,0,0,0,0,10.18,0,0,0,0,1.57,21.94,0,0,0,0,0,0,0,0,0,0,0,3360.91,0,0,0,1.57,0,0,0,0,0,3.13,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.77,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,20.37,0,0,0,282.03,712.92,1.57,0,0,0,0,68.94,0,0,0,0,0,0,0,0,0,0,0,0,0,109.68,70.51,0,0,0,81.48,0,0,0,0,0,0,0,0,7.83,401.12,0,0,0,0,0,0,108.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.54,0,0,0,0,2.46,0,0,3.13,0,0,0,0,0.78,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,17.24,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0.94,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,40.74,0,518.63,0,180.19,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,31.34,0,0,0,0,0,0,0,0,0
ML1-8,0,0,0,0,57.72,0,0,0,1.7,0,20.37,0,0,0,0,0,5.09,0.85,0,0,0,0,35.65,0,0,0,134.11,0,0,0,0,0,0,0,32.25,0,3.4,0,0,0,0,0,0,0,1.7,0,0,0,0,0,40.74,0,0,0,0,0,0,0,0,0,0,10.19,3115.15,0,0,0,0,0,0,0,0,5.09,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.46,0,0,49.23,45.84,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.83,7.64,0,0,0,117.14,0,0,15.28,0,0,0,0,0,0,453.27,0,0,0,0,0,0,49.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,35.65,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.28,0,1.7,98.46,0,0,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,1.7,0,0,0,59.42,0,159.58,0,325.94,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0
ML1-9,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,4862.58,0,0,0,0,0,0,0,0,0,10.22,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,1.46,0,0,0,70.09,0,0,20.44,0,0,0,0,0,0,430.77,0,0,0,0,0,0,2.92,0,0,0,0,0,0.73,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,14.6,0,36.51,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0
ML3-1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.69,0,0,0,0,487.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.72,0,0,0,0,1.87,0,0,0,0,26.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,1.87,0,0,0,0,0,0,0,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,196.22,0,0,0,0,0,0,0,0,0,0,0,56.06,0.93,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0
