"","FDis","RDA1","RDA2"
"143W-1",0.188523735420391,-0.34306325865177,0.744825817825614
"143W-2",0.187220108797608,-0.19616565148414,-0.521937138880543
"152W0",0.169673304927197,0.623262398418633,-0.546141873431448
"152W1",0.15773933698657,0.0780089655391412,0.196145841492669
"70-142",0.187735350089737,-0.483267279531845,0.425899744711275
"70-143",0.196734170030679,-0.373580170004803,0.259681721493802
"70-145",0.189306387319182,-0.220353521433304,-0.762123369059777
"71-149",0.204461210247174,-0.247161762331511,0.681529710234802
"71-150",0.19480729995979,0.400730208449744,0.14596680579861
"A1-20 PSBT-31",0.193434894961085,0.0188026936666739,0.221160177347865
"A1-50 PSBT-34",0.194786039479133,-0.182449778383276,0.024208251319329
"A2-20 PSBT-26",0.172747958719217,0.119102054584163,-0.09176733637245
"A2-50 PSBT 23",0.182744300978594,-0.171491060685022,0.0684403775132943
"A4-20 PSBT 13",0.10749582087779,1.02319815523758,-1.12891151515028
"A4-35 PSBT 14",0.187092652819242,-0.0197062029621201,-0.233949520967009
"A4-50 PSBT 15",0.192402820118541,-0.214778281359476,-0.797387456494114
"A5-20 PSBT 11",0.193139997822268,0.109508520281224,0.331944545022547
"A5-35 PSBT 10",0.200370680127078,-0.442463879019038,1.10658385244342
"A5-50 PSBT 9",0.178970582405357,-0.288598961787731,-0.845058926010452
"A6-20 PSBT 2",0.177889196899489,0.417169698970411,-0.0583698165427931
"A6-37 PSBT 3",0.194593071640829,-0.232067550812091,0.564009439219898
"A6-50 PSBT 5",0.173295541673253,-0.290537255074653,-1.1945700829894
"AN14-1",0.198900730835864,0.0101730469126671,-0.175110138267522
"AN14-1.05",0.155389619058799,0.409732178864273,-0.9996484136464
"AN14-10",0.161780069052687,0.592597238406375,-0.862342708268413
"AN14-11",0.189661976528845,-0.254848358088753,0.691736524724321
"AN14-12",0.189860856127154,-0.0968920514817642,0.228190524730284
"AN14-15",0.177244577353839,-0.0666148761538339,-1.57679926712296
"AN14-16",0.203438646949374,-0.0426541093500983,-0.234939401306841
"AN14-1C",0.19221516601934,-0.202286935292413,0.368684204097097
"AN14-20",0.190670606231448,-0.123590580142311,-0.0158155391672748
"AN14-21",0.191201946651382,-0.0420234674713329,-0.00917107383141573
"AN14-22",0.188160384541456,-0.242044051342667,0.505149362376904
"AN14-23",0.202126052802903,-0.257418539265027,0.627467089726033
"AN14-24",0.194536094061809,-0.362942491633085,0.486651317041942
"AN14-25",0.184541394601804,0.0501004551589441,0.189796674667307
"AN14-5",0.164972687145715,0.5536616315061,0.53342440359773
"AN14-5(5)",0.173520293499693,0.453860799925127,-0.117012997133871
"AN14-6",0.19846968246059,-0.245203416710799,-0.0687230979640591
"AN14-6D",0.164281254535079,0.715041230859328,0.272006810544311
"AN14-7",0.193207222014506,0.167870253164015,0.298888874377027
"AN14-7C (24)",0.138351500111593,0.975940255174559,0.0314027666057637
"AN14-9",0.196412999732376,-0.386713116753537,1.2836771360535
"AN14-L250-5",0.194340560245111,-0.138076184653068,0.512489257949212
"AN14-T3",0.193210543672843,-0.108460016569211,-0.539798007128691
"TBS-50 PSBT 61",0.184601185042714,-0.443306976690282,-0.0203835511788518
