Station,x,y,TSM_mg_l,dumping_are,dredging_ar
O10,74.1665935050,72.5511168820,62.4130700000,2644.0683181000,3016.0228025000
O12,74.4652525800,72.5521375490,50.2096700000,2306.4036230000,10755.7635520000
O11,74.3159186040,72.5516829130,58.0469700000,0.0000000000,6376.9475853000
O15,74.3193152070,72.6008282630,72.1552000000,2990.2272177000,10538.1206800000
O14,74.3205662860,72.5068986610,55.9798200000,2908.1754847000,5211.3615855000
O34,73.8061251510,72.1644999940,23.4465400000,931.3385861200,15147.9666140000
O38,73.9577304140,72.1205579230,25.2101200000,937.9291007500,22264.4917500000
O36,74.0984938300,72.1660598480,26.1410300000,1746.7392360000,22802.5629630000
O35,73.9523029890,72.1653343250,26.1410300000,0.0000000000,18975.2648250000
O37,73.9608594680,72.2173660100,,2083.9927000000,15551.1953760000
O30,73.2909574020,72.1393245110,52.0637500000,17717.7961860000,3139.8575074000
O28,73.0558876230,72.1926233720,74.8196700000,26101.3194320000,2835.7895917000
O27,73.5110012690,72.2293820660,52.0637500000,13326.4415570000,2768.0125348000
O25,73.2754109880,72.2829427830,58.0469700000,23322.5020210000,3206.8873101000
