Part,X,Y
"7",67.12205,32.59730
"7",67.12196,32.59780
"7",67.12196,32.59829
"7",67.12222,32.59879
"7",67.12225,32.59951
"7",67.12234,32.60013
"7",67.12225,32.60055
"7",67.12227,32.60158
"7",67.12223,32.60199
"7",67.12228,32.60230
"7",67.12230,32.60256
"7",67.12236,32.60288
"7",67.12234,32.60317
"7",67.12214,32.60380
"7",67.12223,32.60403
"7",67.12228,32.60434
"7",67.12226,32.60486
"7",67.12226,32.60486
"7",67.12226,32.60490
"7",67.12215,32.60504
"7",67.12214,32.60506
"7",67.12214,32.60507
"7",67.12215,32.60510
"7",67.12215,32.60510
"7",67.12217,32.60519
"7",67.12219,32.60529
"7",67.12221,32.60540
"7",67.12221,32.60555
"7",67.12221,32.60567
"7",67.12220,32.60570
"7",67.12217,32.60590
"7",67.12217,32.60616
"7",67.12216,32.60642
"7",67.12216,32.60642
"7",67.12213,32.60649
"7",67.12205,32.60665
"7",67.12203,32.60679
"7",67.12202,32.60683
"7",67.12202,32.60683
"7",67.12202,32.60720
"7",67.12200,32.60749
"7",67.12197,32.60757
"7",67.12195,32.60765
"7",67.12186,32.60790
"7",67.12189,32.60817
"7",67.12189,32.60820
"7",67.12189,32.60824
"7",67.12194,32.60852
"7",67.12196,32.60866
"7",67.12197,32.60872
"7",67.12196,32.60897
"7",67.12195,32.60920
"7",67.12190,32.60961
"7",67.12189,32.60967
"7",67.12188,32.61021
"7",67.12197,32.61045
"7",67.12199,32.61067
"7",67.12200,32.61082
"7",67.12200,32.61089
"7",67.12201,32.61108
"7",67.12196,32.61114
"7",67.12196,32.61114
"7",67.12193,32.61142
"7",67.12178,32.61142
"7",67.12104,32.61040
"7",67.12101,32.61047
"7",67.12101,32.61047
"7",67.12068,32.61130
"7",67.12068,32.61184
"7",67.12068,32.61184
"7",67.12068,32.61196
"7",67.12068,32.61196
"7",67.12074,32.61214
"7",67.12078,32.61233
"7",67.12081,32.61258
"7",67.12082,32.61269
"7",67.12092,32.61288
"7",67.12095,32.61302
"7",67.12094,32.61302
"7",67.12087,32.61309
"7",67.12082,32.61317
"7",67.12080,32.61319
"7",67.12079,32.61320
"7",67.12079,32.61328
"7",67.12077,32.61348
"7",67.12077,32.61373
"7",67.12077,32.61389
"7",67.12077,32.61389
"7",67.12079,32.61421
"7",67.12076,32.61465
"7",67.12076,32.61465
"7",67.12076,32.61474
"7",67.12075,32.61491
"7",67.12076,32.61492
"7",67.12078,32.61496
"7",67.12086,32.61515
"7",67.12096,32.61534
"7",67.12100,32.61542
"7",67.12105,32.61551
"7",67.12109,32.61559
"7",67.12115,32.61578
"7",67.12120,32.61592
"7",67.12126,32.61617
"7",67.12126,32.61617
"7",67.12126,32.61617
"7",67.12137,32.61661
"7",67.12137,32.61661
"7",67.12056,32.61758
"7",67.12051,32.61779
"7",67.12051,32.61779
"7",67.12049,32.61786
"7",67.12044,32.61824
"7",67.12042,32.61838
"7",67.12040,32.61861
"7",67.12038,32.61894
"7",67.12037,32.61911
"7",67.12036,32.61924
"7",67.12036,32.61925
"7",67.12037,32.61940
"7",67.12046,32.61973
"7",67.12049,32.61980
"7",67.12051,32.61985
"7",67.12052,32.61987
"7",67.12053,32.61989
"7",67.12060,32.62001
"7",67.12059,32.62022
"7",67.12059,32.62022
"7",67.12058,32.62048
"7",67.12072,32.62066
"7",67.12072,32.62069
"7",67.12075,32.62083
"7",67.12075,32.62086
"7",67.12075,32.62088
"7",67.12069,32.62134
"7",67.12063,32.62155
"7",67.12059,32.62167
"7",67.12054,32.62189
"7",67.12053,32.62193
"7",67.12049,32.62200
"7",67.12035,32.62224
"7",67.12029,32.62237
"7",67.12024,32.62249
"7",67.12016,32.62292
"7",67.12013,32.62360
"7",67.12016,32.62409
"7",67.12016,32.62409
"7",67.12017,32.62457
"7",67.12016,32.62491
"7",67.12010,32.62512
"7",67.12005,32.62531
"7",67.11984,32.62578
"7",67.11967,32.62617
"7",67.11951,32.62667
"7",67.11919,32.62675
"7",67.11891,32.62665
"7",67.11891,32.62665
"7",67.11869,32.62695
"7",67.11847,32.62767
"7",67.11835,32.62799
"7",67.11828,32.62817
"7",67.11818,32.62847
"7",67.11813,32.62859
"7",67.11798,32.62910
"7",67.11797,32.62921
"7",67.11797,32.62940
"7",67.11801,32.62943
"7",67.11814,32.62905
"7",67.11821,32.62901
"7",67.11826,32.62897
"7",67.11830,32.62902
"7",67.11847,32.62920
"7",67.11859,32.62946
"7",67.11889,32.62962
"7",67.11902,32.62969
"7",67.11916,32.62978
"7",67.11917,32.62978
"7",67.11924,32.63007
"7",67.11924,32.63007
"7",67.11924,32.63035
"7",67.11915,32.63054
"7",67.11890,32.63076
"7",67.11876,32.63102
"7",67.11867,32.63151
"7",67.11857,32.63220
"7",67.11854,32.63231
"7",67.11849,32.63253
"7",67.11848,32.63258
"7",67.11842,32.63301
"7",67.11837,32.63316
"7",67.11833,32.63330
"7",67.11823,32.63348
"7",67.11810,32.63369
"7",67.11789,32.63388
"7",67.11766,32.63407
"7",67.11743,32.63431
"7",67.11736,32.63440
"7",67.11718,32.63463
"7",67.11714,32.63484
"7",67.11711,32.63495
"7",67.11711,32.63528
"7",67.11703,32.63563
"7",67.11692,32.63614
"7",67.11693,32.63647
"7",67.11707,32.63670
"7",67.11737,32.63705
"7",67.11744,32.63710
"7",67.11762,32.63724
"7",67.11775,32.63730
"7",67.11783,32.63733
"7",67.11792,32.63726
"7",67.11802,32.63719
"7",67.11816,32.63695
"7",67.11828,32.63675
"7",67.11844,32.63656
"7",67.11850,32.63657
"7",67.11866,32.63663
"7",67.11882,32.63675
"7",67.11883,32.63681
"7",67.11885,32.63692
"7",67.11901,32.63712
"7",67.11912,32.63729
"7",67.11916,32.63745
"7",67.11918,32.63751
"7",67.11917,32.63760
"7",67.11917,32.63760
"7",67.11910,32.63769
"7",67.11884,32.63773
"7",67.11853,32.63773
"7",67.11829,32.63787
"7",67.11805,32.63808
"7",67.11796,32.63846
"7",67.11785,32.63892
"7",67.11784,32.63898
"7",67.11766,32.63976
"7",67.11764,32.64000
"7",67.11761,32.64031
"7",67.11767,32.64115
"7",67.11777,32.64191
"7",67.11794,32.64247
"7",67.11797,32.64278
"7",67.11797,32.64279
"7",67.11797,32.64302
"7",67.11789,32.64322
"7",67.11786,32.64324
"7",67.11775,32.64327
"7",67.11771,32.64316
"7",67.11764,32.64297
"7",67.11750,32.64265
"7",67.11742,32.64246
"7",67.11733,32.64225
"7",67.11724,32.64178
"7",67.11724,32.64177
"7",67.11721,32.64153
"7",67.11717,32.64147
"7",67.11708,32.64134
"7",67.11704,32.64115
"7",67.11702,32.64108
"7",67.11693,32.64110
"7",67.11687,32.64115
"7",67.11685,32.64116
"7",67.11675,32.64157
"7",67.11674,32.64161
"7",67.11674,32.64162
"7",67.11667,32.64202
"7",67.11661,32.64226
"7",67.11658,32.64239
"7",67.11653,32.64247
"7",67.11647,32.64254
"7",67.11640,32.64241
"7",67.11636,32.64236
"7",67.11627,32.64229
"7",67.11601,32.64235
"7",67.11590,32.64251
"7",67.11578,32.64268
"7",67.11564,32.64314
"7",67.11557,32.64352
"7",67.11559,32.64368
"7",67.11573,32.64368
"7",67.11583,32.64378
"7",67.11583,32.64378
"7",67.11590,32.64380
"7",67.11602,32.64374
"7",67.11611,32.64374
"7",67.11615,32.64387
"7",67.11618,32.64399
"7",67.11619,32.64453
"7",67.11622,32.64505
"7",67.11623,32.64555
"7",67.11623,32.64562
"7",67.11623,32.64571
"7",67.11620,32.64569
"7",67.11616,32.64566
"7",67.11601,32.64559
"7",67.11588,32.64565
"7",67.11581,32.64567
"7",67.11575,32.64569
"7",67.11567,32.64562
"7",67.11565,32.64560
"7",67.11556,32.64565
"7",67.11540,32.64594
"7",67.11525,32.64627
"7",67.11524,32.64630
"7",67.11506,32.64650
"7",67.11495,32.64648
"7",67.11489,32.64640
"7",67.11487,32.64636
"7",67.11486,32.64632
"7",67.11481,32.64604
"7",67.11480,32.64597
"7",67.11478,32.64586
"7",67.11469,32.64563
"7",67.11468,32.64563
"7",67.11460,32.64558
"7",67.11455,32.64571
"7",67.11451,32.64577
"7",67.11450,32.64579
"7",67.11448,32.64572
"7",67.11438,32.64547
"7",67.11433,32.64509
"7",67.11428,32.64489
"7",67.11428,32.64463
"7",67.11439,32.64428
"7",67.11439,32.64428
"7",67.11463,32.64419
"7",67.11467,32.64410
"7",67.11480,32.64384
"7",67.11482,32.64362
"7",67.11484,32.64348
"7",67.11475,32.64294
"7",67.11467,32.64267
"7",67.11464,32.64256
"7",67.11460,32.64259
"7",67.11458,32.64261
"7",67.11454,32.64281
"7",67.11453,32.64287
"7",67.11450,32.64297
"7",67.11446,32.64311
"7",67.11438,32.64324
"7",67.11432,32.64321
"7",67.11427,32.64319
"7",67.11422,32.64321
"7",67.11417,32.64323
"7",67.11417,32.64323
"7",67.11410,32.64335
"7",67.11399,32.64354
"7",67.11388,32.64370
"7",67.11379,32.64389
"7",67.11372,32.64410
"7",67.11369,32.64427
"7",67.11366,32.64435
"7",67.11362,32.64447
"7",67.11362,32.64458
"7",67.11363,32.64468
"7",67.11371,32.64494
"7",67.11371,32.64516
"7",67.11367,32.64524
"7",67.11364,32.64530
"7",67.11364,32.64549
"7",67.11364,32.64550
"7",67.11367,32.64576
"7",67.11370,32.64590
"7",67.11378,32.64596
"7",67.11386,32.64601
"7",67.11386,32.64601
"7",67.11388,32.64607
"7",67.11391,32.64621
"7",67.11396,32.64633
"7",67.11400,32.64641
"7",67.11402,32.64644
