Part,Архип,N,X,Y
"6",Лувеньгский,"139",67.12198,32.61088
"6",Лувеньгский,"140",67.12193,32.61142
"6",Лувеньгский,"141",67.12178,32.61142
"6",Лувеньгский,"142",67.12104,32.61040
"6",Лувеньгский,"143",67.12068,32.61130
"6",Лувеньгский,"144",67.12068,32.61234
"6",Лувеньгский,"145",67.12095,32.61303
"6",Лувеньгский,"146",67.12072,32.61327
"6",Лувеньгский,"147",67.12082,32.61424
"6",Лувеньгский,"148",67.12074,32.61488
"6",Лувеньгский,"149",67.12112,32.61561
"6",Лувеньгский,"150",67.12137,32.61661
"6",Лувеньгский,"151",67.12056,32.61758
"6",Лувеньгский,"152",67.12041,32.61816
"6",Лувеньгский,"153",67.12045,32.61889
"6",Лувеньгский,"154",67.12032,32.61922
"6",Лувеньгский,"155",67.12049,32.61984
"6",Лувеньгский,"156",67.12061,32.61991
"6",Лувеньгский,"157",67.12058,32.62048
"6",Лувеньгский,"158",67.12072,32.62066
"6",Лувеньгский,"159",67.12058,32.62153
"6",Лувеньгский,"160",67.12009,32.62325
"6",Лувеньгский,"161",67.12018,32.62435
"6",Лувеньгский,"162",67.12005,32.62537
"6",Лувеньгский,"163",67.11972,32.62576
"6",Лувеньгский,"164",67.11961,32.62638
"6",Лувеньгский,"165",67.11942,32.62678
"6",Лувеньгский,"166",67.11875,32.62676
"6",Лувеньгский,"167",67.11805,32.62880
"6",Лувеньгский,"168",67.11852,32.62944
"6",Лувеньгский,"169",67.11911,32.62965
"6",Лувеньгский,"170",67.11921,32.63004
"6",Лувеньгский,"171",67.11915,32.63032
"6",Лувеньгский,"172",67.11867,32.63105
"6",Лувеньгский,"173",67.11857,32.63213
"6",Лувеньгский,"174",67.11833,32.63340
"6",Лувеньгский,"175",67.11706,32.63447
"6",Лувеньгский,"176",67.11704,32.63537
"6",Лувеньгский,"177",67.11688,32.63588
"6",Лувеньгский,"178",67.11686,32.63646
"6",Лувеньгский,"179",67.11771,32.63733
"6",Лувеньгский,"180",67.11800,32.63706
"6",Лувеньгский,"181",67.11830,32.63640
"6",Лувеньгский,"182",67.11875,32.63661
"6",Лувеньгский,"183",67.11907,32.63723
"6",Лувеньгский,"184",67.11912,32.63763
"6",Лувеньгский,"185",67.11840,32.63771
"6",Лувеньгский,"186",67.11804,32.63799
"6",Лувеньгский,"187",67.11789,32.63834
"6",Лувеньгский,"188",67.11757,32.63989
"6",Лувеньгский,"189",67.11752,32.64045
"6",Лувеньгский,"190",67.11759,32.64140
"6",Лувеньгский,"191",67.11784,32.64226
"6",Лувеньгский,"192",67.11796,32.64292
"6",Лувеньгский,"193",67.11782,32.64333
"6",Лувеньгский,"194",67.11766,32.64330
"6",Лувеньгский,"195",67.11706,32.64141
"6",Лувеньгский,"196",67.11680,32.64109
"6",Лувеньгский,"197",67.11646,32.64261
"6",Лувеньгский,"198",67.11628,32.64251
"6",Лувеньгский,"199",67.11615,32.64213
"6",Лувеньгский,"200",67.11564,32.64265
"6",Лувеньгский,"201",67.11551,32.64353
"6",Лувеньгский,"202",67.11609,32.64381
"6",Лувеньгский,"203",67.11617,32.64473
"6",Лувеньгский,"204",67.11616,32.64577
"6",Лувеньгский,"205",67.11587,32.64547
"6",Лувеньгский,"206",67.11580,32.64568
"6",Лувеньгский,"207",67.11557,32.64545
"6",Лувеньгский,"208",67.11499,32.64662
"6",Лувеньгский,"209",67.11469,32.64634
"6",Лувеньгский,"210",67.11476,32.64581
"6",Лувеньгский,"211",67.11458,32.64550
"6",Лувеньгский,"212",67.11443,32.64579
"6",Лувеньгский,"213",67.11423,32.64522
"6",Лувеньгский,"214",67.11393,32.64558
"6",Лувеньгский,"215",67.11383,32.64515
"6",Лувеньгский,"216",67.11388,32.64470
"6",Лувеньгский,"217",67.11403,32.64444
"6",Лувеньгский,"218",67.11396,32.64362
"6",Лувеньгский,"219",67.11378,32.64429
"6",Лувеньгский,"220",67.11363,32.64493
"6",Лувеньгский,"221",67.11364,32.64556
"6",Лувеньгский,"222",67.11379,32.64586
"6",Лувеньгский,"223",67.11416,32.64701
"6",Лувеньгский,"224",67.11427,32.64745
"6",Лувеньгский,"225",67.11421,32.64811
"6",Лувеньгский,"226",67.11426,32.64870
"6",Лувеньгский,"227",67.11400,32.64997
"6",Лувеньгский,"228",67.11453,32.65223
"6",Лувеньгский,"229",67.11442,32.65271
"6",Лувеньгский,"230",67.11438,32.65363
