,W1,W2,W3,W4,W5,R1,R2,R3,R4,LD1,LD2,LD3,BF1,BF2,BF3,BF4,BF5,F1,F2,F3,SO1,SO2,SO3,LH1,LH2,LH3,LH4,LH5,LH6,MV1,MV2,MV3,MV4,FH1,FH2,FH3,FH4,FH5
Arrhis.luthkei,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,2,1,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0
Arrhis.phyllonyx,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,2,2,2,2,0
Ascidia.callosa,0,0,1,2,1,0,3,0,0,3,0,0,1,0,0,0,2,2,1,0,1,2,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0
Ascidiacea,0,0,2,1,0,1,2,0,2,1,2,1,2,1,2,0,2,1,2,1,1,2,2,1,0,0,0,1,2,3,0,0,0,0,3,0,0,0
Asterias.amurensis,0,0,0,2,1,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,2,0
Atylus.bruggeni,2,2,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,2,2,0,1,2,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Atylus.carinatus,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,2,2,0,2,2,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Atylus.smitti,1,2,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,2,2,0,2,2,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Aulacofusus.brevicauda,0,1,2,0,0,0,0,3,0,0,0,3,1,0,0,0,2,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Balanus.sp.,1,2,2,2,0,0,0,0,3,3,0,0,1,0,0,0,2,0,0,3,1,2,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0
Bathypolypus.sp..,0,0,1,2,0,0,0,0,3,0,0,3,2,0,0,0,2,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Beringius.stimpsoni,0,0,1,2,0,0,0,3,0,0,0,3,1,0,0,0,2,0,2,2,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Boltenia.echinata,0,1,2,0,0,0,0,0,3,0,3,0,1,0,0,0,2,0,1,2,1,2,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0
Boltenia.ovifera,0,0,1,2,0,0,0,0,3,0,3,0,1,0,0,0,2,0,1,2,1,2,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0
Boreoscala.greenlandica,0,0,3,0,0,0,0,3,0,3,0,0,1,0,0,0,2,0,1,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,2,1
Boreotrophon.clathratus,0,1,2,0,0,0,0,3,0,0,0,3,1,0,0,0,2,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Boreotrophon.cymatus,0,2,2,0,0,0,0,3,0,0,0,3,1,0,0,0,2,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Boreotrophon.sp..,0,1,2,1,0,0,0,3,0,0,0,3,1,0,0,0,2,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Boreotrophon.truncatus,0,2,2,1,0,0,0,3,0,0,0,3,1,0,0,0,2,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Brachiopoda,0,1,2,0,0,0,2,0,2,2,0,2,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,2,1,0,0,0,3,0,0,0
Bryozoa,0,1,2,2,0,1,0,0,2,0,3,0,1,0,1,0,2,0,2,1,0,0,3,1,0,0,0,1,2,3,0,0,0,0,3,0,0,0
Buccinum.angulosum,0,0,1,2,0,0,0,3,0,0,0,3,2,0,0,0,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Buccinum.ciliatum,0,0,3,0,0,0,0,3,0,0,0,3,2,0,0,0,1,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Buccinum.glaciale,0,0,2,1,0,0,0,3,0,0,0,3,2,0,0,0,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Buccinum.plectrum,0,2,2,2,0,0,0,3,0,0,0,3,2,0,0,0,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Buccinum.polare,0,2,2,1,0,0,0,3,0,0,0,3,2,0,0,0,1,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Buccinum.scalariforme,0,2,2,1,0,0,0,3,0,0,0,3,2,0,0,0,1,0,0,3,3,0,0,3,0,0,0,0,0,0,1,2,0,2,0,2,2,0
Buccinum.solenum,0,1,2,2,0,0,0,3,0,0,0,3,2,0,0,0,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Buccinum.sp..,0,2,2,1,0,0,0,3,0,0,0,3,2,0,0,0,1,0,1,2,3,0,0,3,0,0,0,0,0,0,1,2,0,2,0,2,2,0
Buccinum.tenellum,0,0,3,0,0,0,0,3,0,0,0,3,2,0,0,0,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Bylgides.promamme,0,2,1,0,0,0,3,0,0,3,0,0,0,2,1,0,0,1,2,0,1,2,0,0,0,0,2,2,0,0,0,2,1,0,0,0,3,0
Bylgides.sarsii,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,1,2,0,1,2,0,0,0,0,2,2,0,0,0,2,1,0,0,0,3,0
Bylgides.sp.,0,2,1,0,0,0,3,0,0,3,0,0,0,2,1,0,0,0,3,0,1,2,0,0,0,0,2,2,0,0,0,3,0,0,0,0,3,0
Calliopiidae,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,2,1,0,3,0,0,0,0,0,0,0,0,3,0,1,1,1,0
Calycidoris.guentheri,0,2,2,0,0,0,0,3,0,3,0,0,1,0,2,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
Caprella,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,1,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0
Ceradocus.torelli,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,NA,NA,NA,3,0,0,3,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA
Cerianthus.lloydi,0,0,3,0,0,0,3,0,0,3,0,0,2,0,0,0,1,0,3,0,1,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0
Chelyosoma.macleayanum,0,1,2,0,0,0,3,0,0,0,3,0,0,0,2,0,1,0,0,3,2,2,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0
Chionoecetes.opilio,0,0,1,2,0,0,0,0,3,3,0,0,0,0,2,0,1,0,0,3,1,2,0,3,0,0,0,0,0,0,0,3,0,0,0,1,2,0
Chlamys.behringiana,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,1,2,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0
Clinocardium.ciliatum,0,2,1,0,0,0,3,0,0,3,0,0,2,0,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0
Colus.sabini,0,0,2,2,0,0,0,3,0,0,0,3,2,0,0,0,1,0,1,2,2,1,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0
Colus.sp..,0,0,2,2,0,0,0,3,0,0,0,3,2,0,0,0,1,0,1,2,2,1,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0
Corella.willmeriana,0,0,3,0,0,0,0,0,3,0,3,0,1,0,0,0,2,0,2,2,2,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0
Coryphella.sp..,0,3,0,0,0,0,0,3,0,3,0,0,1,0,2,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Crangon.dalli,0,2,1,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,2,0
Crepidula.sp..,0,3,0,0,0,0,2,2,0,1,0,2,1,0,2,0,0,0,3,0,1,2,0,1,0,0,0,0,2,0,0,3,0,0,3,0,0,0
Crossaster.papposus,0,0,1,2,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,6,0,0,0,2,4,0
Cryptonatica.affinis,0,0,4,2,0,0,0,6,0,6,0,0,6,0,0,0,0,0,6,0,2,4,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Ctenodiscus.crispatus,0,0,2,1,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,2,1,0,1,0,0,2,0,0,0,2,1,0,3,0,0,0,0
Curtitoma.decussata,0,5,1,0,0,0,0,6,0,6,0,0,2,0,0,0,4,2,4,0,4,2,0,3,3,0,3,0,0,0,0,3,0,3,0,0,3,0
Curtitoma.incisula,0,2,2,0,0,0,0,3,0,3,0,0,1,0,0,0,2,0,2,1,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Curtitoma.novajasemljensis,0,2,1,0,0,0,0,3,0,3,0,0,1,0,0,0,2,1,2,1,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Curtitoma.sp..,0,4,2,0,0,0,0,6,0,6,0,0,2,0,0,0,4,2,4,2,4,2,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Curtitoma.violacea,0,2,1,0,0,0,0,3,0,3,0,0,1,0,0,0,2,1,2,0,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Cylichna.alba,0,2,1,0,0,0,0,3,0,3,0,0,2,0,0,0,1,0,1,2,1,2,0,3,0,0,0,0,0,0,1,2,0,2,0,0,2,0
Cylinchnoides.occultus,0,2,1,0,0,0,0,3,0,3,0,0,2,0,0,0,2,0,3,0,2,2,0,3,0,0,0,0,0,0,0,3,0,2,0,0,2,0
Dendrobeania.sp..,0,2,2,3,0,1,0,0,2,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0
Dendrodoa.sp..,0,2,2,0,0,0,0,0,3,NA,NA,NA,1,0,0,0,2,NA,NA,NA,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0
Dendronotus.sp.,0,2,4,0,0,0,0,6,0,6,0,0,2,4,0,0,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Diaphana.hiemalis,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Diastylis.alaskensis,0,4,2,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,4,4,0,6,0,0,0,0,0,0,0,2,4,3,0,0,0,0
Diastylis.goodsiri.scorpioides,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,1,2,0,3,0,0,0,0,0,0,0,0,3,2,2,2,1,0
Diastylis.sp.,0,4,2,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,4,4,0,6,0,0,0,0,0,0,0,2,4,3,0,0,0,0
Diastylis.spinulosa,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,2,2,0,3,0,0,0,0,0,0,0,1,2,3,0,0,0,0
Didemnum.albidum,0,3,3,0,0,2,0,0,4,0,6,0,0,0,6,0,0,2,4,0,0,0,6,0,0,0,0,2,4,6,0,0,0,0,6,0,0,0
Distaplia.alaskensis,0,2,1,0,0,1,0,0,2,0,3,0,0,0,3,0,0,1,2,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0
Distaplia.occidentalis,0,0,2,2,0,1,0,0,2,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0
