"","Sea","Latitude","Longitude","FDis"
"AN14-23","Beaufort",70.006,-141.9745,0.202126052802903
"AN14-24","Beaufort",70.26416667,-141.7525,0.194536094061809
"AN14-25","Beaufort",69.85316667,-141.7021667,0.184541394601804
"AN14-5","Beaufort",70.954,-151.3735,0.164972687145715
"AN14-5(5)","Beaufort",70.4365,-147.3415,0.173520293499693
"AN14-6","Beaufort",71.2845,-151.5645,0.19846968246059
"AN14-6D","Beaufort",70.7495,-150.475,0.164281254535079
"AN14-7","Beaufort",70.84566667,-150.06,0.193207222014506
"AN14-7C (24)","Beaufort",70.92166667,-152.0116667,0.138351500111593
"AN14-9","Beaufort",70.956,-148.9955,0.196412999732376
"AN14-L250-5","Beaufort",70.355,-146.1143333,0.194340560245111
"AN14-T3","Beaufort",70.44483333,-145.8241667,0.193210543672843
"TBS-50 PSBT 61","Beaufort",70.15617,-140.3967,0.184601185042714
