F1	x	y	TSM_mg_l	Ships	dumping_areas [ID] [Distance (ViGrA) - Euclidean]	dredging_areas_1 [ID] [Distance (ViGrA) - Euclidean]
"O92"	73.802611	70.867205	62.413070	1.000000	18894.369104	13833.378429
"O75"	72.699718	70.947703	100.000000	0.000000	30098.019830	34282.045690
"O79"	73.522105	70.954161	45.034280	0.000000	7516.243926	6307.744279
"O87"	72.983271	70.860079	100.000000	0.000000	26321.107839	28176.558802
"O67"	72.963489	71.039062	100.000000	1.000000	18809.923407	24495.192235
"O58"	72.582632	71.167523	100.000000	1.000000	35650.712163	42146.734138
"O90"	73.528652	70.865235	50.209670	1.000000	17360.931953	15310.431650
"O60"	73.140807	71.173356	52.063750	0.000000	19630.508236	26096.046704
"O76"	72.973493	70.948978	100.000000	0.000000	20880.602655	24492.621572
"O55"	73.051536	71.282189	100.000000	0.000000	31498.293644	37649.280562
"O59"	72.858139	71.170762	89.692460	1.000000	27075.903609	33690.896488
"O54"	72.770981	71.279497	41.883910	1.000000	37309.211959	43843.493772
"O81"	73.796509	70.956143	100.000000	3.000000	10634.901359	4049.370698
"O53"	72.493231	71.276039	43.430540	3.000000	44552.805035	51174.509310
"O70"	73.517085	71.044449	38.953920	8.000000	812.131200	6316.241277
"O56"	73.329921	71.285317	100.000000	0.000000	28295.760427	33505.749640
"O77"	73.247763	70.951773	69.585640	1.000000	12295.166567	14836.257244
"O88"	73.259338	70.863301	100.000000	0.000000	19933.569375	20242.793264
"O68"	73.239070	71.041278	77.582490	0.000000	8828.705375	14820.250629
"O62"	73.414713	71.176411	100.000000	0.000000	15800.960860	21051.227923
"O52"	72.214354	71.273305	80.447350	2.000000	52791.033523	59378.669492
"O63"	72.290567	71.678622	100.000000	0.000000	74397.493538	61091.949303
"O69"	73.380310	71.042467	62.413070	11.000000	3750.649176	10119.028098
"O71"	73.633106	71.045227	100.000000	0.000000	2545.651038	4949.984200
"O72"	73.383704	71.001205	58.046970	0.000000	5053.145231	8874.783854
"O64"	72.529351	71.673345	69.585640	1.000000	69250.180530	57829.949805
"O73"	73.517858	71.000603	43.430540	19.000000	2382.283954	4000.204003
"O78"	73.387581	70.953837	58.046970	0.000000	8817.683379	10116.135232
"O80"	73.642901	70.955083	52.063750	2.000000	7613.347341	4744.027654
"O84"	73.524750	70.914399	55.979820	0.000000	11920.114832	10132.592062
"O85"	73.654312	70.916121	40.392350	0.000000	11917.427223	9040.512844
"O86"	73.797717	70.918509	100.000000	0.000000	13837.565950	8155.641077
"O91"	73.662411	70.866351	43.430540	2.000000	17417.803933	14555.081648
"O65"	73.019574	71.656909	69.585640	0.000000	60732.406476	55198.685814
"O95"	72.853796	70.171652	86.498370	0.000000	97950.896446	96610.067818
"O97"	73.382152	70.155650	58.046970	0.000000	96681.656465	94425.004998
"O98"	73.642792	70.147215	40.392350	0.000000	97386.686914	94351.380120
"O94"	72.592750	70.178847	100.000000	5.000000	100028.458516	99180.300528
"O96"	73.119202	70.163769	83.418000	0.000000	96847.886911	94994.956681
"O83"	73.389959	70.912662	72.155200	0.000000	12989.002007	12957.193585
"O89"	73.397454	70.864342	80.447350	0.000000	18096.287918	17195.651845
"O66"	72.691530	71.036846	72.155200	0.000000	28673.030306	34231.969296
"O100"	73.649006	70.999456	100.000000	219.000000	3415.113377	0.000000
"O61"	73.277870	71.174846	93.004500	0.000000	17111.117523	23178.274064
"O45"	74.084484	72.001084	14.633710	0.000000	14587.151768	34050.338080
"O41"	72.925202	72.001610	69.585640	1.000000	34567.156189	18848.876133
"O44"	73.794697	72.000369	27.106340	0.000000	14374.363591	26334.017117
"O40"	72.635394	72.000367	77.582490	0.000000	43612.297434	24911.740726
"O43"	73.504883	72.001532	62.413070	0.000000	19516.902706	19518.267698
"O42"	73.215044	72.002263	48.421630	0.000000	26233.581021	16353.547650
"O46"	74.374307	72.002230	12.207150	0.000000	20376.342062	41704.003783
"O10"	74.166594	72.551117	62.413070	8.000000	2644.068318	3016.022802
"O12"	74.465253	72.552138	50.209670	0.000000	2306.403623	10755.763552
"O11"	74.315919	72.551683	58.046970	91.000000	0.000000	6376.947585
"O9"	73.895398	72.345515	55.979820	0.000000	16428.436659	4825.328744
"O7"	73.149569	72.338765	55.979820	0.000000	30443.302574	10414.061044
"O8"	73.367186	72.343052	55.979820	0.000000	24837.861748	4935.598330
"O15"	74.319315	72.600828	72.155200	0.000000	2990.227218	10538.120680
"O14"	74.320566	72.506899	55.979820	0.000000	2908.175485	5211.361586
"O34"	73.806125	72.164500	23.446540	1.000000	931.338586	15147.966614
"O38"	73.957730	72.120558	25.210120	0.000000	937.929101	22264.491750
"O33"	74.616880	72.336138	28.107290	0.000000	22988.763639	24392.208096
"O36"	74.098494	72.166060	26.141030	0.000000	1746.739236	22802.562963
"O39"	74.982093	72.339893		0.000000	30849.924239	33721.871696
"O35"	73.952303	72.165334	26.141030	7.000000	0.000000	18975.264825
"O31"	72.897508	72.343262	67.107590	0.000000	37664.548976	17435.852935
"O37"	73.960859	72.217366		1.000000	2083.992700	15551.195376
"O32"	74.261263	72.341536	36.228890	0.000000	16692.307698	14714.794190
"O16"	73.948116	72.535338	32.494590	7.000000	10102.987141	3100.048602
"O17"	74.066731	72.508193		80.000000	7629.935381	0.000000
"O18"	74.184991	72.480978	69.585640	0.000000	7095.241838	2876.126767
"O30"	73.290957	72.139325	52.063750	1.000000	17717.796186	3139.857507
"O29"	73.173592	72.166009	72.155200	9.000000	21739.807084	0.000000
"O28"	73.055888	72.192623	74.819670	1.000000	26101.319432	2835.789592
"O27"	73.511001	72.229382	52.063750	0.000000	13326.441557	2768.012535
"O25"	73.275411	72.282943	58.046970	0.000000	23322.502021	3206.887310
"O26"	73.393378	72.256198	72.155200	57.000000	18324.469479	0.000000
"O18"	73.775542	72.470776	53.986290	60.000000	18103.314773	3071.285285
"O20"	73.893992	72.443734		90.000000	16769.286755	0.000000
"O21"	74.012090	72.416621	89.692460	0.000000	16328.040557	2896.463123
"O22"	73.498827	72.371132	67.107590	1.000000	24050.254724	3401.368304
"O23"	73.617038	72.344254	72.155200	114.000000	19301.052096	0.000000
"O24"	73.734900	72.317305	55.979820	13.000000	14717.582161	2571.963604
"O6"	74.598071	72.788372		0.000000	24961.031774	32873.124744
"O57"	73.616972	71.167069	100.000000	0.000000	14513.182648	18549.263295
"O74"	73.752070	71.025528	46.697250	44.000000	6271.539844	3010.482183
"O82"	73.871870	70.980412		371.000000	11503.537167	1900.946086
"O93"	73.906789	70.853719	100.000000	39.000000	22062.416607	15556.837894
"O1"	73.131911	72.682573	14.633710	0.000000	39951.397277	34617.748907
"O2"	73.423738	72.704582		5.000000	32333.296424	28570.250456
"O3"	73.716279	72.726168	55.979820	0.000000	26346.304282	24153.046467
"O4"	74.009523	72.747330	64.717780	0.000000	22277.413203	23436.827565
"O5"	74.303458	72.768065		0.000000	21445.498320	26740.304847
"O13"	73.320650	71.648941	72.155200	0.000000	56868.008804	55916.194764
"O47"	71.887290	71.480339	80.447350	0.000000	75645.117013	82245.507166
"O48"	72.205816	71.470926	53.986290	0.000000	66665.434145	73188.016695
"O49"	72.532969	71.461095	64.717780	0.000000	58335.895121	64668.736135
"O50"	72.797087	71.451289	64.717780	0.000000	52396.329565	58441.553063
"O51"	73.000891	71.441678	96.438840	0.000000	48387.642888	54089.836443
"O1-w"	72.932122	73.144463		1.000000	78786.297414	77412.136380
"O2-w"	73.362039	72.956617	13.125330	0.000000	53646.056563	52319.406485
"O3-w"	73.564140	72.859443	8.494420	0.000000	41030.915477	39660.744351
"O5-w"	74.356318	72.842620		0.000000	29689.117779	35215.912597
"O6-w"	73.142781	71.904935	55.979820	0.000000	35705.968911	27255.964966
"O7-w"	72.880978	71.735161	40.392350	2.000000	56289.539972	47396.236864
"O8-w"	72.678673	71.558120	62.413070	0.000000	64904.023603	68283.304204
"O103"	73.707140	70.997944	100.000000	395.000000	5248.961781	0.000000
"O110"	73.809749	70.995619	62.413070	5578.000000	8791.413238	0.000000
"O109"	73.789625	71.003200	67.107590	1736.000000	7853.209429	272.751517
"O111"	73.829094	70.988623	100.000000	1034.000000	9717.678000	260.837409
"O102"	73.715566	71.002651	100.000000	96.000000	5305.179129	386.962715
"O104"	73.701999	70.991053	100.000000	803.000000	5501.431102	595.742700
"O99"	73.645267	71.006191	100.000000	120.000000	2844.336517	595.344820
"O101"	73.652962	70.994857	100.000000	403.000000	3878.172120	303.189014
"O105"	73.769815	71.001428	93.004500	2401.000000	7212.188371	359.682810
"O106"	73.767285	70.996478	100.000000	866.000000	7306.110496	0.000000
"O107"	73.771149	70.989672	100.000000	987.000000	7740.453134	552.138000
"O108"	73.790996	71.007519		1736.000000	7799.405176	666.175064
"O112"	73.835489	70.982717	100.000000	371.000000	10187.787887	936.623490
