"Score";"Label";"CCA1";"CCA2";"CCA3";"CCA4";"CCA5";"CA1"
"species";"Age2";0.8420636994528;-0.132633403474958;0.220905674853282;0.283595549741773;0.257800355332441;0.317573635247636
"species";"Age3";-0.052104746729416;0.463123457321917;-0.422455842268553;-0.373031340220331;0.28679201283172;0.503923075035903
"species";"Age4";-0.699771003129092;0.877928261921295;0.148041672308214;-0.125823105693515;0.282540801786261;-0.147952353937955
"species";"Age5";-0.81526319557393;1.07205622718925;0.667283228906828;0.313334070592398;-0.113076257823885;-0.818151104389165
"species";"Age6";-1.04176600978444;1.25286535883845;0.545338656396848;0.940221181959595;-0.166166634739352;-0.743681953446402
"species";"Age7";-1.66734835212424;0.678031249061357;-0.13163904894973;1.37623273144334;-0.263820216425896;-0.381780194106253
"species";"Age8";-2.17332834255292;0.183480745584018;-1.17813522342289;1.08247249530475;-0.364000654808188;0.152343340944597
"species";"Age9";-1.66628079762778;0.539859166865175;-1.10481206581529;0.797227105979452;-0.685684624324422;-0.278133931465698
"species";"Age10";-1.42989904508254;-0.78830424340264;-2.49295919208051;0.0362644468609509;-0.287845361399173;-1.3659230211624
"species";"Age11";-1.40064115123681;0.423721422685688;-1.0588442157741;0.608852906348764;-0.63998663591461;-1.17611126508865
"species";"Age12";-1.34494300935165;-0.482184899400773;4.49731780165128;-1.84133492575158;-1.09225661620182;-0.773738602828136
"species";"PT";-0.524587963666229;1.12075253150126;2.46391510718835;-2.76822793529869;-1.89619495786926;-2.18463640951609
"species";"N";0.311988510204154;0.0371366793766593;-0.0703649698333255;-0.0390241361339633;-0.17619565236401;0.30936215167843
"species";"W";-0.670658770880068;-0.598282376512348;0.0721154718025979;-0.0154728979672357;0.0794007919002918;-0.791729401159203
"species";"OGP";-0.765751875738721;0.374255387863683;2.72827467899262;-2.29328432609863;-1.05367641628719;-2.15259560991318
"species";"max_L";-0.918364205014834;0.140035053010789;2.51355217697129;-1.82606789462362;-0.829442053000343;-2.45481492566103
"sites";"Z _0.5_09";-1.53844645371075;-0.999809676901314;1.74499368937399;-0.661868442240945;-0.0622078702462149;-1.59935275244989
"sites";"BS_2_05";-1.8136933336105;-1.50023153309474;4.204876027807;-3.56538033125255;-2.13836752155018;-2.76942223459626
"sites";"BS_1.5_09";-0.505326856746211;0.00446207031036273;1.89767465596375;-1.4095417711948;-0.594259449375259;-0.565853861531738
"sites";"BS_1_09";-0.34794148883363;0.425183919152734;2.53694028027975;-2.49133944408392;-1.45353978852;-0.583791499791197
"sites";"BS_0.5_09";-1.11632097151329;-0.37403558632444;0.472253596215175;0.157323407625765;0.249446974149895;-0.838956223608009
"sites";"BS_-0.5_09";-0.906937387749376;0.036106698476298;-0.578105787695654;-0.109648816184448;0.267039223980581;0.563724532629872
"sites";"BS_-1.5_09";-1.04905470444709;-0.264141505068632;-0.762650550051511;0.690464219858791;-0.376786088175154;0.387829911065567
"sites";"BN_-0.5_09";-0.846402399468634;-0.183532668155035;0.598452607239939;0.328175862711353;0.203055392815951;0.0139494142902554
"sites";"BN_0.5_09";-0.579784759695589;0.717200593842955;0.373015170603874;-0.537343250119959;0.337667980902514;0.171801613777456
"sites";"BN_1_09";-0.134097075778192;0.145660204912388;1.62215665609122;-1.59359718034613;-0.477688788754904;-0.0297439272209286
"sites";"BN_1.5_09";-0.267949172024869;0.719067333714277;0.951275103138024;-2.35035856752725;-0.121431025110181;0.290553318492157
"sites";"BN_2_09";-1.42381864517305;0.451285550479507;9.52167824050397;-9.48414226865238;-6.61506502649903;-3.1686305050188
"sites";"MidN_2_09";-0.23812478602422;0.86336170547776;0.0586978970324596;-2.28645224831788;0.47343017095047;0.102829635811953
"sites";"MidN_1.5_09";-0.358159110815206;0.419600057838821;-0.153669510098347;-1.20003347906061;0.818472928222374;-0.158530765739336
"sites";"MidN_1_09";0.14755731782977;0.407729195820847;-0.293621079740019;-0.748355764951679;0.763733949049681;0.181670807890612
"sites";"MidN_0.5_09";0.476685527911495;0.102406985146359;-0.296558670739534;-0.412697496152623;0.822389943449696;0.378572338574057
"sites";"MidN_-0.5_09";-0.728197224736705;-0.768900108917322;0.963958561960114;-1.01745838280356;0.565983281771516;-1.04809606381694
"sites";"MidN_-1.5_09";-0.748663967032092;-0.429377653369625;0.511156863265077;-0.711511602176454;0.897375955134752;-0.863541135544395
"sites";"MidN_-3.5_09";-1.8332604295191;-2.14355874261328;0.899419149837823;-0.450906466711056;0.0611992530318443;-2.60832555515183
