"","BF1","BF2","BF3","BF4","BF5","BS1","BS2","BS3","BS4","BS5","FH1","FH2","FH3","FH4","FH5","F1","F2","F3","LD1","LD2","LD3","LH1","LH2","LH3","LH4","LH5","LH6","MV1","MV2","MV3","MV4","R1","R2","R3","R4","SO1","SO2","SO3"
"Calliopiidae",0,0,0,3,0,0,3,0,0,0,0,1,1,1,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,1,0
"Calycidoris.guentheri",1,0,2,0,0,0,2,2,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0
"Caprella",0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,2,0,0,0,2,0,0,0,3,0,0,0,0,3,1,2,0
"Ceradocus.torelli",0,0,0,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"Cerianthus.lloydi",2,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,1,2,0
"Chelyosoma.macleayanum",0,0,2,0,1,0,1,2,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,2,2,0
"Chionoecetes.opilio",0,0,2,0,1,0,0,1,2,0,0,0,1,2,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,1,2,0
"Chlamys.behringiana",0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,1,2,0
"Clinocardium.ciliatum",2,0,2,0,0,0,2,1,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0
"Colus.sabini",2,0,0,0,1,0,0,2,2,0,0,0,3,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,2,1,0
"Colus.sp..",2,0,0,0,1,0,0,2,2,0,0,0,3,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,2,1,0
"Corella.willmeriana",1,0,0,0,2,0,0,3,0,0,0,3,0,0,0,0,2,2,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,2,1,0
"Coryphella.sp..",1,0,2,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Crangon.dalli",0,0,3,0,0,0,2,1,0,0,1,0,0,2,0,0,0,3,3,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,0
"Crepidula.sp..",1,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,1,0,2,1,0,0,0,0,2,0,0,3,0,0,2,2,0,1,2,0
"Crossaster.papposus",0,0,3,0,0,0,0,1,2,0,0,0,2,4,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0
"Cryptonatica.affinis",6,0,0,0,0,0,0,4,2,0,0,0,0,6,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,2,4,0
"Ctenodiscus.crispatus",0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,0,3,0,3,0,1,0,0,2,0,0,0,2,1,0,0,3,0,0,2,1,0
"Curtitoma.decussata",2,0,0,0,4,0,5,1,0,0,3,0,0,3,0,2,4,0,6,0,0,3,3,0,3,0,0,0,0,3,0,0,0,6,0,4,2,0
"Curtitoma.incisula",1,0,0,0,2,0,2,2,0,0,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
"Curtitoma.novajasemljensis",1,0,0,0,2,0,2,1,0,0,0,0,0,3,0,1,2,1,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
"Curtitoma.sp..",2,0,0,0,4,0,4,2,0,0,0,0,0,6,0,2,4,2,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,4,2,0
"Curtitoma.violacea",1,0,0,0,2,0,2,1,0,0,0,0,0,3,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
"Cylichna.alba",2,0,0,0,1,0,2,1,0,0,2,0,0,2,0,0,1,2,3,0,0,3,0,0,0,0,0,0,1,2,0,0,0,3,0,1,2,0
"Cylinchnoides.occultus",2,0,0,0,2,0,2,1,0,0,2,0,0,2,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,2,0
"Dendrobeania.sp..",0,0,0,0,3,0,2,2,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,1,2,3,0,0,0,1,0,0,2,0,0,3
"Dendrodoa.sp..",1,0,0,0,2,0,2,2,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0
"Dendronotus.sp.",2,4,0,0,0,0,2,4,0,0,0,0,0,6,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0
"Diaphana.hiemalis",2,0,0,0,1,0,3,0,0,0,0,NA,NA,NA,NA,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diastylis.alaskensis",0,0,0,6,0,0,4,2,0,0,3,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,2,4,0,0,0,6,4,4,0
"Diastylis.goodsiri.scorpioides",0,0,0,3,0,0,3,0,0,0,2,2,2,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,1,2,0
"Diastylis.sp.",0,0,0,6,0,0,4,2,0,0,3,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,2,4,0,0,0,6,4,4,0
"Diastylis.spinulosa",0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,0,0,3,2,2,0
