"","FDis","RDA1","RDA2"
"CL0",0.193420031220061,-0.278564257013333,0.282525065351026
"CL1",0.141257116868767,0.277795184911293,0.5606830354971
"CL2",0.128420966703603,0.305899870332966,0.678678575415814
"CL3",0.128088411873024,0.363735911141458,0.568178261377932
"DBO3-1",0.191072716997015,-0.3112406689886,0.371952046980435
"DBO3-2",0.191126135384512,-0.3050605447668,0.410136880714604
"DBO3-3",0.194655506144047,-0.28999803552189,0.334064455131488
"DBO3-4",0.195894164466474,-0.339588547030061,0.286705311924412
"DBO3-5",0.168043930934468,-0.117462320659365,0.473302133663736
"DBO3-6",0.152191514731725,0.18326730468018,0.214620616635495
"DBO3-7",0.148073691584695,0.191380057209597,0.603035785319653
"DBO3-8",0.156291482808686,0.128452561402623,0.544748489044673
"ML1-1",0.190621636496629,-0.0400673803011468,-0.0899304008360459
"ML1-11",0.138465201249167,0.371709177601546,0.374590901447483
"ML1-12",0.142583685420043,0.385104274454696,0.129734639535295
"ML1-13",0.14145172908665,0.380817848977222,0.125819700209331
"ML1-2",0.161210311568452,0.286752014299577,-0.01220874446052
"ML1-4",0.17454923599887,-0.323817516859272,-0.261636264104942
"ML1-5",0.163612306637962,-0.236511749323426,0.797337193816988
"ML1-6",0.191794854710211,-0.421921404189624,0.425544114680026
"ML1-7",0.177503001836166,-0.0889396965077013,0.511577901774043
"ML1-8",0.173142672939718,-0.0310311816369529,0.450007056148374
"ML1-9",0.104710279329109,0.332054020157077,0.831501845672388
"ML3-1",0.158891641274737,0.152144272960908,-0.149062775480117
"ML3-10",0.162851534101485,0.282722606092097,-0.47297535372777
"ML3-11",0.175218975717172,0.129737658304106,0.340073350587
"ML3-12",0.160427905694794,0.260882386339579,0.299644916626514
"ML3-13",0.167539394841582,0.364687877574662,-0.0262909640746046
"ML3-14",0.169388114319797,0.356622421288379,-0.172778517801284
"ML3-2",0.192214664772877,-0.175783425590982,0.174695466790272
"ML3-3",0.200657766704645,-0.61894930874651,0.141924296187897
"ML3-5",0.170193683406356,-0.079311518477506,0.269037024270096
"ML3-6",0.168979082669755,0.0838327485139993,-0.170371386795825
"ML3-7",0.169914974220131,0.226912289601112,-0.235724996018893
"ML3-8",0.172719302080978,0.200123306512167,-0.507918861808937
"ML3-9",0.158290723539263,0.281521175019116,-0.592507527696844
"ML4-1",0.2020564252469,-0.140395476501535,-0.0443720393837835
"ML4-10",0.160334263801203,0.281858821950444,0.0824521654681531
"ML4-11",0.167052076218391,0.320075208549285,-0.349480219618259
"ML4-12",0.170103551779321,0.232504554909101,-0.439172386810249
"ML4-13",0.154873104722635,0.35361592562532,-0.35827105730643
"ML4-14",0.112865060465183,0.462971479072167,-0.304334770977412
"ML4-2",0.214837803387754,-0.514503302903613,0.0671118603887566
"ML4-5",0.165118628390556,0.277748927483898,-0.477489301917638
"ML4-6",0.158089483570423,0.36261091575264,-0.540736671525836
"ML4-7",0.147595670683875,0.389266907116445,-0.539919566745467
"ML4-8",0.16170540649158,0.30838460073428,-0.449230252087036
"ML4-9",0.158253512975876,0.290357555900271,-0.35273530733473
"ML5-1",0.172491699699897,0.0802478601284465,0.159311291872079
"ML5-10",0.168647478107924,0.275176086660613,-0.265867498951691
"ML5-2",0.18671363857701,-0.333918550884641,0.405827340480322
"ML5-4",0.181137650593353,-0.190149463334649,0.360559992937837
"ML5-5",0.147563459827295,0.268135893097233,-0.138399356088457
"ML5-6",0.162990023167981,0.211479883747718,-0.133620451007726
"ML5-7",0.157834715006241,0.301644492080374,-0.325921335685285
"ML5-9",0.169134225645762,0.234166997616838,-0.548876926980712
"ML6-1",0.159038076810015,-0.61289064960613,-0.818146929407919
"ML6-10",0.186234112755618,0.039469089932085,0.0507070746019136
"ML6-11",0.197135364554511,-0.240461137455741,-0.343209927571086
"ML6-2",0.182505054482836,-0.639871270286073,-0.456988611780413
"ML6-3",0.160964910654326,-0.669439978804479,-0.864622642195578
"ML6-4",0.153767085017191,-0.727418057361583,-0.902758105744909
"ML6-5",0.148485282572852,-0.626277552061166,-0.914324348455251
"ML6-6",0.193048957113235,-0.468640097121072,0.347670273157164
"ML6-7",0.193227908690726,-0.581039539504888,0.19958266570805
"ML6-8",0.191631284427093,-0.25280947663104,0.166627396739989
"ML6-9",0.200668357993006,-0.579808059661742,0.219914374225312
