Year,Days_perc_15,Days_perc_50,Days_perc_85,Peak_Days_from_year_start,Species
1961,208,227,246,234,Temora
1962,226,239,251,246,Temora
1963,217,237,258,252,Temora
1964,212,226,240,231,Temora
1965,227,254,280,241,Temora
1966,239,249,260,262,Temora
1967,236,246,256,253,Temora
1968,240,249,258,253,Temora
1969,232,253,274,241,Temora
1970,232,252,271,242,Temora
1971,202,230,259,242,Temora
1972,219,240,261,233,Temora
1973,226,248,271,241,Temora
1974,220,228,235,231,Temora
1975,222,260,298,273,Temora
1976,227,243,258,252,Temora
1977,211,228,245,231,Temora
1978,223,232,241,242,Temora
1979,241,252,263,262,Temora
1980,217,236,255,223,Temora
1981,224,243,262,252,Temora
1982,216,242,268,252,Temora
1983,223,245,266,253,Temora
1984,232,243,253,253,Temora
1985,214,233,252,230,Temora
1986,217,240,262,252,Temora
1987,235,248,261,255,Temora
1988,221,240,260,234,Temora
1989,215,230,246,230,Temora
1990,216,243,271,273,Temora
1991,219,228,237,232,Temora
1992,230,244,258,253,Temora
1993,229,241,252,242,Temora
1994,218,233,248,243,Temora
1995,201,240,279,253,Temora
1996,224,242,260,253,Temora
1997,221,236,250,231,Temora
1998,217,232,247,241,Temora
1999,221,245,269,262,Temora
2000,206,231,255,213,Temora
2001,208,233,258,232,Temora
2002,233,252,270,252,Temora
2003,206,230,253,222,Temora
2004,210,231,252,222,Temora
2005,204,222,240,231,Temora
2006,167,212,257,170,Temora
2007,219,237,256,241,Temora
2008,182,220,258,212,Temora
2009,192,213,235,231,Temora
2010,228,241,254,251,Temora
2011,202,217,231,221,Temora
2012,222,242,261,253,Temora
2013,192,209,226,211,Temora
2014,198,223,247,231,Temora
2015,219,241,264,263,Temora
2016,213,225,237,232,Temora
2017,210,244,277,272,Temora
2018,214,234,253,220,Temora
