Year,Days_perc_15,Days_perc_50,Days_perc_85,Peak_Days_from_year_start,Species
1961,203,217,231,221,Microsetella
1962,145,217,290,213,Microsetella
1963,176,236,296,273,Microsetella
1964,146,186,226,201,Microsetella
1965,57,148,240,170,Microsetella
1966,198,222,246,241,Microsetella
1967,162,205,248,201,Microsetella
1968,181,226,272,222,Microsetella
1969,145,234,323,230,Microsetella
1970,191,211,231,222,Microsetella
1971,150,189,228,190,Microsetella
1972,197,216,236,212,Microsetella
1973,224,240,256,252,Microsetella
1974,155,180,205,175.5,Microsetella
1975,170,175,180,181,Microsetella
1976,163,188,213,182,Microsetella
1977,185,211,237,221,Microsetella
1978,183,227,271,242,Microsetella
1979,177,200,224,220,Microsetella
1980,138,163,187,150,Microsetella
1981,164,187,210,170,Microsetella
1982,164,184,205,181,Microsetella
1983,131,158,184,148,Microsetella
1984,153,194,236,200,Microsetella
1985,161,176,192,180,Microsetella
1986,145,182,220,180,Microsetella
1987,150,181,212,160,Microsetella
1988,190,190,190,190,Microsetella
1989,149,222,294,261,Microsetella
1990,171,232,293,273,Microsetella
1991,142,188,235,160,Microsetella
1992,162.3295,206.9949,251.4633,264,Microsetella
1993,126,187,249,171,Microsetella
1994,186,224,263,243,Microsetella
1995,158,164,170,170,Microsetella
1996,153,223,293,233,Microsetella
1997,150,190,231,180,Microsetella
1998,138,200,263,170,Microsetella
1999,144,181,218,171,Microsetella
2000,142,169,196,179,Microsetella
2001,153,196,238,171,Microsetella
2002,172,205,237,221,Microsetella
2003,88,142,197,169,Microsetella
2004,139,205,271,273,Microsetella
2005,240,289,339,303,Microsetella
2006,155,172,190,190,Microsetella
2007,151,166,181,170,Microsetella
2008,160,179,197,181,Microsetella
2009,155,163,171,170,Microsetella
2010,154,201,249,239,Microsetella
2011,153,174,194,180,Microsetella
2012,158,217,276,242,Microsetella
2013,124,160,196,160,Microsetella
2014,122,187,251,160,Microsetella
2015,169,192,214,210,Microsetella
2016,102,147,192,144,Microsetella
2017,197,250,302,272,Microsetella
2018,125,157,188,160,Microsetella
