Year,Days_perc_15,Days_perc_50,Days_perc_85,Peak_Days_from_year_start,Species
1961,102,292,316,292,Triconia
1962,43,124,205,149,Triconia
1963,216,296,375,282,Triconia
1964,64,154,243,183,Triconia
1965,82,149,217,187,Triconia
1966,196,321,446,241,Triconia
1967,65,124,182,139,Triconia
1968,57,134,211,170,Triconia
1969,201,217,233,222,Triconia
1970,90,146,201,160,Triconia
1971,91,127,163,139,Triconia
1972,258,265,272,273,Triconia
1973,107,214,322,226,Triconia
1974,70,160,249,160,Triconia
1975,108,143,178,162,Triconia
1976,194,290,386,252,Triconia
1977,125,200,276,190,Triconia
1978,37,132,227,179,Triconia
1979,144,225,306,190,Triconia
1980,62,274,323,323,Triconia
1981,177,184,191,190,Triconia
1982,161,186,211,190,Triconia
1983,14,107,199,100,Triconia
1984,109,136,164,135.5,Triconia
1985,153,178,203,189,Triconia
1986,91,299,506,301,Triconia
1987,164,181,197,181,Triconia
1988,150,176,203,181,Triconia
1989,123,168,213,161,Triconia
1990,79,156,232,180,Triconia
1991,161,276,391,170,Triconia
1992,93,118,142,152,Triconia
1993,143,194,245,183,Triconia
1994,170,182,194,191,Triconia
1995,195,242,288,241,Triconia
1996,41,257,472,52,Triconia
1997,167,330,493,180,Triconia
1998,35,135,235,76,Triconia
1999,228,256,284,262,Triconia
2000,139,164,190,179,Triconia
2001,166,183,200,190,Triconia
2002,159,169,179,170,Triconia
2003,111,150,188,169,Triconia
2004,67,140,212,97,Triconia
2005,159,176,193,170,Triconia
2006,168,172,176,179,Triconia
2007,117,188,259,170,Triconia
2008,157,177,197,181,Triconia
2009,166,172,178,180,Triconia
2010,260,265,269,271,Triconia
2011,148,162,176,170,Triconia
2012,163,301,440,303,Triconia
2013,84,151,219,169,Triconia
2014,72,150,229,180,Triconia
2015,159,166,174,170,Triconia
2016,140,164,188,181,Triconia
2017,114,162,211,179,Triconia
2018,149,161,174,171,Triconia
