Year,Days_perc_15,Days_perc_50,Days_perc_85,Peak_Days_from_year_start,Species
1961,150.481,174.4315,198.4174,172.1332,Pseudocalanus
1962,151.7843,178.3313,204.6945,175.2961,Pseudocalanus
1963,150,177,204,162,Pseudocalanus
1964,144,169,194,171,Pseudocalanus
1965,152,168,184,178,Pseudocalanus
1966,157,194,230,188,Pseudocalanus
1967,147,158,169,160,Pseudocalanus
1968,124,154,185,141,Pseudocalanus
1969,157,172,187,181,Pseudocalanus
1970,141,158,175,153,Pseudocalanus
1971,148,174,200,190,Pseudocalanus
1972,220,268,315,263,Pseudocalanus
1973,128,152,176,139,Pseudocalanus
1974,126,159,192,160,Pseudocalanus
1975,150,161,172,162,Pseudocalanus
1976,135,154,173,161,Pseudocalanus
1977,162,164,165,166,Pseudocalanus
1978,145,174,202,169,Pseudocalanus
1979,168,174,179,181,Pseudocalanus
1980,141,168,195,191,Pseudocalanus
1981,163,171,179,179,Pseudocalanus
1982,139,163,187,149,Pseudocalanus
1983,129,147,166,148,Pseudocalanus
1984,136,150,164,141,Pseudocalanus
1985,159,166,173,170,Pseudocalanus
1986,140,153,166,159,Pseudocalanus
1987,148,158,168,160,Pseudocalanus
1988,135,155,176,143,Pseudocalanus
1989,128,146,164,161,Pseudocalanus
1990,156,161,166,169,Pseudocalanus
1991,125,146,166,137,Pseudocalanus
1992,92,126,159,152,Pseudocalanus
1993,106,131,157,139,Pseudocalanus
1994,170,170,170,170,Pseudocalanus
1995,143,154,164,160,Pseudocalanus
1996,132,157,182,153,Pseudocalanus
1997,149,167,184,180,Pseudocalanus
1998,180,180,180,180,Pseudocalanus
1999,121,150,179,141,Pseudocalanus
2000,112,128,145,131,Pseudocalanus
2001,123,153,184,141,Pseudocalanus
2002,128,144,160,161,Pseudocalanus
2003,107,127,147,131,Pseudocalanus
2004,143,157,171,161,Pseudocalanus
2005,153,158,163,161,Pseudocalanus
2006,139,152,165,160,Pseudocalanus
2007,140,156,171,149,Pseudocalanus
2008,119,145,172,141,Pseudocalanus
2009,128,151,174,144,Pseudocalanus
2010,111,149,186,139,Pseudocalanus
2011,143,158,173,161,Pseudocalanus
2012,146,154,162,161,Pseudocalanus
2013,136,149,163,160,Pseudocalanus
2014,151,155,159,160,Pseudocalanus
2015,124,147,169,160,Pseudocalanus
2016,129,148,166,144,Pseudocalanus
2017,136,155,174,179,Pseudocalanus
2018,132,144,155,150,Pseudocalanus
