Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;BMR;Bad;Leaks;Phase;Parasitemy;Survival
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;30.08.2020;9;12,44;18,6166908;0;0;2;25,2;Yes
Spinus spinus;Rybachy;xj27277;Sparta;m;Exp_1;1;30.08.2020;9;13,08;23,26896263;0;0;2;21,85;No
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;30.08.2020;9;12,83;18,3753915;0;0;2;5,115;Yes
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;30.08.2020;9;13,77;17,91321602;0;0;2;6,75;Yes
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;31.08.2020;10;12,44;24,671586;0;0;2;0,333333333;Yes
Spinus spinus;Rybachy;xj27168;Siskinary;m;Exp_1;1;31.08.2020;10;12,35;20,37282476;0;0;2;4,733333333;No
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;31.08.2020;10;12,72;20,04007875;0;0;2;0,336666667;Yes
Spinus spinus;Rybachy;xj27186;Siskinary;m;Exp_1;1;31.08.2020;10;13,24;18,33405978;0;0;2;3,336666667;No
Spinus spinus;Rybachy;xj26917;Siskinary;f;Exp_1;1;01.09.2020;11;11,56;13,69949796;1;0;2;16,67833333;Yes
Spinus spinus;Rybachy;xj27171;Siskinary;m;Exp_1;1;01.09.2020;11;11,4;12,98412432;1;0;2;16,66833333;No
Spinus spinus;Rybachy;xj27182;Siskinary;m;Exp_1;1;01.09.2020;11;14,08;14,02678952;1;0;2;13,33333333;No
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;01.09.2020;11;13,03;14,32385126;1;0;2;0,633333333;Yes
Spinus spinus;Rybachy;xj27249;Sparta;m;Exp_1;1;02.09.2020;12;12,79;18,9918272;0;0;2;45;No
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;02.09.2020;12;13,37;19,67157595;0;0;2;3;Yes
