Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;BMR;Bad;Leaks;Phase;Parasitemy;Survival
Spinus spinus;Rybachy;xj27274;Sparta;m;Exp_2;1;11.10.2020;47;13,14;22,72215202;0;0;5;11,3332;Yes
Spinus spinus;Rybachy;xj27243;Sparta;m;Exp_2;1;12.10.2020;48;13,16;26,38215265;0;0;5;0,6;Yes
Spinus spinus;Rybachy;xj27400;Sparta;m;Exp_2;1;12.10.2020;48;12,63;24,22901455;0;0;5;0,26;Yes
Spinus spinus;Rybachy;xj27402;Sparta;m;Exp_2;1;12.10.2020;48;11,37;21,85521438;0;0;5;1,45;Yes
Spinus spinus;Rybachy;xj27410;Sparta;m;Exp_2;1;12.10.2020;48;12,83;23,60161473;0;0;5;1;Yes
Spinus spinus;Rybachy;xj26793;Siskinary;m;Cont;0;13.10.2020;44;12,37;22,89174835;0;0;6;0;Yes
Spinus spinus;Rybachy;xj27075;Sparta;f;Exp_2;1;13.10.2020;49;11,78;20,29692222;0;0;5;2,646666667;Yes
Spinus spinus;Rybachy;xj27255;Sparta;m;Exp_2;1;13.10.2020;49;13,4;25,87350064;0;0;5;28,85428571;Yes
Spinus spinus;Rybachy;xj27381;Sparta;m;Exp_2;1;13.10.2020;49;12,32;22,36492882;0;0;5;4,978333333;Yes
Spinus spinus;Rybachy;xj26972;Siskinary;f;Cont;0;14.10.2020;45;14,11;22,23783014;0;0;5;0;Yes
Spinus spinus;Rybachy;xj27143;Siskinary;m;Cont;0;14.10.2020;45;12,88;25,48607066;0;0;5;0;Yes
Spinus spinus;Rybachy;xj27231;Siskinary;f;Cont;0;14.10.2020;45;12,63;27,87975756;0;0;5;0;Yes
Spinus spinus;Rybachy;xj27406;Sparta;m;Cont;0;14.10.2020;45;12,53;24,15979904;0;0;5;0;Yes
Spinus spinus;Rybachy;xj21528;Sparta;m;Cont;0;16.10.2020;47;12,74;24,07039512;0;0;5;0;Yes
Spinus spinus;Rybachy;xj26984;Sparta;m;Cont;0;16.10.2020;47;10,56;20,8443899;0;0;5;0;Yes
Spinus spinus;Rybachy;xj27093;Sparta;m;Cont;0;16.10.2020;47;12,96;21,13968868;0;0;5;0;Yes
Spinus spinus;Rybachy;xj27261;Sparta;f;Cont;0;16.10.2020;47;11,82;22,1521795;0;0;5;0;Yes
Spinus spinus;Rybachy;xj21517;Sparta;f;Cont;0;17.10.2020;48;12,65;24,49932748;0;0;5;0;Yes
Spinus spinus;Rybachy;xj26746;Siskinary;m;Exp_2;1;17.10.2020;53;12,35;22,97818938;0;0;6;3,338333333;Yes
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;17.10.2020;48;12,9;22,43603926;0;0;6;0;Yes
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;17.10.2020;53;14,56;25,57494066;0;0;6;5,658333333;Yes
