Ring;Date;Experiment;RMR;Parasitemia
xj27249;02.09.2020;Exp1;"18,9918272";45
xj27259;19.08.2020;Exp1;"25,62696163";0
xj27259;03.09.2020;Exp1;"21,51517324";"38,33333333"
xj27260;20.08.2020;Exp1;"20,94274795";0
xj27260;02.09.2020;Exp1;"19,67157595";3
xj27260;15.09.2020;Exp1;"22,71904385";"3,343333333"
xj27260;26.09.2020;Exp1;"25,12255188";"0,04"
xj27260;06.10.2020;Exp1;"25,06993386";"0,029666667"
xj27260;10.10.2020;Exp1;"25,42372779";"0,346666667"
xj27265;20.08.2020;Exp1;"24,71653594";0
xj27265;02.09.2020;Exp1;"19,23726326";15
xj27265;11.09.2020;Exp1;"22,66311009";90
xj27265;25.09.2020;Exp1;"26,21662723";"19,41666667"
xj27265;06.10.2020;Exp1;"23,87360131";"0,373333333"
xj27265;09.10.2020;Exp1;"25,90119453";"0,106666667"
xj27266;19.08.2020;Exp1;"21,95715159";0
xj27266;30.08.2020;Exp1;"18,6166908";"25,2"
xj27266;15.09.2020;Exp1;"20,00385466";"0,093333333"
xj27266;25.09.2020;Exp1;"25,97909669";"0,218333333"
xj27266;05.10.2020;Exp1;"23,89263368";"0,105"
xj27266;09.10.2020;Exp1;"26,04622397";"0,120666667"
xj27268;18.08.2020;Exp1;"20,16559692";0
xj27268;02.09.2020;Exp1;"16,56567108";20
xj27268;16.09.2020;Exp1;"20,97504331";"2,333333333"
xj27268;26.09.2020;Exp1;"21,80636522";"0,06"
xj27268;06.10.2020;Exp1;"22,8380021";"0,056666667"
xj27268;10.10.2020;Exp1;"20,98168643";"0,04"
xj27277;19.08.2020;Exp1;"19,66096411";0
xj27277;30.08.2020;Exp1;"23,26896263";"21,85"
xj27407;18.08.2020;Exp1;"23,28806108";0
xj27407;30.08.2020;Exp1;"18,3753915";"5,115"
xj27407;15.09.2020;Exp1;"20,11770665";"10,66666667"
xj27407;25.09.2020;Exp1;"23,6359045";"0,833333333"
xj27407;06.10.2020;Exp1;"23,99960969";"0,833333333"
xj27407;09.10.2020;Exp1;"23,56943535";"0,67"
xj27409;19.08.2020;Exp1;"19,89958698";0
xj27409;30.08.2020;Exp1;"17,91321602";"6,75"
xj27409;15.09.2020;Exp1;"21,78175324";"20,85"
xj27409;25.09.2020;Exp1;"21,38539872";"0,233333333"
xj27409;05.10.2020;Exp1;"22,67832629";"0,15"
xj27409;09.10.2020;Exp1;"23,72347842";"0,06"
xj21523;22.08.2020;Exp2;"21,21885331";0
xj21523;08.09.2020;Exp2;"23,42642694";"14,94666667"
xj26746;22.08.2020;Exp2;"23,51774819";0
xj26746;03.09.2020;Exp2;"22,46877742";"2,255"
xj26746;17.09.2020;Exp2;"24,66389134";"7,916666667"
xj26746;26.09.2020;Exp2;"24,84598927";"1,686666667"
xj26746;11.10.2020;Exp2;"24,84461733";"0,116666667"
xj26746;17.10.2020;Exp2;"22,97818938";"3,338333333"
xj26909;23.08.2020;Exp2;"26,82300139";0
xj26909;04.09.2020;Exp2;"25,49214784";"0,896666667"
xj26909;16.09.2020;Exp2;"22,97756226";27
xj27015;23.08.2020;Exp2;"22,11441652";0
xj27015;04.09.2020;Exp2;"19,22724343";"1,603333333"
xj27015;16.09.2020;Exp2;"27,48511016";64
xj27015;26.09.2020;Exp2;"26,27315872";"4,2"
xj27015;11.10.2020;Exp2;"24,83900267";"5,833333333"
xj27015;17.10.2020;Exp2;"25,57494066";"5,658333333"
xj27031;22.08.2020;Exp2;"24,33961941";0
xj27031;03.09.2020;Exp2;"24,06257917";"1,7"
xj27075;15.08.2020;Exp2;"21,0435406";0
xj27075;08.09.2020;Exp2;"24,08576563";"27,33333333"
xj27075;19.09.2020;Exp2;"20,17673138";50
xj27075;30.09.2020;Exp2;"22,84186475";20
xj27075;13.10.2020;Exp2;"20,29692222";"2,646666667"
xj27155;16.08.2020;Exp2;"19,67418338";0
xj27155;05.09.2020;Exp2;"20,00856983";"8,35"
xj27155;17.09.2020;Exp2;"27,44832372";"6,666666667"
xj27155;28.09.2020;Exp2;"22,4233208";"1,466666667"
xj27155;11.10.2020;Exp2;"25,79774896";"0,001666667"
xj27181;23.08.2020;Exp2;"27,8835911";0
xj27181;05.09.2020;Exp2;"25,12084603";"1,425"
xj27181;13.09.2020;Exp2;"18,78713912";12
xj27225;07.09.2020;Exp2;"25,7768258";"12,5"
xj27243;21.08.2020;Exp2;"21,98381208";0
xj27243;04.09.2020;Exp2;"18,55635662";"0,9"
xj27243;17.09.2020;Exp2;"27,43793217";38
xj27243;28.09.2020;Exp2;"25,59197135";"5,35"
xj27243;12.10.2020;Exp2;"26,38215265";"0,6"
xj27255;24.08.2020;Exp2;"21,74795656";0
xj27255;07.09.2020;Exp2;"21,66816669";"1,591666667"
xj27255;19.09.2020;Exp2;"26,66344596";"39,08333333"
xj27255;29.09.2020;Exp2;"25,02141158";"55,75"
xj27255;13.10.2020;Exp2;"25,87350064";"28,85428571"
xj27274;20.08.2020;Exp2;"20,4832932";0
xj27274;04.09.2020;Exp2;"16,33584968";"0,95"
xj27274;17.09.2020;Exp2;"22,86370381";"38,33333333"
xj27274;28.09.2020;Exp2;"21,1038833";"4,566666667"
xj27274;11.10.2020;Exp2;"22,72215202";"11,33333333"
xj27381;24.08.2020;Exp2;"21,55637992";0
xj27381;08.09.2020;Exp2;"23,06078944";"12,16666667"
xj27381;19.09.2020;Exp2;"23,25927097";"43,75"
xj27381;29.09.2020;Exp2;"23,00684104";"10,41666667"
xj27381;13.10.2020;Exp2;"22,36492882";"4,978333333"
xj27394;24.08.2020;Exp2;"22,53785461";0
xj27394;07.09.2020;Exp2;"21,85226673";"2,775"
xj27394;18.09.2020;Exp2;"19,55206707";60
xj27400;21.08.2020;Exp2;"22,70117159";0
xj27400;07.09.2020;Exp2;"21,18532417";"6,416666667"
xj27400;18.09.2020;Exp2;"23,45082205";17
xj27400;29.09.2020;Exp2;"22,36367892";"1,433333333"
xj27400;12.10.2020;Exp2;"24,22901455";"0,26"
xj27402;22.08.2020;Exp2;"21,69087349";0
xj27402;05.09.2020;Exp2;"23,46029927";"0,835"
xj27402;18.09.2020;Exp2;"25,16709078";10
xj27402;28.09.2020;Exp2;"23,40820548";"1,566666667"
xj27402;12.10.2020;Exp2;"21,85521438";"1,45"
xj27410;21.08.2020;Exp2;"23,98760275";0
xj27410;05.09.2020;Exp2;"21,56015703";"0,42"
xj27410;18.09.2020;Exp2;"24,78246503";7
xj27410;29.09.2020;Exp2;"24,1691636";"3,05"
xj27410;12.10.2020;Exp2;"23,60161473";1
