Ring;Date;Experiment;RMR;IL
xj27183;15.08.2020;Exp1;"22,05781807";"11,9"
xj27183;01.09.2020;Exp1;"14,32385126";"8,586666667"
xj27183;14.09.2020;Exp1;"22,17328571";"8,72"
xj27183;24.09.2020;Exp1;"22,18305821";"31,23333333"
xj27183;05.10.2020;Exp1;"25,45887602";"34,03812922"
xj27183;07.10.2020;Exp1;"25,1235487";"47,27962534"
xj27186;16.08.2020;Exp1;"19,99647496";"14,41"
xj27186;31.08.2020;Exp1;"18,33405978";"7,126666667"
xj27186;13.09.2020;Exp1;"18,83307273";"8,423333333"
xj27247;18.08.2020;Exp1;"18,37285952";23
xj27247;03.09.2020;Exp1;"19,63052411";"10,55666667"
xj27247;11.09.2020;Exp1;"15,77173204";"8,45"
xj27249;20.08.2020;Exp1;"19,93967269";"12,82"
xj27249;02.09.2020;Exp1;"18,9918272";"6,23"
xj27259;19.08.2020;Exp1;"25,62696163";"18,32"
xj27259;03.09.2020;Exp1;"21,51517324";"8,465"
xj27260;20.08.2020;Exp1;"20,94274795";"9,15"
xj27260;02.09.2020;Exp1;"19,67157595";"6,95"
xj27260;15.09.2020;Exp1;"22,71904385";"10,46"
xj27260;26.09.2020;Exp1;"25,12255188";"11,14"
xj27260;06.10.2020;Exp1;"25,06993386";"10,58666667"
xj27260;10.10.2020;Exp1;"25,42372779";"12,92666667"
xj27265;20.08.2020;Exp1;"24,71653594";"9,21"
xj27265;02.09.2020;Exp1;"19,23726326";"9,09"
xj27265;11.09.2020;Exp1;"22,66311009";"12,925"
xj27265;25.09.2020;Exp1;"26,21662723";"13,94666667"
xj27265;06.10.2020;Exp1;"23,87360131";"17,51666667"
xj27265;09.10.2020;Exp1;"25,90119453";"17,42333333"
xj27266;19.08.2020;Exp1;"21,95715159";"19,42"
xj27266;30.08.2020;Exp1;"18,6166908";"11,63"
xj27266;15.09.2020;Exp1;"20,00385466";"13,60333333"
xj27266;25.09.2020;Exp1;"25,97909669";"14,92"
xj27266;05.10.2020;Exp1;"23,89263368";"16,485"
xj27266;09.10.2020;Exp1;"26,04622397";"15,49"
xj27268;18.08.2020;Exp1;"20,16559692";"17,42"
xj27268;02.09.2020;Exp1;"16,56567108";"11,42"
xj27268;16.09.2020;Exp1;"20,97504331";"9,986666667"
xj27268;26.09.2020;Exp1;"21,80636522";"16,06"
xj27268;06.10.2020;Exp1;"22,8380021";"13,85666667"
xj27268;10.10.2020;Exp1;"20,98168643";"16,82"
xj27277;19.08.2020;Exp1;"19,66096411";"19,84"
xj27277;30.08.2020;Exp1;"23,26896263";"11,585"
xj27407;18.08.2020;Exp1;"23,28806108";"21,03"
xj27407;30.08.2020;Exp1;"18,3753915";"9,98"
xj27407;15.09.2020;Exp1;"20,11770665";"25,67"
xj27407;25.09.2020;Exp1;"23,6359045";"67,945"
xj27407;06.10.2020;Exp1;"23,99960969";"57,06333333"
xj27407;09.10.2020;Exp1;"23,56943535";"61,67"
xj27409;19.08.2020;Exp1;"19,89958698";"19,17"
xj27409;30.08.2020;Exp1;"17,91321602";"12,41"
xj27409;15.09.2020;Exp1;"21,78175324";"7,903333333"
xj27409;25.09.2020;Exp1;"21,38539872";"13,82833333"
xj27409;05.10.2020;Exp1;"22,67832629";"18,3"
xj27409;09.10.2020;Exp1;"23,72347842";16
xj21523;22.08.2020;Exp2;"21,21885331";"7,38"
xj21523;08.09.2020;Exp2;"23,42642694";"9,606666667"
xj26746;22.08.2020;Exp2;"23,51774819";"6,75"
xj26746;03.09.2020;Exp2;"22,46877742";"13,16"
xj26746;17.09.2020;Exp2;"24,66389134";"10,5"
xj26746;26.09.2020;Exp2;"24,84598927";"14,95"
xj26746;11.10.2020;Exp2;"24,84461733";"19,16"
xj26746;17.10.2020;Exp2;"22,97818938";"7,08"
xj26909;23.08.2020;Exp2;"26,82300139";"6,59"
xj26909;04.09.2020;Exp2;"25,49214784";"12,13333333"
xj26909;16.09.2020;Exp2;"22,97756226";"11,71666667"
xj27015;23.08.2020;Exp2;"22,11441652";"5,74"
xj27015;04.09.2020;Exp2;"19,22724343";"14,43333333"
xj27015;16.09.2020;Exp2;"27,48511016";"7,756666667"
xj27015;26.09.2020;Exp2;"26,27315872";"9,09"
xj27015;11.10.2020;Exp2;"24,83900267";"18,89333333"
xj27015;17.10.2020;Exp2;"25,57494066";"8,488333333"
xj27031;22.08.2020;Exp2;"24,33961941";"11,06"
xj27031;03.09.2020;Exp2;"24,06257917";"14,81"
xj27075;15.08.2020;Exp2;"21,0435406";"6,13"
xj27075;08.09.2020;Exp2;"24,08576563";"13,64"
xj27075;19.09.2020;Exp2;"20,17673138";"8,546666667"
xj27075;30.09.2020;Exp2;"22,84186475";"11,26"
xj27075;13.10.2020;Exp2;"20,29692222";"7,573333333"
xj27155;16.08.2020;Exp2;"19,67418338";"9,28"
xj27155;05.09.2020;Exp2;"20,00856983";"12,30333333"
xj27155;17.09.2020;Exp2;"27,44832372";"10,26"
xj27155;28.09.2020;Exp2;"22,4233208";"8,67"
xj27155;11.10.2020;Exp2;"25,79774896";"9,363333333"
xj27181;23.08.2020;Exp2;"27,8835911";"6,62"
xj27181;05.09.2020;Exp2;"25,12084603";"12,8"
xj27181;13.09.2020;Exp2;"18,78713912";"7,45"
xj27225;07.09.2020;Exp2;"25,7768258";"20,52833333"
xj27243;21.08.2020;Exp2;"21,98381208";"7,34"
xj27243;04.09.2020;Exp2;"18,55635662";"13,81333333"
xj27243;17.09.2020;Exp2;"27,43793217";"9,726666667"
xj27243;28.09.2020;Exp2;"25,59197135";"12,68"
xj27243;12.10.2020;Exp2;"26,38215265";"7,56"
xj27255;24.08.2020;Exp2;"21,74795656";"8,4"
xj27255;07.09.2020;Exp2;"21,66816669";"14,06166667"
xj27255;19.09.2020;Exp2;"26,66344596";"8,868333333"
xj27255;29.09.2020;Exp2;"25,02141158";"12,16"
xj27255;13.10.2020;Exp2;"25,87350064";"5,41"
xj27274;20.08.2020;Exp2;"20,4832932";"8,36"
xj27274;04.09.2020;Exp2;"16,33584968";"14,35666667"
xj27274;17.09.2020;Exp2;"22,86370381";"9,82"
xj27274;28.09.2020;Exp2;"21,1038833";"11,00333333"
xj27274;11.10.2020;Exp2;"22,72215202";"23,925"
xj27381;24.08.2020;Exp2;"21,55637992";"6,95"
xj27381;08.09.2020;Exp2;"23,06078944";"14,41666667"
xj27381;19.09.2020;Exp2;"23,25927097";"11,31166667"
xj27381;29.09.2020;Exp2;"23,00684104";"14,33666667"
xj27381;13.10.2020;Exp2;"22,36492882";"7,308333333"
xj27394;24.08.2020;Exp2;"22,53785461";"7,15"
xj27394;07.09.2020;Exp2;"21,85226673";"15,44333333"
xj27394;18.09.2020;Exp2;"19,55206707";"10,04"
xj27400;21.08.2020;Exp2;"22,70117159";"7,48"
xj27400;07.09.2020;Exp2;"21,18532417";"10,08333333"
xj27400;18.09.2020;Exp2;"23,45082205";"10,3"
xj27400;29.09.2020;Exp2;"22,36367892";"10,38"
