Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;MassSpecificRMR;RMR;Bad;Phase;Parasitemy
Spinus spinus;Rybachy;xj27404;Sparta;m;Cont;0;28.08.2020;0;13,36;3,673522118;23,67676391;0;1;0
Spinus spinus;Rybachy;xj27404;Sparta;m;Cont;0;10.09.2020;11;12,8;4,25022703;26,24552865;0;2;0
Spinus spinus;Rybachy;xj27404;Sparta;m;Cont;0;22.09.2020;23;13,01;4,255437367;26,70882151;0;3;0
Spinus spinus;Rybachy;xj27404;Sparta;m;Cont;0;02.10.2020;33;11,67;3,545059265;19,95848548;0;4;0
Spinus spinus;Rybachy;xj27406;Sparta;m;Cont;0;28.08.2020;0;13,68;3,670247757;24,22226246;0;1;0
Spinus spinus;Rybachy;xj27406;Sparta;m;Cont;0;10.09.2020;11;13,41;3,901294607;25,2389191;0;2;0
Spinus spinus;Rybachy;xj27406;Sparta;m;Cont;0;22.09.2020;23;13,65;3,638048894;23,95710902;0;3;0
Spinus spinus;Rybachy;xj27406;Sparta;m;Cont;0;02.10.2020;33;13,42;2,983953609;19,31869603;0;4;0
Spinus spinus;Rybachy;xj27406;Sparta;m;Cont;0;14.10.2020;45;12,53;3,996768741;24,15979904;0;5;0
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;18.08.2020;0;13,34;3,618630801;23,28806108;0;1;0
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;30.08.2020;9;12,83;2,96877113;18,3753915;0;2;5,115
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;15.09.2020;25;13,1;3,183273465;20,11770665;0;3;10,66666667
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;25.09.2020;35;15,52;3,156801565;23,6359045;0;4;0,833333333
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;06.10.2020;46;12,35;4,028134792;23,99960969;0;5;0,833333333
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;09.10.2020;49;13,12;3,723763725;23,56943535;0;6;0,67
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;19.08.2020;0;14,22;2,900756271;19,89958698;0;1;0
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;30.08.2020;9;13,77;2,696537079;17,91321602;0;2;6,75
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;15.09.2020;25;14,27;3,163993876;21,78175324;0;3;20,85
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;25.09.2020;35;15,24;2,908701524;21,38539872;0;4;0,233333333
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;05.10.2020;45;15,51;3,030860692;22,67832629;0;5;0,15
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;09.10.2020;49;15,54;3,16442004;23,72347842;0;6;0,06
Spinus spinus;Rybachy;xj27410;Sparta;m;Exp_2;1;21.08.2020;0;12,97;3,83366046;23,98760275;0;1;0
Spinus spinus;Rybachy;xj27410;Sparta;m;Exp_2;1;05.09.2020;11;12,99;3,440404779;21,56015703;0;2;0,42
Spinus spinus;Rybachy;xj27410;Sparta;m;Exp_2;1;18.09.2020;24;12,77;4,022725314;24,78246503;0;3;7
Spinus spinus;Rybachy;xj27410;Sparta;m;Exp_2;1;29.09.2020;35;13,22;3,789631136;24,1691636;0;4;3,05
Spinus spinus;Rybachy;xj27410;Sparta;m;Exp_2;1;12.10.2020;48;12,83;3,81313195;23,60161473;0;5;1
