Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;MassSpecificRMR;RMR;Bad;Phase;Parasitemy
Spinus spinus;Rybachy;xj26972;Siskinary;f;Cont;0;14.10.2020;45;14,11;3,266872376;22,23783014;0;5;0
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;26.08.2020;0;12,55;3,5524246;21,50808881;0;1;0
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;09.09.2020;10;12,57;3,839582367;23,28372668;0;2;0
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;20.09.2020;21;12,71;4,133732781;25,34668548;0;3;0
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;30.09.2020;31;12,46;3,875117848;23,29357693;0;4;0
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;10.10.2020;41;12,9;3,774988145;23,49300271;0;5;0
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;17.10.2020;48;12,9;3,605149298;22,43603926;0;6;0
Spinus spinus;Rybachy;xj26984;Sparta;m;Cont;0;27.08.2020;0;13,65;3,444669495;22,68367607;0;1;0
Spinus spinus;Rybachy;xj26984;Sparta;m;Cont;0;10.09.2020;11;13,1;3,772682332;23,84266299;0;2;0
Spinus spinus;Rybachy;xj26984;Sparta;m;Cont;0;22.09.2020;23;11,76;4,064725106;23,06065975;0;3;0
Spinus spinus;Rybachy;xj26984;Sparta;m;Cont;0;03.10.2020;34;11,35;3,825634821;20,94751932;0;4;0
Spinus spinus;Rybachy;xj26984;Sparta;m;Cont;0;16.10.2020;47;10,56;4,091589387;20,8443899;0;5;0
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;23.08.2020;0;12,1;3,788409251;22,11441652;0;1;0
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;04.09.2020;10;13,53;2,945682955;19,22724343;0;2;1,603333333
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;16.09.2020;22;13,88;4,104637319;27,48511016;0;3;64
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;26.09.2020;32;13,63;3,995611065;26,27315872;0;4;4,2
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;11.10.2020;47;15,71;3,277364482;24,83900267;0;5;5,8332
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;17.10.2020;53;14,56;3,640994588;25,57494066;0;6;5,658333333
Spinus spinus;Rybachy;xj27031;Siskinary;m;Exp_2;1;22.08.2020;0;12,33;4,091829039;24,33961941;0;1;0
Spinus spinus;Rybachy;xj27031;Siskinary;m;Exp_2;1;03.09.2020;9;11,93;0,831299844;24,06257917;0;2;1,7
Spinus spinus;Rybachy;xj27075;Sparta;f;Exp_2;1;15.08.2020;0;12,78;3,413144946;21,0435406;0;1;0
Spinus spinus;Rybachy;xj27075;Sparta;f;Exp_2;1;08.09.2020;14;13,4;0,832100876;24,08576563;0;2;27,33333333
Spinus spinus;Rybachy;xj27075;Sparta;f;Exp_2;1;19.09.2020;25;11,12;3,761081968;20,17673138;0;3;50
Spinus spinus;Rybachy;xj27075;Sparta;f;Exp_2;1;30.09.2020;31;12,08;3,919506554;22,84186475;0;4;20
Spinus spinus;Rybachy;xj27075;Sparta;f;Exp_2;1;13.10.2020;49;11,78;3,571508356;20,29692222;0;5;2,646666667
Spinus spinus;Rybachy;xj27084;Siskinary;m;Cont;0;26.08.2020;0;13,28;3,492174594;22,37315595;0;1;0
Spinus spinus;Rybachy;xj27084;Siskinary;m;Cont;0;09.09.2020;10;13,7;3,32319843;21,96393084;0;2;0
Spinus spinus;Rybachy;xj27084;Siskinary;m;Cont;0;20.09.2020;21;13,37;3,81742429;24,62266556;0;3;0
Spinus spinus;Rybachy;xj27084;Siskinary;m;Cont;0;01.10.2020;32;13,24;3,939952719;25,16588581;0;4;0
Spinus spinus;Rybachy;xj27084;Siskinary;m;Cont;0;08.10.2020;39;13,22;4,459927229;28,44411685;0;5;0
