"Year","Season","Bank","Sample","L","Status","Number_of_crushed"
1996,"August","vor2","2",32,"alive",NA
1996,"August","vor2","5",38,"alive",NA
1996,"August","vor2","5",27,"alive",NA
1996,"August","vor2","5",32,"alive",NA
1996,"August","vor2","5",37,"alive",NA
1996,"August","vor2","5",32,"alive",NA
1996,"August","vor2","5",34,"alive",NA
1996,"August","vor2","5",14,"alive",NA
1996,"August","vor2","5",33,"alive",NA
1996,"August","vor2","5",30,"alive",NA
1996,"August","vor2","5",26,"alive",NA
1996,"August","vor2","5",25,"alive",NA
1996,"August","vor2","5",28,"alive",NA
1996,"August","vor2","5",13,"alive",NA
1996,"August","vor2","5",31,"alive",NA
1996,"August","vor2","5",33,"alive",NA
1996,"August","vor2","5",10,"alive",NA
1996,"August","vor2","5",28,"alive",NA
1996,"August","vor2","5",23,"alive",NA
1996,"August","vor2","5",12,"alive",NA
1996,"August","vor2","5",36,"alive",NA
1996,"August","vor2","5",27,"alive",NA
1996,"August","vor2","5",11,"alive",NA
1996,"August","vor2","5",27,"alive",NA
1996,"August","vor2","5",34,"alive",NA
1996,"August","vor2","5",14,"alive",NA
1996,"August","vor2","5",32,"alive",NA
1996,"August","vor2","5",36,"alive",NA
1996,"August","vor2","5",14,"alive",NA
1996,"August","vor2","5",28,"alive",NA
1996,"August","vor2","5",23,"alive",NA
1996,"August","vor2","5",7,"alive",NA
1996,"August","vor2","5",30,"alive",NA
1996,"August","vor2","5",18,"alive",NA
1996,"August","vor2","5",9,"alive",NA
1996,"August","vor2","5",38,"alive",NA
1996,"August","vor2","5",17,"alive",NA
1996,"August","vor2","5",8,"alive",NA
1996,"August","vor2","5",32,"alive",NA
1996,"August","vor2","5",23,"alive",NA
1996,"August","vor2","5",9,"alive",NA
1996,"August","vor2","4",42,"alive",NA
1996,"August","vor2","4",31,"alive",NA
1996,"August","vor2","4",21,"alive",NA
1996,"August","vor2","4",38,"alive",NA
1996,"August","vor2","4",29,"alive",NA
1996,"August","vor2","4",28,"alive",NA
1996,"August","vor2","4",32,"alive",NA
1996,"August","vor2","4",27,"alive",NA
1996,"August","vor2","4",33,"alive",NA
1996,"August","vor2","4",37,"alive",NA
1996,"August","vor2","4",28,"alive",NA
1996,"August","vor2","4",27,"alive",NA
1996,"August","vor2","4",29,"alive",NA
1996,"August","vor2","4",21,"alive",NA
1996,"August","vor2","4",38,"alive",NA
1996,"August","vor2","4",35,"alive",NA
1996,"August","vor2","4",35,"alive",NA
1996,"August","vor2","4",31,"alive",NA
1996,"August","vor2","4",37,"alive",NA
1996,"August","vor2","4",28,"alive",NA
1996,"August","vor2","4",32,"alive",NA
1996,"August","vor2","4",34,"alive",NA
1996,"August","vor2","4",28,"alive",NA
1996,"August","vor2","4",14,"alive",NA
1996,"August","vor2","4",31,"alive",NA
1996,"August","vor2","4",35,"alive",NA
1996,"August","vor2","4",26,"alive",NA
1996,"August","vor2","4",33,"alive",NA
1996,"August","vor2","4",26,"alive",NA
