species,lon,lat,Status
Acanthocyclops capillatus,9.569806,61.12191,Native
Acanthocyclops capillatus,9.573744,61.09638,Native
Acanthocyclops capillatus,10.139668,60.800881,Native
Acanthocyclops capillatus,10.135616,60.802286,Native
Acanthocyclops capillatus,10.14289,60.79694,Native
Acanthocyclops capillatus,11.75695,60.605413,Native
Acanthocyclops capillatus,12.348417,60.483391,Native
Acanthocyclops capillatus,11.942805,60.524318,Native
Acanthocyclops capillatus,11.268104,62.089796,Native
Acanthocyclops capillatus,10.774209,59.984388,Native
Acanthocyclops capillatus,12.042314,61.695939,Native
Acanthocyclops capillatus,8.750463,60.292728,Native
Acanthocyclops capillatus,8.637654,60.320205,Native
Acanthocyclops capillatus,8.742484,60.300888,Native
Acanthocyclops capillatus,9.733589,61.808274,Native
Acanthocyclops capillatus,9.73276,61.758252,Native
Acanthocyclops capillatus,9.878412,61.720397,Native
Acanthocyclops capillatus,11.915726,62.438778,Native
Acanthocyclops capillatus,10.435641,61.633664,Native
Acanthocyclops capillatus,10.759697,61.614999,Native
Acanthocyclops capillatus,10.772125,61.589466,Native
Acanthocyclops capillatus,10.870351,61.542557,Native
Acanthocyclops capillatus,10.743444,61.618832,Native
Acanthocyclops capillatus,23.6014,69.336003,Native
Acanthocyclops capillatus,23.609837,69.35314,Native
Acanthocyclops capillatus,23.570796,69.574682,Native
Acanthocyclops capillatus,23.086003,68.944069,Native
Acanthocyclops capillatus,24.459661,69.388916,Native
Acanthocyclops capillatus,23.807988,69.250419,Native
Acanthocyclops capillatus,24.664342,69.403625,Native
Acanthocyclops capillatus,25.022001,69.443394,Native
Acanthocyclops capillatus,27.462042,70.061579,Native
Acanthocyclops capillatus,25.451409,69.51981,Native
Acanthocyclops capillatus,26.460884,69.940379,Native
Acanthocyclops capillatus,30.767891,69.713455,Native
Acanthocyclops capillatus,26.131812,69.741329,Native
Acanthocyclops capillatus,27.486758,70.05946,Native
Acanthocyclops capillatus,30.768769,69.707002,Native
Acanthocyclops capillatus,19.791185,68.47222,Native
Acanthocyclops capillatus,30.773054,69.619501,Native
Acanthocyclops capillatus,30.358394,69.697592,Native
Acanthocyclops capillatus,11.86341,59.776566,Native
Acanthocyclops capillatus,10.234345,61.787312,Native
Acanthocyclops capillatus,25.022221,69.44344,Native
Acanthocyclops capillatus,30.769116,69.707074,Native
Acanthocyclops capillatus,7.895151,58.784518,Native
Acanthocyclops capillatus,7.894453,58.782255,Native
Acanthocyclops capillatus,7.873231,58.780725,Native
Acanthocyclops capillatus,7.870523,58.786436,Native
Acanthocyclops capillatus,7.863782,58.782819,Native
Acanthocyclops capillatus,7.87141,58.787709,Native
Acanthocyclops capillatus,7.869804,58.786112,Native
Acanthocyclops capillatus,7.868739,58.786546,Native
Acanthocyclops capillatus,8.844064,62.277787,Native
Acanthocyclops capillatus,7.868199,58.787407,Native
Acanthocyclops capillatus,30.36027,69.697489,Native
Acanthocyclops capillatus,7.867215,58.791871,Native
Acanthocyclops capillatus,6.413392,58.873982,Native
Acanthocyclops capillatus,7.880314,58.788781,Native
Acanthocyclops capillatus,11.183493,61.821851,Native
Acanthocyclops capillatus,7.875432,58.791035,Native
Acanthocyclops capillatus,9.488346,60.560172,Native
Acanthocyclops capillatus,11.905503,60.093715,Native
Acanthocyclops capillatus,10.762201,60.106736,Native
Acanthocyclops capillatus,11.618327,61.1556,Native
Acanthocyclops capillatus,7.879469,58.793519,Native
Acanthocyclops capillatus,8.841626,59.272332,Native
