"","species","Lat","Lon"
"1","Acanthocyclops capillatus",68.653562,18.982851
"2","Acanthocyclops capillatus",69.17477,22.775393
"3","Acanthocyclops capillatus",60.099238,11.896235
"4","Acanthocyclops capillatus",60.487849,8.751138
"5","Acanthocyclops capillatus",69.086485,22.844073
"6","Acanthocyclops capillatus",61.343842,6.467041
"7","Acanthocyclops capillatus",69.695246,24.248053
"8","Acanthocyclops capillatus",69.692341,24.294112
"9","Acanthocyclops capillatus",69.138661,22.777064
"10","Acanthocyclops capillatus",60.558198,9.487974
"11","Acanthocyclops capillatus",61.154507,11.63038
"12","Acanthocyclops capillatus",69.71521,24.169985
"13","Acanthocyclops capillatus",72.369777,126.496687
"14","Acanthocyclops capillatus",59.806085,8.092767
"15","Acanthocyclops capillatus",59.271075,8.844439
"16","Acanthocyclops capillatus",61.886724,10.13521
"17","Acanthocyclops capillatus",61.82324,11.183896
"18","Acanthocyclops capillatus",69.142822,22.830299
"19","Acanthocyclops capillatus",61.82352,11.182018
"20","Acanthocyclops capillatus",69.099127,22.806828
"21","Acanthocyclops capillatus",61.822387,11.183548
"22","Acanthocyclops capillatus",69.110706,22.854461
"23","Acanthocyclops capillatus",60.371557,9.727268
"24","Acanthocyclops capillatus",61.981523,10.760446
"25","Acanthocyclops capillatus",69.655078,24.323472
"26","Acanthocyclops capillatus",58.41626,6.223121
"27","Acanthocyclops capillatus",58.416946,6.220945
"28","Acanthocyclops capillatus",69.252111,17.411995
"29","Acanthocyclops capillatus",58.60474,8.043404
"30","Acanthocyclops capillatus",60.895943,5.251449
"31","Acanthocyclops capillatus",58.744264,7.785284
"32","Acanthocyclops capillatus",62.481313,8.17664
"33","Acanthocyclops capillatus",60.371446,9.727875
"34","Acanthocyclops capillatus",61.98104,10.759519
"35","Acanthocyclops capillatus",58.863498,7.737432
"36","Acanthocyclops capillatus",58.449703,6.554016
"37","Acanthocyclops capillatus",58.793994,7.817739
"38","Acanthocyclops capillatus",58.787481,7.777771
"39","Acanthocyclops capillatus",58.699816,7.816642
"40","Acanthocyclops capillatus",58.894442,7.733684
"41","Acanthocyclops capillatus",63.802974,10.335274
"42","Acanthocyclops capillatus",59.025224,7.004496
"43","Acanthocyclops capillatus",60.445593,-151.08142
"44","Acanthocyclops capillatus",62.006731,11.929081
"45","Acanthocyclops capillatus",61.920826,11.922869
"46","Acanthocyclops capillatus",60.481837,8.767245
"47","Acanthocyclops capillatus",61.963012,11.540091
"48","Acanthocyclops capillatus",60.517382,10.217143
"49","Acanthocyclops capillatus",59.883338,9.526427
"50","Acanthocyclops capillatus",59.002767,9.487804
"51","Acanthocyclops capillatus",60.75,-137.529999
"52","Acanthocyclops capillatus",61.593503,11.068857
"53","Acanthocyclops capillatus",61.563728,11.091516
"54","Acanthocyclops capillatus",61.590324,11.069883
"55","Acanthocyclops capillatus",59.605142,9.419364
"56","Acanthocyclops capillatus",60.099009,11.896456
"57","Acanthocyclops capillatus",58.606165,8.043687
"58","Acanthocyclops capillatus",63.281158,10.471248
"59","Acanthocyclops capillatus",63.281355,10.469815
"60","Acanthocyclops capillatus",55.63194,-132.9075
"61","Acanthocyclops capillatus",59.023683,7.697394
"62","Acanthocyclops capillatus",59.023238,7.695848
"63","Acanthocyclops capillatus",62.408066,8.009222
"64","Acanthocyclops capillatus",64.431956,13.716658
"65","Acanthocyclops capillatus",64.49641,13.382632
"66","Acanthocyclops capillatus",64.467502,13.536154
"67","Acanthocyclops capillatus",64.195121,14.020008
"68","Acanthocyclops capillatus",58.289154,7.076768
"69","Acanthocyclops capillatus",58.223644,7.018561
"70","Acanthocyclops capillatus",58.642372,6.532245
"71","Acanthocyclops capillatus",58.461586,6.346682
"72","Acanthocyclops capillatus",58.295718,7.072579
"73","Acanthocyclops capillatus",58.226752,7.023768
"74","Acanthocyclops capillatus",58.603755,7.147109
"75","Acanthocyclops capillatus",58.591249,7.158285
"76","Acanthocyclops capillatus",58.518949,7.212141
"77","Acanthocyclops capillatus",58.575151,7.246227
"78","Acanthocyclops capillatus",58.589274,7.140806
"79","Acanthocyclops capillatus",58.784403,7.895092
"80","Acanthocyclops capillatus",58.789611,7.901523
"81","Acanthocyclops capillatus",58.782847,7.89462
"82","Acanthocyclops capillatus",58.503387,7.211348
"83","Acanthocyclops capillatus",58.778309,7.885773
"84","Acanthocyclops capillatus",58.778774,7.880119
"85","Acanthocyclops capillatus",58.776706,7.878628
"86","Acanthocyclops capillatus",58.778559,7.874878
"87","Acanthocyclops capillatus",58.780647,7.87559
"88","Acanthocyclops capillatus",58.780647,7.873394
"89","Acanthocyclops capillatus",58.781629,7.865222
"90","Acanthocyclops capillatus",58.786141,7.869877
"91","Acanthocyclops capillatus",58.785979,7.863569
"92","Acanthocyclops capillatus",58.787733,7.871413
"93","Acanthocyclops capillatus",58.786439,7.870507
"94","Acanthocyclops capillatus",58.787418,7.868302
"95","Acanthocyclops capillatus",58.78654,7.868872
"96","Acanthocyclops capillatus",58.791887,7.867097
"97","Acanthocyclops capillatus",58.787792,7.881686
"98","Acanthocyclops capillatus",58.78807,7.867569
"99","Acanthocyclops capillatus",58.791497,7.868637
"100","Acanthocyclops capillatus",58.794557,7.883893
"101","Acanthocyclops capillatus",58.78868,7.880352
"102","Acanthocyclops capillatus",58.793499,7.879513
"103","Acanthocyclops capillatus",58.791962,7.87353
"104","Acanthocyclops capillatus",58.798346,7.903133
"105","Acanthocyclops capillatus",58.795384,7.887673
"106","Acanthocyclops capillatus",58.794229,7.909529
"107","Acanthocyclops capillatus",58.798244,7.875641
"108","Acanthocyclops capillatus",58.796853,7.904059
"109","Acanthocyclops capillatus",58.790941,7.876786
"110","Acanthocyclops capillatus",58.795182,7.922818
"111","Acanthocyclops capillatus",58.782156,7.928809
"112","Acanthocyclops capillatus",58.780042,7.929119
"113","Acanthocyclops capillatus",58.777522,7.93706
"114","Acanthocyclops capillatus",58.776806,7.936897
"115","Acanthocyclops capillatus",58.777561,7.935454
"116","Acanthocyclops capillatus",58.774745,7.934973
"117","Acanthocyclops capillatus",58.449183,7.587211
"118","Acanthocyclops capillatus",58.493133,7.570976
"119","Acanthocyclops capillatus",58.438791,7.583809
"120","Acanthocyclops capillatus",58.552369,7.581948
"121","Acanthocyclops capillatus",58.582841,7.56044
"122","Acanthocyclops capillatus",58.550842,7.590966
"123","Acanthocyclops capillatus",59.045707,7.516617
"124","Acanthocyclops capillatus",59.004991,8.288061
"125","Acanthocyclops capillatus",59.028485,8.35745
"126","Acanthocyclops capillatus",59.046101,8.375675
