Lat;Lon;Surface_Salinity
67.143306;32.348807;10
67.141249;32.347028;10
67.139425;32.344075;10
67.137846;32.334072;10
67.137868;32.324667;10
67.142828;32.357621;11
67.14099;32.360542;11
67.137325;32.362268;11
67.133895;32.36164;11
67.131396;32.354577;11
67.129819;32.343995;11
67.129612;32.334018;11
67.130558;32.379347;11
67.132646;32.305258;11
67.144191;32.361751;12
67.140745;32.367007;12
67.135471;32.371071;12
67.131127;32.370438;12
67.128176;32.3616;12
67.126143;32.351603;12
67.125263;32.336339;12
67.124843;32.319318;12
67.147392;32.363547;13
67.143937;32.371162;13
67.139572;32.376999;13
67.133834;32.383406;13
67.128111;32.385694;13
67.124467;32.380956;13
67.121529;32.368013;13
67.12042;32.354508;13
67.127065;32.431488;14
67.125043;32.420298;14
67.122108;32.407932;14
67.120768;32.396765;14
67.118293;32.382656;14
67.11695;32.372083;14
67.115387;32.357991;14
67.115189;32.345671;14
67.114308;32.332175;14
67.103153;32.322154;14
67.102259;32.313944;14
67.100679;32.306905;14
67.099108;32.294632;14
67.12362;32.437323;15
67.121595;32.429061;15
67.119789;32.421405;15
67.11821;32.414342;15
67.116416;32.402587;15
67.115298;32.393775;15
67.113281;32.379678;15
67.111498;32.362654;15
67.110845;32.349753;15
67.11065;32.332163;15
67.11045;32.323363;15
67.097658;32.332693;15
67.095171;32.324454;15
67.093144;32.313903;15
67.091346;32.302774;15
67.120607;32.447855;16
67.117902;32.441911;16
67.114495;32.43599;16
67.112244;32.425398;16
67.109305;32.41539;16
67.105919;32.402453;16
67.102742;32.396563;16
67.090289;32.36656;16
67.087805;32.358346;16
67.084189;32.347784;16
67.081937;32.337829;16
67.079456;32.329654;16
67.115087;32.466495;17
67.113743;32.45826;17
67.111256;32.450593;17
67.107633;32.441737;17
67.104245;32.429967;17
67.100154;32.42523;17
67.083219;32.372342;17
67.081191;32.364718;17
67.078251;32.357676;17
67.074634;32.349471;17
67.112764;32.478764;18
67.11028;32.471093;18
67.106882;32.463409;18
67.103715;32.455147;18
67.099643;32.444532;18
67.09738;32.439227;18
67.094434;32.433911;18
67.077967;32.38047;18
67.074573;32.374004;18
67.07255;32.364632;18
67.070762;32.35294;18
67.110211;32.492776;19
67.106586;32.485081;19
67.102501;32.479137;19
67.098175;32.477874;19
67.092708;32.476592;19
67.088148;32.477676;19
67.082908;32.478745;19
67.078377;32.472812;19
67.073876;32.458123;19
67.070517;32.442301;19
67.068972;32.426509;19
67.066278;32.414788;19
67.063591;32.400153;19
67.060207;32.390766;19
67.054556;32.381953;19
67.049135;32.374913;19
67.044387;32.371381;19
67.039857;32.370756;19
67.1088111;32.502125;20
67.105409;32.496191;20
67.101767;32.494355;20
67.096982;32.494251;20
67.087602;32.505171;20
67.08256;32.51442;20
67.077543;32.517812;20
67.072317;32.517103;20
67.069161;32.509436;20
67.064654;32.49824;20
67.061964;32.487091;20
67.059507;32.474201;20
67.056829;32.460148;20
67.053923;32.446686;20
67.050561;32.433809;20
67.044916;32.427094;20
67.038566;32.430722;20
67.074106;32.695948;21
67.075801;32.673217;21
67.077241;32.654079;21
67.078205;32.6407;21
67.079168;32.628436;21
67.080836;32.610914;21
67.082735;32.592208;21
67.082807;32.574047;21
67.0792;32.565173;21
67.063246;32.575822;21
67.055967;32.579115;21
67.05097;32.580718;21
67.048466;32.582976;21
67.097589;32.652632;21
67.108821;32.563368;21
66.910158;32.604567;21
66.924711;32.691084;21
66.955403;32.800948;21
