Year,Site,Sample,Nt,Ne
2002,Malij,NA,4,20
2002,Ovech,NA,11,47
2002,Ryashkov,NA,14,543
2003,Malij,NA,43,157
2003,Lupch,NA,57,54
2005,Lupch,f1-f5,15,1
2005,Malij,f6-f10,22,23
2005,Ovech,NA,74,110
2005,Ryashkov,f15-f20(2часть),42,456
2006,Lupch,f1-f5,11,5
2006,Malij,NA,128,27
2006,Ryashkov,f11-f15,239,461
2008,Lupch,f1-f5,4,1
2010,Lupch,f1-f5,32,4
2010,Malij,f6-f10,45,1
2011,Lupch,f1-f5,32,0
2011,Malij,f6-f9,61,3
2011,Ovech,f11-f15,63,6
2011,Ryashkov,f16-f20,148,85
2012,Ovech,f2,267,12
2012,Ovech,f1,309,18
2012,Lupch,f13,116,15
2012,Malij,f9,412,42
2012,Malij,f8,143,10
2012,Malij,f7,255,11
2012,Malij,f6,291,14
2012,Ovech,f3,175,5
2012,Ovech,f4,284,1
2012,Lupch,f11,375,30
2012,Lupch,f12,71,17
2012,Lupch,f14,238,13
2012,Lupch,f15,153,25
2012,Malij,f10,363,17
2012,Ovech,f5,344,26
2012,Ryashkov,25,327,63
2012,Ryashkov,27,328,35
2012,Ryashkov,29,280,45
2013,Ovech,f5,65,10
2013,Ovech,f3,51,34
2013,Ovech,f4,33,24
2013,Ovech,f1,79,10
2013,Ovech,f2,32,16
2013,Lupch,f13,1,1
2013,Lupch,f14,2,0
2013,Lupch,f15,6,2
2013,Malij,f6,3,1
2013,Malij,f9,4,2
2013,Malij,f10,6,1
2013,Malij,f7,21,6
2013,Malij,f8,8,1
2013,Ryashkov,1,105,35
2013,Ryashkov,5,292,20
2013,Ryashkov,3,40,10
2013,Lupch,f15,6,2
2013,Malij,f7,21,6
2013,Ovech,f1,79,10
2014,Malij,f10,28,3
2014,Malij,f9,117,32
2014,Lupch,f14,7,2
2014,Lupch,f15,6,7
2014,Lupch,f13,1,1
2014,Malij,f6,186,44
2014,Malij,f8,25,4
2014,Lupch,f12,67,78
2014,Ovech,f1,86,12
2014,Ovech,f3,134,28
2014,Ovech,f5,113,15
2014,Ovech,f4,118,51
2014,Lupch,f11,45,77
2014,Malij,f7,80,18
2014,Ovech,f2,156,35
2014,Ryashkov,1,116,7
2014,Ryashkov,3,100,15
2014,Ryashkov,5,31,2
2015,Ovech,f5,189,28
2015,Ovech,f3,169,81
2015,Ovech,f4,123,5
2015,Ovech,f2,125,11
2015,Lupch,f11,36,10
2015,Ryashkov,1,245,59
2015,Ryashkov,5,154,16
2015,Ryashkov,3,261,89
2015,Ovech,f1,234,47
2015,Lupch,f15,21,7
2015,Malij,f7,72,1
2016,Ryashkov,3,143,90
2016,Ryashkov,5,40,124
2016,Ovech,f11,149,22
2016,Lupch,f3,32,3
2016,Malij,f6,341,30
2016,Ovech,f15,559,224
2016,Ryashkov,1,234,109
2016,Malij,f10,294,24
2016,Malij,f7,92,0
2016,Malij,f9,197,50
2016,Malij,f8,29,1
2016,Lupch,f1,27,2
2016,Lupch,f2,25,2
2016,Lupch,f4,18,0
2016,Lupch,f5,5,0
2016,Ovech,f14,597,57
2016,Ovech,f13,411,35
2016,Ovech,f12,274,48
2017,Ryashkov,1,95,12
2017,Ryashkov,3,61,31
2017,Ryashkov,5,100,38
2017,Lupch,f1,51,6
2017,Lupch,f2,6,2
2017,Lupch,f3,5,1
2017,Lupch,f4,10,1
2017,Lupch,f5,36,0
2017,Malij,f6,37,4
2017,Malij,f7,54,3
2017,Malij,f8,105,4
2017,Malij,f9,43,16
2017,Malij,f10,101,12
2017,Ovech,f11,124,8
2017,Ovech,f12,182,10
2017,Ovech,f13,80,9
2017,Ovech,f14,104,7
2017,Ovech,f15,49,0
2018,Ryashkov,1,129,70
2018,Ryashkov,3,164,145
2018,Ryashkov,5,124,104
2018,Lupch,f1,32,13
2018,Lupch,f2,23,5
2018,Lupch,f3,25,18
2018,Lupch,f4,34,28
2018,Lupch,f5,21,16
2018,Malij,f6,63,30
2018,Malij,f7,79,56
2018,Malij,f8,54,62
2018,Malij,f9,34,35
2018,Malij,f10,190,133
2018,Ovech,f11,168,45
2018,Ovech,f12,147,95
2018,Ovech,f13,234,77
2018,Ovech,f14,31,18
2018,Ovech,f15,57,17
