Date_Time2,Year,Air_T,Water_T,S
01.06.2007 0:00,2007,5.8,6.8,23
01.06.2007 12:00,2007,8.4,7.8,20
01.06.2007 18:00,2007,10,11.6,19
02.06.2007 0:00,2007,6.4,9.2,18
02.06.2007 12:00,2007,14.8,11.8,18
02.06.2007 18:00,2007,17.8,11.2,20
03.06.2007 0:00,2007,9.2,9,20
03.06.2007 12:00,2007,11.2,10.2,18
03.06.2007 18:00,2007,22.6,9,21
04.06.2007 0:00,2007,11.6,8.2,23
04.06.2007 12:00,2007,15.8,9.2,22
04.06.2007 18:00,2007,20.2,10.8,20
05.06.2007 0:00,2007,10.2,10.8,20
05.06.2007 12:00,2007,12,11.2,20
05.06.2007 18:00,2007,16,12.8,20
06.06.2007 0:00,2007,13.2,7.6,22
06.06.2007 12:00,2007,18.2,11,21
06.06.2007 20:00,2007,13.1,9.3,21
07.06.2007 0:00,2007,9.4,9,21
07.06.2007 12:00,2007,16.6,10.2,20
07.06.2007 18:00,2007,18.4,10.2,20
08.06.2007 0:00,2007,9.4,10.2,20
08.06.2007 12:00,2007,12,9.4,20
08.06.2007 18:00,2007,10.4,10.6,21
09.06.2007 0:00,2007,7.2,10,20
09.06.2007 12:00,2007,9.4,10.4,20
09.06.2007 18:00,2007,10.6,9.4,21
10.06.2007 0:00,2007,9.4,9.8,20
10.06.2007 12:00,2007,10.6,10.6,20
10.06.2007 18:00,2007,11.8,9.2,22
11.06.2007 0:00,2007,9,9.6,21
11.06.2007 12:00,2007,9.6,9.6,20
11.06.2007 18:00,2007,10,10.2,20
12.06.2007 0:00,2007,9.4,9.8,20
12.06.2007 12:00,2007,10.2,9,21
12.06.2007 18:00,2007,11.2,10,21
13.06.2007 0:00,2007,7.8,7.2,23
13.06.2007 12:00,2007,8.6,8,22
13.06.2007 18:00,2007,11.6,9.8,21
14.06.2007 0:00,2007,7,8.2,22
14.06.2007 12:00,2007,8.6,8.9,22
14.06.2007 18:00,2007,11,11.2,22
15.06.2007 0:00,2007,6.2,9.4,22
15.06.2007 12:00,2007,11.2,9.2,24
15.06.2007 18:00,2007,13.4,9.2,23
16.06.2007 0:00,2007,7.4,7.2,23
16.06.2007 12:00,2007,9.4,8.7,23
16.06.2007 18:00,2007,9.7,9.6,25
17.06.2007 0:00,2007,9.2,9.1,26
17.06.2007 12:00,2007,9.7,8.8,24
17.06.2007 18:00,2007,13.8,11.2,24
18.06.2007 0:00,2007,10.3,9.6,25
18.06.2007 12:00,2007,12.4,9.2,24
18.06.2007 18:00,2007,15.2,10.1,22
19.06.2007 0:00,2007,8.7,10.1,21
19.06.2007 12:00,2007,10.8,9.7,22
19.06.2007 18:00,2007,10,11,23
20.06.2007 0:00,2007,10.4,9.6,23
20.06.2007 12:00,2007,7,9.2,25
20.06.2007 18:00,2007,7,9.6,22
21.06.2007 0:00,2007,6.4,8.6,23
21.06.2007 12:00,2007,9,8.3,22
21.06.2007 18:00,2007,NA,NA,NA
22.06.2007 0:00,2007,7.7,7.3,25
22.06.2007 12:00,2007,10.1,6.9,24
22.06.2007 18:00,2007,13.5,8.4,23
23.06.2007 0:00,2007,9.2,7,24
23.06.2007 12:00,2007,NA,NA,NA
23.06.2007 18:00,2007,NA,NA,NA
24.06.2007 0:00,2007,14.8,8.2,23
24.06.2007 12:00,2007,14.8,8.4,26
24.06.2007 18:00,2007,11,7.5,24
25.06.2007 0:00,2007,7.8,5.8,24
25.06.2007 12:00,2007,9,5.6,26
25.06.2007 18:00,2007,8.3,7.6,25
26.06.2007 0:00,2007,8.8,7.4,24
26.06.2007 12:00,2007,11,5.8,25
26.06.2007 18:00,2007,9,7,25
27.06.2007 0:00,2007,9,7.1,24
27.06.2007 12:00,2007,10.2,7,25
27.06.2007 18:00,2007,10,8.2,24
28.06.2007 0:00,2007,11.2,6.4,25
28.06.2007 12:00,2007,12.4,9.4,24
28.06.2007 18:00,2007,11.4,9,22
29.06.2007 0:00,2007,11.4,10.2,23
29.06.2007 12:00,2007,13.2,10.4,22
29.06.2007 18:00,2007,13.4,11.4,NA
30.06.2007 0:00,2007,12.4,13,22
30.06.2007 12:00,2007,15,11,23
30.06.2007 18:00,2007,15.4,12.4,21
01.07.2007 0:00,2007,13,11.2,21
01.07.2007 12:00,2007,13.8,12,20
01.07.2007 18:00,2007,19,11,21
02.07.2007 0:00,2007,14.8,13.6,20
02.07.2007 12:00,2007,21,14.8,19
02.07.2007 18:00,2007,22,17.8,23
03.07.2007 0:00,2007,16.6,15,17
03.07.2007 12:00,2007,14,12.2,21
03.07.2007 18:00,2007,13,12.4,19
04.07.2007 0:00,2007,11.2,12.6,23
04.07.2007 12:00,2007,13.8,12,21
04.07.2007 18:00,2007,14.2,13.2,19
05.07.2007 0:00,2007,13.8,12.2,12
05.07.2007 6:00,2007,11,11.4,11
05.07.2007 12:00,2007,18.2,13.6,15
05.07.2007 18:00,2007,21.6,14.4,15
06.07.2007 0:00,2007,14.8,14.6,14
06.07.2007 6:00,2007,12.2,13,16
06.07.2007 12:00,2007,13.2,12.4,17
06.07.2007 19:00,2007,11.1,11.2,18
07.07.2007 0:00,2007,10.8,10.2,14
07.07.2007 6:00,2007,10.5,10.2,18
07.07.2007 12:00,2007,10.8,10.5,19
07.07.2007 18:00,2007,11.4,10.8,16
08.07.2007 0:00,2007,10,10.2,19
08.07.2007 6:00,2007,8.8,10.2,17
08.07.2007 12:00,2007,8,9.8,18
08.07.2007 18:00,2007,8.8,9.4,20
09.07.2007 0:00,2007,8.4,8.2,22
09.07.2007 6:00,2007,8.2,8.2,22
09.07.2007 12:00,2007,8.8,8.6,21
09.07.2007 18:00,2007,9.3,9.2,20
10.07.2007 0:00,2007,9.8,8.9,21
10.07.2007 6:00,2007,9.8,8.8,20
10.07.2007 12:00,2007,12.2,9.8,22
10.07.2007 18:00,2007,13.6,10.6,17
11.07.2007 0:00,2007,11.6,10.6,15
11.07.2007 6:00,2007,11.6,10,17
11.07.2007 12:00,2007,16.8,9.8,18
11.07.2007 18:00,2007,16.4,13.2,15
12.07.2007 0:00,2007,17.2,13.2,15
12.07.2007 6:00,2007,15.4,11.4,15
12.07.2007 12:00,2007,13.6,12.2,15
12.07.2007 18:00,2007,13.6,12.6,15
13.07.2007 0:00,2007,12.8,11.8,16
13.07.2007 6:00,2007,12.6,11.2,17
13.07.2007 12:00,2007,17.4,12.8,17
13.07.2007 18:00,2007,16.4,13.4,16
14.07.2007 0:00,2007,14.2,12.9,17
14.07.2007 6:00,2007,14.4,12.9,17
14.07.2007 12:00,2007,23.2,16.3,16
14.07.2007 18:00,2007,20.3,16.3,16
15.07.2007 0:00,2007,15.6,14.1,17
15.07.2007 6:00,2007,14.1,13.2,17
15.07.2007 12:00,2007,16.2,13.6,17
15.07.2007 18:00,2007,15,13.8,17
16.07.2007 0:00,2007,16,14.1,17
16.07.2007 6:00,2007,9.6,7.8,17
16.07.2007 12:00,2007,14.6,12.4,18
16.07.2007 18:00,2007,19.8,14.8,16
17.07.2007 0:00,2007,14.2,14,17
17.07.2007 6:00,2007,12,10.4,15
17.07.2007 12:00,2007,15,14.8,17
17.07.2007 18:00,2007,17.6,14.8,19
18.07.2007 0:00,2007,12.1,14.3,18
18.07.2007 6:00,2007,11.2,14.4,17
18.07.2007 12:00,2007,13.2,14.3,18
18.07.2007 18:00,2007,13.4,14,16
19.07.2007 0:00,2007,14,13,16
19.07.2007 6:00,2007,12.8,11.8,18
19.07.2007 12:00,2007,15,13,19
19.07.2007 18:00,2007,14,12.2,20
20.07.2007 0:00,2007,9.4,11.8,19
20.07.2007 6:00,2007,8.8,11.4,18
20.07.2007 12:00,2007,12.8,11.6,18
20.07.2007 18:00,2007,12.9,12.4,17
21.07.2007 0:00,2007,10.4,12.2,17
21.07.2007 6:00,2007,12.8,11.8,16
21.07.2007 12:00,2007,13.1,13.9,15
21.07.2007 18:00,2007,13.5,14.1,15
22.07.2007 0:00,2007,12.5,13,15
22.07.2007 6:00,2007,10.2,11.6,17
22.07.2007 12:00,2007,15.2,12.6,16
22.07.2007 18:00,2007,16,14.8,14
23.07.2007 0:00,2007,12.6,13.4,15
23.07.2007 6:00,2007,8.6,12.2,NA
23.07.2007 12:00,2007,13.6,14,15
23.07.2007 18:00,2007,16.8,15.6,15
24.07.2007 0:00,2007,14.8,15,15
24.07.2007 6:00,2007,11.3,10.5,16
24.07.2007 12:00,2007,17.1,13.6,17
24.07.2007 18:00,2007,18.4,16.4,17
25.07.2007 0:00,2007,15.4,12.6,18
25.07.2007 6:00,2007,13.3,13.1,18
25.07.2007 12:00,2007,16,14.2,18
25.07.2007 18:00,2007,17.6,16.4,17
26.07.2007 0:00,2007,13.7,13.2,18
26.07.2007 6:00,2007,13.8,13.7,17
26.07.2007 12:00,2007,16.1,15.1,16
26.07.2007 18:00,2007,17,15.1,16
27.07.2007 0:00,2007,15.4,16.1,15
27.07.2007 6:00,2007,13.3,15.3,14
27.07.2007 12:00,2007,15.4,16,15
27.07.2007 18:00,2007,17.2,17.2,15
28.07.2007 0:00,2007,NA,NA,18
28.07.2007 6:00,2007,14.2,14.8,18
28.07.2007 12:00,2007,13.5,15.6,17
28.07.2007 18:00,2007,15.9,15.7,20
29.07.2007 0:00,2007,14.2,14.8,13
29.07.2007 6:00,2007,13.4,15.2,13
29.07.2007 12:00,2007,13.2,14.8,13
29.07.2007 18:00,2007,14,15.2,14
30.07.2007 0:00,2007,13.6,15,14
30.07.2007 6:00,2007,13,16,14
30.07.2007 12:00,2007,14.2,14.6,15
30.07.2007 18:00,2007,14.2,15.2,16
31.07.2007 0:00,2007,14.2,15.4,14
31.07.2007 6:00,2007,13.6,18.8,15
31.07.2007 12:00,2007,15.6,15.2,15
31.07.2007 18:00,2007,16.2,15.6,15
01.08.2007 0:00,2007,14,14.6,14
01.08.2007 6:00,2007,13.4,14.6,15
01.08.2007 12:00,2007,9.2,14.8,15
01.08.2007 18:00,2007,14.2,15.2,15
02.08.2007 0:00,2007,14.6,15.2,15
02.08.2007 6:00,2007,13.9,14.1,16
02.08.2007 12:00,2007,16.2,15,17
02.08.2007 18:00,2007,19,15,15
03.08.2007 0:00,2007,16,15.4,15
03.08.2007 6:00,2007,15.2,15.2,11
03.08.2007 12:00,2007,17.6,16.4,11
03.08.2007 18:00,2007,18.2,15.2,13
04.08.2007 0:00,2007,15.1,14.1,16
04.08.2007 6:00,2007,15.2,15.2,13
04.08.2007 12:00,2007,18,15,16
04.08.2007 18:00,2007,18.6,16.8,13
05.08.2007 0:00,2007,15,15.4,15
05.08.2007 6:00,2007,13.8,15.2,15
05.08.2007 12:00,2007,16.1,15.2,13
05.08.2007 18:00,2007,18,17.2,11
06.08.2007 0:00,2007,16.1,16.2,12
06.08.2007 6:00,2007,15,15.6,14
06.08.2007 12:00,2007,17.8,15.4,15
06.08.2007 18:00,2007,20.4,16.6,15
07.08.2007 0:00,2007,17.2,17,13
07.08.2007 6:00,2007,14.4,16,15
07.08.2007 12:00,2007,19.2,15.8,15
07.08.2007 18:00,2007,20,18.2,15
08.08.2007 0:00,2007,18,15,13
08.08.2007 6:00,2007,16.8,16.2,15
08.08.2007 12:00,2007,18.7,16.6,15
08.08.2007 18:00,2007,27.5,17.9,19
09.08.2007 0:00,2007,21.7,16.8,17
09.08.2007 6:00,2007,16,16,16
09.08.2007 12:00,2007,22.1,17.2,15
09.08.2007 18:00,2007,20.1,19.4,15
10.08.2007 0:00,2007,19.9,18.2,16
10.08.2007 6:00,2007,19.6,17.5,16
10.08.2007 12:00,2007,22,16.8,16
10.08.2007 18:00,2007,19.6,16.2,16
11.08.2007 0:00,2007,11.6,15.8,16
11.08.2007 6:00,2007,10,14.2,17
11.08.2007 12:00,2007,13.2,14.6,18
11.08.2007 18:00,2007,14.8,14.8,17
12.08.2007 0:00,2007,12,14.3,17
12.08.2007 6:00,2007,15,14.1,18
12.08.2007 12:00,2007,14.4,15,17
12.08.2007 18:00,2007,15,15,19
13.08.2007 0:00,2007,14.4,15,17
13.08.2007 6:00,2007,13.6,12.3,19
13.08.2007 12:00,2007,14.4,13.8,18
13.08.2007 18:00,2007,15.2,13.6,18
14.08.2007 0:00,2007,14.6,13.9,16
14.08.2007 6:00,2007,14.8,14,17
14.08.2007 12:00,2007,16.5,14.2,19
14.08.2007 18:00,2007,16,13.8,20
15.08.2007 0:00,2007,15.5,14.2,18
15.08.2007 6:00,2007,15.2,15.6,19
15.08.2007 12:00,2007,15.6,14.6,19
15.08.2007 18:00,2007,16.4,14.8,19
16.08.2007 0:00,2007,12.4,14.4,19
16.08.2007 6:00,2007,12.8,13.4,18
16.08.2007 12:00,2007,16.8,14.8,19
16.08.2007 18:00,2007,16.8,15.4,19
17.08.2007 0:00,2007,16.3,16.2,18
17.08.2007 6:00,2007,17.3,14.5,18
17.08.2007 12:00,2007,18.3,16,18
17.08.2007 18:00,2007,19,17,19
18.08.2007 0:00,2007,15.2,14.2,20
18.08.2007 6:00,2007,13.8,14,19
18.08.2007 12:00,2007,17,14.6,19
18.08.2007 18:00,2007,16.9,15,19
19.08.2007 0:00,2007,12.8,14.4,19
19.08.2007 6:00,2007,12,14.1,18
19.08.2007 12:00,2007,14.4,14.2,18
19.08.2007 18:00,2007,15.5,15,19
20.08.2007 0:00,2007,14.2,14,16
20.08.2007 6:00,2007,13.2,14.8,17
20.08.2007 12:00,2007,14.6,15,16
23.05.2008 12:00,2008,5.4,4.9,20
23.05.2008 18:00,2008,7.4,7.8,21
24.05.2008 0:00,2008,4.4,6.8,20
