Sample;d;D;B
Astfood_34;4;9;"0,09"
Astfood_Z_19;34;74;"5,7"
Astfood_Z_19;9;18;"0,4"
Astfood_Z_19;10;19;"0,5"
Astfood_Z_19;5;11;"0,1"
Astfood_Z_19;6;14;"0,2"
Astfood_Z_19;5;11;"0,1"
Astfood_Z_19;8;16;"0,3"
Astfood_Z_19;2;5;"0,01"
Astfood_Z_19;6;9;"0,06"
Astfood_Z_19;7;10;"0,1"
Astfood_Z_18;10;16;"0,3"
Astfood_Z_18;8;14;"0,2"
Astfood_Z_18;6;10;"0,1"
Astfood_Z_18;9;15;"0,2"
