V1,V2,V3
141.1,12.3,-5080.521484375
141.116806722689,12.3,-5043.9013671875
141.133613445378,12.3,-4990.4111328125
141.150420168067,12.3,-5005.06103515625
141.167226890756,12.3,-5135.37109375
141.184033613445,12.3,-5415.0810546875
141.200840336134,12.3,-5434.1640625
141.217647058824,12.3,-5413.74365234375
141.234453781513,12.3,-5430.56396484375
141.251260504202,12.3,-5333.31396484375
141.268067226891,12.3,-5183.6240234375
141.28487394958,12.3,-5148.39404296875
141.301680672269,12.3,-5244.43408203125
141.318487394958,12.3,-5316.5439453125
141.335294117647,12.3,-5295.62109375
141.352100840336,12.3,-5248.39111328125
141.368907563025,12.3,-5303.4814453125
141.385714285714,12.3,-5334.94140625
141.402521008403,12.3,-5373.4013671875
141.419327731092,12.3,-5366.291015625
141.436134453782,12.3,-5222.94140625
141.452941176471,12.3,-4828.56103515625
141.46974789916,12.3,-4615.12646484375
141.486554621849,12.3,-4369.74658203125
141.503361344538,12.3,-4053.67651367188
141.520168067227,12.3,-4195.67626953125
141.536974789916,12.3,-4388.06640625
141.553781512605,12.3,-4165.11669921875
141.570588235294,12.3,-3912.67651367188
141.587394957983,12.3,-3843.66650390625
141.604201680672,12.3,-3759.642578125
141.621008403361,12.3,-3738.37255859375
141.63781512605,12.3,-3631.892578125
141.654621848739,12.3,-3313.23266601562
141.671428571429,12.3,-3354.37255859375
141.688235294118,12.3,-3249.99267578125
141.705042016807,12.3,-2896.21264648438
141.721848739496,12.3,-2604.12255859375
141.738655462185,12.3,-2456.06909179688
141.755462184874,12.3,-2420.94897460938
141.772268907563,12.3,-2554.92895507812
141.789075630252,12.3,-2545.17895507812
141.805882352941,12.3,-2133.9990234375
141.82268907563,12.3,-2014.05908203125
141.839495798319,12.3,-2338.958984375
141.856302521008,12.3,-2485.18896484375
141.873109243697,12.3,-2642.30810546875
141.889915966387,12.3,-2609.17822265625
141.906722689076,12.3,-2430.60815429688
141.923529411765,12.3,-2252.99829101562
141.940336134454,12.3,-2286.41821289062
141.957142857143,12.3,-2335.72827148438
141.973949579832,12.3,-2268.3681640625
141.990756302521,12.3,-2215.68823242188
142.00756302521,12.3,-2145.06298828125
142.024369747899,12.3,-1896.873046875
142.041176470588,12.3,-1508.00305175781
142.057983193277,12.3,-1408.123046875
142.074789915966,12.3,-1577.873046875
142.091596638655,12.3,-1843.31298828125
142.108403361345,12.3,-2096.2529296875
142.125210084034,12.3,-2242.31298828125
142.142016806723,12.3,-2468.44165039062
142.158823529412,12.3,-2677.76147460938
142.175630252101,12.3,-2719.74145507812
142.19243697479,12.3,-2746.57153320312
142.209243697479,12.3,-2858.28149414062
142.226050420168,12.3,-3039.23168945312
142.242857142857,12.3,-3215.91162109375
142.259663865546,12.3,-3324.11157226562
142.276470588235,12.3,-3394.4423828125
142.293277310924,12.3,-3445.18237304688
142.310084033613,12.3,-3485.81225585938
142.326890756303,12.3,-3512.982421875
142.343697478992,12.3,-3504.72241210938
142.360504201681,12.3,-3535.17236328125
142.37731092437,12.3,-3567.92236328125
142.394117647059,12.3,-3584.35229492188
142.410924369748,12.3,-3602.85595703125
142.427731092437,12.3,-3648.55590820312
142.444537815126,12.3,-3706.0859375
142.461344537815,12.3,-3819.93603515625
142.478151260504,12.3,-3873.64599609375
142.494957983193,12.3,-3894.5859375
142.511764705882,12.3,-3913.5859375
142.528571428571,12.3,-3935.43603515625
142.545378151261,12.3,-3971.65966796875
142.56218487395,12.3,-3990.52978515625
142.578991596639,12.3,-4074.76977539062
142.595798319328,12.3,-4169.39990234375
142.612605042017,12.3,-4189.52978515625
142.629411764706,12.3,-4174.24951171875
142.646218487395,12.3,-4019.76977539062
142.663025210084,12.3,-3888.73974609375
142.679831932773,12.3,-3991.05590820312
142.696638655462,12.3,-4031.4560546875
142.713445378151,12.3,-4049.6259765625
142.73025210084,12.3,-4062.31591796875
142.747058823529,12.3,-4092.36596679688
142.763865546218,12.3,-4085.15600585938
142.780672268908,12.3,-4120.89599609375
142.797478991597,12.3,-4153.09619140625
142.814285714286,12.3,-4183.3857421875
142.831092436975,12.3,-4140.8359375
142.847899159664,12.3,-4155.67578125
142.864705882353,12.3,-4189.35595703125
142.881512605042,12.3,-4196.8857421875
142.898319327731,12.3,-4181.435546875
142.91512605042,12.3,-4172.8759765625
142.931932773109,12.3,-4103.6259765625
142.948739495798,12.3,-3977.43505859375
142.965546218487,12.3,-3900.53491210938
142.982352941176,12.3,-3799.8349609375
142.999159663866,12.3,-3800.9150390625
143.015966386555,12.3,-3825.80493164062
143.032773109244,12.3,-3822.44506835938
143.049579831933,12.3,-3840.125
143.066386554622,12.3,-3861.705078125
143.083193277311,12.3,-3841.9921875
143.1,12.3,-3881.34204101562
141.1,12.2831932773109,-5344.271484375
141.116806722689,12.2831932773109,-5333.1611328125
141.133613445378,12.2831932773109,-5393.361328125
141.150420168067,12.2831932773109,-5460.63134765625
141.167226890756,12.2831932773109,-5481.78125
141.184033613445,12.2831932773109,-5474.80126953125
141.200840336134,12.2831932773109,-5389.43408203125
141.217647058824,12.2831932773109,-5333.36376953125
141.234453781513,12.2831932773109,-5300.59375
141.251260504202,12.2831932773109,-5127.34375
141.268067226891,12.2831932773109,-4715.5439453125
141.28487394958,12.2831932773109,-4610.8837890625
141.301680672269,12.2831932773109,-4669.93408203125
141.318487394958,12.2831932773109,-4825.5537109375
141.335294117647,12.2831932773109,-4973.18115234375
141.352100840336,12.2831932773109,-5043.01123046875
141.368907563025,12.2831932773109,-5128.7412109375
141.385714285714,12.2831932773109,-5154.87109375
141.402521008403,12.2831932773109,-5184.69140625
141.419327731092,12.2831932773109,-5172.81103515625
141.436134453782,12.2831932773109,-4927.84130859375
141.452941176471,12.2831932773109,-4620.111328125
141.46974789916,12.2831932773109,-4390.99658203125
141.486554621849,12.2831932773109,-4018.11645507812
141.503361344538,12.2831932773109,-3856.25634765625
141.520168067227,12.2831932773109,-4111.36669921875
141.536974789916,12.2831932773109,-4321.33642578125
141.553781512605,12.2831932773109,-4035.13647460938
141.570588235294,12.2831932773109,-3907.0263671875
141.587394957983,12.2831932773109,-3800.56640625
141.604201680672,12.2831932773109,-3763.41259765625
141.621008403361,12.2831932773109,-3649.69262695312
141.63781512605,12.2831932773109,-3353.392578125
141.654621848739,12.2831932773109,-3144.91259765625
141.671428571429,12.2831932773109,-2910.49267578125
141.688235294118,12.2831932773109,-2730.32275390625
141.705042016807,12.2831932773109,-2291.63256835938
141.721848739496,12.2831932773109,-2166.6826171875
141.738655462185,12.2831932773109,-2200.92895507812
141.755462184874,12.2831932773109,-2297.08911132812
141.772268907563,12.2831932773109,-2353.09912109375
141.789075630252,12.2831932773109,-1989.48901367188
141.805882352941,12.2831932773109,-1816.95910644531
141.82268907563,12.2831932773109,-1995.56909179688
141.839495798319,12.2831932773109,-2155.84912109375
141.856302521008,12.2831932773109,-2306.19897460938
141.873109243697,12.2831932773109,-2319.59814453125
141.889915966387,12.2831932773109,-2183.0380859375
141.906722689076,12.2831932773109,-2160.74829101562
141.923529411765,12.2831932773109,-2211.27807617188
141.940336134454,12.2831932773109,-2257.04809570312
141.957142857143,12.2831932773109,-2319.54809570312
141.973949579832,12.2831932773109,-2326.70825195312
141.990756302521,12.2831932773109,-2174.63818359375
142.00756302521,12.2831932773109,-2101.85302734375
142.024369747899,12.2831932773109,-1994.26306152344
142.041176470588,12.2831932773109,-1842.123046875
142.057983193277,12.2831932773109,-1669.07299804688
142.074789915966,12.2831932773109,-1587.5830078125
142.091596638655,12.2831932773109,-1639.70300292969
142.108403361345,12.2831932773109,-1739.73303222656
142.125210084034,12.2831932773109,-1807.373046875
142.142016806723,12.2831932773109,-1946.87158203125
142.158823529412,12.2831932773109,-2162.50146484375
142.175630252101,12.2831932773109,-2402.91162109375
142.19243697479,12.2831932773109,-2586.71166992188
142.209243697479,12.2831932773109,-2707.431640625
142.226050420168,12.2831932773109,-2897.92163085938
142.242857142857,12.2831932773109,-3074.431640625
142.259663865546,12.2831932773109,-3222.01147460938
142.276470588235,12.2831932773109,-3361.96240234375
142.293277310924,12.2831932773109,-3398.64233398438
142.310084033613,12.2831932773109,-3377.87231445312
142.326890756303,12.2831932773109,-3442.16235351562
142.343697478992,12.2831932773109,-3494.92236328125
142.360504201681,12.2831932773109,-3538.10229492188
142.37731092437,12.2831932773109,-3553.47241210938
142.394117647059,12.2831932773109,-3543.95239257812
142.410924369748,12.2831932773109,-3623.14599609375
142.427731092437,12.2831932773109,-3709.72607421875
142.444537815126,12.2831932773109,-3779.48583984375
142.461344537815,12.2831932773109,-3855.07592773438
142.478151260504,12.2831932773109,-3891.78588867188
142.494957983193,12.2831932773109,-3946.94604492188
142.511764705882,12.2831932773109,-3984.1259765625
142.528571428571,12.2831932773109,-4009.85595703125
142.545378151261,12.2831932773109,-4021.51977539062
142.56218487395,12.2831932773109,-4033.8896484375
142.578991596639,12.2831932773109,-4108.7197265625
142.595798319328,12.2831932773109,-4165.86962890625
142.612605042017,12.2831932773109,-4192.8896484375
142.629411764706,12.2831932773109,-4195.90966796875
142.646218487395,12.2831932773109,-4130.51953125
142.663025210084,12.2831932773109,-4118.52978515625
142.679831932773,12.2831932773109,-4140.3359375
142.696638655462,12.2831932773109,-4070.30590820312
142.713445378151,12.2831932773109,-4050.19604492188
142.73025210084,12.2831932773109,-4104.99609375
142.747058823529,12.2831932773109,-4093.0859375
142.763865546218,12.2831932773109,-4087.666015625
142.780672268908,12.2831932773109,-4097.166015625
142.797478991597,12.2831932773109,-4140.3759765625
142.814285714286,12.2831932773109,-4178.6259765625
142.831092436975,12.2831932773109,-4114.0458984375
142.847899159664,12.2831932773109,-4124.8359375
142.864705882353,12.2831932773109,-4081.755859375
142.881512605042,12.2831932773109,-4088.64575195312
142.898319327731,12.2831932773109,-4116.935546875
142.91512605042,12.2831932773109,-4156.185546875
142.931932773109,12.2831932773109,-4125.3759765625
142.948739495798,12.2831932773109,-4007.125
142.965546218487,12.2831932773109,-3940.17504882812
142.982352941176,12.2831932773109,-3850.205078125
142.999159663866,12.2831932773109,-3800.455078125
143.015966386555,12.2831932773109,-3796.34497070312
143.032773109244,12.2831932773109,-3872.27490234375
143.049579831933,12.2831932773109,-3866.5048828125
143.066386554622,12.2831932773109,-3890.39501953125
143.083193277311,12.2831932773109,-3900.34204101562
143.1,12.2831932773109,-3919.01220703125
141.1,12.2663865546218,-5310.3486328125
141.116806722689,12.2663865546218,-5341.11865234375
141.133613445378,12.2663865546218,-5400.8486328125
141.150420168067,12.2663865546218,-5445.6787109375
