Day,Month,Year,Day of year,OITO_F_1,OITO_F_2,OITO_F_3,OITO_F_25,OITO_M_1,OITO_M_2,OITO_M_3,OITO_M_25,OITO_C_1,OITO_C_2,OITO_C_3,OITO_C_25,OITO_J_1,OITO_J_2,OITO_J_3,OITO_1,OITO_2,OITO_3,OITO_25,MIC_A_1,MIC_A_2,MIC_A_3,MIC_A_25,MIC_C_1,MIC_C_2,MIC_C_3,MIC_C_25,MIC_J_1,MIC_N0_J_2,MIC_J_3,MIC_J_25,MIC_N_1,MIC_N_2,MIC_N_3,MIC_N_25,MIC_1,MIC_2,MIC_3,MIC_25
30,8,1976,240,4500,1675,234,2805,200,67,26,120,1600,1340,156,1444,0,134,5,6300,3216,421,4450,0,0,0,0,100,2,5,41,0,0,0,0,0,0,0,0,100,2,5,41
9,9,1976,250,1100,13,84,448,100,0,0,40,5400,1340,84,2964,10,7,1,6610,1360,169,3460,0,0,0,0,3,2,1,2,0,0,0,0,0,0,0,0,3,2,1,2
20,9,1976,260,500,536,0,522,10,0,0,4,2900,2814,378,2848,30,13,5,3440,3363,383,3394,0,0,0,0,3,7,1,5,0,0,0,0,0,0,0,0,3,7,1,5
30,9,1976,270,100,737,3,482,0,7,0,4,2400,3283,312,2930,100,67,5,2600,4094,320,3496,0,0,0,0,20,2,1,9,0,0,0,0,0,1,0,1,20,3,1,10
9,10,1976,280,100,134,1,120,0,3,0,2,1600,2010,182,1846,10,0,3,1710,2147,186,1972,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20,10,1976,290,100,134,3,120,5,0,0,2,2950,2178,390,2487,30,67,3,3085,2379,396,2661,0,0,0,0,1,34,1,21,0,0,0,0,0,0,0,0,1,34,1,21
30,10,1976,300,50,134,5,100,3,2,1,2,1300,1843,416,1626,0,2,0,1353,1981,422,1730,0,0,0,0,1,2,1,2,0,2,0,1,0,0,0,0,1,4,1,3
10,11,1976,310,150,134,3,140,1,0,1,0,2350,2000,182,2140,0,0,0,2501,2134,186,2281,0,0,0,0,3,3,1,3,0,0,0,0,0,0,0,0,3,3,1,3
20,11,1976,320,50,67,0,60,0,0,0,0,750,771,41,763,0,0,0,800,838,41,823,0,0,0,0,10,34,14,24,0,0,0,0,0,0,0,0,10,34,14,24
29,11,1976,330,20,7,27,12,5,3,1,4,500,570,438,542,0,0,14,525,580,480,558,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,10,0,0,4
NA,NA,1976,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1976,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1976,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1977,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1977,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1977,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1977,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,1977,50,10,42,1,29,0,0,0,0,250,620,3,472,0,0,0,260,662,4,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,1977,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1977,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,1977,80,300,13,3,128,5,1,1,3,1400,67,27,600,10,3,0,1715,84,31,736,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
NA,NA,1977,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1977,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4,1977,110,50,7,0,24,10,4,1,6,1000,141,5,485,0,0,0,1060,152,6,515,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
27,4,1977,120,400,20,26,172,200,7,26,84,4700,536,78,2202,0,0,0,5300,563,130,2458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,1977,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1977,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,1977,150,300,20,0,132,100,3,0,42,200,13,1,88,100,0,1,700,36,2,302,5,1,1,3,3,0,1,1,0,0,0,0,0,0,0,0,8,1,2,4
13,6,1977,160,4400,5200,475,4880,500,871,75,723,700,200,0,400,0,0,0,5600,6271,550,6003,20,7,0,12,30,20,0,24,0,0,0,0,0,0,0,0,50,27,0,36
16,6,1977,170,3100,1000,0,1840,1200,63,1,518,1100,188,0,553,0,0,0,5400,1251,1,2911,30,3,1,14,30,2,0,13,0,0,0,0,0,0,0,0,60,5,1,27
30,6,1977,180,4000,536,5,1922,100,7,1,44,30,134,5,92,30,0,3,4160,677,14,2070,30,0,1,12,100,20,1,52,0,0,0,0,0,0,0,0,130,20,2,64
10,7,1977,190,1300,335,25,721,200,67,0,120,5700,134,75,2360,600,33,25,7800,569,125,3461,100,0,5,40,100,33,1,60,0,0,3,0,1,1,0,1,201,34,9,101
19,7,1977,200,4600,1400,54,2680,1100,670,0,842,12500,2300,243,6380,200,67,27,18400,4437,324,10022,100,7,3,44,50,7,0,24,0,0,0,0,0,0,0,0,150,14,3,68
30,7,1977,210,7600,3000,168,4840,2000,268,28,961,6900,2814,139,4448,100,67,0,16600,6149,335,10329,0,0,0,0,5,1,0,3,0,0,0,0,0,0,0,0,5,1,0,3
10,8,1977,220,7050,4767,359,5680,1350,1234,11,1280,7200,4055,529,5313,255,51,3,15855,10107,901,12406,2,0,0,1,65,104,7,88,1,17,0,10,3,1,1,1,69.5,121,7.5,100
20,8,1977,230,5000,1518,78,2911,600,134,0,320,3700,1135,210,2161,100,67,13,9400,2854,301,5472,0,0,0,0,300,20,13,132,20,7,26,12,0,1,0,1,320,28,39,145
29,8,1977,240,2100,400,81,1080,900,200,1,480,6800,4050,108,5150,600,200,55,10400,4850,245,7070,0,0,0,0,0,1,1,1,10,1,1,5,0,0,0,0,10,2,2,5
10,9,1977,250,800,1750,57,1370,10,7,0,8,13000,9750,400,11050,200,134,28,14010,11641,485,12589,0,0,0,0,20,1,1,9,5,0,1,2,0,0,0,0,25,1,2,11
21,9,1977,260,200,600,1,440,100,3,0,42,3800,6370,735,5342,700,670,52,4800,7643,788,6506,0,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,2,2,3,2
30,9,1977,270,1200,400,5,720,10,67,0,44,8700,5300,156,6660,400,13,0,10310,5780,161,7592,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1
10,10,1977,280,1200,400,82,720,10,0,3,4,4900,4550,1500,4690,1500,134,305,7610,5084,1890,6094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10,1977,290,700,134,8,360,10,7,3,8,7100,3600,568,5000,300,67,8,8110,3808,587,5529,0,0,0,0,10,0,1,4,0,0,0,0,0,0,0,0,10,0,1,4
30,10,1977,300,200,200,8,200,100,0,0,40,7100,6499,676,6739,100,67,52,7500,6766,736,7060,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,11,1977,310,500,67,104,240,100,0,5,40,7300,5293,806,6096,200,67,130,8100,5427,1045,6496,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,3,0,2,1
20,11,1977,320,200,134,8,160,0,0,0,0,6400,3216,780,4490,0,134,26,6600,3484,814,4730,0,0,0,0,5,1,1,3,0,0,1,0,0,0,0,0,5,1,2,3
30,11,1977,330,500,134,52,280,0,0,0,0,3200,2010,728,2486,1200,335,104,4900,2479,884,3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,12,1977,340,100,201,7,161,0,0,0,0,2000,1608,91,1765,900,67,7,3000,1876,105,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,1977,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1977,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1978,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,1978,20,20,34,0,28,0,0,0,0,900,972,3,943,0,34,0,920,1040,3,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,1978,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1978,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,1978,50,30,0,0,12,0,0,0,0,150,13,9,68,0,0,0,180,13,9,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NA,NA,1978,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1978,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,3,1978,80,50,34,0,40,0,0,0,0,850,134,8,420,30,0,0,930,168,8,473,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1
NA,NA,1978,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1978,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,4,1978,110,150,7,3,64,150,7,0,64,3250,1000,148,1900,0,7,0,3550,1021,151,2033,0,0,0,0,3,3,2,3,0,0,0,0,0,0,0,0,3,3,2,3
NA,NA,1978,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5,1978,130,5,34,3,22,1,7,1,5,20,167,113,108,0,34,0,26,242,117,156,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1
NA,NA,1978,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,5,1978,150,2100,1206,25,1564,1700,667,5,1080,1800,335,380,921,0,0,0,5600,2208,410,3565,3,0,1,1,5,2,1,3,0,0,0,0,0,0,0,0,8,2,2,4
11,6,1978,160,1500,67,3,640,100,0,0,40,500,20,3,212,100,0,1,2200,87,7,932,3,0,1,1,3,3,1,3,0,0,0,0,0,0,0,0,6,3,2,4
19,6,1978,170,2800,5695,26,4537,1000,134,0,480,2300,200,8,1040,300,67,0,6400,6096,34,6218,30,0,0,12,100,0,1,40,0,0,0,0,0,0,0,0,130,0,1,52
29,6,1978,180,5400,2000,290,3360,1300,67,3,560,1500,67,58,640,300,0,6,8500,2134,357,4680,10,3,1,6,0,7,3,4,0,0,0,0,5,0,6,2,15,10,10,12
12,7,1978,190,2700,1809,26,2165,200,200,5,200,5900,1340,26,3164,700,200,5,9500,3549,62,5929,0,0,0,0,5,3,1,4,0,2,0,1,3,0,1,1,8,5,2,6
20,7,1978,200,2600,2948,156,2809,1500,804,8,1082,4300,1675,78,2725,300,268,26,8700,5695,268,6897,20,2,0,9,20,7,1,12,30,7,1,16,700,7,8,284,770,23,10,322
31,7,1978,210,5300,804,25,2602,700,20,1,292,2300,335,25,1121,1100,134,25,9400,1293,76,4536,0,0,0,0,0,0,0,0,3,0,0,1,0,2,1,1,3,2,1,2
10,8,1978,220,9400,667,78,4160,1000,20,5,412,5100,1067,104,2680,1700,737,26,17200,2491,213,8375,0,0,0,0,3,0,1,1,10,1,1,5,0,0,0,0,13,1,2,6
21,8,1978,230,5400,737,26,2602,400,33,5,180,7200,1536,13,3802,1400,67,3,14400,2373,47,7184,0,0,0,0,30,0,1,12,0,0,0,0,0,0,0,0,30,0,1,12
31,8,1978,240,8600,1600,4,4400,2000,270,1,962,4300,2080,5,2968,500,0,0,15400,3950,10,8530,0,0,0,0,100,134,0,120,0,0,0,0,0,0,0,0,100,134,0,120
9,9,1978,250,1400,134,104,640,100,0,1,40,2200,3000,546,2680,2300,871,260,6000,4005,911,4803,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1
20,9,1978,260,1000,134,56,480,100,7,1,44,4600,3840,280,4144,2200,2150,56,7900,6131,393,6839,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1
30,9,1978,270,1700,938,196,1243,10,7,0,8,6800,4150,1510,5210,1300,1470,84,9810,6565,1790,7863,0,0,0,0,3,2,1,2,3,2,0,2,0,0,0,0,6,4,1,5
9,10,1978,280,1700,1200,670,1400,100,13,0,48,9400,5900,52,7300,900,268,26,12100,7381,748,9269,0,0,0,0,10,1,1,5,0,0,0,0,0,0,0,0,10,1,1,5
22,10,1978,290,300,67,93,160,10,0,0,4,1400,2077,310,1806,100,7,3,1810,2151,406,2015,0,0,0,0,10,3,0,6,0,0,0,0,0,0,0,0,10,3,0,6
1,11,1978,300,0,0,26,0,0,0,0,0,3800,2211,364,2847,100,134,0,3900,2345,390,2967,0,0,0,0,10,1,1,5,0,0,0,0,0,0,0,0,10,1,1,5
11,11,1978,310,100,67,1,80,0,0,0,0,2600,1742,377,2085,100,0,29,2800,1809,407,2205,0,0,0,0,10,2,1,5,0,0,1,0,0,0,0,0,10,2,2,5
19,11,1978,320,200,13,0,88,0,0,0,0,2700,2747,125,2728,100,20,5,3000,2780,130,2868,0,0,0,0,20,3,1,10,0,1,0,1,0,0,0,0,20,4,1,10
1,12,1978,330,0,7,25,4,0,0,0,0,2500,4556,100,3734,0,0,25,2500,4563,150,3738,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,0,5,3,0,4
10,12,1978,340,10,7,0,8,0,0,0,0,1300,2144,100,1806,0,0,0,1310,2151,100,1815,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
NA,NA,1978,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1978,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1979,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1979,20,3,67,3,41,0,0,0,0,700,536,26,602,0,0,0,703,603,29,643,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1
NA,NA,1979,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1979,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,1979,50,5,0,1,2,0,0,0,0,200,167,13,180,0,0,0,205,167,14,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,1979,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1979,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,3,1979,80,0,0,1,0,0,0,0,0,600,67,6,280,0,0,0,600,67,7,280,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,1979,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1979,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4,1979,110,5,13,1,10,3,0,0,1,900,234,13,500,0,7,0,908,254,14,516,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,1979,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1979,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,5,1979,140,18,4,1,9,20,4,1,10,1900,235,22,901,200,10,3,2138,252,26,1006,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0.5,0.5,1.5,1
30,5,1979,150,30,4,5,14,200,4,1,82,2300,213,26,1048,0,0,0,2530,221,32,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,1979,160,1400,20,8,572,300,20,3,132,1000,20,8,412,0,0,0,2700,60,19,1116,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
21,6,1979,170,3600,67,81,1480,700,67,5,320,800,67,5,360,0,0,1,5100,201,92,2161,3,0,0,1,3,0,1,1,3,2,0,2,0,0,0,0,9,2,1,5
1,7,1979,180,4700,2000,58,3080,300,200,3,240,200,0,6,80,0,2,0,5200,2202,67,3401,30,13,0,20,100,20,3,52,0,0,0,0,0,0,0,0,130,33,3,72
10,7,1979,190,2500,1200,1,1720,30,0,0,12,1200,67,0,520,700,0,5,4430,1267,6,2532,100,0,3,40,200,7,3,84,0,0,0,0,30,0,0,12,330,7,6,136
20,7,1979,200,3800,600,78,1880,300,20,0,132,5500,400,52,2440,4800,469,8,14400,1489,138,6653,100,0,0,40,30,13,0,20,0,0,1,0,0,1,0,1,130,14,1,60
30,7,1979,210,3900,1540,26,2484,400,134,0,240,6000,871,52,2923,3600,800,26,13900,3345,104,7567,0,0,0,0,3,2,1,2,0,2,0,1,0,2,0,1,3,6,1,5
9,8,1979,220,8000,2881,52,4929,1800,268,26,881,15000,3819,104,8291,1400,737,26,26200,7705,208,15103,0,0,0,0,300,3,3,122,200,134,8,160,200,67,1,120,700,204,12,402
20,8,1979,230,1500,67,9,640,300,7,3,124,2300,67,116,960,500,20,0,4600,161,128,1937,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,2,1,2
30,8,1979,240,1500,3015,26,2409,600,200,26,360,1400,2000,104,1760,500,0,52,4000,5215,208,4729,0,0,0,0,10,0,1,4,0,0,0,0,0,0,0,0,10,0,1,4
10,9,1979,250,1700,200,9,800,300,0,0,120,4900,1340,87,2764,600,469,116,7500,2009,212,4205,0,0,0,0,5,1,1,3,3,0,1,1,0,0,0,0,8,1,2,4
20,9,1979,260,700,134,54,360,30,7,8,16,7600,3819,972,5331,1200,1809,8,9530,5769,1042,7273,0,0,0,0,30,3,1,14,0,0,0,0,0,0,0,0,30,3,1,14
1,10,1979,270,1400,20,29,572,30,20,0,24,7600,2948,493,4809,800,67,58,9830,3055,580,5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1979,280,900,67,0,400,300,20,0,132,11400,3082,26,6409,400,67,0,13000,3236,26,7142,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,7,0,4
20,10,1979,290,400,268,3,321,30,7,0,16,3100,3685,988,3451,600,13,3,4130,3973,994,4036,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,3,3,0,3
31,10,1979,300,500,200,9,320,30,0,3,12,5600,4623,1537,5014,100,67,99,6230,4890,1648,5426,0,0,0,0,10,0,1,4,0,0,0,0,0,0,0,0,10,0,1,4
11,11,1979,310,100,67,8,80,0,0,0,0,8700,2814,390,5168,300,67,26,9100,2948,424,5409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,11,1979,320,30,20,29,24,0,2,0,1,3700,1876,319,2606,200,67,9,3930,1965,357,2751,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
29,11,1979,330,0,20,29,12,0,0,0,0,600,603,609,602,100,67,9,700,690,647,694,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1
11,12,1979,340,30,67,4,52,0,0,0,0,1300,469,680,801,200,20,12,1530,556,696,946,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
NA,NA,1979,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1979,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1980,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1980,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1980,30,5,67,0,42,0,0,0,0,360,436,570,406,0,0,0,365,503,570,448,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,1980,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,1980,50,0,0,0,0,0,0,0,0,150,33,3,80,0,0,0,150,33,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1980,60,20,10,0,14,0,0,0,0,100,67,13,80,0,0,0,120,77,13,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,1980,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,3,1980,80,0,0,0,0,1,0,0,0,200,34,4,100,0,0,0,201,34,4,101,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1
NA,NA,1980,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4,1980,100,0,0,0,0,0,0,1,0,850,267,0,500,0,0,0,850,267,1,500,0,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,5,0,1,2
