Day,Month,Year,Day of year,OITO_F_1,OITO_F_2,OITO_F_3,OITO_F_25,OITO_M_1,OITO_M_2,OITO_M_3,OITO_M_25,OITO_C_1,OITO_C_2,OITO_C_3,OITO_C_25,OITO_J_1,OITO_J_2,OITO_J_3,OITO_1,OITO_2,OITO_3,OITO_25,MIC_A_1,MIC_A_2,MIC_A_3,MIC_A_25,MIC_C_1,MIC_C_2,MIC_C_3,MIC_C_25,MIC_J_1,MIC_N0_J_2,MIC_J_3,MIC_J_25,MIC_N_1,MIC_N_2,MIC_N_3,MIC_N_25,MIC_1,MIC_2,MIC_3,MIC_25
28,9,1961,270,798,0,0,319,20,0,20,8,5467,1360,65,3003,NA,NA,NA,6285,1360,85,3330,0,0,0,0,83,74,36,78,0,0,0,0,0,0,0,0,83,74,36,78
10,10,1961,280,350,488,110,433,100,20,20,52,3500,6580,1005,5348,NA,NA,NA,3950,7088,1135,5833,0,0,0,0,20,224,126,142,0,0,0,0,0,0,0,0,20,224,126,142
20,10,1961,290,880,294,31,528,220,20,20,100,5778,3195,675,4228,NA,NA,NA,6878,3509,726,4857,0,0,0,0,220,20,20,100,0,0,0,0,0,0,0,0,220,20,20,100
2,11,1961,300,110,147,149,132,0,20,20,12,2200,3240,1100,2824,NA,NA,NA,2310,3407,1269,2968,0,0,0,0,20,147,30,96,0,0,0,0,0,0,0,0,20,147,30,96
13,11,1961,310,1045,450,0,688,165,100,0,126,12850,8950,334,10510,NA,NA,NA,14060,9500,334,11324,0,0,0,0,110,20,0,56,0,0,0,0,0,0,0,0,110,20,0,56
21,11,1961,320,935,220,199,506,20,0,20,8,10210,6400,2060,7924,NA,NA,NA,11165,6620,2279,8438,0,0,0,0,110,20,20,56,0,0,0,0,0,0,0,0,110,20,20,56
30,11,1961,330,605,809,104,727,0,20,20,12,6650,6475,909,6545,NA,NA,NA,7255,7304,1033,7284,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,0,20,20,0,20
9,12,1961,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1961,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1961,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1962,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1962,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,1962,30,20,20,0,20,0,0,0,0,1540,2713,46,2244,NA,NA,NA,1560,2733,46,2264,0,0,0,0,0,20,31,12,0,0,0,0,0,0,0,0,0,20,31,12
10,2,1962,40,20,0,0,8,0,0,0,0,250,10,0,106,NA,NA,NA,270,10,0,114,0,0,0,0,20,0,0,8,0,0,0,0,0,0,0,0,20,0,0,8
20,2,1962,50,0,0,10,0,0,0,0,0,20,74,10,52,NA,NA,NA,20,74,20,52,0,0,0,0,0,20,10,12,0,0,0,0,0,0,0,0,0,20,10,12
1,3,1962,60,0,0,0,0,0,0,0,0,110,20,20,56,NA,NA,NA,110,20,20,56,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,20,20,20,20
10,3,1962,70,0,0,0,0,0,0,0,0,20,46,0,36,NA,NA,NA,20,46,0,36,0,0,0,0,0,20,1,12,0,0,0,0,0,0,0,0,0,20,1,12
21,3,1962,80,0,0,0,0,0,0,0,0,82,20,20,45,NA,NA,NA,82,20,20,45,0,0,0,0,20,110,81,74,0,0,0,0,0,0,0,0,20,110,81,74
31,3,1962,90,0,20,0,12,0,0,0,0,0,0,20,0,NA,NA,NA,0,20,20,12,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,20,20,20,20
10,4,1962,100,0,0,0,0,0,0,0,0,20,20,0,20,NA,NA,NA,20,20,0,20,0,0,0,0,0,110,20,66,0,0,0,0,0,0,0,0,0,110,20,66
20,4,1962,110,20,0,0,8,0,0,0,0,165,73,0,110,NA,NA,NA,185,73,0,118,0,0,0,0,20,20,27,20,0,0,0,0,0,0,0,0,20,20,27,20
28,4,1962,120,0,0,0,0,0,0,0,0,440,20,20,188,NA,NA,NA,440,20,20,188,0,0,0,0,110,147,20,132,0,0,0,0,0,0,0,0,110,147,20,132
