"long","lat","order","hole","piece","id","group"
151.566722,59.50125,1,FALSE,"1","0","0.1"
151.564972,59.502083,2,FALSE,"1","0","0.1"
151.550056,59.502083,3,FALSE,"1","0","0.1"
151.548333,59.502917,4,FALSE,"1","0","0.1"
151.541583,59.502917,5,FALSE,"1","0","0.1"
151.54,59.503694,6,FALSE,"1","0","0.1"
151.533306,59.503722,7,FALSE,"1","0","0.1"
151.531639,59.504556,8,FALSE,"1","0","0.1"
151.526722,59.504583,9,FALSE,"1","0","0.1"
151.525,59.503694,10,FALSE,"1","0","0.1"
151.518333,59.503722,11,FALSE,"1","0","0.1"
151.508361,59.50875,12,FALSE,"1","0","0.1"
151.506694,59.508722,13,FALSE,"1","0","0.1"
151.504139,59.509972,14,FALSE,"1","0","0.1"
151.504111,59.510806,15,FALSE,"1","0","0.1"
151.499167,59.513333,16,FALSE,"1","0","0.1"
151.499111,59.514972,17,FALSE,"1","0","0.1"
151.495778,59.516639,18,FALSE,"1","0","0.1"
151.495889,59.5175,19,FALSE,"1","0","0.1"
151.494139,59.518333,20,FALSE,"1","0","0.1"
151.494167,59.52,21,FALSE,"1","0","0.1"
151.492472,59.520778,22,FALSE,"1","0","0.1"
151.492472,59.523278,23,FALSE,"1","0","0.1"
151.490833,59.524111,24,FALSE,"1","0","0.1"
151.490833,59.526639,25,FALSE,"1","0","0.1"
151.489111,59.527472,26,FALSE,"1","0","0.1"
151.489139,59.534139,27,FALSE,"1","0","0.1"
151.490806,59.534944,28,FALSE,"1","0","0.1"
151.490778,59.535806,29,FALSE,"1","0","0.1"
151.492444,59.536639,30,FALSE,"1","0","0.1"
151.492472,59.540806,31,FALSE,"1","0","0.1"
151.490028,59.542083,32,FALSE,"1","0","0.1"
151.488361,59.542056,33,FALSE,"1","0","0.1"
151.485056,59.543722,34,FALSE,"1","0","0.1"
151.483333,59.543722,35,FALSE,"1","0","0.1"
151.481639,59.544556,36,FALSE,"1","0","0.1"
151.479944,59.544583,37,FALSE,"1","0","0.1"
151.478306,59.545417,38,FALSE,"1","0","0.1"
151.476667,59.545389,39,FALSE,"1","0","0.1"
151.475028,59.54625,40,FALSE,"1","0","0.1"
151.473333,59.546222,41,FALSE,"1","0","0.1"
151.463361,59.551222,42,FALSE,"1","0","0.1"
151.461667,59.551222,43,FALSE,"1","0","0.1"
151.459917,59.552056,44,FALSE,"1","0","0.1"
151.458361,59.552028,45,FALSE,"1","0","0.1"
151.456639,59.552861,46,FALSE,"1","0","0.1"
151.45325,59.552889,47,FALSE,"1","0","0.1"
151.448306,59.555389,48,FALSE,"1","0","0.1"
151.446611,59.555417,49,FALSE,"1","0","0.1"
151.443306,59.557111,50,FALSE,"1","0","0.1"
151.441611,59.557083,51,FALSE,"1","0","0.1"
151.424139,59.565833,52,FALSE,"1","0","0.1"
151.424194,59.566611,53,FALSE,"1","0","0.1"
151.422472,59.567472,54,FALSE,"1","0","0.1"
151.422417,59.568306,55,FALSE,"1","0","0.1"
151.420833,59.569139,56,FALSE,"1","0","0.1"
151.420778,59.57,57,FALSE,"1","0","0.1"
151.421667,59.570417,58,FALSE,"1","0","0.1"
151.423333,59.570389,59,FALSE,"1","0","0.1"
151.425028,59.57125,60,FALSE,"1","0","0.1"
151.426722,59.570417,61,FALSE,"1","0","0.1"
151.43325,59.570389,62,FALSE,"1","0","0.1"
151.434972,59.569556,63,FALSE,"1","0","0.1"
151.436639,59.569556,64,FALSE,"1","0","0.1"
151.440833,59.5675,65,FALSE,"1","0","0.1"
151.440833,59.566639,66,FALSE,"1","0","0.1"
151.442444,59.565806,67,FALSE,"1","0","0.1"
151.442472,59.564972,68,FALSE,"1","0","0.1"
151.444222,59.564139,69,FALSE,"1","0","0.1"
151.444167,59.563333,70,FALSE,"1","0","0.1"
151.45,59.560417,71,FALSE,"1","0","0.1"
151.451556,59.560389,72,FALSE,"1","0","0.1"
151.453306,59.559556,73,FALSE,"1","0","0.1"
151.455028,59.559528,74,FALSE,"1","0","0.1"
151.456611,59.55875,75,FALSE,"1","0","0.1"
151.458278,59.558694,76,FALSE,"1","0","0.1"
151.460028,59.557861,77,FALSE,"1","0","0.1"
151.461694,59.557889,78,FALSE,"1","0","0.1"
151.463306,59.557056,79,FALSE,"1","0","0.1"
151.464972,59.557083,80,FALSE,"1","0","0.1"
151.466611,59.556222,81,FALSE,"1","0","0.1"
151.473333,59.55625,82,FALSE,"1","0","0.1"
151.474111,59.556667,83,FALSE,"1","0","0.1"
151.465861,59.560778,84,FALSE,"1","0","0.1"
151.465778,59.561639,85,FALSE,"1","0","0.1"
151.464972,59.562028,86,FALSE,"1","0","0.1"
151.463278,59.562056,87,FALSE,"1","0","0.1"
151.4625,59.562444,88,FALSE,"1","0","0.1"
151.462472,59.563306,89,FALSE,"1","0","0.1"
151.455778,59.566667,90,FALSE,"1","0","0.1"
151.455861,59.5675,91,FALSE,"1","0","0.1"
151.452556,59.569194,92,FALSE,"1","0","0.1"
151.452472,59.569972,93,FALSE,"1","0","0.1"
151.451667,59.570361,94,FALSE,"1","0","0.1"
151.449972,59.570417,95,FALSE,"1","0","0.1"
151.449194,59.570806,96,FALSE,"1","0","0.1"
151.449167,59.571667,97,FALSE,"1","0","0.1"
151.445806,59.573333,98,FALSE,"1","0","0.1"
151.445778,59.574111,99,FALSE,"1","0","0.1"
151.440833,59.576639,100,FALSE,"1","0","0.1"
151.440806,59.5775,101,FALSE,"1","0","0.1"
151.439167,59.578333,102,FALSE,"1","0","0.1"
151.439167,59.580833,103,FALSE,"1","0","0.1"
151.437444,59.581667,104,FALSE,"1","0","0.1"
151.437556,59.584111,105,FALSE,"1","0","0.1"
151.435861,59.584944,106,FALSE,"1","0","0.1"
151.43575,59.589167,107,FALSE,"1","0","0.1"
151.434972,59.589556,108,FALSE,"1","0","0.1"
151.428306,59.589611,109,FALSE,"1","0","0.1"
151.426611,59.590389,110,FALSE,"1","0","0.1"
151.423306,59.590389,111,FALSE,"1","0","0.1"
151.420778,59.591611,112,FALSE,"1","0","0.1"
151.420722,59.592472,113,FALSE,"1","0","0.1"
151.419167,59.593306,114,FALSE,"1","0","0.1"
151.419194,59.594167,115,FALSE,"1","0","0.1"
151.417472,59.595,116,FALSE,"1","0","0.1"
151.417444,59.595806,117,FALSE,"1","0","0.1"
151.415806,59.596639,118,FALSE,"1","0","0.1"
151.415778,59.5975,119,FALSE,"1","0","0.1"
151.414194,59.598333,120,FALSE,"1","0","0.1"
151.414222,59.599972,121,FALSE,"1","0","0.1"
151.412472,59.600806,122,FALSE,"1","0","0.1"
151.412417,59.601611,123,FALSE,"1","0","0.1"
151.410833,59.602444,124,FALSE,"1","0","0.1"
151.410806,59.603306,125,FALSE,"1","0","0.1"
151.409972,59.60375,126,FALSE,"1","0","0.1"
151.408306,59.603722,127,FALSE,"1","0","0.1"
151.406667,59.604556,128,FALSE,"1","0","0.1"
151.396639,59.604556,129,FALSE,"1","0","0.1"
151.395028,59.60375,130,FALSE,"1","0","0.1"
151.393306,59.603722,131,FALSE,"1","0","0.1"
151.391583,59.602889,132,FALSE,"1","0","0.1"
151.383333,59.602917,133,FALSE,"1","0","0.1"
151.381722,59.602028,134,FALSE,"1","0","0.1"
151.374944,59.602056,135,FALSE,"1","0","0.1"
151.373361,59.602889,136,FALSE,"1","0","0.1"
151.365028,59.602917,137,FALSE,"1","0","0.1"
151.3625,59.601639,138,FALSE,"1","0","0.1"
151.362556,59.599972,139,FALSE,"1","0","0.1"
151.360806,59.599139,140,FALSE,"1","0","0.1"
151.36075,59.5975,141,FALSE,"1","0","0.1"
151.359139,59.596611,142,FALSE,"1","0","0.1"
151.359194,59.592528,143,FALSE,"1","0","0.1"
151.357444,59.591639,144,FALSE,"1","0","0.1"
151.3575,59.588278,145,FALSE,"1","0","0.1"
151.355861,59.5875,146,FALSE,"1","0","0.1"
151.355833,59.585806,147,FALSE,"1","0","0.1"
151.354194,59.584972,148,FALSE,"1","0","0.1"
151.354222,59.584139,149,FALSE,"1","0","0.1"
151.352472,59.583306,150,FALSE,"1","0","0.1"
151.3525,59.5825,151,FALSE,"1","0","0.1"
151.350778,59.581639,152,FALSE,"1","0","0.1"
151.350806,59.579972,153,FALSE,"1","0","0.1"
151.350056,59.579583,154,FALSE,"1","0","0.1"
151.348361,59.579556,155,FALSE,"1","0","0.1"
151.344083,59.5775,156,FALSE,"1","0","0.1"
151.344139,59.576639,157,FALSE,"1","0","0.1"
151.342472,59.575833,158,FALSE,"1","0","0.1"
151.342528,59.568361,159,FALSE,"1","0","0.1"
151.340889,59.567472,160,FALSE,"1","0","0.1"
151.340778,59.566611,161,FALSE,"1","0","0.1"
151.333333,59.562944,162,FALSE,"1","0","0.1"
151.331639,59.562917,163,FALSE,"1","0","0.1"
151.329139,59.561611,164,FALSE,"1","0","0.1"
151.329167,59.560833,165,FALSE,"1","0","0.1"
151.331611,59.559556,166,FALSE,"1","0","0.1"
151.333278,59.559556,167,FALSE,"1","0","0.1"
151.334194,59.559167,168,FALSE,"1","0","0.1"
151.334083,59.556667,169,FALSE,"1","0","0.1"
151.331667,59.555389,170,FALSE,"1","0","0.1"
151.303389,59.555417,171,FALSE,"1","0","0.1"
