"","sample.id","year","latitude","longitude","n.obs","evi.gs.avg","evi.gs.med","evi.gs.q90","evi.max","evi.max.lwr","evi.max.upr","evi.max.doy"
"1","S_1",2000,55.114413,159.945864,3,0.24963396789158,0.254201153749687,0.273798181450759,0.29489729220648,0.280401282415268,0.304758730939608,198
"2","S_1",2001,55.114413,159.945864,6,0.266588669480693,0.273377272680791,0.311874262258657,0.311874262258657,0.269878616132648,0.357651267855678,200
"3","S_1",2002,55.114413,159.945864,5,0.336501758299614,0.33875176557899,0.381058198538911,0.381058198538911,0.324062881917671,0.387454841502199,199
"4","S_1",2003,55.114413,159.945864,1,0.324805135259056,0.324805135259056,0.324805135259056,0.394357284251978,0.394357284251978,0.394357284251978,208
"5","S_1",2004,55.114413,159.945864,2,0.332760282755133,0.332760282755133,0.334202921719028,0.354811252048782,0.353007953343915,0.35661455075365,211
"6","S_1",2005,55.114413,159.945864,3,0.308380711746702,0.296550320789045,0.325285511470334,0.325285511470334,0.312027829719152,0.333110304686085,210
"7","S_1",2006,55.114413,159.945864,5,0.304969826528471,0.296621739022513,0.372139689775303,0.372139689775303,0.317637430142573,0.424733594272624,211
"8","S_1",2007,55.114413,159.945864,5,0.328591960269955,0.337731810195185,0.363817461099032,0.363817461099032,0.316252241179816,0.380992772346608,207
"9","S_1",2008,55.114413,159.945864,2,0.317197120503131,0.317197120503131,0.319921637073306,0.319921637073306,0.315378813219815,0.322190104645253,205
"10","S_1",2009,55.114413,159.945864,19,0.308453537052593,0.298745762850905,0.370982849485975,0.370982849485975,0.284704488218,0.393368578284927,201
"11","S_1",2010,55.114413,159.945864,2,0.320524684601486,0.320524684601486,0.321617281147901,0.321617281147901,0.319834429711044,0.322565921077081,203
"12","S_1",2011,55.114413,159.945864,3,0.296370726953385,0.322355617521718,0.323167478476747,0.334164047807276,0.314609085316401,0.335178874001062,183
"13","S_1",2012,55.114413,159.945864,6,0.3025462480173,0.290721489001017,0.336185156239255,0.345393475234874,0.337107265618099,0.363484683159826,184
"14","S_1",2013,55.114413,159.945864,8,0.271048667700806,0.261926726506917,0.303455087211618,0.330512532713751,0.325277557694513,0.410497857761628,193
"15","S_1",2014,55.114413,159.945864,8,0.321243327522264,0.333276869501992,0.364142735791546,0.364142735791546,0.326471904986343,0.389274628443357,194
"16","S_1",2015,55.114413,159.945864,8,0.300846092411821,0.304515530860227,0.330612643632407,0.331931920716983,0.307292352812913,0.368189602395698,193
"17","S_1",2016,55.114413,159.945864,11,0.32533712182404,0.319921911098789,0.348636076763049,0.348636076763049,0.319241696881573,0.392184399048018,194
"18","S_1",2017,55.114413,159.945864,13,0.330731738036452,0.32503287137773,0.370096495928326,0.370096495928326,0.306891555478382,0.428796720659463,195
"19","S_1",2018,55.114413,159.945864,9,0.33792268823976,0.332499807132134,0.389955867110125,0.389955867110125,0.347275240711773,0.401989271791133,196
"20","S_1",2019,55.114413,159.945864,5,0.34565595149534,0.342259142379803,0.376661723199265,0.376661723199265,0.359937652710272,0.376754434051811,195
"21","S_1",2020,55.114413,159.945864,15,0.347176084392484,0.343310606338815,0.382839382571935,0.382839382571935,0.346907308969865,0.398223712989451,196
"22","S_1",2021,55.114413,159.945864,16,0.316920410318047,0.315292795734555,0.364174959899644,0.364174959899644,0.287180351983135,0.404513223637674,183
"23","S_1",2022,55.114413,159.945864,16,0.302903973882003,0.31004374219168,0.343770186986533,0.343770186986533,0.307633512766613,0.373699344605385,183
