"","sample.id","year","latitude","longitude","n.obs","nirv.gs.avg","nirv.gs.med","nirv.gs.q90","nirv.max","nirv.max.lwr","nirv.max.upr","nirv.max.doy"
"1","S_10",2017,55.140443,159.972923,2,0.176639232222616,0.176639232222616,0.183867865649188,0.183867865649188,0.173066792789099,0.190862090315872,223
"2","S_10",2018,55.140443,159.972923,5,0.160121835637054,0.158110582900084,0.166158675525379,0.166158675525379,0.160156237299625,0.172254014253593,223
"3","S_10",2019,55.140443,159.972923,4,0.153770483666308,0.150867406438807,0.159554595356262,0.159554595356262,0.154222433899835,0.163919197636912,175
"4","S_10",2020,55.140443,159.972923,4,0.161360588177543,0.161074444866127,0.166383316956324,0.166383316956324,0.158659338355796,0.167829181526849,175
"5","S_10",2021,55.140443,159.972923,3,0.1782356787169,0.179382150547561,0.197707926036595,0.197707926036595,0.156305514510589,0.203296731282817,175
"6","S_10",2022,55.140443,159.972923,1,0.1660503933337,0.1660503933337,0.1660503933337,0.166130758834602,0.166130758834602,0.166130758834602,186
"7","S_10",2023,55.140443,159.972923,2,0.157992501830797,0.157992501830797,0.158794672901655,0.159842235010097,0.157242523668784,0.162441946351411,189
"8","S_10",2024,55.140443,159.972923,1,0.158854738427178,0.158854738427178,0.158854738427178,0.159666859730421,0.159666859730421,0.159666859730421,190
"9","S_2",2012,55.105053,160.011104,2,0.150925263621584,0.150925263621584,0.151398904213275,0.153326649800403,0.15273459906079,0.153918700540017,206
"10","S_2",2014,55.105053,160.011104,4,0.164667112944958,0.164605528907873,0.167928808014002,0.167928808014002,0.164943428083446,0.169602206277667,199
"11","S_2",2015,55.105053,160.011104,1,0.158809905212393,0.158809905212393,0.158809905212393,0.160492704124835,0.160492704124835,0.160492704124835,197
"12","S_2",2016,55.105053,160.011104,6,0.155187692135365,0.15384722933139,0.159460540243544,0.159919265295838,0.15703335698484,0.170924189209435,230
"13","S_2",2017,55.105053,160.011104,4,0.164382009911794,0.164706679838239,0.171553105345155,0.171553105345155,0.158904066199721,0.173296846312204,195
"14","S_2",2018,55.105053,160.011104,6,0.167316866207564,0.161117847933774,0.184653991129117,0.184653991129117,0.161687910260551,0.188505406213519,195
"15","S_2",2019,55.105053,160.011104,2,0.159295337715419,0.159295337715419,0.165118092872984,0.165118092872984,0.154982611227359,0.168947780062851,194
"16","S_2",2020,55.105053,160.011104,14,0.162369258782115,0.156413066414129,0.178173296912762,0.178173296912762,0.157177745311019,0.186871840384551,194
"17","S_2",2021,55.105053,160.011104,8,0.163135435619644,0.15884148177255,0.178758786350804,0.178758786350804,0.153252720114341,0.187709723225858,196
"18","S_2",2022,55.105053,160.011104,5,0.162843352220528,0.166490643069884,0.168357621962847,0.168357621962847,0.155786236271053,0.171066344352267,196
"19","S_2",2023,55.105053,160.011104,7,0.164979069012115,0.165438972645407,0.173612607535497,0.173612607535497,0.154547734521,0.176932415161031,182
"20","S_2",2024,55.105053,160.011104,1,0.173764730219989,0.173764730219989,0.173764730219989,0.173868556049533,0.173868556049533,0.173868556049533,182
"21","S_3",2011,55.093833,159.929449,1,0.161332955633385,0.161332955633385,0.161332955633385,0.162048594692087,0.162048594692087,0.162048594692087,202
"22","S_3",2012,55.093833,159.929449,2,0.154034916750458,0.154034916750458,0.155265412298187,0.159710840185236,0.156652856325984,0.162768824044488,202
"23","S_3",2013,55.093833,159.929449,1,0.150990015528831,0.150990015528831,0.150990015528831,0.167066529403453,0.167066529403453,0.167066529403453,202
"24","S_3",2014,55.093833,159.929449,8,0.16682897764476,0.163243746285498,0.17889540454878,0.17889540454878,0.160392081548445,0.186995422745981,200
"25","S_3",2015,55.093833,159.929449,1,0.190977354054829,0.190977354054829,0.190977354054829,0.191225248140775,0.191225248140775,0.191225248140775,198
"26","S_3",2017,55.093833,159.929449,4,0.161799267295813,0.15889796509425,0.172107253100052,0.172107253100052,0.155272970548412,0.175877709235861,193
"27","S_3",2018,55.093833,159.929449,4,0.170312752903515,0.166971753788475,0.177270399560511,0.177270399560511,0.166190677431886,0.181583178311662,188
"28","S_3",2019,55.093833,159.929449,5,0.168156726374543,0.167636608420736,0.182104530385741,0.182104530385741,0.159531680765373,0.191630560028402,176
"29","S_3",2020,55.093833,159.929449,10,0.161244141903966,0.160609808101219,0.165264525043608,0.165264525043608,0.159531792974402,0.178199549686271,177
"30","S_3",2021,55.093833,159.929449,6,0.159237944901236,0.158231058179359,0.165649918067609,0.165649918067609,0.157349552738311,0.168918746763361,177
"31","S_3",2022,55.093833,159.929449,3,0.162016232492593,0.16366652862243,0.164113855222157,0.166762089830905,0.158283577196549,0.16810195300199,176
"32","S_3",2023,55.093833,159.929449,2,0.151907107040945,0.151907107040945,0.152893024366314,0.153367870660217,0.151108960246233,0.155626781074202,176
"33","S_3",2024,55.093833,159.929449,3,0.160913523280645,0.156766410706225,0.1668072439744,0.1668072439744,0.15733663217311,0.169323429118187,178
"34","S_5",2017,55.139163,159.989232,1,0.168404028954532,0.168404028954532,0.168404028954532,0.168404028954532,0.168404028954532,0.168404028954532,199
"35","S_5",2018,55.139163,159.989232,5,0.159101347502338,0.15864151121163,0.164596656646272,0.164596656646272,0.158383904164901,0.167904453978465,197
"36","S_5",2020,55.139163,159.989232,5,0.157374649621989,0.155880971232091,0.162940079725218,0.162940079725218,0.156167488871647,0.170075812297505,193
"37","S_7",2016,55.100652,159.999143,4,0.158923719981336,0.154951410156789,0.169435585802872,0.169435585802872,0.158467550569581,0.175230860784112,199
