"","sample.id","year","latitude","longitude","n.obs","ndvi.gs.avg","ndvi.gs.med","ndvi.gs.q90","ndvi.max","ndvi.max.lwr","ndvi.max.upr","ndvi.max.doy"
"1","S_1",2000,55.114413,159.945864,3,0.686452221617119,0.66570022958347,0.739964335761906,0.739964335761906,0.727914716140737,0.819782050063214,203
"2","S_1",2001,55.114413,159.945864,6,0.661107181358212,0.669379529933605,0.747289482264281,0.748859529117496,0.670056845223554,0.791954840336786,202
"3","S_1",2002,55.114413,159.945864,5,0.762904314267708,0.781709062602014,0.80794843651419,0.80794843651419,0.767281758481326,0.821366209478158,200
"4","S_1",2004,55.114413,159.945864,4,0.61973279671317,0.618259271501932,0.756325080156995,0.756325080156995,0.658984609951785,0.793792274156382,210
"5","S_1",2005,55.114413,159.945864,4,0.756443603785853,0.767435197775856,0.814246124843541,0.814246124843541,0.670893220812887,0.837663319017667,206
"6","S_1",2006,55.114413,159.945864,6,0.738182297481871,0.747890428877293,0.832949240110944,0.841834973224901,0.781265642805125,0.889832753707585,207
"7","S_1",2007,55.114413,159.945864,4,0.798872346339218,0.799517323201048,0.802560167403285,0.803705284580132,0.798289785437365,0.804410885192118,208
"8","S_1",2008,55.114413,159.945864,2,0.801490189798217,0.801490189798217,0.802277056499527,0.805708984924443,0.804725401547806,0.806692568301081,206
"9","S_1",2009,55.114413,159.945864,19,0.732598224335603,0.738349447864276,0.820988624142046,0.820988624142046,0.681539064370663,0.864540838997405,205
"10","S_1",2010,55.114413,159.945864,2,0.817122254648498,0.817122254648498,0.817412600740179,0.828315857849353,0.827952925234753,0.828678790463953,209
"11","S_1",2011,55.114413,159.945864,3,0.801320904637326,0.809644555460744,0.810404527965433,0.819555969451717,0.818606003820855,0.852268512950246,200
"12","S_1",2012,55.114413,159.945864,8,0.714582095763488,0.691657155427985,0.821050515488435,0.821050515488435,0.724138370578422,0.84149128305307,195
"13","S_1",2013,55.114413,159.945864,11,0.721850846472447,0.732211895710609,0.773436836468196,0.819077546883487,0.773218671962706,0.900291307362235,195
"14","S_1",2014,55.114413,159.945864,12,0.783517331662073,0.784726951054188,0.815046606082414,0.817984712044985,0.758300420869941,0.867050650524586,191
