"","sample.id","year","latitude","longitude","n.obs","evi2.gs.avg","evi2.gs.med","evi2.gs.q90","evi2.max","evi2.max.lwr","evi2.max.upr","evi2.max.doy"
"1","S_1",2004,55.114413,159.945864,2,0.306608628285248,0.306608628285248,0.309670086147083,0.330988831636319,0.327162009309026,0.334815653963613,210
"2","S_1",2005,55.114413,159.945864,3,0.292928088312105,0.28204631965905,0.309185820586837,0.309185820586837,0.294107186235895,0.3170155847103,209
"3","S_1",2006,55.114413,159.945864,5,0.287827960712309,0.278976879618664,0.344759224654803,0.344759224654803,0.316868873091421,0.390850232456676,210
"4","S_1",2007,55.114413,159.945864,4,0.323965046686991,0.318172096878334,0.343112984898913,0.343112984898913,0.309505456919047,0.353789133548927,206
"5","S_1",2008,55.114413,159.945864,2,0.304990387397162,0.304990387397162,0.307373068469681,0.307373068469681,0.30288176643645,0.308838469117748,203
"6","S_1",2009,55.114413,159.945864,19,0.287445950921395,0.277666800847519,0.346858178951434,0.346858178951434,0.262507461110673,0.369839459491209,200
"7","S_1",2010,55.114413,159.945864,2,0.310187802684543,0.310187802684543,0.311005549864962,0.311005549864962,0.30916561870902,0.311209986660067,187
"8","S_1",2011,55.114413,159.945864,3,0.288945839667591,0.310684538605518,0.31136434994229,0.325843317145344,0.313708750859156,0.326693081316309,184
"9","S_1",2012,55.114413,159.945864,5,0.294046302299243,0.278296639663758,0.324279408428965,0.326269831290327,0.292134488945314,0.332601588846274,185
"10","S_1",2013,55.114413,159.945864,8,0.259205387082218,0.250653342138731,0.287452152027529,0.314969071346969,0.312709226310222,0.38266359209945,186
"11","S_1",2014,55.114413,159.945864,8,0.305497132681305,0.31874546823669,0.343958043426212,0.343958043426212,0.307549397337413,0.364342490252487,188
"12","S_1",2015,55.114413,159.945864,8,0.280109589802909,0.281770559717281,0.301842401551185,0.308230460957168,0.287349515033384,0.342239491988865,187
"13","S_1",2016,55.114413,159.945864,13,0.298347649499453,0.298921969719593,0.321569875172909,0.321569875172909,0.298670865958162,0.367760658441155,187
"14","S_1",2017,55.114413,159.945864,13,0.304401044263834,0.306445595163427,0.340192704275655,0.340192704275655,0.283431552819432,0.356252161939012,183
"15","S_1",2018,55.114413,159.945864,9,0.315974718320372,0.30361968459236,0.364424464799527,0.364424464799527,0.306074520127136,0.370363051366149,182
"16","S_1",2019,55.114413,159.945864,6,0.304771515541418,0.299972593910598,0.336737349619732,0.340364435937585,0.321042633142107,0.348611081626647,182
"17","S_1",2020,55.114413,159.945864,15,0.32754604972179,0.321963195088809,0.356626583140426,0.356626583140426,0.328655505071749,0.36893967002212,181
"18","S_1",2021,55.114413,159.945864,16,0.299220767418102,0.300382245772978,0.340291102613174,0.340291102613174,0.277219449046515,0.358517404253778,181
"19","S_1",2022,55.114413,159.945864,16,0.288447026802833,0.296133151487802,0.324271365041739,0.324271365041739,0.297264455054275,0.359625873372287,182
"20","S_1",2023,55.114413,159.945864,12,0.302172623045312,0.310024014597776,0.335486922992609,0.335486922992609,0.273414018532308,0.390448586441265,182
"21","S_1",2024,55.114413,159.945864,6,0.285307516993237,0.277491986777784,0.336616183640261,0.336616183640261,0.308229671238153,0.372282087100332,182
"22","S_10",2000,55.140443,159.972923,6,0.25077637303535,0.243970813797054,0.279916071641184,0.283311200703843,0.260110139142771,0.288406650632635,214
"23","S_10",2001,55.140443,159.972923,4,0.246220629722713,0.251946338304453,0.267439425506314,0.284985830522761,0.273743108644386,0.287811679945552,214
"24","S_10",2002,55.140443,159.972923,4,0.326719824614115,0.324454958785069,0.347780012115516,0.347780012115516,0.318273291612373,0.36250070317727,215
"25","S_10",2004,55.140443,159.972923,4,0.303781679984073,0.304784604500022,0.308672583823369,0.345441081125571,0.336649774488235,0.358244085826701,209
"26","S_10",2005,55.140443,159.972923,3,0.313797767194988,0.312946446401853,0.316595131122332,0.32488436454639,0.320261458855643,0.326891258067584,207
"27","S_10",2006,55.140443,159.972923,3,0.345960519912255,0.319733055002056,0.383143842368072,0.383143842368072,0.37956817872373,0.404181915699788,207
"28","S_10",2007,55.140443,159.972923,5,0.32409593304717,0.31383925057397,0.346497608899652,0.346497608899652,0.310777346369751,0.355697660011061,204
"29","S_10",2008,55.140443,159.972923,5,0.315683003276841,0.315415826703394,0.373085181416559,0.373085181416559,0.309839949184689,0.407843524280997,203
"30","S_10",2009,55.140443,159.972923,15,0.322362193080774,0.324844591254485,0.368818031552747,0.368818031552747,0.330970006986638,0.401917221173842,202
"31","S_10",2010,55.140443,159.972923,2,0.307692169511596,0.307692169511596,0.308461036029816,0.320845232101998,0.319884148954222,0.321806315249773,202
"32","S_10",2011,55.140443,159.972923,7,0.30037647494596,0.316761593479802,0.323129017585988,0.332093185057324,0.321260584419834,0.346893984261697,201
"33","S_10",2012,55.140443,159.972923,4,0.296734542663423,0.300707939853091,0.327880045698897,0.331313404518568,0.299106370275092,0.338392539285563,200
"34","S_10",2013,55.140443,159.972923,5,0.274554183395972,0.275733361230849,0.287094744179111,0.338852908558478,0.288280114454696,0.348287134150257,198
"35","S_10",2014,55.140443,159.972923,13,0.320255294393296,0.323204751640093,0.372913852520299,0.372913852520299,0.320505418598881,0.412732669542734,195
"36","S_10",2015,55.140443,159.972923,7,0.274218015726337,0.25704009974998,0.319698332796742,0.319698332796742,0.308033655291867,0.335167784850515,194
"37","S_10",2016,55.140443,159.972923,13,0.294194703053983,0.304168156409275,0.317510156829731,0.334010234362582,0.266767710707353,0.353299923961131,193
"38","S_10",2017,55.140443,159.972923,11,0.308793067171879,0.298125673330748,0.366748777337455,0.366748777337455,0.299636568117499,0.397756651451816,193
"39","S_10",2018,55.140443,159.972923,7,0.331783675405821,0.349880156935316,0.361101522231814,0.361101522231814,0.333518260107486,0.398311702771358,193
"40","S_10",2019,55.140443,159.972923,6,0.321593996094066,0.336912238305895,0.348918898816202,0.348918898816202,0.320260694023521,0.366524787454763,192
"41","S_10",2020,55.140443,159.972923,13,0.330050573248106,0.329826698354076,0.357427198535921,0.357427198535921,0.333154594040664,0.382615312103412,192
"42","S_10",2021,55.140443,159.972923,11,0.327638071786418,0.31633173875623,0.376034960647669,0.376034960647669,0.319344221342341,0.417912487019359,192
"43","S_10",2022,55.140443,159.972923,14,0.296916974071832,0.303786145864104,0.330301226636241,0.330301226636241,0.28158680161978,0.364628426301742,190
"44","S_10",2023,55.140443,159.972923,12,0.277724889834445,0.265008300261188,0.345779993731503,0.345779993731503,0.264261225010663,0.375364033118766,190
"45","S_10",2024,55.140443,159.972923,5,0.279157981673852,0.278031426649438,0.322715099256129,0.334344238246611,0.320198994467469,0.358204760160323,189
"46","S_2",2006,55.105053,160.011104,2,0.360977621865194,0.360977621865194,0.380097781898634,0.388719172460768,0.387895736647445,0.389542608274092,210
"47","S_2",2007,55.105053,160.011104,4,0.343379530354949,0.340131717375403,0.352457948761093,0.352457948761093,0.339993662727967,0.357775585014796,207
"48","S_2",2008,55.105053,160.011104,3,0.355829755116139,0.324054644428385,0.403157519913602,0.403157519913602,0.323115410344425,0.423006956759289,206
"49","S_2",2009,55.105053,160.011104,15,0.321390465000687,0.330132662850152,0.356679847431667,0.358921659483494,0.332700825405352,0.390284773601535,203
"50","S_2",2010,55.105053,160.011104,2,0.32643584104939,0.32643584104939,0.327656597161342,0.33383276578376,0.33230682064382,0.3353587109237,203
"51","S_2",2011,55.105053,160.011104,3,0.309016125226423,0.328754079925143,0.334986443463637,0.344505011200357,0.335159194109579,0.352295465623475,200
"52","S_2",2012,55.105053,160.011104,5,0.306226308519026,0.289617090307279,0.33666094958292,0.338032474135855,0.311605108017099,0.355996583240184,198
"53","S_2",2013,55.105053,160.011104,6,0.259453211012078,0.244804823784959,0.290959884064484,0.32641104618753,0.304180071827418,0.383314140929532,192
"54","S_2",2014,55.105053,160.011104,8,0.32916990917146,0.333027194279101,0.364602462105328,0.364602462105328,0.347594877470673,0.382496489683627,193
"55","S_2",2015,55.105053,160.011104,8,0.283773742780967,0.265652696397517,0.334819662676859,0.334819662676859,0.290612972429908,0.361079674916497,191
"56","S_2",2016,55.105053,160.011104,12,0.326644373752391,0.334562735689388,0.348827103979581,0.354353214475392,0.329067703473136,0.386480065229432,190
"57","S_2",2017,55.105053,160.011104,12,0.331899972129102,0.328991631234368,0.366978349772024,0.366978349772024,0.305892421974714,0.375996771980444,190
"58","S_2",2018,55.105053,160.011104,9,0.339713420333928,0.347721016346318,0.391751152089995,0.391751152089995,0.327521097750158,0.402354440123645,191
"59","S_2",2019,55.105053,160.011104,7,0.320367892957408,0.331482836525324,0.350132117113578,0.350132117113578,0.330364373704996,0.366271720960636,187
"60","S_2",2020,55.105053,160.011104,16,0.351940646239257,0.346243350325575,0.384278630665801,0.384278630665801,0.349063549922367,0.407594088204908,183
"61","S_2",2021,55.105053,160.011104,15,0.33569474666885,0.33582986242843,0.375387048974248,0.375387048974248,0.317198372898752,0.404112474312644,184
"62","S_2",2022,55.105053,160.011104,18,0.315243069647517,0.315589665137065,0.365686789812243,0.365686789812243,0.314073387713213,0.380645360355532,183
"63","S_2",2023,55.105053,160.011104,11,0.330120736472146,0.345698977865772,0.373892549776042,0.373892549776042,0.302580311279633,0.385505786643654,183
"64","S_2",2024,55.105053,160.011104,6,0.304167679487776,0.29734858813636,0.344482254784176,0.345900067920266,0.333871015603418,0.378579392869331,183
"65","S_3",1999,55.093833,159.929449,1,0.245018135267762,0.245018135267762,0.245018135267762,0.246717326348994,0.246717326348994,0.246717326348994,199
"66","S_3",2000,55.093833,159.929449,5,0.250428694347096,0.243893792402109,0.273665454114806,0.292314427167105,0.291582727639828,0.32828176616123,198
"67","S_3",2001,55.093833,159.929449,4,0.297727500259311,0.309822557328493,0.325691439329497,0.336925967050258,0.307020065567354,0.346157418324438,195
"68","S_3",2002,55.093833,159.929449,5,0.385961093408999,0.384661211771679,0.422574070266543,0.422574070266543,0.355435494332917,0.448675947359611,194
