plot;year;metric;metric_type
1;2000;0.291270873;evi.max
1;2001;0.319545769;evi.max
1;2002;0.379920271;evi.max
1;2003;0.417271589;evi.max
1;2004;0.365936298;evi.max
1;2005;0.33204204;evi.max
1;2006;0.383200007;evi.max
1;2007;0.368237709;evi.max
1;2008;0.332137329;evi.max
1;2009;0.382985461;evi.max
1;2010;0.346007595;evi.max
1;2011;0.355013365;evi.max
1;2012;0.367346792;evi.max
1;2013;0.355171659;evi.max
1;2014;0.372643766;evi.max
1;2015;0.349506727;evi.max
1;2016;0.361393337;evi.max
1;2017;0.379684314;evi.max
1;2018;0.394636591;evi.max
1;2019;0.380218305;evi.max
1;2020;0.383866799;evi.max
1;2021;0.371675627;evi.max
1;2022;0.36106984;evi.max
1;2023;0.383380874;evi.max
1;2024;0.378215131;evi.max
10;2000;0.326055606;evi.max
10;2001;0.319997389;evi.max
10;2002;0.37409121;evi.max
10;2004;0.373995469;evi.max
10;2005;0.349467038;evi.max
10;2006;0.409956551;evi.max
10;2007;0.373721743;evi.max
10;2008;0.413805768;evi.max
10;2009;0.438421225;evi.max
10;2010;0.347076902;evi.max
10;2011;0.377436546;evi.max
10;2012;0.368339008;evi.max
10;2013;0.3701614;evi.max
10;2014;0.405082501;evi.max
10;2015;0.353487763;evi.max
10;2016;0.359685744;evi.max
10;2017;0.399422796;evi.max
10;2018;0.396585538;evi.max
10;2019;0.380284651;evi.max
10;2020;0.390848837;evi.max
10;2021;0.42947968;evi.max
10;2022;0.367739136;evi.max
10;2023;0.377479017;evi.max
10;2024;0.360591951;evi.max
2;1999;0.344280927;evi.max
2;2000;0.348572877;evi.max
2;2001;0.337990723;evi.max
2;2002;0.394536875;evi.max
2;2005;0.370350991;evi.max
2;2006;0.404124856;evi.max
2;2007;0.380751131;evi.max
2;2008;0.433479481;evi.max
2;2009;0.386716537;evi.max
2;2010;0.359873541;evi.max
2;2011;0.36454317;evi.max
2;2012;0.368990279;evi.max
2;2013;0.362454633;evi.max
2;2014;0.397446103;evi.max
2;2015;0.366536275;evi.max
2;2016;0.388664754;evi.max
2;2017;0.397509351;evi.max
2;2018;0.422436665;evi.max
2;2019;0.386743542;evi.max
2;2020;0.425034399;evi.max
2;2021;0.440377998;evi.max
2;2022;0.390868068;evi.max
2;2023;0.422465802;evi.max
2;2024;0.381043495;evi.max
3;1999;0.26032536;evi.max
3;2000;0.341819713;evi.max
3;2001;0.36237529;evi.max
3;2002;0.452408449;evi.max
3;2004;0.409718886;evi.max
3;2005;0.364801835;evi.max
3;2006;0.352749933;evi.max
3;2007;0.382679458;evi.max
3;2008;0.378078018;evi.max
3;2009;0.39506336;evi.max
3;2010;0.344113596;evi.max
3;2011;0.37007968;evi.max
3;2012;0.369310754;evi.max
3;2013;0.367524543;evi.max
3;2014;0.39319336;evi.max
3;2015;0.388418837;evi.max
3;2016;0.349220054;evi.max
3;2017;0.3811544;evi.max
3;2018;0.395237117;evi.max
3;2019;0.383122565;evi.max
3;2020;0.395379398;evi.max
3;2021;0.376363001;evi.max
3;2022;0.363917761;evi.max
3;2023;0.36061473;evi.max
3;2024;0.373907345;evi.max
4;2000;0.284878525;evi.max
4;2001;0.321123958;evi.max
4;2002;0.371606854;evi.max
4;2004;0.31465117;evi.max
4;2005;0.313970953;evi.max
4;2006;0.418265947;evi.max
4;2007;0.34308976;evi.max
4;2008;0.418619223;evi.max
4;2009;0.364145092;evi.max
4;2010;0.31951799;evi.max
4;2011;0.365508425;evi.max
4;2012;0.358706556;evi.max
4;2013;0.333345731;evi.max
4;2014;0.373868603;evi.max
4;2015;0.343807384;evi.max
4;2016;0.3365107;evi.max
4;2017;0.340774051;evi.max
4;2018;0.411424817;evi.max
4;2019;0.361577045;evi.max
4;2020;0.378565441;evi.max
4;2021;0.379339163;evi.max
4;2022;0.355269636;evi.max
4;2023;0.37091933;evi.max
4;2024;0.373198223;evi.max
5;2000;0.315552487;evi.max
5;2001;0.328459819;evi.max
5;2002;0.393784602;evi.max
5;2004;0.354868264;evi.max
5;2005;0.337375286;evi.max
5;2006;0.371321843;evi.max
5;2007;0.36589251;evi.max
5;2008;0.3465096;evi.max
5;2009;0.366590638;evi.max
5;2010;0.329623577;evi.max
5;2011;0.37834882;evi.max
5;2012;0.370447129;evi.max
5;2013;0.367647705;evi.max
5;2014;0.388873173;evi.max
5;2015;0.342431995;evi.max
5;2016;0.348039906;evi.max
5;2017;0.357749105;evi.max
5;2018;0.3841751;evi.max
5;2019;0.366833802;evi.max
5;2020;0.380679438;evi.max
5;2021;0.386368999;evi.max
5;2022;0.373724881;evi.max
5;2023;0.361938939;evi.max
5;2024;0.339437779;evi.max
6;2000;0.311947982;evi.max
6;2001;0.300803033;evi.max
6;2002;0.383565995;evi.max
6;2003;0.41887575;evi.max
6;2004;0.300534816;evi.max
6;2005;0.343233451;evi.max
6;2006;0.333664053;evi.max
6;2007;0.347457936;evi.max
6;2008;0.331157441;evi.max
6;2009;0.357568443;evi.max
6;2010;0.328545513;evi.max
6;2011;0.351629789;evi.max
6;2012;0.346098464;evi.max
6;2013;0.362900439;evi.max
6;2014;0.357380036;evi.max
6;2015;0.321167626;evi.max
6;2016;0.372918021;evi.max
6;2017;0.348665037;evi.max
6;2018;0.366731909;evi.max
6;2019;0.371298855;evi.max
6;2020;0.37920484;evi.max
6;2021;0.36363253;evi.max
6;2022;0.343703992;evi.max
6;2023;0.350604682;evi.max
6;2024;0.387117844;evi.max
7;1999;0.327239777;evi.max
7;2000;0.321525571;evi.max
7;2001;0.323783258;evi.max
7;2002;0.376238876;evi.max
7;2003;0.411017554;evi.max
7;2004;0.359897196;evi.max
7;2005;0.352950594;evi.max
7;2006;0.376513955;evi.max
7;2007;0.365675942;evi.max
7;2008;0.419666463;evi.max
7;2009;0.388077501;evi.max
7;2010;0.345848609;evi.max
7;2011;0.362597033;evi.max
7;2012;0.35857116;evi.max
7;2013;0.409648173;evi.max
7;2014;0.373371151;evi.max
7;2015;0.33508652;evi.max
7;2016;0.366935997;evi.max
7;2017;0.367623471;evi.max
7;2018;0.401800308;evi.max
7;2019;0.370817748;evi.max
7;2020;0.395552457;evi.max
7;2021;0.401332324;evi.max
7;2022;0.363102843;evi.max
7;2023;0.386020177;evi.max
7;2024;0.370138339;evi.max
8;1999;0.396528942;evi.max
8;2000;0.411976134;evi.max
8;2001;0.422613475;evi.max
8;2002;0.466090235;evi.max
8;2004;0.456938745;evi.max
8;2005;0.453771092;evi.max
8;2006;0.571990211;evi.max
8;2007;0.491524094;evi.max
8;2009;0.479721582;evi.max
8;2010;0.430680619;evi.max
8;2011;0.491856451;evi.max
8;2012;0.521017213;evi.max
8;2013;0.50769091;evi.max
8;2014;0.478001618;evi.max
8;2015;0.40452783;evi.max
8;2016;0.463199959;evi.max
8;2017;0.471353468;evi.max
8;2018;0.459674458;evi.max
8;2019;0.427451494;evi.max
8;2020;0.477853346;evi.max
8;2021;0.475575463;evi.max
8;2022;0.474288296;evi.max
8;2023;0.461414934;evi.max
8;2024;0.444043131;evi.max
9;2000;0.32948125;evi.max
9;2001;0.31800794;evi.max
9;2002;0.367705213;evi.max
9;2004;0.319318181;evi.max
9;2005;0.355228913;evi.max
9;2006;0.396135488;evi.max
9;2007;0.361465549;evi.max
9;2008;0.331753376;evi.max
9;2009;0.373077753;evi.max
9;2010;0.343414851;evi.max
9;2011;0.363092508;evi.max
9;2012;0.360139788;evi.max
9;2013;0.352979835;evi.max
9;2014;0.374851675;evi.max
9;2015;0.353093744;evi.max
9;2016;0.388262956;evi.max
9;2017;0.359238862;evi.max
9;2018;0.374566714;evi.max
9;2019;0.392032035;evi.max
9;2020;0.384235458;evi.max
9;2021;0.378507243;evi.max
9;2022;0.350156627;evi.max
9;2023;0.35886174;evi.max
9;2024;0.348258377;evi.max
1;2004;0.529852706;kndvi.max
1;2005;0.575512116;kndvi.max
1;2006;0.643364184;kndvi.max
1;2007;0.57649597;kndvi.max
1;2008;0.594051168;kndvi.max
1;2009;0.607171581;kndvi.max
1;2010;0.615938966;kndvi.max
1;2011;0.599221329;kndvi.max
1;2012;0.610629541;kndvi.max
1;2013;0.597241959;kndvi.max
1;2014;0.592248541;kndvi.max
1;2015;0.551382156;kndvi.max
1;2016;0.556961181;kndvi.max
1;2017;0.588667897;kndvi.max
1;2018;0.575167311;kndvi.max
1;2019;0.520975356;kndvi.max
1;2020;0.583125803;kndvi.max
1;2021;0.553444453;kndvi.max
1;2022;0.589476007;kndvi.max
1;2023;0.592631472;kndvi.max
1;2024;0.577351436;kndvi.max
10;2000;0.465030661;kndvi.max
10;2001;0.528907857;kndvi.max
10;2002;0.591853938;kndvi.max
10;2004;0.54789358;kndvi.max
10;2005;0.598054296;kndvi.max
10;2006;0.658130071;kndvi.max
10;2007;0.590283069;kndvi.max
10;2008;0.623894802;kndvi.max
10;2009;0.588487868;kndvi.max
10;2010;0.632347731;kndvi.max
10;2011;0.601188155;kndvi.max
10;2012;0.57938467;kndvi.max
10;2013;0.572731536;kndvi.max
10;2014;0.606424072;kndvi.max
10;2015;0.567919507;kndvi.max
10;2016;0.604019721;kndvi.max
10;2017;0.590008729;kndvi.max
10;2018;0.585655732;kndvi.max
10;2019;0.572997058;kndvi.max
10;2020;0.619234653;kndvi.max
10;2021;0.579144114;kndvi.max
10;2022;0.605910322;kndvi.max
10;2023;0.615438358;kndvi.max
10;2024;0.610216885;kndvi.max
2;2004;0.536589614;kndvi.max
2;2005;0.64601243;kndvi.max
2;2006;0.604383785;kndvi.max
2;2007;0.594915831;kndvi.max
2;2008;0.642203882;kndvi.max
2;2009;0.583716674;kndvi.max
2;2010;0.610557287;kndvi.max
2;2011;0.628559173;kndvi.max
2;2012;0.603757984;kndvi.max
2;2013;0.597543176;kndvi.max
2;2014;0.608117255;kndvi.max
2;2015;0.594718109;kndvi.max
2;2016;0.640015659;kndvi.max
2;2017;0.609442654;kndvi.max
2;2018;0.610178122;kndvi.max
2;2019;0.583983495;kndvi.max
2;2020;0.610411255;kndvi.max
2;2021;0.588396096;kndvi.max
2;2022;0.61145757;kndvi.max
2;2023;0.620822917;kndvi.max
2;2024;0.613511888;kndvi.max
3;1999;0.537419053;kndvi.max
3;2000;0.52158092;kndvi.max
3;2001;0.562256027;kndvi.max
3;2002;0.603849018;kndvi.max
3;2004;0.490799674;kndvi.max
3;2005;0.608801413;kndvi.max
3;2006;0.597950377;kndvi.max
3;2007;0.618356565;kndvi.max
3;2008;0.606012772;kndvi.max
3;2009;0.600834123;kndvi.max
3;2010;0.624492133;kndvi.max
3;2011;0.620488913;kndvi.max
3;2012;0.598854668;kndvi.max
3;2013;0.618081305;kndvi.max
3;2014;0.618221722;kndvi.max
3;2015;0.588637176;kndvi.max
3;2016;0.571020122;kndvi.max
3;2017;0.598446416;kndvi.max
3;2018;0.58901473;kndvi.max
3;2019;0.571431393;kndvi.max
3;2020;0.611442787;kndvi.max
3;2021;0.594201727;kndvi.max
3;2022;0.605710856;kndvi.max
3;2023;0.612524264;kndvi.max
3;2024;0.617503739;kndvi.max
4;2000;0.411484541;kndvi.max
4;2001;0.489900095;kndvi.max
4;2002;0.564516315;kndvi.max
4;2004;0.605257422;kndvi.max
4;2005;0.565496551;kndvi.max
4;2006;0.614007608;kndvi.max
4;2007;0.543448884;kndvi.max
4;2008;0.625757978;kndvi.max
4;2009;0.578360281;kndvi.max
4;2010;0.594197725;kndvi.max
4;2011;0.608233479;kndvi.max
4;2012;0.546911004;kndvi.max
4;2013;0.568315863;kndvi.max
4;2014;0.596635663;kndvi.max
4;2015;0.577650282;kndvi.max
4;2016;0.5932648;kndvi.max
4;2017;0.585467444;kndvi.max
4;2018;0.584634329;kndvi.max
4;2019;0.567257508;kndvi.max
4;2020;0.617928996;kndvi.max
4;2021;0.596335534;kndvi.max
4;2022;0.589092999;kndvi.max
4;2023;0.59066842;kndvi.max
4;2024;0.604673405;kndvi.max
5;2001;0.566029425;kndvi.max
5;2002;0.610883867;kndvi.max
5;2004;0.632442693;kndvi.max
5;2005;0.597744633;kndvi.max
5;2006;0.626055492;kndvi.max
5;2007;0.587074099;kndvi.max
5;2008;0.618091645;kndvi.max
5;2009;0.591465508;kndvi.max
5;2010;0.601048593;kndvi.max
5;2011;0.638129388;kndvi.max
5;2012;0.608696365;kndvi.max
5;2013;0.596612341;kndvi.max
5;2014;0.615012903;kndvi.max
5;2015;0.575373472;kndvi.max
5;2016;0.636152558;kndvi.max
5;2017;0.613750328;kndvi.max
5;2018;0.590064596;kndvi.max
5;2019;0.585039203;kndvi.max
5;2020;0.611615128;kndvi.max
5;2021;0.583877462;kndvi.max
5;2022;0.616960762;kndvi.max
5;2023;0.620217557;kndvi.max
5;2024;0.614423399;kndvi.max
6;2000;0.463891519;kndvi.max
6;2005;0.50675028;kndvi.max
6;2006;0.650219803;kndvi.max
6;2007;0.57411962;kndvi.max
6;2008;0.540109786;kndvi.max
6;2009;0.559151855;kndvi.max
6;2010;0.557152705;kndvi.max
6;2011;0.599180879;kndvi.max
6;2012;0.551800038;kndvi.max
6;2013;0.581798362;kndvi.max
6;2014;0.566232281;kndvi.max
6;2015;0.52855421;kndvi.max
6;2016;0.523700161;kndvi.max
6;2017;0.541100286;kndvi.max
6;2018;0.548686707;kndvi.max
6;2019;0.539198353;kndvi.max
6;2020;0.555650111;kndvi.max
6;2021;0.530747367;kndvi.max
6;2022;0.559514902;kndvi.max
6;2023;0.562723636;kndvi.max
6;2024;0.55295499;kndvi.max
7;1999;0.559598054;kndvi.max
7;2000;0.481025542;kndvi.max
7;2001;0.543906328;kndvi.max
7;2002;0.616204437;kndvi.max
7;2004;0.640129189;kndvi.max
7;2005;0.61452196;kndvi.max
7;2006;0.617466025;kndvi.max
7;2007;0.575086798;kndvi.max
7;2008;0.599775491;kndvi.max
7;2009;0.586940228;kndvi.max
7;2010;0.596273701;kndvi.max
7;2011;0.605661841;kndvi.max
7;2012;0.548896712;kndvi.max
7;2013;0.577967737;kndvi.max
7;2014;0.602613059;kndvi.max
7;2015;0.562944314;kndvi.max
7;2016;0.605179794;kndvi.max
7;2017;0.603151098;kndvi.max
7;2018;0.604950957;kndvi.max
7;2019;0.579578682;kndvi.max
7;2020;0.60366731;kndvi.max
7;2021;0.58701979;kndvi.max
7;2022;0.620920081;kndvi.max
7;2023;0.623423077;kndvi.max
7;2024;0.601050703;kndvi.max
8;2004;0.673146862;kndvi.max
8;2005;0.65937446;kndvi.max
8;2006;0.658545284;kndvi.max
8;2007;0.650345375;kndvi.max
8;2008;0.671596117;kndvi.max
8;2009;0.645185627;kndvi.max
8;2010;0.668542025;kndvi.max
8;2011;0.690256628;kndvi.max
8;2012;0.568279244;kndvi.max
8;2013;0.647615609;kndvi.max
8;2014;0.654149926;kndvi.max
8;2015;0.613177792;kndvi.max
8;2016;0.651549294;kndvi.max
8;2017;0.661245832;kndvi.max
8;2018;0.629669454;kndvi.max
8;2019;0.611008473;kndvi.max
8;2020;0.638963444;kndvi.max
8;2021;0.609734581;kndvi.max
8;2022;0.643058395;kndvi.max
8;2023;0.638098887;kndvi.max
8;2024;0.632122472;kndvi.max
9;2005;0.617714195;kndvi.max
9;2006;0.672207508;kndvi.max
9;2007;0.574605534;kndvi.max
9;2008;0.581520201;kndvi.max
9;2009;0.578845513;kndvi.max
