"","sample.id","year","latitude","longitude","n.obs","kndvi.gs.avg","kndvi.gs.med","kndvi.gs.q90","kndvi.max","kndvi.max.lwr","kndvi.max.upr","kndvi.max.doy"
"1","S_1",2004,55.114413,159.945864,2,0.511280693468326,0.511280693468326,0.522381246989045,0.544989325427411,0.531113633526512,0.558865017328309,211
"2","S_1",2005,55.114413,159.945864,4,0.516609010653933,0.529144330957391,0.580072127918415,0.580072127918415,0.421283252296548,0.605429377044501,206
"3","S_1",2006,55.114413,159.945864,5,0.528033199866417,0.583810029898347,0.600663912830727,0.600663912830727,0.542077967467303,0.660500729350588,207
"4","S_1",2007,55.114413,159.945864,4,0.563776055022117,0.564473182429247,0.567912433455784,0.567912433455784,0.562511078344971,0.569160762844729,207
"5","S_1",2008,55.114413,159.945864,2,0.56652201963676,0.56652201963676,0.56737852919254,0.569489016136063,0.568418379191338,0.570559653080788,205
"6","S_1",2009,55.114413,159.945864,18,0.495246281574561,0.49806335875748,0.58908559129278,0.58908559129278,0.432709643112068,0.634987923079526,205
"7","S_1",2010,55.114413,159.945864,2,0.58345746104912,0.58345746104912,0.583770428142557,0.5975108595825,0.597119650715703,0.597902068449297,209
"8","S_1",2011,55.114413,159.945864,3,0.566574824437735,0.575788622567491,0.576632195477481,0.579791735691728,0.57873726955424,0.619005633476225,205
"9","S_1",2012,55.114413,159.945864,6,0.490233872035067,0.460424574766332,0.587760489502712,0.587760489502712,0.46967507583907,0.588737523734262,197
"10","S_1",2013,55.114413,159.945864,9,0.488712771155535,0.496963989112076,0.543976793303081,0.577387817093812,0.512385499066274,0.603094556647343,196
"11","S_1",2014,55.114413,159.945864,12,0.547100644499895,0.548758503584246,0.581050779552265,0.581050779552265,0.516098133603094,0.620841040774402,193
"12","S_1",2015,55.114413,159.945864,9,0.480004233889163,0.473844043150395,0.542423772710976,0.542423772710976,0.491527538217144,0.581016633339188,194
"13","S_1",2016,55.114413,159.945864,13,0.508046826830303,0.512790683279986,0.529264776931408,0.529264776931408,0.479080270431798,0.608426534351699,191
"14","S_1",2017,55.114413,159.945864,11,0.546726051543385,0.553919448829939,0.578023450487854,0.578023450487854,0.526798951081262,0.627531297229861,239
"15","S_1",2018,55.114413,159.945864,8,0.517234309774922,0.528767688279187,0.564808430197789,0.564808430197789,0.490911840083105,0.588642537052139,237
"16","S_1",2019,55.114413,159.945864,4,0.436875563043427,0.436554081562968,0.5144796919068,0.5144796919068,0.425161486117746,0.522303813497327,235
"17","S_1",2020,55.114413,159.945864,16,0.535667798662814,0.543477828890276,0.5785652589963,0.5785652589963,0.506523292002359,0.592674611616593,233
"18","S_1",2021,55.114413,159.945864,19,0.487583134597066,0.498070598094896,0.542738921151438,0.542738921151438,0.444258661803181,0.573435294853692,230
"19","S_1",2022,55.114413,159.945864,16,0.550524576962072,0.556674289194167,0.584785656728256,0.584785656728256,0.534905444455087,0.630669316008761,212
"20","S_1",2023,55.114413,159.945864,12,0.541017734521474,0.532664405642835,0.64294363885757,0.64294363885757,0.483118025298288,0.687343693555966,209
"21","S_1",2024,55.114413,159.945864,6,0.515186124503732,0.544822104332166,0.5615057091994,0.56158840658667,0.549303338668743,0.578924263615114,210
"22","S_10",2000,55.140443,159.972923,6,0.391228458975913,0.379330907896069,0.43388283094883,0.449025768293268,0.363633192434863,0.496218250735929,212
"23","S_10",2004,55.140443,159.972923,4,0.480621637465886,0.477586739844289,0.570358382208749,0.570358382208749,0.526825516055877,0.592214676737961,221
"24","S_10",2005,55.140443,159.972923,3,0.57482474529065,0.57723581112487,0.583276194405648,0.623372484558107,0.596772605606358,0.638156161161741,228
"25","S_10",2006,55.140443,159.972923,1,0.622565982985668,0.622565982985668,0.622565982985668,0.624702079249789,0.624702079249789,0.624702079249789,212
"26","S_10",2007,55.140443,159.972923,5,0.547072689477822,0.53177234656699,0.607045130051427,0.607045130051427,0.466488549127871,0.638999079109752,213
"27","S_10",2008,55.140443,159.972923,3,0.589104340107641,0.577499829986957,0.610115893076049,0.610115893076049,0.595464179992092,0.623774117994311,215
"28","S_10",2009,55.140443,159.972923,14,0.505793930147113,0.487940879699783,0.58536738476705,0.58536738476705,0.464292630043411,0.611192464956524,222
"29","S_10",2010,55.140443,159.972923,2,0.575863748918785,0.575863748918785,0.576279459299042,0.642423963051935,0.641904325076614,0.642943601027256,231
"30","S_10",2011,55.140443,159.972923,10,0.548224799810231,0.576075295159096,0.620226712374268,0.620226712374268,0.494779545644229,0.69371754548524,234
"31","S_10",2012,55.140443,159.972923,4,0.541670022758464,0.535729044897663,0.583695190555789,0.583695190555789,0.503774124647094,0.604925742907758,236
"32","S_10",2013,55.140443,159.972923,8,0.50964540017025,0.517797263518063,0.541270562863883,0.573511329867652,0.563864766802219,0.619568682529427,236
"33","S_10",2014,55.140443,159.972923,15,0.561853001211508,0.569311089399108,0.618488855759229,0.618488855759229,0.54746988193288,0.645476305478642,236
"34","S_10",2015,55.140443,159.972923,10,0.502646638813352,0.512535969583475,0.538943361228869,0.567270141105561,0.508532895802592,0.629534533714799,236
"35","S_10",2016,55.140443,159.972923,13,0.553926684931559,0.555612558040682,0.619917568220701,0.619917568220701,0.49563564688176,0.64120256268463,234
"36","S_10",2017,55.140443,159.972923,11,0.540438744241605,0.565462790668807,0.588849308484731,0.588849308484731,0.459251124690612,0.596368275765941,207
"37","S_10",2018,55.140443,159.972923,8,0.533213177270288,0.560399701953981,0.572959915463454,0.572959915463454,0.464039608430512,0.586098072674665,209
