sample_ID;pop_ID;species;location;edulis;trossulus;L;l;a;morph;ind;sp
GR266;CBCP;trossulus;Cobscook Bay Comstock Point;0.000018;0.999982;46.1;24.4;20.8;E;0;1
GR268;CBCP;trossulus;Cobscook Bay Comstock Point;0.000024;0.999976;50.9;29.7;19.2;E;0;1
GR271;CBCP;trossulus;Cobscook Bay Comstock Point;0.271863;0.728137;45.3;25;20.9;E;0;1
GR272;CBCP;trossulus;Cobscook Bay Comstock Point;0.000019;0.999981;54.9;29.9;16.4;E;0;1
GR273;CBCP;trossulus;Cobscook Bay Comstock Point;0.00004;0.99996;47;25.3;20.1;E;0;1
GR274;CBCP;trossulus;Cobscook Bay Comstock Point;0.000018;0.999982;52.9;29.7;29.7;E;0;1
GR275;CBCP;trossulus;Cobscook Bay Comstock Point;0.000028;0.999972;48.8;25.6;15.2;E;0;1
GR277;CBCP;trossulus;Cobscook Bay Comstock Point;0.000019;0.999981;55;31.1;24.4;E;0;1
GR280;CBCP;trossulus;Cobscook Bay Comstock Point;0.00002;0.99998;55.6;31.9;23.4;E;0;1
GR281;CBCP;trossulus;Cobscook Bay Comstock Point;0.000086;0.999914;45.7;24.2;17.5;E;0;1
GR282;CBCP;trossulus;Cobscook Bay Comstock Point;0.00002;0.99998;46.8;24.1;21.4;E;0;1
GR283;CBCP;trossulus;Cobscook Bay Comstock Point;0.000025;0.999975;45.9;24.4;14.4;E;0;1
GR284;CBCP;trossulus;Cobscook Bay Comstock Point;0.000075;0.999925;52.9;26.9;24.3;E;0;1
GR285;CBCP;trossulus;Cobscook Bay Comstock Point;0.000033;0.999967;55.3;33.3;26.1;E;0;1
GR286;CBCP;trossulus;Cobscook Bay Comstock Point;0.000033;0.999967;43.3;24.6;23.8;E;0;1
GR287;CBCP;trossulus;Cobscook Bay Comstock Point;0.000022;0.999978;46.8;24.3;17;E;0;1
GR288;CBCP;trossulus;Cobscook Bay Comstock Point;0.000022;0.999978;52.7;29.3;23.7;E;0;1
GR291;CBCP;trossulus;Cobscook Bay Comstock Point;0.000022;0.999978;45.6;24.7;20.2;E;0;1
GR293;CBCP;trossulus;Cobscook Bay Comstock Point;0.000027;0.999973;41.5;22.4;20.1;E;0;1
GROR313;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999983;0.000017;57.4;38.9;37.9;E;0;0
GROR314;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;74.9;44.5;44.5;E;0;0
GROR315;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;77.2;47.2;42.2;E;0;0
GROR316;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999983;0.000017;68.9;43.6;37.6;E;0;0
GROR317;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;62.8;33;27.3;E;0;0
GROR318;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999984;0.000016;64.9;36.6;27.4;E;0;0
GROR319;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999984;0.000016;75.9;41.2;36.6;E;0;0
GROR320;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999975;0.000025;76.6;46.1;42.4;E;0;0
GROR321;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;68.4;50.3;43.1;E;0;0
GROR322;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;65.9;39.5;32.1;E;0;0
GROR323;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;69.4;41.5;33.5;E;0;0
GROR324;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999978;0.000022;NA;NA;NA;E;0;0
GROR325;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.99998;0.00002;NA;NA;NA;E;0;0
GROR326;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;74.2;44.3;37.9;E;0;0
GROR327;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999984;0.000016;70;39;39;E;0;0
GROR329;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.99998;0.00002;69.2;46.2;40.6;E;0;0
GROR330;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999979;0.000021;74.8;41.9;41.9;E;0;0
GROR331;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999982;0.000018;67.5;40.6;38.1;E;0;0
GROR333;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999984;0.000016;49.8;30.9;21.7;E;0;0
GROR334;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999984;0.000016;61.6;35.5;35.5;E;0;0
GROR335;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999986;0.000014;77.6;43.4;34.8;E;0;0
GROR336;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999984;0.000016;66.2;39.5;37.3;E;0;0
GROR337;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999979;0.000021;NA;NA;NA;E;0;0
GROR338;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999986;0.000014;NA;NA;NA;E;0;0
GROR339;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.99996;0.00004;43.5;20.9;0;T;1;0
GROR342;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999986;0.000014;71.4;40.2;36.3;E;0;0
GROR343;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999986;0.000014;70.9;43.9;43.9;E;0;0
GROR344;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999981;0.000019;73;42.9;42.9;E;0;0
GROR345;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;71.9;45.7;41.8;E;0;0
GROR346;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;71.4;39.7;33;E;0;0
GROR347;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;80.9;50.3;50.3;E;0;0
GROR348;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999988;0.000012;66.5;40.1;38.4;E;0;0
GROR349;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999975;0.000025;80.1;53.5;43.9;E;0;0
GROR350;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999986;0.000014;75.8;45.9;45.9;E;0;0
GROR351;MDICOA;edulis;Mount Desert Island College of the Atlantic;0.999985;0.000015;NA;NA;NA;E;0;0
GRYE331;JPC;edulis;Jonesport Central;0.999985;0.000015;54.8;29.4;29.4;E;0;0
GRYE336;JPC;edulis;Jonesport Central;0.999985;0.000015;53.8;27.8;27.8;E;0;0
GRYE338;JPC;edulis;Jonesport Central;0.999981;0.000019;NA;NA;NA;E;0;0
GRYE339;JPC;edulis;Jonesport Central;0.999987;0.000013;57.7;30.5;30.5;E;0;0
GRYE340;JPC;edulis;Jonesport Central;0.999985;0.000015;47.2;23.6;23.6;E;0;0
GRYE341;JPC;edulis;Jonesport Central;0.999983;0.000017;NA;NA;NA;E;0;0
GRYE342;JPC;edulis;Jonesport Central;0.999985;0.000015;50.2;26.9;26.9;E;0;0
GRYE343;JPC;edulis;Jonesport Central;0.999985;0.000015;55.8;29.6;29.6;E;0;0
GRYE344;JPC;edulis;Jonesport Central;0.999984;0.000016;53.6;30;26.6;E;0;0
GRYE345;JPC;edulis;Jonesport Central;0.999983;0.000017;NA;NA;NA;E;0;0
GRYE346;JPC;edulis;Jonesport Central;0.999988;0.000012;58.3;28.7;29.8;E;0;0
GRYE347;JPC;edulis;Jonesport Central;0.999984;0.000016;52.2;29.7;29.7;E;0;0
GRYE348;JPC;edulis;Jonesport Central;0.999986;0.000014;51.3;28.7;25.7;E;0;0
GRYE350;JPC;edulis;Jonesport Central;0.999986;0.000014;NA;NA;NA;E;0;0
GRYE354;JPC;edulis;Jonesport Central;0.999985;0.000015;NA;NA;NA;E;0;0
GRYE355;JPC;edulis;Jonesport Central;0.999984;0.000016;NA;NA;NA;E;0;0
GRYE356;JPC;edulis;Jonesport Central;0.999984;0.000016;NA;NA;NA;E;0;0
GRYE357;JPC;edulis;Jonesport Central;0.999986;0.000014;53.4;28.5;28.5;E;0;0
GRYE357;JPC;edulis;Jonesport Central;0.999986;0.000014;53.2;28;28;E;0;0
GRYE358;JPC;edulis;Jonesport Central;0.999977;0.000023;49.4;28.5;24;E;0;0
GRYE359;JPC;edulis;Jonesport Central;0.999986;0.000014;NA;NA;NA;E;0;0
GRYE360;JPC;edulis;Jonesport Central;0.999984;0.000016;55.6;28.8;28.8;E;0;0
GRYE361;JPC;edulis;Jonesport Central;0.999985;0.000015;NA;NA;NA;E;0;0
GRYE362;JPC;edulis;Jonesport Central;0.999966;0.000034;NA;NA;NA;E;0;0
GRYE364;JPC;edulis;Jonesport Central;0.999984;0.000016;NA;NA;NA;E;0;0
GRYE365;JPC;edulis;Jonesport Central;0.999976;0.000024;54.6;30.2;23.8;E;0;0
GRYE365;JPC;edulis;Jonesport Central;0.999976;0.000024;NA;NA;NA;E;0;0
GRYE367;JPC;edulis;Jonesport Central;0.999984;0.000016;NA;NA;NA;E;0;0
GRYE368;JPC;edulis;Jonesport Central;0.999985;0.000015;NA;NA;NA;E;0;0
GRYE369;JPC;edulis;Jonesport Central;0.999986;0.000014;NA;NA;NA;E;0;0
GRYE370;JPC;edulis;Jonesport Central;0.999985;0.000015;53.7;31.4;27;E;0;0
GRYE371;JPC;edulis;Jonesport Central;0.999984;0.000016;NA;NA;NA;E;0;0
GRYE372;JPC;edulis;Jonesport Central;0.999983;0.000017;NA;NA;NA;E;0;0
GRYE373;JPC;edulis;Jonesport Central;0.999984;0.000016;NA;NA;NA;E;0;0
GRYE374;JPC;edulis;Jonesport Central;0.999987;0.000013;52;25.6;25.6;E;0;0
GRYE375;JPC;edulis;Jonesport Central;0.999984;0.000016;51;26.2;26.2;E;0;0
GRYE376;JPC;edulis;Jonesport Central;0.999986;0.000014;NA;NA;NA;E;0;0
GRYE377;JPC;edulis;Jonesport Central;0.999979;0.000021;NA;NA;NA;E;0;0
GRYE378;JPC;edulis;Jonesport Central;0.999984;0.000016;52.1;24.8;24.8;E;0;0
GRYE379;JPC;edulis;Jonesport Central;0.999983;0.000017;53.3;28.2;0;T;1;0
GRYE380;JPC;edulis;Jonesport Central;0.999981;0.000019;54.1;28.4;28.4;E;0;0
GRYE381;JPC;edulis;Jonesport Central;0.999984;0.000016;NA;NA;NA;E;0;0
GRYE382;JPC;edulis;Jonesport Central;0.999989;0.000011;62.7;30.8;30.8;E;0;0
GRYE384;JPC;edulis;Jonesport Central;0.999982;0.000018;58.9;28.9;28.9;E;0;0
GRYE385;JPC;edulis;Jonesport Central;0.999985;0.000015;53.3;26.1;26.1;E;0;0
GRYE386;JPC;edulis;Jonesport Central;0.99998;0.00002;47.3;25.4;25.4;E;0;0
GRYE387;JPC;edulis;Jonesport Central;0.999981;0.000019;52.9;26.4;26.4;E;0;0
GRYE388;JPC;edulis;Jonesport Central;0.999978;0.000022;52.1;25.9;25.9;E;0;0
GRYE389;JPC;edulis;Jonesport Central;0.999986;0.000014;49.9;26;20.7;E;0;0
GRYE390;JPC;edulis;Jonesport Central;0.999985;0.000015;38.3;19.9;19.9;E;0;0
GYO338;KIM;edulis;Kent Island Mooring;0.999984;0.000016;87.8;45.4;36.2;E;0;0
GYO340;KIM;edulis;Kent Island Mooring;0.999979;0.000021;76.6;39.5;31.3;E;0;0
GYO341;KIM;edulis;Kent Island Mooring;0.999986;0.000014;62.9;31.4;25.6;E;0;0
GYO368;KIM;edulis;Kent Island Mooring;0.999986;0.000014;81;35.9;29.6;E;0;0
GYO369;KIM;edulis;Kent Island Mooring;0.999987;0.000013;76.4;33.2;28.9;E;0;0
GYO370;KIM;edulis;Kent Island Mooring;0.999987;0.000013;78.6;42.9;33.7;E;0;0
GYO371;KIM;edulis;Kent Island Mooring;0.999984;0.000016;78.5;43.4;41.6;E;0;0
GYO372;KIM;edulis;Kent Island Mooring;0.999981;0.000019;77.5;41.1;28;E;0;0
GYO373;KIM;hybrid;Kent Island Mooring;0.787873;0.212127;78.2;41.4;35.3;E;0;0
GYO374;KIM;edulis;Kent Island Mooring;0.99998;0.00002;43.1;26;26;E;0;0
GYO375;KIM;edulis;Kent Island Mooring;0.999983;0.000017;71.7;38.2;0;T;1;0
GYO376;KIM;edulis;Kent Island Mooring;0.999978;0.000022;71.4;36.8;24.4;E;0;0
GYO378;KIM;edulis;Kent Island Mooring;0.999985;0.000015;69.4;35.2;24.6;E;0;0
GYO379;KIM;edulis;Kent Island Mooring;0.999985;0.000015;60.3;32.7;32.7;E;0;0
GYO380;KIM;edulis;Kent Island Mooring;0.999986;0.000014;44.4;22.4;14;E;0;0
GYO381;KIM;edulis;Kent Island Mooring;0.999985;0.000015;81.4;43.9;36.5;E;0;0
GYO382;KIM;edulis;Kent Island Mooring;0.999988;0.000012;71.6;35.4;27.6;E;0;0
GYO383;KIM;edulis;Kent Island Mooring;0.999981;0.000019;71.4;36.9;31.4;E;0;0
GYO385;KIM;edulis;Kent Island Mooring;0.999985;0.000015;79;41.1;32.9;E;0;0
GYO387;KIM;edulis;Kent Island Mooring;0.999984;0.000016;71.2;39.5;24.7;E;0;0
GYO388;KIM;edulis;Kent Island Mooring;0.999983;0.000017;81.8;41.5;32.6;E;0;0
GYO389;KIM;edulis;Kent Island Mooring;0.999984;0.000016;68.7;39;29.9;E;0;0
GYO390;KIM;edulis;Kent Island Mooring;0.999985;0.000015;71;40;24.9;E;0;0
GYO391;KIM;edulis;Kent Island Mooring;0.999988;0.000012;64.1;33.7;21.5;E;0;0
GYO392;KIM;hybrid;Kent Island Mooring;0.849272;0.150728;71;42.5;31.8;E;0;0
GYO393;KIM;edulis;Kent Island Mooring;0.999985;0.000015;79.3;44.7;33.5;E;0;0
GYO394;KIM;edulis;Kent Island Mooring;0.999984;0.000016;75.3;39.1;21.8;E;0;0
GYO395;KIM;edulis;Kent Island Mooring;0.999979;0.000021;66.2;36.3;28.1;E;0;0
GYO396;KIM;edulis;Kent Island Mooring;0.999983;0.000017;78;40.1;31.2;E;0;0
GYO397;KIM;edulis;Kent Island Mooring;0.999986;0.000014;77.8;39.8;34.9;E;0;0
GYO398;KIM;edulis;Kent Island Mooring;0.999986;0.000014;62.3;43.6;35.8;E;0;0
GYO377;KIM;trossulus;Kent Island Mooring;0.000044;0.999956;72.7;39.3;0;T;1;1
MDRW002;MDRW;hybrid;Mount Desert Rock West;0.759609;0.240391;16;8.2;7.8;E;0;0
MDRW006;MDRW;edulis;Mount Desert Rock West;0.999725;0.000275;19.9;9.7;7;E;0;0
MDRW008;MDRW;edulis;Mount Desert Rock West;0.999877;0.000123;16.5;9;6.1;E;0;0
MDRW009;MDRW;edulis;Mount Desert Rock West;0.999975;0.000025;17.3;9.1;6.2;E;0;0
MDRW012;MDRW;edulis;Mount Desert Rock West;0.999915;0.000085;18.2;11.3;7.5;E;0;0
WHOR265;MDRW;edulis;Mount Desert Rock West;0.999972;0.000028;40.4;22;16.2;E;0;0
WHOR266;MDRW;edulis;Mount Desert Rock West;0.999977;0.000023;42.9;25.3;21;E;0;0
WHOR267;MDRW;edulis;Mount Desert Rock West;0.999971;0.000029;36.5;20.6;15.5;E;0;0
WHOR272;MDRW;edulis;Mount Desert Rock West;0.999937;0.000063;32.1;17.5;17.5;E;0;0
OR060;BI;edulis;Bailey Island;0.999988;0.000012;40.2;19.4;15.9;E;0;0
OR061;BI;edulis;Bailey Island;0.999982;0.000018;36.3;19.3;14.5;E;0;0
OR062;BI;edulis;Bailey Island;0.999988;0.000012;38.1;20.7;10.3;E;0;0
OR063;BI;edulis;Bailey Island;0.999984;0.000016;44.9;24;14.2;E;0;0
OR064;BI;edulis;Bailey Island;0.999937;0.000063;36.4;18.6;16.9;E;0;0
OR065;BI;edulis;Bailey Island;0.999855;0.000145;36.8;19.9;12.5;E;0;0
OR066;BI;edulis;Bailey Island;0.999983;0.000017;40;21.9;21.9;E;0;0
OR068;BI;edulis;Bailey Island;0.999963;0.000037;36.5;19.3;19.3;E;0;0
OR069;BI;edulis;Bailey Island;0.999985;0.000015;38.6;21.2;21.2;E;0;0
OR070;BI;edulis;Bailey Island;0.999987;0.000013;35.7;16.9;12.5;E;0;0
OR072;BI;edulis;Bailey Island;0.999985;0.000015;39.3;21;12.7;E;0;0
OR073;BI;edulis;Bailey Island;0.999984;0.000016;39;20.9;14.6;E;0;0
OR077;BI;edulis;Bailey Island;0.99998;0.00002;39.2;21.1;6.8;E;0;0
OR078;BI;edulis;Bailey Island;0.999984;0.000016;36.8;20.6;14.5;E;0;0
OR080;BI;edulis;Bailey Island;0.999985;0.000015;48.4;21.4;16.3;E;0;0
OR081;BI;edulis;Bailey Island;0.999988;0.000012;36.8;19.1;15.8;E;0;0
OR082;BI;edulis;Bailey Island;0.999988;0.000012;41.4;21.6;17.1;E;0;0
OR083;BI;edulis;Bailey Island;0.999988;0.000012;38.8;19.9;19.4;E;0;0
OR084;BI;edulis;Bailey Island;0.999982;0.000018;33.5;17.9;14.7;E;0;0
OR085;BI;edulis;Bailey Island;0.999989;0.000011;39.1;21.3;15.9;E;0;0
OR087;BI;edulis;Bailey Island;0.999987;0.000013;40.5;21.5;17.4;E;0;0
OR089;BI;edulis;Bailey Island;0.999988;0.000012;36.9;19.7;16;E;0;0
OR079;BI;trossulus;Bailey Island;0.000056;0.999944;36.7;19.6;0;T;1;1
OR253;MDRE;edulis;Mount Desert Rock East;0.999973;0.000027;40.9;26.7;14.2;E;0;0
OR254;MDRE;edulis;Mount Desert Rock East;0.999979;0.000021;34.9;21.2;19.9;E;0;0
OR255;MDRE;edulis;Mount Desert Rock East;0.999953;0.000047;29.6;15.6;10.5;E;0;0
OR256;MDRE;edulis;Mount Desert Rock East;0.99998;0.00002;37.9;19.6;19.6;E;0;0
OR257;MDRE;edulis;Mount Desert Rock East;0.999979;0.000021;33.3;16;14.5;E;0;0
OR258;MDRE;edulis;Mount Desert Rock East;0.999958;0.000042;29.6;15.6;6.9;E;0;0
OR260;MDRE;hybrid;Mount Desert Rock East;0.513607;0.486393;41.6;21.9;0;T;1;0
OR261;MDRE;edulis;Mount Desert Rock East;0.999971;0.000029;35.6;20.3;13.6;E;0;0
OR263;MDRE;edulis;Mount Desert Rock East;0.999978;0.000022;37.1;21;13.5;E;0;0
OR264;MDRE;edulis;Mount Desert Rock East;0.999975;0.000025;34.9;19.3;17.5;E;0;0
OR269;MDRE;edulis;Mount Desert Rock East;0.999965;0.000035;31.9;19.3;8.9;E;0;0
OR271;MDRE;edulis;Mount Desert Rock East;0.99998;0.00002;36.3;20.3;17.5;E;0;0
OR272;MDRE;edulis;Mount Desert Rock East;0.99998;0.00002;32.4;16.3;10.9;E;0;0
OR273;MDRE;edulis;Mount Desert Rock East;0.999972;0.000028;35.9;19.4;16;E;0;0
OR275;MDRE;edulis;Mount Desert Rock East;0.999979;0.000021;27.5;17.9;12.3;E;0;0
OR277;MDRE;edulis;Mount Desert Rock East;0.999981;0.000019;37.4;22.4;16.2;E;0;0
OR278;MDRE;edulis;Mount Desert Rock East;0.99993;0.00007;42.6;21.2;19.2;E;0;0
OR280;MDRE;edulis;Mount Desert Rock East;0.999936;0.000064;30;19.7;14.2;E;0;0
OR283;MDRE;edulis;Mount Desert Rock East;0.999866;0.000134;44.8;25.7;13.5;E;0;0
OR244;MDRE;trossulus;Mount Desert Rock East;0.000044;0.999956;37.9;18.8;0;T;1;1
OR265;MDRE;trossulus;Mount Desert Rock East;0.030255;0.969745;31.8;18.7;0;T;1;1
OR274;MDRE;trossulus;Mount Desert Rock East;0.000044;0.999956;37.1;22.8;0;T;1;1
OR281;MDRE;trossulus;Mount Desert Rock East;0.000074;0.999926;43.7;28.1;0;T;1;1
OR282;MDRE;trossulus;Mount Desert Rock East;0.000056;0.999944;29.4;18.5;0;T;1;1
RE016;PH;edulis;Phippsburg The Basin;0.999988;0.000012;34.1;17.3;16.2;E;0;0
RE061;PH;edulis;Phippsburg The Basin;0.999983;0.000017;50.4;22.7;22.7;E;0;0
RE062;PH;edulis;Phippsburg The Basin;0.999987;0.000013;51.2;25.1;16.6;E;0;0
RE063;PH;edulis;Phippsburg The Basin;0.999987;0.000013;46.5;22.7;15.5;E;0;0
RE064;PH;edulis;Phippsburg The Basin;0.999987;0.000013;44.5;22.1;0;T;1;0
RE065;PH;edulis;Phippsburg The Basin;0.999971;0.000029;48.7;25.1;10.6;E;0;0
RE066;PH;edulis;Phippsburg The Basin;0.999983;0.000017;43.2;22.2;18.8;E;0;0
RE067;PH;edulis;Phippsburg The Basin;0.999978;0.000022;37;18.7;0;T;1;0
RE070;PH;edulis;Phippsburg The Basin;0.999986;0.000014;55.9;25.4;25.4;E;0;0
RE071;PH;edulis;Phippsburg The Basin;0.999986;0.000014;32.9;15.4;15.4;E;0;0
RE072;PH;edulis;Phippsburg The Basin;0.999986;0.000014;45.9;24.1;15.7;E;0;0
RE073;PH;edulis;Phippsburg The Basin;0.999986;0.000014;34.7;19.3;13.9;E;0;0
RE074;PH;edulis;Phippsburg The Basin;0.999984;0.000016;43;21.6;20.1;E;0;0
RE075;PH;edulis;Phippsburg The Basin;0.999987;0.000013;42.2;21.4;18.3;E;0;0
RE076;PH;edulis;Phippsburg The Basin;0.999987;0.000013;44.4;23.8;0;T;1;0
RE077;PH;edulis;Phippsburg The Basin;0.999957;0.000043;52.1;25.2;21.2;E;0;0
RE078;PH;edulis;Phippsburg The Basin;0.999958;0.000042;47.5;21.2;0;T;1;0
RE079;PH;edulis;Phippsburg The Basin;0.999979;0.000021;38.9;19.9;19.9;E;0;0
RE080;PH;edulis;Phippsburg The Basin;0.999979;0.000021;42.3;21.4;21.4;E;0;0
RE081;PH;edulis;Phippsburg The Basin;0.999987;0.000013;42.2;22.7;19.9;E;0;0
RE082;PH;edulis;Phippsburg The Basin;0.999984;0.000016;42.3;23.2;8.5;E;0;0
RE083;PH;edulis;Phippsburg The Basin;0.999973;0.000027;47.6;25.6;15.4;E;0;0
RE084;PH;edulis;Phippsburg The Basin;0.999981;0.000019;52.4;23.9;20.7;E;0;0
