sea,place,pop,pop_sub,substrate,horizont,year,str,size,age,ind,freq_MT,freq_MT_substrate,dist,sal_low
barents,tyuva,banka,tba,algae,intertidal,2012,0.021,38.9,4,1,0.165,0.17,52,15
barents,tyuva,banka,tba,algae,intertidal,2012,0.036,35.5,5,1,0.165,0.17,52,15
barents,tyuva,banka,tba,algae,intertidal,2012,0.021,37,4,0,0.165,0.17,52,15
barents,tyuva,banka,tba,algae,intertidal,2012,0.027,38.2,4,0,0.165,0.17,52,15
barents,tyuva,banka,tba,algae,intertidal,2012,0.027,39.2,4,1,0.165,0.17,52,15
barents,tyuva,banka,tba,algae,intertidal,2012,0.021,36.9,4,0,0.165,0.17,52,15
barents,tyuva,banka,tba,algae,intertidal,2012,0.021,42.3,5,0,0.165,0.17,52,15
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.021,11.3,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.021,13,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.096,10.7,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.027,11.7,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.022,10.9,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.094,11.2,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.036,10,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.973,11.1,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.927,9.2,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.891,10.9,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.979,10.8,3,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.021,14,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.021,14.3,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.027,11.5,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.026,11.5,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.339,11.7,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.494,12.9,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.418,11,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.886,13.4,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.98,15.1,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.979,14.7,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.976,12.5,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.979,16.2,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.979,13.4,4,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.021,14.6,5,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.023,18.1,5,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.67,18.5,5,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.738,16.2,5,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.858,16.7,5,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.977,21.6,5,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.979,20.9,5,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.91,20.1,6,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.976,23.4,6,1,0.6,0.63,52,25
