sea,dataset,sal_place,sal_place2,place,pop,pop_sub,dat_sub,substrate,horizont,str,size,age,ind,sal_low,sens,spec
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,14.1,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,14.5,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.028,15,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,16.2,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,17,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,19.2,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.036,21.9,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.293,22.7,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,25.1,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.026,25.4,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,26.6,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,29.8,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.027,29.8,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.027,30.1,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.028,30.6,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.979,31.4,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.097,32,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.094,32.2,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.027,36.5,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,41.9,8,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,62.9,12,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.095,11.1,3,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,11.7,3,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,12.6,3,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,13.4,3,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,19.2,4,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,20.7,4,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.297,21,5,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.039,21.1,4,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,22.2,4,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,22.6,4,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.979,22.8,4,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,28.8,4,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.026,29.1,5,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.037,30.7,6,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.2,31,7,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.117,31.2,5,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.095,13.8,3,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.095,15.9,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.036,16.4,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.313,18.8,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.027,18.9,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,20.1,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.022,20.7,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.022,20.9,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,21.9,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.022,23.2,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,25.7,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.022,28.1,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.097,29.2,7,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,30.1,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.02,30.9,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.026,31.8,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.095,33.1,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.095,33.8,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.027,58.3,8,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,12.1,3,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,12.8,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.095,14.2,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.133,15.2,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,15.6,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.138,15.7,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,16.9,3,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.136,17.3,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.02,17.7,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,17.9,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.98,17.9,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,18.2,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.037,18.8,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.29,18.8,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,20.3,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.339,20.8,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,23.4,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.926,23.4,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.321,24.7,6,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.291,25.5,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.027,30.1,6,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.027,30.7,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.037,32.1,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.136,33.6,6,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.246,38.3,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_la,yes,algae,intertidal,0.021,42.3,8,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,13.9,3,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,14,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.097,14.3,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.134,14.9,3,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,15,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.134,16.9,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,17.6,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.027,18,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.026,18.2,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,18.5,4,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,19.8,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.028,20.7,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.026,21.1,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.027,21.5,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,21.5,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,21.8,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,22.5,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,25.5,7,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,27.5,5,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,27.5,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.498,29.6,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,30.2,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.849,31.1,6,0,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,14.4,4,1,34,0.666666667,0.476744186
