Place,Sea,Year,Date,Number,L,a,l
Solvesborg,Baltic Sea,1989,05.04.1989,2,15.2,2.4,6.1
Solvesborg,Baltic Sea,1989,05.04.1989,10,17.5,0,6.8
Solvesborg,Baltic Sea,1989,05.04.1989,5,16,3.9,6.1
Solvesborg,Baltic Sea,1989,05.04.1989,6,17.1,0,7.5
Solvesborg,Baltic Sea,1989,05.04.1989,8,17.9,2.1,7.5
Ystad,Baltic Sea,NA,NA,36,23.3,10.7,10.7
Ystad,Baltic Sea,NA,NA,25,27.2,8.3,11.6
Ystad,Baltic Sea,NA,NA,29,21.9,6.5,8.4
Ystad,Baltic Sea,NA,NA,34,8.6,2.5,3.5
Ystad,Baltic Sea,NA,NA,36,30.7,9.1,10.7
Ystad,Baltic Sea,NA,NA,48,32.7,11.1,14
Ystad,Baltic Sea,NA,NA,47,29.2,9.5,11.8
Ystad,Baltic Sea,NA,NA,41,24.2,5.8,9.2
Ystad,Baltic Sea,NA,NA,30,25.4,8.5,10.2
Ystad,Baltic Sea,NA,NA,35,27.9,9,12.1
Ystad,Baltic Sea,NA,NA,55,24.9,8.5,11.5
Ystad,Baltic Sea,NA,NA,32,27.3,6.5,11
Ystad,Baltic Sea,NA,NA,31,24.9,7.5,11.6
Ystad,Baltic Sea,NA,NA,33,24.7,9.1,9.5
Ystad,Baltic Sea,NA,NA,32,27.8,9,11.2
Ystad,Baltic Sea,NA,NA,45,24.5,0,10.5
Ystad,Baltic Sea,NA,NA,28,20.2,6.7,9
Ystad,Baltic Sea,NA,NA,23,24.5,0,10.7
Ystad,Baltic Sea,NA,NA,46,23.7,7.7,10.3
Ystad,Baltic Sea,NA,NA,54,24.9,7.5,10.1
Ystad,Baltic Sea,NA,NA,44,23.1,0,10.7
Ystad,Baltic Sea,NA,NA,22,10.8,0,NA
Ystad,Baltic Sea,NA,NA,57,26.5,8,11.1
Ystad,Baltic Sea,NA,NA,24,22.2,0,10.2
Ystad,Baltic Sea,NA,NA,27,20.3,4.7,9
Ystad,Baltic Sea,NA,NA,58,23.1,5.6,8.4
Ystad,Baltic Sea,NA,NA,40,21.3,7.8,9
Ystad,Baltic Sea,NA,NA,50,21.2,5.9,7.6
Ystad,Baltic Sea,NA,NA,53,21.7,0,8.6
Ystad,Baltic Sea,NA,NA,42,20.1,8.6,8.6
Ystad,Baltic Sea,NA,NA,26,22.2,6.4,8.9
Ystad,Baltic Sea,NA,NA,37,18.6,0,7.5
Ystad,Baltic Sea,NA,NA,38,20.3,6.9,9.1
Ystad,Baltic Sea,NA,NA,52,19.5,0,8.5
Ystad,Baltic Sea,NA,NA,39,18.9,3.9,7.5
Ystad,Baltic Sea,NA,NA,51,17.8,0,6.6
Ystad,Baltic Sea,NA,NA,43,14.2,0,6.1
Ystad,Baltic Sea,NA,NA,49,14.5,0,5.5
Ystad,Baltic Sea,NA,NA,34,8.9,2.2,3.7
Ystad,Baltic Sea,NA,NA,9,23.6,8,9
Ystad,Baltic Sea,NA,NA,6,30.8,12,13.5
Ystad,Baltic Sea,NA,NA,72,30.8,10,15.2
Ystad,Baltic Sea,NA,NA,71,31.3,12,15.2
Ystad,Baltic Sea,NA,NA,8,25.9,9,11.8
Ystad,Baltic Sea,NA,NA,13,21.4,5.8,8.5
Ystad,Baltic Sea,NA,NA,41(B),28,8.6,11.5
Ystad,Baltic Sea,NA,NA,42,30,8.5,11.5
Ystad,Baltic Sea,NA,NA,19,24.6,8.2,9.2
Ystad,Baltic Sea,NA,NA,12,25.4,6.2,9.5
Ystad,Baltic Sea,NA,NA,10(a),19.8,7.5,8.7
Ystad,Baltic Sea,NA,NA,1,23.7,7.2,10.1
Ystad,Baltic Sea,NA,NA,5,23.8,7,9.5
Ystad,Baltic Sea,NA,NA,17,20.5,7.6,8.6
Ystad,Baltic Sea,NA,NA,11,22.9,7.7,9
Ystad,Baltic Sea,NA,NA,2,23.6,7.2,9.2
Ystad,Baltic Sea,NA,NA,14,22.4,8.2,9.8
Ystad,Baltic Sea,NA,NA,18,20.6,7.3,9.2
Ystad,Baltic Sea,NA,NA,3,20.8,7,8.3
Ystad,Baltic Sea,NA,NA,16,24.2,0,8.9
Ystad,Baltic Sea,NA,NA,15,15.1,5,5.3
Ystad,Baltic Sea,NA,NA,20,24.1,8.5,10.5
