"","Acanthonotozoma.inflatum","Acanthonotozoma.rusanovae","Acanthostepheia.behringiensis","Acanthostepheia.malmgreni","Actinaria","Adalaria.sp.","Admete.solida","Admete.sp..","Admete.viridula","Alcyonidium.disciforme","Alcyonidium.gelatinosum","Allantactis.parasitica","Amicula.vestita","Amphipoda","Anomalisipho.verkruezeni","Anonyx.sp.","Anthosactis.janmayeni","Arcteobia.anticostiensis","Arctolembos.arcticus","Argis.sp.","Ariadnaria.borealis","Arrhis.phyllonyx","Ascidiacea","Atylus.carinatus","Atylus.smitti","Aulacofusus.brevicauda","Balanus.sp.","Bathypolypus.sp..","Boltenia.echinata","Boltenia.ovifera","Boreotrophon.clathratus","Boreotrophon.sp..","Boreotrophon.truncatus","Brachiopoda","Bryozoa","Buccinum.angulosum","Buccinum.ciliatum","Buccinum.glaciale","Buccinum.plectrum","Buccinum.polare","Buccinum.scalariforme","Buccinum.solenum","Buccinum.sp..","Bylgides.promamme","Bylgides.sarsii","Bylgides.sp.","Calycidoris.guentheri","Cerianthus.lloydi","Chelyosoma.macleayanum","Chionoecetes.opilio","Clinocardium.ciliatum","Colus.sabini","Colus.sp..","Corella.willmeriana","Coryphella.sp..","Crossaster.papposus","Cryptonatica.affinis","Curtitoma.decussata","Curtitoma.novajasemljensis","Curtitoma.sp..","Curtitoma.violacea","Cylichna.alba","Cylinchnoides.occultus","Dendrodoa.sp..","Dendronotus.sp.","Diaphana.hiemalis","Diastylis.alaskensis","Diastylis.goodsiri.scorpioides","Diastylis.sp.","Diastylis.spinulosa","Edwardsia.sp..","Ericthonius.sp.","Eualus.sp..","Eucratea.loricata","Eunicidae","Eunoe.depressa","Eunoe.nodosa","Eunoe.oerstedi","Eunoe.sp.","Euphrosinidae","Eupyrgus.scaber","Eusirus.cuspidatus","Euspira.pallida","Florometra","Gastropoda","Gattyana.amondseni","Gattyana.ciliata","Gattyana.cirrhosa","Gattyana.sp.","Gersemia.rubiformis","Gorgonocephalus.sp.","Granotoma.albrechti","Halichondria.sp.","Haliclona.sp.","Haliclystus.","Halirages.nilssoni","Halocynthia.aurantium","Harmothoe.extenuata","Harmothoe.imbricata","Harmothoe.sp.","Henricia.sanguinolenta","Heteropora.sp.","Hiatella.arctica","Hippomedon.rylovi","Hippomedon.sp.","Hormathia.nodosa","Hyas.coarctatus","Hydrozoa","Ischyrocerus.latipes","Ischyrocerus.sp..","Isopoda","Labidochirus.splendescens","Lacuna.crassior","Lafoeina.maxima","Lebbeus.groenlandicus","Lebbeus.polaris","Leptasterias.arctica","Leptasterias.groenlandica","Leptasterias.polaris","Leptasterias.sp..","Limneria.undata","Lumbrineridae","Maera.prionochira","Margarites.costalis","Margarites.groenlandicus","Margarites.helicinus","Melaenis.loveni","Melita.dentata","Metridium.sp..","Mohnia.sp..","Molgula.griffithsii","Molgula.sp..","Monoculodes.diamesus","Munnopsidae","Munnopsis.typica","Musculus.glacialis","Musculus.sp..","Myriotrochus.rinkii","Nemertea","Neohela.monstrosa","Neoiphinoe.kroyeri","Neopleustes.pulchellus.var..euacanthus","Nephtys.longosetosa","Nepthys.ciliata","Neptunea.communis","Neptunea.heros","Neptunea.sp.","Nodulotrophon.coronatus","Nothria.conchylega","Obesotoma.sp..","Ocnus.glacialis","Oenopota.bicarinata","Oenopota.harpa","Oenopota.impressa","Oenopota.pyramidalis","Oenopota.sp..","Onchidiopsis.sp.","Ophiacantha.bidentata","Ophiocten.sericeum","Ophiopholis.aculeata","Ophiopleura.borealis","Ophiura.robusta","Ophiura.sarsii","Ophiuroidea","Opisthobranchia","Orchomenella.minuta","Pagurus.capillatus","Pagurus.sp.","Pagurus.trigonocheirus","Pandalina.sp..","Pandalus.goniurus","Pandora.glacialis","Pannychia.moseleyi","Paramphithoe.cuspidata","Paramphithoe.polyacantha","Paroediceros.lynceus","Paroediceros.propinquus","Pelonaia.corrugata","Philine.sp..","Phyllodoce.groenlandica","Phyllodocidae","Platyhelminthes","Pleustes.cataphractus","Plicifusus.kroeyeri","Plicifusus.sp..","Polymastia.sp.","Polynoidae","Porifera","Propebela.arctica","Propebela.nobilis","Propebela.sp..","Protomedeia.grandimana","Protomedia.sp.","Psolus.peronii","Pteraster.jordani","Pteraster.militaris","Pteraster.obscurus","Pteraster.sp..","Pycnogonidae","Pyrulofusus.deformis","Quasimelita.formosa","Quasimelita.quadrispinosa","Retifusus.sp..","Rhachotropis.aculeata","Rhegaster.tumidus","Rozinante.fragilis","Sabinea.septemcarinata","Saduria.entomon","Saduria.sabini","Saduria.sibirica","Scoletoma.fragilis","Scoletoma.sp..","Semisuberites.cribrosa","Serripes.groenlandicus","Serripes.sp..","Sertularia.sp...Thuiaria.sp.","Similipecten.greenlandicus","Socarnes.bidenticulatus","Spinther.sp..","Spirontocaris.sp.","Stegocephalus.ampulla","Stegocephalus.inflatus","Stegocephalus.sp.","Stegophiura.nodosa","Stenosemus.albus","Stomphia.sp.","Strongylocentrotus.pallidus","Styela.rustica","Synidotea.bicuspida","Tachyrhynchus.erosus","Tachyrhynchus.sp..","Tanaidacea","Tmetonyx.cicada","Triopha","Tritonia.sp.","Urasterias.lincki","Urticina.sp.","Velutina.coriacea","Velutina.laevigata","Velutina.sp.","Velutina.velutina","Volutopsius.sp..","Vulcanella.sp...","Weyprechtia.heuglini","Weyprechtia.pinguis","Zoanthidea"
"A1-50 PSBT-34",0,0,0,0,215.14,0,0,0,0,0,0,202.69,0,0,0,0,0,0,0,0,10.67,0,0,0,554.73,0,0,0,0,0,0,0,0,21.34,0,0,0,0,0,0,0,0,0,21.34,0,0,0,0,0,0,0,266.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682.74,21.34,85.34,0,10.67,0,0,0,0,0,0,0,0,0,0,0,12.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,32,0,0,0,10.67,0,0,0,0,0,0,0,394.71,0,0,0,0,0,1237.47,0,0,0,0,0,0,0,0,0,21.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.67,0,0,0,0,0,0,0,0,85.34,1493.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,0,0,42.67,0,0,0,170.69,0,0,0,0,0,0,0,2304.26,0,0,108.46,0,26.67,0,0,0,0,0,17.78,0,74.68,0,0,0,0,0,0,0,0,0,298.7,0,0,0,0,128.01,0,0,0,0,0,0,725.42,0,0,0,0,0,0,1025.89,0,0,0,0,0,0,16,0,0,0
"A2-20 PSBT-26",0,0,3.55,0,0,0.89,0,1.77,0,3.55,3.55,0,0,8.87,0,8.87,0,0,0,0,0,7.1,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87,3.55,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0.89,3.55,0,0,0,0,1.77,1.77,0,0,0,166.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0.89,1.77,0,0,7.1,0,1.77,14.2,0,0,0,1.77,0,0,0.89,0,0,0,106.46,1.77,0,0,0,0,0,0,0,0,0,0,4.44,0,0.89,0,0,0,0,0.89,0,26.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,21.29,0,0,1.77,1.77,0,0,0,8.87,0,0,0,0,3.55,0.89,0,0,0,0,0,0,0,0,3.55,0,15.97,0,0,0,0,0.44,35.49,0,0,0,0,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,26.62,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,1.77,0,0.89
"A2-50 PSBT 23",0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,31.21,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.04,0,0,0,0,0,0,0,0,0,0,0,43.69,0,0,0,0,87.38,0,0,0,0,18.72,0,0,0,6.24,0,421.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.72,0,68.66,0,0,0,0,0,68.66,0,0,0,0,0,0,0,0,0,18.72,3.12,0,0,56.17,6.24,0,0,0,0,0,0,0,0,0,0,0,106.11,0,0,0,0,0,12.48,6.24,898.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.58,0,0,171.64,0,3.12,0,0,0,0,0,0,0,187.25,0,0,0,0,0,0,0,0,0,649.13,0,0,43.69,0,37.45,0,0,0,0,0,0,106.11,31.21,0,0,6.24,0,0,0,0,0,0,0,6.24,0,0,0,0,0
"A4-20 PSBT 13",0,0,57.78,0,0,0,0,0,0,0,0,0,0,0,0,110.94,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,36.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,1.16,1.16,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4-35 PSBT 14",0,0,0,3.7,0,6.16,0,0,0,0,12.32,0,0,21.57,16.43,55.46,12.32,0,0,0,0,36.97,0,0,0,0,0,0,0,0,36.97,0,0,0,30.81,20.54,0,0,0,3.08,3.08,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0,80.11,0,0,0,0,0,0,0,0,0,0,0,166.38,3.08,3.08,0,3.7,117.08,0,0,0,43.13,0,0,0,0,12.32,0,0,0,6.16,0,0,0,6.16,0,0,0,0,0,0,0,3.08,0,0,0,0,0,3.7,0,0,0,3.08,3.7,0,0,0,0,3.08,12.32,43.13,0,49.3,0,0,0,0,0,67.78,3.08,0,0,0,0,0,0,0,0,6.16,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,6.16,0,517.61,0,0,0,3.08,0,0,0,0,0,36.97,0,0,0,0,0,6.16,0,0,0,12.32,0,0,0,0,30.81,0,0,0,0,0,0,0,0,0,985.93,0,0,0,0,6.16,0,0,0,0,3.08,0,3.7,135.57,0,0,0,0,0,0,0,0,0,665.5,0,0,12.32,0,36.97,0,0,0,0,0,0,548.42,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0
"A4-50 PSBT 15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,0,0,0,0,49.86,0,0,0,0,0,0,0,0,0,0,67.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,35.61,0,3.56,0,8.9,0,0,0,0,0,3.56,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,85.47,0,0,0,0,0,0,3.56,64.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,2421.76,0,0,0,0,3.56,0,0,0,0,28.49,0,0,156.7,0,0,0,0,0,0,0,0,0,292.04,0,0,3.56,0,0,0,0,0,0,170.95,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A5-20 PSBT 11",0,0,4.26,0,0,0,0,0,2.13,14.9,0,0,0,0,0,10.64,0,0,0,0,0,21.28,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,10.64,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,10.64,1.06,0,0,0,136.18,2.13,0,0,2.13,0,0,0,0,0,0,0,1.06,0,8.51,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,25.53,0,1.06,0,1.06,0,0,2.13,0,0,0,0,2.13,0,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,14.9,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,8.51,0,0,0,0,70.22,65.96,104.27,0,0,0,0,0,1.06,0,34.05,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.24,0,0,0,0,2.13,0,0,0,0,0
"A5-35 PSBT 10",0,0,0,0,0,1.57,11.02,0,1.57,0,12.59,0,0,0,0,4.72,0,12.59,0.79,0,0,0.79,3.15,0,0,0,0.79,0,0,0,25.19,0,1.57,0,17.32,0.79,0,0,0.79,11.02,17.32,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,0.79,0,0,0,7.87,4.72,0,0,0,0,62.97,0,6.3,0,0,39.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0.79,0,0.79,0,0,0,0,0,0,0,64.55,0,0,0,12.59,0,40.93,0,1.57,0,0,0,0,1.57,0,0,0,0,0,0,0.79,4.72,0,0,0,25.19,0,0,135.4,0,0,0,0,0,0.79,0.79,0,0,0,0,0,340.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,6.3,0,6.3,0,15.74,0,0,0,0,0,0,0,0,0,12.59,0,0,29.91,0,2.36,0,0,0,0,0,0,0,45.66,0,6.3,0,0,0,0,0,0,0,113.35,0,0,4.72,0,0,0,0,0,173.18,0,0,3.15,4.72,0,0,0,0,0,1387.01,0,1.57,0,0,0.79,0,188.92,0,0,0
"A5-50 PSBT 9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0.83,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0.83,40.57,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,2.48,0,0,0,8.28,0,0,0,0,0,0,29.8,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,2.48,2.48,0,4.14,0,0,0,0,0,1.66,0,0.83,0,0,0,0.41,0,0,0,0,0,0,0,0,0.83,0,0,0,0.83,0,0,0,0,0,0,0,3.31,0,0,0,0,0,3.31,12.42,49.67,0,0,0.41,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367.77,0,0,0,4.14,4.14,0,0,0,0,0,0,0,59.61,0,0,0,0,0,0,0,0,0,115.9,0,0,20.7,0,1.66,0,0,0,0,104.31,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A6-20 PSBT 2",5.56,0,1.39,0,13.89,5.56,0,0,2.78,11.11,22.23,0,0,0,0,313.95,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,11.11,0,0,36.12,19.45,0,0,0,269.5,0,0,0,22.23,0,0,0,0,0,2.78,0,0,4.17,0,0,0,1.39,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,300.06,0,2.78,0,0,1.39,0,0,13.89,0,0,0,2.78,0,0,0,0,1.39,0,75.01,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,102.8,0,0,0,0,0,0,97.24,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,8.33,0,0,2.78,0,11.11,0,0,238.93,0,0,0,0,0,0,5.56,0,0,47.23,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,13.89,0,0
"A6-37 PSBT 3",0,0,2.01,0,10.03,1,0,0,0,0,4.01,0,0,0,0,26.08,0,0,4.01,0,0,1,0,0,0,0,12.04,0,0,0,2.01,1,0,18.05,37.11,0,6.02,0,0,22.06,6.02,0,0,56.16,0,0,0,0,0,0,0,0,0,0,0,60.18,0,0,0,0,0,4.01,1,0,0,0,0,160.47,17.05,16.05,0,0,76.22,0,0,0,4.01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.02,172.5,80.23,0,0,2.01,1,0,74.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.01,0,0,0,22.06,0,0,0,1,0,0,0,0,0,0,0,0,0,24.07,0,2695.88,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,2.01,0,1,0,18.05,0,0,0,0,1,0,0,0,0,154.45,0,0,28.08,0,2.01,34.1,0,2.01,0,2.01,0,0,44.13,0,0,0,0,0,0,0,0,0,834.44,0,0,0,0,10.03,0,0,0,188.55,0,0,4.01,8.02,0,0,4.01,0,2.01,1067.12,0,0,2.01,0,0,0,0,0,0,0
"A6-50 PSBT 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,19.38,1.38,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,11.08,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,2.77,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.38,182.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4380.41,0,0,0,0,5.54,0,0,0,1.38,0,0,0,58.15,0,0,0,0,0,0,0,0,0,52.61,0,1.38,27.69,0,5.54,0,0,0,0,134.29,0,1.38,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0
"AN14-1",0,1.02,0,0,2.04,0,0,0,0,0,1.02,0,20.4,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,1.02,69.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.43,0,0,0,0,0,0,0,0,0,0,2.04,1.02,0,0,0,0,93.86,1.02,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,44.89,0,0,0,0,0,0,418.3,0,0,0,0,0,0,0,0,0,71.42,0,0,0,0,0,0,1.02,0,10.2,0,0,0,0,0,0,0.2,0,0,0,0,0,363.21,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,1.02,0,6.12,0,0,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,38.77,0,0,0,0,0,375.45,38.77,0,0,0,1.02,0,0,0,0,16.32,0,0,93.86,0,0,0,0,0,0,0,0,0,1.02,0,1.02,18.4,0,12.24,0,10.2,1.02,0,95.9,0,0,0,0,0,0,0,28.59,0,18.36,0,0,0,0,0,0,0,0,0
"AN14-1.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.89,0,0,0,26.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0.89,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.39,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0.89,0.89,0.89,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN14-10",0,0,0,0,7.32,29.27,0,0,0,0,0,0,0,0,0,58.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.27,0,0,0,0,0,0,0,0,146.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.79,14.63,0,0,0,395.13,0,0,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.44,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.17,0,95.12,0,0,204.88,0,0,0,0,0,0,0,0,0,526.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.17,0
"AN14-11",0,0,0,0,25.27,0,7.22,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,4.51,0,0,0,7.22,0.9,0,0,0,37.9,0,0,0,11.73,0,0,0,0,0.9,88.44,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,27.98,0,0.9,0,0,10.83,0,0,5.41,0,0,3.61,0,0,0,0.9,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,66.78,1.8,0,0,0,0,0,9.02,0,0,10.83,0,0,0,0,0,0,0,0,0,0,0,16.24,0,0,0,5.41,0,0,25.27,0,0,0,0,0,0,0,0,0,0,0,0,238.26,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,12.63,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,151.62,0,0,149.81,0,0,0,0,0.9,0,0,0,0,41.51,0,0,0,0,0,0,0,0,0,454.85,0,0,5.4,0,1.8,0,0,0,0,0,0,0,14.44,0,0,0.9,0,0,812.24,0,0,0,0,0,0,0,0,0,0
"AN14-12",0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,7.25,0,0,14.5,28.99,0,7.25,0,0,0,0,0,0,0,0,57.99,0,0,0,86.98,0,0,0,0,28.99,130.47,0,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,7.25,0,0,0,0,246.44,7.25,7.25,0,0,43.49,0,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,5.8,0,0,0,0,0,0,0,0,0,0,0,164.49,14.5,0,0,0,0,0,405.9,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,28.99,0,0,0,0,0,0,0,0,0,7.25,0,0,0,14.5,0,1130.72,0,0,0,0,0,0,0,20.35,0,33.91,0,0,14.5,0,0,0,0,0,7.25,14.5,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,64.44,0,0,0,0,7.25,0,0,14.5,0,0,0,0,159.46,0,0,0,0,0,0,0,0,0,739.31,0,7.25,14.5,0,0,0,0,0,0,0,0,0,43.49,0,0,0,0,0,780.04,0,0,0,0,0,57.99,0,0,0,0
"AN14-15",0,0,0,0,0,7.25,0,0,0,0,7.25,0,0,0,0,14.5,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,7.25,0,28.99,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,72.48,14.5,0,0,0,57.99,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,63.44,63.44,0,0,7.25,0,0,391.4,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.9,0,0,0,0,0,0,0,0,0,54.63,7.25,0,0,0,0,0,0,0,0,7.25,14.5,0,0,0,43.49,0,0,7.25,0,0,0,0,0,0,36574.31,0,0,93.39,0,14.5,0,0,0,0,28.99,0,0,333.42,0,0,0,0,0,0,0,0,0,1065.48,0,3.52,7.2,0,14.5,0,0,0,21.15,188.55,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,7.05,0,0,0
"AN14-16",0,0,0,0,0,0,0,0,0,0,7.25,18.12,0,0,0,28.99,0,0,0,0,0,0,0,0,57.99,0,0,0,0,0,43.49,0,0,5.44,72.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,137.72,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.49,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,0,0,0,188.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.25,0,0,0,0,7.25,0,0,0,0,0,21.74,0,304.42,0,0,0,0,0,0,0,0,0,579.85,7.25,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0
