Area;Station;Scan_Count;Depth;Pressure;Temperature;Conductivity;Salinity;Density;Sound_Velocity;Fluorescence;Turbidity;Bottles_Fired;Latitude;Longitude;Julian_Days;Oxygen;Irradiance;Depth;Potential_Temperature;Salinity2;Density2;Sound_Velocity;Oxygen_Saturation;flag
Rijpfjord;RIP1;1;4.201;4.247;1.7215;2.904025;33.1125;26.4799;1454.46;6.96E-01;0.223;0;80.53666;22.1755;259.716551;6.38822;5.10E-02;4.202;1.7213;33.1125;26.4799;1454.46;7.7646;-9.99E-29
Rijpfjord;RIP1;2;4.209;4.25;1.7215;2.904027;33.1125;26.4798;1454.46;6.96E-01;0.235;0;80.53666;22.1755;259.716551;6.38822;5.10E-02;4.205;1.7213;33.1126;26.4799;1454.46;7.7646;-9.99E-29
Rijpfjord;RIP1;3;4.203;4.253;1.7219;2.904023;33.1123;26.4797;1454.46;6.96E-01;0.242;0;80.53666;22.1755;259.716552;6.3882;5.10E-02;4.208;1.7217;33.1121;26.4795;1454.46;7.76454;-9.99E-29
Rijpfjord;RIP1;4;4.205;4.256;1.7217;2.904012;33.1123;26.4797;1454.46;6.94E-01;0.242;0;80.53666;22.1755;259.716552;6.38819;5.10E-02;4.211;1.7215;33.1122;26.4796;1454.46;7.76458;-9.99E-29
Rijpfjord;RIP1;5;4.221;4.26;1.7211;2.903998;33.1125;26.4799;1454.46;6.87E-01;0.235;0;80.53666;22.1755;259.716553;6.38807;5.10E-02;4.215;1.7209;33.1126;26.48;1454.46;7.76467;-9.99E-29
Rijpfjord;RIP1;6;4.227;4.263;1.7208;2.903987;33.1125;26.4799;1454.46;6.79E-01;0.223;0;80.53666;22.1755;259.716553;6.38709;5.10E-02;4.218;1.7206;33.1128;26.4802;1454.46;7.76472;-9.99E-29
Rijpfjord;RIP1;7;4.218;4.265;1.7213;2.903986;33.1123;26.4797;1454.46;6.78E-01;0.216;0;80.53666;22.1755;259.716554;6.38693;5.10E-02;4.22;1.7211;33.1123;26.4797;1454.46;7.76465;-9.99E-29
Rijpfjord;RIP1;8;4.213;4.267;1.7215;2.904002;33.1123;26.4797;1454.46;6.80E-01;0.214;0;80.53666;22.1755;259.716554;6.38836;5.10E-02;4.222;1.7213;33.1122;26.4797;1454.46;7.76462;-9.99E-29
Rijpfjord;RIP1;9;4.224;4.271;1.7216;2.904022;33.1124;26.4798;1454.46;6.88E-01;0.214;0;80.53666;22.1755;259.716555;6.38729;5.10E-02;4.226;1.7214;33.1124;26.4798;1454.46;7.76459;-9.99E-29
Rijpfjord;RIP1;10;4.233;4.274;1.7218;2.904041;33.1124;26.4798;1454.46;7.03E-01;0.214;0;80.53666;22.1755;259.716555;6.38382;5.10E-02;4.229;1.7216;33.1124;26.4798;1454.46;7.76455;-9.99E-29
Rijpfjord;RIP1;11;4.235;4.277;1.7221;2.904071;33.1125;26.4798;1454.46;7.11E-01;0.214;0;80.53666;22.1755;259.716556;6.38134;5.10E-02;4.232;1.7219;33.1125;26.4798;1454.46;7.76449;-9.99E-29
Rijpfjord;RIP1;12;4.237;4.28;1.7224;2.904109;33.1126;26.4799;1454.46;7.05E-01;0.215;0;80.53666;22.1755;259.716556;6.38;5.10E-02;4.235;1.7222;33.1126;26.4799;1454.46;7.76442;-9.99E-29
