Year,Bank,Sample,L,L_class
1997,korg,1,17,NA
1997,korg,1,25,NA
1997,korg,1,45,NA
1997,korg,1,48,NA
1997,korg,1,50,NA
1997,korg,1,54,NA
1997,korg,1,55,NA
1997,korg,1,56,NA
1997,korg,2,8,NA
1997,korg,2,17,NA
1997,korg,2,18,NA
1997,korg,2,21,NA
1997,korg,2,24,NA
1997,korg,2,25,NA
1997,korg,2,25,NA
1997,korg,2,33,NA
1997,korg,2,37,NA
1997,korg,2,55,NA
1997,korg,2,57,NA
1997,korg,2,60,NA
1997,korg,2,61,NA
1997,korg,2,64,NA
1997,korg,2,64,NA
1997,korg,3,5,NA
1997,korg,3,9,NA
1997,korg,3,17,NA
1997,korg,3,20,NA
1997,korg,3,22,NA
1997,korg,3,29,NA
1997,korg,3,43,NA
1997,korg,3,60,NA
1997,korg,3,62,NA
1997,korg,3,62,NA
1997,korg,3,63,NA
1997,korg,4,5,NA
1997,korg,4,9,NA
1997,korg,4,17,NA
1997,korg,4,20,NA
1997,korg,4,22,NA
1997,korg,4,29,NA
1997,korg,4,39,NA
1997,korg,4,50,NA
1997,korg,4,50,NA
1997,korg,4,54,NA
1997,korg,4,56,NA
1997,korg,4,61,NA
1997,korg,4,62,NA
1997,korg,5,19,NA
1997,korg,5,20,NA
1997,korg,5,24,NA
1997,korg,5,27,NA
1997,korg,5,29,NA
1997,korg,5,33,NA
1997,korg,5,61,NA
1997,korg,5,63,NA
1997,korg,6,5,NA
1997,korg,6,13,NA
1997,korg,6,17,NA
1997,korg,6,18,NA
1997,korg,6,18,NA
1997,korg,6,18,NA
1997,korg,6,20,NA
1997,korg,6,25,NA
1997,korg,6,26,NA
1997,korg,6,35,NA
1997,korg,6,42,NA
1997,korg,6,45,NA
1997,korg,6,56,NA
1997,korg,7,4,NA
1997,korg,7,5,NA
1997,korg,7,9,NA
1997,korg,7,20,NA
1997,korg,7,23,NA
1997,korg,7,25,NA
1997,korg,7,25,NA
1997,korg,7,31,NA
1997,korg,7,34,NA
1997,korg,7,36,NA
1997,korg,7,41,NA
1997,korg,7,50,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,2,NA
1998,korg,1,3,NA
1998,korg,1,3,NA
1998,korg,1,3,NA
1998,korg,1,3,NA
1998,korg,1,3,NA
1998,korg,1,3,NA
1998,korg,1,4,NA
1998,korg,1,4,NA
1998,korg,1,4,NA
1998,korg,1,4,NA
1998,korg,1,5,NA
1998,korg,1,5,NA
1998,korg,1,5,NA
1998,korg,1,5,NA
1998,korg,1,5,NA
1998,korg,1,6,NA
1998,korg,1,6,NA
1998,korg,1,8,NA
1998,korg,1,8,NA
1998,korg,1,8,NA
1998,korg,1,8,NA
1998,korg,1,8,NA
1998,korg,1,8,NA
1998,korg,1,9,NA
1998,korg,1,9,NA
1998,korg,1,10,NA
1998,korg,1,22,NA
1998,korg,1,24,NA
1998,korg,1,24,NA
1998,korg,1,24,NA
1998,korg,1,25,NA
1998,korg,1,28,NA
1998,korg,1,31,NA
1998,korg,1,32,NA
1998,korg,1,32,NA
1998,korg,1,35,NA
1998,korg,1,36,NA
1998,korg,1,37,NA
1998,korg,1,37,NA
1998,korg,1,38,NA
1998,korg,1,43,NA
1998,korg,1,44,NA
1998,korg,1,47,NA
1998,korg,2,1,NA
1998,korg,2,1,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,2,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,3,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
1998,korg,2,4,NA
