Year,Island,Plastic,Plastic_botles,Glass,Polyetilen,Rubber,Paper,Metal,Cans,Textil,Foam_Plastic,Other,
2015,луда Голая,23,43,19,43,4,0,6,7,3,13,0,
2015,Анисимов,110,149,8,68,20,0,9,19,4,49,0,
2015,Большая Сеннуха,8,20,3,60,0,0,0,0,0,0,0,
2015,Малая Сеннуха,0,0,0,0,0,0,0,0,0,0,0,
2015,Ириньин,37,82,7,17,2,0,3,2,0,23,0,
2015,луда Сиротка,0,0,0,2,0,0,0,0,0,0,0,
2015,луда Дрестной Баклыш,0,0,0,0,0,0,0,0,0,0,0,
2015,луда Верблюд,0,0,0,10,0,0,0,0,0,0,0,
2015,луда Гагаркина,0,0,0,12,0,0,0,0,0,0,0,
2015,луда Горбуша,3,11,0,6,0,0,1,1,0,1,0,
2015,луда Чаячья,0,10,0,9,0,0,0,0,0,2,0,
2015,Богомолиха,22,63,11,93,0,0,2,1,2,17,0,
2015,луда Малая Богомолиха,6,16,6,27,3,0,1,0,3,2,0,
2015,луда Вороничная,13,26,7,29,2,0,0,0,2,6,0,
2015,Малый Медвежий,30,43,7,60,3,0,6,2,0,8,0,
2015,луда Ириненок,3,1,1,6,0,0,0,0,0,0,0,
2015,Горелый,28,70,5,32,6,0,2,0,2,22,0,
2015,Гульмаха,39,109,8,32,4,0,5,6,8,23,0,
2015,луда Наволочная,0,0,0,0,0,0,0,0,0,0,0,
2015,луда Ирвасиха,10,36,1,37,5,0,1,0,3,3,0,
2015,луда Головинка,6,29,0,34,1,0,2,5,0,3,0,
2015,луда Воронка,32,43,5,30,3,0,3,1,0,9,0,
2015,Круглый,35,136,10,19,7,0,3,6,1,17,0,
2015,луда Первая Поперечная,7,21,1,7,0,0,1,1,0,3,1,
2015,луда Вторая Поперечная,6,10,1,3,1,0,0,1,0,0,0,
2015,луда Южная (около о.М.Ломнишный),0,0,0,1,0,0,0,0,0,0,0,
2015,луда Плоская,2,7,1,3,0,0,0,1,0,1,0,
2016,луда Южная Кибринская,8,18,2,19,0,0,3,0,2,3,0,
2016,луда Северная Кибринская,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Смородинная Кибринская,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Створная Кибринская,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Восточная Кибринская,2,23,1,18,0,0,0,1,1,2,0,
2016,луда Иринка,9,26,4,24,0,0,1,1,1,8,0,
2016,луда Близнец Северный,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Близнец Южный,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Княжегубская Седловатая,9,43,5,20,2,0,2,0,2,1,0,
2016,луда Седловатая,16,53,8,29,2,0,4,3,3,5,0,
2016,луда Роговая,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Тарасёнок,0,0,0,0,0,0,0,0,0,0,0,
2016,Ламбин,0,26,0,13,2,0,4,0,0,8,0,
2016,Большая Демениха,54,52,10,120,4,0,8,3,6,22,0,
2016,Малая Демениха,27,48,9,60,6,0,6,7,2,8,0,
2016,луда Песчаная (около о.Ряжков),10,55,3,15,0,0,3,0,3,7,0,
2016,Вороний,69,388,28,112,16,0,28,17,4,44,0,
2016,луда Песчанка (арх.Тарасиха),0,0,0,0,0,0,0,0,0,0,0,
2016,Малый Ломнишный,55,124,20,88,4,0,7,5,4,25,0,
2016,луда Голая,14,32,5,34,6,0,4,5,1,9,0,
2016,Анисимов,94,564,50,133,37,0,38,32,26,58,0,
2016,Большая Сеннуха,4,27,1,31,1,0,1,1,2,0,0,
2016,Малая Сеннуха,1,4,1,0,0,0,0,1,0,1,0,
2016,Ириньин,20,98,4,24,2,0,4,7,6,23,0,
2016,луда Сиротка,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Дрестной Баклыш,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Верблюд,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Гагаркина,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Горбуша,0,0,0,0,0,0,0,0,0,0,0,
2016,луда Чаячья,0,0,0,0,0,0,0,0,0,0,0,
2016,Богомолиха,20,82,12,40,4,0,6,3,5,5,0,
2016,луда Малая Богомолиха,0,12,2,12,0,0,5,0,5,2,0,
2016,луда Вороничная,1,51,13,36,0,0,4,5,3,4,0,
2016,Малый Медвежий,20,88,12,43,3,0,11,7,1,9,0,
2016,луда Ириненок,0,0,0,0,0,0,0,0,0,0,0,
2016,Горелый,15,110,12,39,2,0,3,11,6,13,0,
2016,Гульмаха,28,108,9,18,3,0,16,2,5,19,0,
2016,луда Наволочная,2,2,2,4,0,0,2,0,0,2,0,
2016,луда Ирвасиха,4,32,5,36,4,0,3,2,1,3,0,
2016,луда Головинка,6,33,2,10,1,0,1,5,1,4,0,
2016,луда Воронка,12,39,6,26,3,0,6,0,3,11,0,
2016,Круглый,26,180,16,18,6,0,8,9,5,20,0,
2016,луда Первая Поперечная,10,29,4,8,0,0,4,2,0,5,1,
2016,луда Вторая Поперечная,16,24,1,10,0,0,1,0,0,11,0,
2016,луда Южная (около о.М.Ломнишный),1,0,0,0,0,0,1,0,1,0,0,
2016,луда Плоская,0,0,0,0,0,0,0,0,0,0,0,
