Year,Bank,Sample,L,L_class
2018,korg,1,26,NA
2018,korg,1,28,NA
2018,korg,1,22,NA
2018,korg,1,18,NA
2018,korg,1,12,NA
2018,korg,1,25,NA
2018,korg,1,14,NA
2018,korg,1,18,NA
2018,korg,1,14,NA
2018,korg,1,26,NA
2018,korg,1,22,NA
2018,korg,1,26,NA
2018,korg,1,29,NA
2018,korg,1,24,NA
2018,korg,1,19,NA
2018,korg,1,21,NA
2018,korg,1,16,NA
2018,korg,1,21,NA
2018,korg,1,19,NA
2018,korg,1,22,NA
2018,korg,1,25,NA
2018,korg,1,19,NA
2018,korg,1,17,NA
2018,korg,1,20,NA
2018,korg,1,18,NA
2018,korg,1,18,NA
2018,korg,1,17,NA
2018,korg,1,18,NA
2018,korg,1,16,NA
2018,korg,1,13,NA
2018,korg,1,15,NA
2018,korg,1,16,NA
2018,korg,1,15,NA
2018,korg,1,14,NA
2018,korg,1,11,NA
2018,korg,1,15,NA
2018,korg,1,13,NA
2018,korg,1,13,NA
2018,korg,1,13,NA
2018,korg,1,16,NA
2018,korg,1,14,NA
2018,korg,1,13,NA
2018,korg,1,11,NA
2018,korg,1,14,NA
2018,korg,1,11,NA
2018,korg,1,14,NA
2018,korg,1,11,NA
2018,korg,1,13,NA
2018,korg,1,14,NA
2018,korg,1,12,NA
2018,korg,1,12,NA
2018,korg,1,11,NA
2018,korg,1,12,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,1,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,2,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,3,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,4,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
