date,time,Air_T,S,wind,wave,Water_T
01.07.2019,6:00,9.3,22,NA,0,10.67
01.07.2019,12:00,14.8,22,SE,2.5,11.42
01.07.2019,18:00,11.4,22,SE,5.5,11.3
02.07.2019,0:00,9.7,23,ESE,3,11.17
02.07.2019,6:00,10.4,24,SE,0,10.98
02.07.2019,12:00,11.2,24,SE,0,9.04
02.07.2019,18:00,12.1,25,NW,0,9.17
03.07.2019,0:00,11.4,25,NW,0,8.73
03.07.2019,6:00,11.7,25,NW,0,9.23
03.07.2019,12:00,16.5,25,N,0,9.42
03.07.2019,18:00,13.9,25,N,0,10.23
04.07.2019,0:00,13.3,25,N,0.5,9.04
04.07.2019,6:00,10.9,25,W,1,9.73
04.07.2019,12:00,13.3,25,W,1,9.85
04.07.2019,18:00,14.9,20,W,0.5,10.61
05.07.2019,0:00,12.6,21,W,1,10.04
05.07.2019,6:00,11.7,19,NW,1,10.29
05.07.2019,12:00,12.7,22,NW,1,9.85
05.07.2019,18:00,10.2,22,NW,1,10.23
06.07.2019,0:00,8.7,21,NWW,0.5,9.85
06.07.2019,6:00,8.4,22,NW,1,9.54
06.07.2019,12:00,11.5,22,NW,1,9.6
06.07.2019,18:00,12.7,21,NW,1,9.35
07.07.2019,0:00,12.6,23,NW,1,9.79
07.07.2019,6:00,11.3,24,NW,1,9.04
07.07.2019,12:00,14.1,22,N,1,9.04
07.07.2019,18:00,16.7,23,NW,1,10.79
08.07.2019,0:00,8.6,23,N,1,7.66
08.07.2019,6:00,7.8,24,E,1,8.16
08.07.2019,12:00,16.5,24,NW,1,7.73
08.07.2019,18:00,14.8,24,NW,2,9.92
09.07.2019,0:00,10.5,24,SW,1,9.54
09.07.2019,6:00,9.3,25,W,1,10.04
09.07.2019,12:00,16.4,24,W,0,8.29
09.07.2019,18:00,16.2,24,W,1,8.85
10.07.2019,0:00,10.1,25,W,1,9.67
10.07.2019,6:00,9.3,24,SW,1,9.35
10.07.2019,12:00,12.3,23,N,1,9.42
10.07.2019,18:00,12.1,24,N,1,9.29
11.07.2019,0:00,7.6,23,NW,1,9.79
11.07.2019,6:00,7,23,NW,1,9.67
11.07.2019,12:00,10,22,NW,1,9.6
11.07.2019,18:00,9.6,22,W,1,9.98
12.07.2019,0:00,8.6,23,N,1,9.85
12.07.2019,6:00,7.3,23,NW,3,9.04
12.07.2019,12:00,9,23,NW,2,9.23
12.07.2019,18:00,8.3,24,W,1,8.1
13.07.2019,0:00,7.5,23,N,1,8.54
13.07.2019,6:00,8.1,23,NW,1,8.29
13.07.2019,12:00,11.7,23,W,2,8.41
13.07.2019,18:00,15.3,24,W,1,9.1
14.07.2019,0:00,8.7,25,W,1,9.48
14.07.2019,6:00,8.8,25,W,1,8.6
14.07.2019,12:00,12.1,25,N,1,8.92
14.07.2019,18:00,12,25,NW,1,8.92
15.07.2019,0:00,9,22,NW,1,8.41
15.07.2019,6:00,7.9,23,N,1,8.41
15.07.2019,12:00,11.1,24,NE,1,8.6
15.07.2019,18:00,10.7,24,N,1,8.29
16.07.2019,0:00,8.9,24,SW,1,8.29
16.07.2019,6:00,8.5,23,S,0,8.85
16.07.2019,12:00,11.9,23,NW,1,8.04
16.07.2019,18:00,11.6,24,N,1,8.92
17.07.2019,0:00,9.2,24,W,1,8.98
17.07.2019,6:00,8,23,W,1,8.54
17.07.2019,12:00,11.7,23,W,1,8.54
17.07.2019,18:00,13.1,23,SW,1,9.42
18.07.2019,0:00,9.5,23,SW,1,10.17
18.07.2019,6:00,9,23,NW,1,9.17
18.07.2019,12:00,14.2,24,NE,0,7.41
18.07.2019,18:00,10.9,22,SE,0,9.17
19.07.2019,0:00,11.3,24,N,1,7.54
19.07.2019,6:00,10,23,NE,2,8.54
19.07.2019,12:00,13.7,23,N,1,8.6
19.07.2019,18:00,15.7,24,NW,1,8.85
20.07.2019,0:00,13,23,NW,1,7.73
20.07.2019,6:00,11.8,23,N,1,8.54
20.07.2019,12:00,18.1,22,SW,1,9.17
20.07.2019,18:00,18.3,21,SW,1,12.48
21.07.2019,0:00,12.1,21,SW,0,9.42
21.07.2019,6:00,14,21,NW,1,9.54
21.07.2019,12:00,21,22,SW,0,9.67
21.07.2019,18:00,19.7,21,SW,1,11.73
