Lat	Lon
66.25	-167.0
71.333333	-156.5
68.338889	-166.475
69.65194	18.95333
66.113333	-165.870833
67.275475	14.560537
68.42258	16.73823
69.14138	17.64603
68.41513	16.531621
69.30963	18.918797
68.03358	13.3563
67.14575	15.4082
68.39315	15.39138
67.1896	15.40042
67.17237	15.4256
66.83496	13.63406
66.321667	14.132832
66.808658	13.897575
66.312218	14.125696
66.321667	14.132832
66.80568	13.242869
67.98769	15.65013
69.898652	29.744136
68.24879	14.663582
68.489072	15.126489
68.71243	15.04207
66.312218	14.125696
68.39315	15.39138
70.823319	24.466049
69.650016	18.962907
69.88411	20.919841
67.98769	15.65013
67.294956	14.388529
68.78055	17.285767
67.2032	15.288121
69.48216	18.27881
67.17407	15.42212
70.680416	23.583516
66.312218	14.125696
69.60726	19.92598
70.826164	28.352269
66.2225	12.92115
69.898652	29.744136
70.68887	23.629
69.806209	30.394185
69.63086	18.926398
69.788499	30.402054
68.8874	17.1068
70.139117	30.362873
69.15283	17.0043
70.690678	23.615667
70.418648	26.698546
69.69176	18.174699
68.093983	16.379258
66.280257	14.034671
68.24879	14.663582
67.44285	14.715919
69.784959	30.412774
70.08105	20.0897
69.544083	20.588816
69.88725	20.765331
70.680416	23.583516
67.4064	15.6337
69.760113	19.842623
69.47945	18.07023
69.647483	18.808876
68.41782	16.802969
70.62675	23.11528
69.67315	18.97862
67.24442	15.39655
69.791699	30.398584
70.10937	19.585163
67.67142	15.207999
70.26167	23.298451
67.14146	15.41665
66.47802	12.73847
68.01339	16.17186
70.028972	29.29721
66.808658	13.897575
70.23932	23.2773
70.077341	20.370674
69.775269	19.716998
70.01388	21.73045
65.948	12.9857
69.75178	22.11733
70.153729	20.383189
70.65832	22.632519
69.13985	17.63667
70.816796	27.547673
69.797309	30.399834
66.808658	13.897575
67.272595	15.037327
66.812027	13.728093
68.210734	14.832171
65.948	12.9857
66.812027	13.728093
70.689034	23.584716
68.49445	15.22228
66.834561	13.636381
70.0859	22.67772
68.39315	15.39138
68.33398	14.951621
68.37545	15.31677
69.544366	20.588102
68.63008	15.27097
67.13353	14.31595
70.992882	25.970581
70.14107	22.350769
70.287469	23.40422
70.01388	21.73045
69.838281	30.277059
69.646504	18.960058
70.698026	28.148616
70.826164	28.352269
70.748479	25.629999
68.791706	16.546269
69.83436	21.193501
69.903867	21.878083
67.67632	15.211921
69.673171	18.977828
70.3416	23.40598
70.139117	30.362873
66.3467	12.77167
69.88462	21.739931
69.898652	29.744136
70.6131	23.588216
68.1381	13.89002
66.312218	14.125696
69.42818	17.32573
68.151144	16.276605
69.647315	18.961964
68.377596	17.033332
70.6695	23.671316
68.84963	14.85588
71.023894	28.20627
65.948	12.9857
67.95238	15.89714
70.139117	30.362873
69.98648	20.66495
68.7152	16.7614
67.144192	15.442629
71.018779	25.397599
68.471946	17.623338
68.377596	17.033332
69.898652	29.744136
66.280257	14.034671
70.68598	23.6043
66.318181	13.310314
69.2305	18.007001
67.4103	15.6502
67.10368	15.39228
69.1964	18.0036
70.831249	24.448969
67.41147	13.90137
70.193372	20.493653
69.1284	17.7908
67.294956	14.388529
67.66668	15.182821
66.280257	14.034671
70.2322	23.3235
70.613667	23.50695
68.24879	14.663582
70.6649	23.194731
66.31117	14.11983
69.898652	29.744136
67.71835	15.258979
69.775269	19.716998
70.031584	29.304681
69.936057	21.184261
69.649763	18.962963
69.791815	30.79655
68.838271	17.072067
67.95238	15.89714
68.42885	15.4868
66.280257	14.034671
70.38482	23.48418
70.02447	21.285971
67.263598	15.123138
67.17247	15.42372
69.674079	30.405753
66.312218	14.125696
67.272595	15.037327
69.1589	17.9651
69.898652	29.744136
70.2391	23.27382
68.79813	14.59638
70.26522	23.310169
69.88502	21.73993
66.01137	12.246321
68.24879	14.663582
69.510617	18.01825
69.15023	17.00655
78.128798	14.002844
69.708269	30.094015
67.4103	15.6502
69.648246	18.962525
69.646504	18.960058
70.23005	23.32825
69.440754	17.340274
68.153849	14.688243
70.07815	22.67235
66.312218	14.125696
66.53867	13.32358
66.321667	14.132832
68.20227	16.16637
69.230921	18.007461
69.703784	29.946166
70.673364	27.942638
69.88411	20.919841
69.22711	18.08058
69.22764	18.06492
69.13887	17.632749
70.67051	23.63848
68.792511	16.546523
69.644039	18.95227
69.51797	20.72148
70.139117	30.362873
70.0763	22.660929
68.450462	17.053366
68.24879	14.663582
70.668094	23.656425
70.2421	22.85895
69.50832	18.030269
69.647315	18.961964
67.41107	13.89757
69.14065	17.63952
69.84588	30.270559
69.880654	21.090799
70.080729	28.816709
66.8202	13.46695
70.09043	22.70533
68.792511	16.546523
69.91408	20.601071
70.895249	25.560078
69.91252	20.60007
68.792511	16.546523
68.49359	16.50519
70.989533	25.965579
67.235839	15.02312
69.22817	18.081
70.831249	24.448969
69.98365	20.68242
68.31745	17.269721
67.71502	15.15264
68.24879	14.663582
70.25597	22.64514
69.936057	21.184261
70.193372	20.493653
68.87167	17.75267
70.573269	24.077099
70.982589	25.740938
66.809908	13.881174
66.834561	13.636381
67.20445	15.27887
66.312218	14.125696
67.71502	15.15264
70.688866	23.628766
68.882166	17.107167
69.647315	18.961964
70.417568	26.695216
67.72905	15.37427
69.898652	29.744136
66.312218	14.125696
69.222939	18.079639
69.703784	29.946166
70.0895	22.70502
69.703784	29.946166
70.61548	23.50882
69.775269	19.716998
68.03617	13.35525
68.31832	14.91537
69.50995	18.030221
67.18045	15.411421
68.42885	15.4868
66.06855	12.07115
68.27595	17.38945
69.22588	19.50003
68.39315	15.39138
69.647315	18.961964
68.24879	14.663582
70.153729	20.383189
69.948233	23.09165
68.89445	15.3333
68.33155	14.94578
70.1411	22.25022
