date;time;Water_Temp
01/06/2019;13:00;7.8504
01/06/2019;16:00;6.9106
01/06/2019;19:00;6.8480
01/06/2019;22:00;7.9130
02/06/2019;01:00;8.7900
02/06/2019;04:00;6.7853
02/06/2019;07:00;6.9106
02/06/2019;10:00;6.7853
02/06/2019;13:00;8.4768
02/06/2019;16:00;7.7251
02/06/2019;19:00;7.7878
02/06/2019;22:00;7.9130
03/06/2019;01:00;8.2889
03/06/2019;04:00;7.2866
03/06/2019;07:00;6.9106
03/06/2019;10:00;6.8480
03/06/2019;13:00;7.5372
03/06/2019;16:00;9.2285
03/06/2019;19:00;7.6625
03/06/2019;22:00;7.7878
04/06/2019;01:00;8.2263
04/06/2019;04:00;8.3516
04/06/2019;07:00;7.3492
04/06/2019;10:00;7.3492
04/06/2019;13:00;7.5998
04/06/2019;16:00;7.9757
04/06/2019;19:00;7.3492
04/06/2019;22:00;7.5998
05/06/2019;01:00;7.7878
05/06/2019;04:00;7.8504
05/06/2019;07:00;5.9081
05/06/2019;10:00;5.7201
05/06/2019;13:00;5.7828
05/06/2019;16:00;8.7274
05/06/2019;19:00;6.6600
05/06/2019;22:00;7.4745
06/06/2019;01:00;7.7878
06/06/2019;04:00;7.9130
06/06/2019;07:00;7.0359
06/06/2019;10:00;6.4094
06/06/2019;13:00;6.7227
06/06/2019;16:00;7.2866
06/06/2019;19:00;8.2889
06/06/2019;22:00;7.2866
07/06/2019;01:00;8.4768
07/06/2019;04:00;9.2285
07/06/2019;07:00;8.6648
07/06/2019;10:00;6.2214
07/06/2019;13:00;7.0359
07/06/2019;16:00;9.1659
07/06/2019;19:00;14.1125
07/06/2019;22:00;9.4790
08/06/2019;01:00;10.4811
08/06/2019;04:00;12.9231
08/06/2019;07:00;11.9840
08/06/2019;10:00;8.7900
08/06/2019;13:00;10.0427
08/06/2019;16:00;12.7979
08/06/2019;19:00;16.0527
08/06/2019;22:00;10.7316
09/06/2019;01:00;8.8527
09/06/2019;04:00;9.1659
09/06/2019;07:00;11.1073
09/06/2019;10:00;8.2889
09/06/2019;13:00;9.4164
09/06/2019;16:00;9.1032
09/06/2019;19:00;12.8605
09/06/2019;22:00;10.6690
10/06/2019;01:00;9.7296
10/06/2019;04:00;10.1054
10/06/2019;07:00;10.1054
10/06/2019;10:00;10.1054
10/06/2019;13:00;9.9801
10/06/2019;16:00;11.3578
10/06/2019;19:00;16.1153
10/06/2019;22:00;13.7369
11/06/2019;01:00;10.9195
11/06/2019;04:00;10.7942
11/06/2019;07:00;9.7922
11/06/2019;10:00;7.9130
11/06/2019;13:00;9.4790
11/06/2019;16:00;9.7922
11/06/2019;19:00;10.1054
11/06/2019;22:00;9.6043
12/06/2019;01:00;9.2911
12/06/2019;04:00;9.1032
12/06/2019;07:00;8.4142
12/06/2019;10:00;7.9757
12/06/2019;13:00;8.4768
12/06/2019;16:00;8.9153
12/06/2019;19:00;9.4790
12/06/2019;22:00;10.1680
13/06/2019;01:00;8.7900
13/06/2019;04:00;8.7274
13/06/2019;07:00;8.5395
13/06/2019;10:00;8.1636
13/06/2019;13:00;9.8548
13/06/2019;16:00;10.1680
13/06/2019;19:00;11.6083
13/06/2019;22:00;13.1109
14/06/2019;01:00;14.1125
14/06/2019;04:00;7.9130
14/06/2019;07:00;8.6021
14/06/2019;10:00;8.6021
14/06/2019;13:00;10.2932
14/06/2019;16:00;10.7942
14/06/2019;19:00;8.5395
14/06/2019;22:00;9.2285
15/06/2019;01:00;9.2911
15/06/2019;04:00;8.9780
15/06/2019;07:00;8.7274
15/06/2019;10:00;8.5395
15/06/2019;13:00;8.2889
15/06/2019;16:00;10.4185
15/06/2019;19:00;10.2932
15/06/2019;22:00;11.3578
16/06/2019;01:00;9.6669
16/06/2019;04:00;8.9153
16/06/2019;07:00;7.7878
16/06/2019;10:00;8.7900
16/06/2019;13:00;6.4720
16/06/2019;16:00;7.5998
16/06/2019;19:00;9.1032
16/06/2019;22:00;9.2285
17/06/2019;01:00;9.1032
17/06/2019;04:00;9.2285
17/06/2019;07:00;9.1659
17/06/2019;10:00;8.8527
17/06/2019;13:00;8.5395
17/06/2019;16:00;9.6043
17/06/2019;19:00;11.5457
17/06/2019;22:00;9.8548
18/06/2019;01:00;9.9801
18/06/2019;04:00;7.2239
18/06/2019;07:00;8.7900
18/06/2019;10:00;8.7274
18/06/2019;13:00;8.1636
18/06/2019;16:00;9.1032
18/06/2019;19:00;10.8569
18/06/2019;22:00;8.4142
19/06/2019;01:00;10.2306
19/06/2019;04:00;11.0447
19/06/2019;07:00;10.6064
19/06/2019;10:00;9.9801
19/06/2019;13:00;10.9821
19/06/2019;16:00;9.9801
19/06/2019;19:00;6.6600
19/06/2019;22:00;8.4768
20/06/2019;01:00;9.1032
20/06/2019;04:00;8.9153
20/06/2019;07:00;8.5395
20/06/2019;10:00;7.9757
20/06/2019;13:00;8.5395
20/06/2019;16:00;8.4142
20/06/2019;19:00;10.8569
20/06/2019;22:00;10.3559
21/06/2019;01:00;9.4164
21/06/2019;04:00;9.7296
21/06/2019;07:00;9.8548
21/06/2019;10:00;9.9175
21/06/2019;13:00;10.1680
21/06/2019;16:00;10.1054
21/06/2019;19:00;9.6043
21/06/2019;22:00;10.1054
22/06/2019;01:00;10.2932
22/06/2019;04:00;9.9801
22/06/2019;07:00;9.3538
22/06/2019;10:00;9.5417
22/06/2019;13:00;9.9175
22/06/2019;16:00;10.2932
22/06/2019;19:00;9.8548
22/06/2019;22:00;9.1659
23/06/2019;01:00;9.8548
23/06/2019;04:00;10.1680
23/06/2019;07:00;9.4164
23/06/2019;10:00;9.3538
23/06/2019;13:00;9.7296
23/06/2019;16:00;9.7296
23/06/2019;19:00;9.9175
23/06/2019;22:00;9.7296
24/06/2019;01:00;9.2911
24/06/2019;04:00;9.1032
24/06/2019;07:00;9.0406
24/06/2019;10:00;8.9780
24/06/2019;13:00;9.6043
24/06/2019;16:00;11.1700
24/06/2019;19:00;10.6690
24/06/2019;22:00;11.5457
25/06/2019;01:00;10.8569
25/06/2019;04:00;10.5437
25/06/2019;07:00;11.0447
25/06/2019;10:00;10.9195
25/06/2019;13:00;11.2952
25/06/2019;16:00;12.5475
25/06/2019;19:00;11.6083
25/06/2019;22:00;11.4204
26/06/2019;01:00;12.1718
26/06/2019;04:00;12.2970
26/06/2019;07:00;11.7961
26/06/2019;10:00;12.1092
26/06/2019;13:00;12.8605
26/06/2019;16:00;13.2987
26/06/2019;19:00;11.7961
26/06/2019;22:00;11.6709
27/06/2019;01:00;12.4848
27/06/2019;04:00;12.3596
27/06/2019;07:00;12.6727
27/06/2019;10:00;12.6727
27/06/2019;13:00;13.1735
27/06/2019;16:00;12.6727
27/06/2019;19:00;12.6101
27/06/2019;22:00;12.1718
28/06/2019;01:00;12.2970
28/06/2019;04:00;12.2970
28/06/2019;07:00;12.2344
28/06/2019;10:00;12.2344
28/06/2019;13:00;11.5457
28/06/2019;16:00;12.8605
28/06/2019;19:00;12.7979
28/06/2019;22:00;13.2987
29/06/2019;01:00;13.0483
29/06/2019;04:00;12.6727
29/06/2019;07:00;12.8605
29/06/2019;10:00;12.2970
29/06/2019;13:00;13.0483
29/06/2019;16:00;13.0483
29/06/2019;19:00;13.2361
29/06/2019;22:00;11.6083
30/06/2019;01:00;11.3578
30/06/2019;04:00;10.7942
30/06/2019;07:00;9.9175
30/06/2019;10:00;9.6043
30/06/2019;13:00;9.1032
30/06/2019;16:00;10.4185
30/06/2019;19:00;10.4185
30/06/2019;22:00;11.1073
01/07/2019;01:00;10.1054
01/07/2019;04:00;10.9821
01/07/2019;07:00;10.6690
01/07/2019;10:00;10.6690
01/07/2019;13:00;11.4204
01/07/2019;16:00;11.4830
01/07/2019;19:00;11.2952
01/07/2019;22:00;11.4830
02/07/2019;01:00;11.1700
02/07/2019;04:00;10.9821
02/07/2019;07:00;10.9821
02/07/2019;10:00;10.9821
02/07/2019;13:00;9.0406
02/07/2019;16:00;8.8527
02/07/2019;19:00;9.1659
02/07/2019;22:00;9.1032
03/07/2019;01:00;8.7274
03/07/2019;04:00;9.0406
03/07/2019;07:00;9.2285
03/07/2019;10:00;9.2911
03/07/2019;13:00;9.4164
03/07/2019;16:00;9.9801
03/07/2019;19:00;10.2306
03/07/2019;22:00;8.7900
04/07/2019;01:00;9.0406
04/07/2019;04:00;9.2285
04/07/2019;07:00;9.7296
04/07/2019;10:00;9.6669
04/07/2019;13:00;9.8548
04/07/2019;16:00;10.1054
04/07/2019;19:00;10.6064
04/07/2019;22:00;10.2306
05/07/2019;01:00;10.0427
05/07/2019;04:00;10.2306
05/07/2019;07:00;10.2932
05/07/2019;10:00;10.4185
05/07/2019;13:00;9.8548
05/07/2019;16:00;10.4811
05/07/2019;19:00;10.2306
05/07/2019;22:00;10.1054
06/07/2019;01:00;9.8548
06/07/2019;04:00;9.8548
06/07/2019;07:00;9.5417
06/07/2019;10:00;9.6043
06/07/2019;13:00;9.6043
06/07/2019;16:00;9.1032
06/07/2019;19:00;9.3538
06/07/2019;22:00;9.7296
07/07/2019;01:00;9.7922
07/07/2019;04:00;8.9153
07/07/2019;07:00;9.0406
07/07/2019;10:00;8.9153
07/07/2019;13:00;9.0406
07/07/2019;16:00;9.6669
07/07/2019;19:00;10.7942
07/07/2019;22:00;8.9153
08/07/2019;01:00;7.6625
08/07/2019;04:00;7.6625
08/07/2019;07:00;8.1636
08/07/2019;10:00;7.5372
08/07/2019;13:00;7.7251
08/07/2019;16:00;8.4142
08/07/2019;19:00;9.9175
08/07/2019;22:00;9.4790
09/07/2019;01:00;9.5417
09/07/2019;04:00;9.4790
09/07/2019;07:00;10.0427
09/07/2019;10:00;8.4768
09/07/2019;13:00;8.2889
09/07/2019;16:00;8.8527
09/07/2019;19:00;8.8527
09/07/2019;22:00;8.6648
10/07/2019;01:00;9.6669
10/07/2019;04:00;9.2285
10/07/2019;07:00;9.3538
10/07/2019;10:00;9.4790
10/07/2019;13:00;9.4164
10/07/2019;16:00;9.2285
10/07/2019;19:00;9.2911
10/07/2019;22:00;9.7922
11/07/2019;01:00;9.7922
11/07/2019;04:00;9.7922
11/07/2019;07:00;9.6669
11/07/2019;10:00;9.5417
11/07/2019;13:00;9.6043
11/07/2019;16:00;9.7922
11/07/2019;19:00;9.9801
11/07/2019;22:00;10.1054
12/07/2019;01:00;9.8548
12/07/2019;04:00;9.2285
12/07/2019;07:00;9.0406
12/07/2019;10:00;9.1659
12/07/2019;13:00;9.2285
12/07/2019;16:00;8.7274
12/07/2019;19:00;8.1010
12/07/2019;22:00;8.4142
13/07/2019;01:00;8.5395
13/07/2019;04:00;8.3516
13/07/2019;07:00;8.2889
13/07/2019;10:00;8.2263
13/07/2019;13:00;8.4142
13/07/2019;16:00;9.0406
13/07/2019;19:00;9.1032
13/07/2019;22:00;8.7900
14/07/2019;01:00;9.4790
14/07/2019;04:00;8.7900
14/07/2019;07:00;8.6021
14/07/2019;10:00;7.8504
14/07/2019;13:00;8.9153
14/07/2019;16:00;8.9780
14/07/2019;19:00;8.9153
14/07/2019;22:00;8.6021
15/07/2019;01:00;8.4142
15/07/2019;04:00;8.6648
15/07/2019;07:00;8.4142
15/07/2019;10:00;8.5395
15/07/2019;13:00;8.6021
15/07/2019;16:00;9.2285
15/07/2019;19:00;8.2889
15/07/2019;22:00;7.9130
16/07/2019;01:00;8.2889
16/07/2019;04:00;8.0383
16/07/2019;07:00;8.8527
16/07/2019;10:00;8.9153
16/07/2019;13:00;8.0383
16/07/2019;16:00;8.1010
16/07/2019;19:00;8.9153
16/07/2019;22:00;9.2285
17/07/2019;01:00;8.9780
17/07/2019;04:00;8.7900
17/07/2019;07:00;8.5395
17/07/2019;10:00;8.4768
17/07/2019;13:00;8.5395
17/07/2019;16:00;8.9153
17/07/2019;19:00;9.4164
17/07/2019;22:00;8.3516
18/07/2019;01:00;10.1680
18/07/2019;04:00;9.6669
18/07/2019;07:00;9.1659
18/07/2019;10:00;8.6021
18/07/2019;13:00;7.4119
18/07/2019;16:00;8.5395
18/07/2019;19:00;9.1659
18/07/2019;22:00;9.1032
19/07/2019;01:00;7.5372
19/07/2019;04:00;8.4768
19/07/2019;07:00;8.5395
19/07/2019;10:00;8.6021
19/07/2019;13:00;8.6021
19/07/2019;16:00;8.9153
19/07/2019;19:00;8.8527
19/07/2019;22:00;8.3516
20/07/2019;01:00;7.7251
20/07/2019;04:00;8.2263
20/07/2019;07:00;8.5395
20/07/2019;10:00;9.1032
20/07/2019;13:00;9.1659
20/07/2019;16:00;10.2932
20/07/2019;19:00;12.4848
20/07/2019;22:00;11.1700
