"","Station","Long","Lat","Depth","Date","Constructed","No","Month"
"1","O1",73.1319105191017,72.6825728303676,16.3,2016-10-01 03:00:00,23.5637836456299,23.5226612091064,10
"2","O2",73.4237380740005,72.7045819402862,22,2016-10-01 03:00:00,23.9120597839355,23.858268737793,10
"3","O3",73.7162792611893,72.7261680595336,22,2016-10-01 03:00:00,23.2597351074219,23.0861148834229,10
"4","O4",74.009522876783,72.7473295567618,18.5,2016-10-01 03:00:00,18.3325171470642,18.2804403305054,10
"5","O5",74.3034575168275,72.768064823866,15,2016-10-01 03:00:00,14.6444854736328,14.7278833389282,10
"6","O6",74.5980707384903,72.7883722184,12.5,2016-10-01 03:00:00,12.9123188654582,12.974502881368,10
"7","O7",73.1495690544127,72.3387651598345,10.75,2016-10-01 03:00:00,10.1614933013916,9.66556930541992,10
"8","O8",73.3671863625466,72.3430519153511,12.25,2016-10-01 03:00:00,12.2294578552246,11.6515417098999,10
"9","O9",73.8953984750899,72.34551539962,11.5,2016-10-01 03:00:00,14.379997253418,14.7182235717773,10
"10","O10",74.1665935052859,72.5511168816705,15.4,2016-10-01 03:00:00,19.4804744720459,19.3170566558838,10
"11","O11",74.3159186044979,72.5516829130236,15.8,2016-10-01 03:00:00,19.3697128295898,19.4333381652832,10
"12","O12",74.4652525801833,72.5521375488588,15.6,2016-10-01 03:00:00,19.2558193206787,19.4113063812256,10
"13","O13",73.3206497474867,71.648941382955,10,2016-10-01 03:00:00,2.29601454734802,2.28755187988281,10
"14","O14",74.3205662863596,72.5068986607386,15.6,2016-10-01 03:00:00,19.0559310913086,19.1101913452148,10
"15","O15",74.3193152068486,72.6008282629359,15.8,2016-10-01 03:00:00,19.7215747833252,19.5804061889648,10
"16","O16",73.9481155287387,72.5353381836306,15.5,2016-10-01 03:00:00,19.5623569488525,19.174144744873,10
"17","O18",74.1849908165619,72.480978250465,15.5,2016-10-01 03:00:00,19.1239051818848,19.1648502349854,10
"18","O19",73.7755417000831,72.4707760686877,12.25,2016-10-01 03:00:00,17.4056186676025,16.2409057617188,10
"19","O21",74.0120895938746,72.4166206638183,11,2016-10-01 03:00:00,16.0711421966553,16.3640956878662,10
"20","O22",73.4988268904882,72.3711318563435,11.75,2016-10-01 03:00:00,13.638011932373,12.9362316131592,10
"21","O24",73.7349002111026,72.3173051555688,11.5,2016-10-01 03:00:00,12.5602474212646,12.9602766036987,10
