ID;x;y
1;4.597400;23.495000
1;4.591100;23.298200
1;4.718100;23.082300
1;4.984800;22.739400
1;5.264200;22.447300
1;5.645200;22.104400
1;5.950000;21.863100
1;6.292900;21.647200
1;6.788200;21.418600
1;7.334300;21.291600
1;7.791500;21.317000
1;8.134400;21.456700
1;8.451900;21.609100
1;8.731300;21.812300
1;9.048800;22.028200
1;9.277400;22.320300
1;9.379000;22.561600
1;9.417100;22.841000
1;9.391700;23.120400
1;9.239300;23.476000
1;9.108000;23.746900
1;8.930200;23.950100
1;8.684700;24.102500
1;8.490000;24.221100
1;8.286800;24.271900
1;8.049700;24.263400
1;7.812600;24.195700
1;7.575600;24.119500
1;7.330000;24.005200
1;7.016800;23.920500
1;6.796600;23.861200
1;6.576500;23.827400
1;6.314000;23.818900
1;6.034600;23.780800
1;5.806000;23.738500
1;5.560500;23.730000
1;5.213400;23.666500
1;4.883200;23.577600
1;4.743500;23.577600
2;3.592000;20.550800
2;3.676700;20.250200
2;3.803700;20.021600
2;4.019600;19.691400
2;4.286300;19.412000
2;4.527600;19.183400
2;4.845100;18.916700
2;5.149900;18.624600
2;5.518200;18.357900
2;6.115100;18.091200
2;6.648500;18.116600
2;7.105700;18.256300
2;7.524800;18.484900
2;7.829600;18.696600
2;8.092000;18.916700
2;8.286800;19.179200
2;8.464600;19.475500
2;8.583100;19.780300
2;8.642400;20.051200
2;8.633900;20.381400
2;8.515400;20.707400
2;8.350300;20.936000
2;8.134400;21.126500
2;7.893100;21.266200
2;7.575600;21.355100
2;7.232700;21.342400
2;6.966000;21.317000
2;6.724700;21.266200
2;6.521500;21.215400
2;6.254800;21.151900
2;6.000800;21.075700
2;5.645200;20.974100
2;5.327700;20.897900
2;5.048300;20.821700
2;4.807000;20.783600
2;4.527600;20.732800
2;4.273600;20.669300
2;4.019600;20.618500
2;3.740200;20.605800
3;11.588800;13.176300
3;11.665000;12.960400
3;11.842800;12.744500
3;12.033300;12.503200
3;12.287300;12.300000
3;12.554000;12.096800
3;12.858800;11.919000
3;13.189000;11.703100
3;13.582700;11.538000
3;14.065300;11.411000
3;14.560600;11.398300
3;15.068600;11.499900
3;15.462300;11.639600
3;15.843300;11.817400
3;16.198900;12.109500
3;16.452900;12.477800
3;16.541800;12.833400
3;16.516400;13.189000
3;16.402100;13.468400
3;16.287800;13.658900
3;16.135400;13.900200
3;15.932200;14.052600
3;15.614700;14.179600
3;15.246400;14.205000
3;14.878100;14.179600
3;14.535200;14.128800
3;14.230400;14.052600
3;13.912900;13.989100
3;13.608100;13.887500
3;13.303300;13.874800
3;13.011200;13.811300
3;12.731800;13.747800
3;12.554000;13.658900
3;12.388900;13.595400
3;12.249200;13.531900
3;12.096800;13.455700
3;12.033300;13.417600
3;11.855500;13.341400
3;11.665000;13.328700
4;10.458500;11.449100
4;10.217200;11.347500
4;10.014000;11.195100
4;9.836200;11.017300
4;9.658400;10.852200
4;9.429800;10.598200
4;9.226600;10.407700
4;9.048800;10.153700
4;8.883700;9.874300
4;8.769400;9.569500
4;8.769400;9.315500
4;8.794800;9.099600
4;8.820200;8.832900
4;8.921800;8.528100
4;8.985300;8.286800
4;9.061500;8.058200
4;9.201200;7.816900
4;9.417100;7.639100
4;9.696500;7.486700
4;10.115600;7.397800
4;10.420400;7.474000
4;10.699800;7.588300
4;10.890300;7.791500
4;10.991900;8.020100
4;11.004600;8.261400
4;11.030000;8.528100
4;11.004600;8.769400
4;10.991900;9.048800
4;10.953800;9.302800
4;10.928400;9.582200
4;10.915700;9.810800
4;10.903000;10.039400
4;10.852200;10.280700
4;10.826800;10.534700
4;10.776000;10.712500
4;10.725200;10.852200
4;10.674400;11.030000
4;10.623600;11.258600
4;10.598200;11.385600
5;11.372900;24.542800
5;11.419400;24.276100
5;11.525300;24.047500
5;11.741200;23.793500
5;12.046000;23.450600
5;12.350800;23.133100
5;12.617500;22.828300
5;12.935000;22.510800
5;13.316000;22.155200
5;13.684300;21.863100
5;14.141500;21.698000
5;14.763800;21.647200
5;15.144800;21.672600
5;15.602000;21.774200
5;16.084600;21.913900
5;16.579900;22.117100
5;17.049800;22.447300
5;17.341900;22.879100
5;17.468900;23.260100
5;17.502800;23.700400
5;17.384200;24.140600
5;17.248800;24.513200
5;16.944000;24.818000
5;16.486700;25.004200
5;16.080300;25.088900
5;15.572300;25.055000
5;15.132100;25.021200
5;14.725700;24.970400
5;14.353100;24.953400
5;14.031400;24.902600
5;13.760500;24.868800
5;13.421800;24.818000
5;13.167800;24.801000
5;12.964600;24.750200
5;12.625900;24.750200
5;12.304200;24.733300
5;11.965500;24.716400
5;11.745400;24.682500
5;11.525300;24.682500
6;1.663700;16.179800
6;1.682800;16.008400
6;1.873300;15.779800
6;2.089200;15.551200
6;2.330500;15.322600
6;2.559100;15.144800
6;2.787700;15.005100
6;3.003600;14.840000
6;3.295700;14.624100
6;3.829100;14.484400
6;4.184700;14.433600
6;4.616500;14.484400
6;5.073700;14.522500
6;5.467400;14.662200
6;5.937300;14.840000
6;6.356400;15.106700
6;6.610400;15.475000
6;6.724700;15.805200
6;6.724700;16.122700
6;6.572300;16.503700
6;6.381800;16.757700
6;6.178600;16.922800
6;5.988100;16.999000
6;5.734100;17.024400
6;5.543600;17.024400
6;5.200700;16.960900
6;4.934000;16.897400
6;4.603800;16.859300
6;4.387900;16.821200
6;4.159300;16.783100
6;3.854500;16.719600
6;3.486200;16.668800
6;3.156000;16.630700
6;2.902000;16.592600
6;2.609900;16.491000
6;2.381300;16.427500
6;2.190800;16.389400
6;2.000300;16.325900
6;1.809800;16.287800
8;4.540300;17.087900
8;4.603800;16.884700
8;4.705400;16.694200
8;4.946700;16.491000
8;5.149900;16.262400
8;5.403900;16.046500
8;5.708700;15.767100
8;6.013500;15.576600
8;6.419900;15.360700
8;6.889800;15.157500
8;7.347000;15.195600
8;7.728000;15.284500
8;8.121700;15.462300
8;8.451900;15.690900
8;8.769400;16.008400
8;8.947200;16.325900
8;9.036100;16.630700
8;9.036100;16.872000
8;9.023400;17.126000
8;8.959900;17.341900
8;8.845600;17.570500
8;8.718600;17.748300
8;8.528100;17.900700
8;8.337600;17.964200
8;8.121700;18.015000
8;7.867700;18.002300
8;7.562900;17.938800
8;7.359700;17.913400
8;7.156500;17.837200
8;6.915200;17.773700
8;6.610400;17.697500
8;6.394500;17.646700
8;6.153200;17.595900
8;5.937300;17.532400
8;5.734100;17.507000
8;5.480100;17.430800
8;5.124500;17.354600
8;4.832400;17.240300
8;4.641900;17.240300
