Ecology;Site;Site_code;Latitude;Longitude;Year;Date;Sample;N;ID;DN;Rate_of_aneuploid_cells;Ploidy_of_aneuploid_cells;BTN_genotype;COI-test_Hemo;COI-test_Foot;Sex;L;Last_ring;Increment;Age;ring1;ring2;ring3;ring4;ring5;ring6;ring7;ring8;ring9;ring10;ring11;ring12;ring13;OGP_sample;OGP_site
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;31;no;0;NA;healthy;NA;NA;male;"48,6";"47,8";"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;32;no;0;NA;healthy;NA;NA;female;"46,5";"45,5";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;33;no;0;NA;healthy;NA;NA;female;"49,7";"49,3";"0,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;34;no;0;NA;healthy;NA;NA;female;"42,1";"41,8";"0,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;35;no;0;NA;healthy;NA;NA;female;"48,6";"47,4";"1,2";9;"3,6";"6,3";"11,3";"15,4";"22,2";"32,3";"37,8";"43,6";"47,4";NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;36;no;0;NA;healthy;NA;NA;male;"50,8";"49,9";"0,9";12;NA;5;"9,7";"14,3";22;28;"34,8";"41,5";"45,8";"47,6";49;"49,9";NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;37;no;0;NA;healthy;NA;NA;female;"50,7";"50,4";"0,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;38;no;0;NA;healthy;NA;NA;female;"45,4";"44,1";"1,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;39;no;0;NA;healthy;NA;NA;male;"44,3";"43,8";"0,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;40;no;0;NA;healthy;NA;NA;female;"44,7";"43,9";"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;41;no;0;NA;healthy;NA;NA;male;"40,7";"40,3";"0,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;42;no;0;NA;healthy;NA;NA;male;"51,7";"49,6";"2,1";11;NA;"5,4";8;"12,5";"20,5";"24,6";"31,9";"39,5";"44,8";48;"49,6";NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;43;no;0;NA;healthy;NA;NA;male;49;"47,4";"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;44;no;0;NA;healthy;NA;NA;male;"49,2";48;"1,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;45;no;0;NA;healthy;NA;NA;male;"45,8";"43,5";"2,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;46;no;0;NA;healthy;NA;NA;female;"43,2";43;"0,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;47;no;0;NA;healthy;NA;NA;female;"48,6";48;"0,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;48;no;0;NA;healthy;NA;NA;male;"46,4";"45,2";"1,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;49;no;0;NA;healthy;NA;NA;female;47;"46,1";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;50;no;0;NA;healthy;NA;NA;male;"47,3";"46,2";"1,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;51;no;0;NA;healthy;NA;NA;female;"45,1";"44,7";"0,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;52;no;0;NA;healthy;NA;NA;female;50;"47,8";"2,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;53;no;0;NA;healthy;NA;NA;female;"48,4";48;"0,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;54;no;0;NA;healthy;NA;NA;male;"47,2";"46,9";"0,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;55;no;0;NA;healthy;NA;NA;male;"44,5";"43,4";"1,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;56;no;0;NA;healthy;NA;NA;male;"49,2";"47,7";"1,5";9;NA;"4,2";10;"17,4";"24,9";"32,4";40;"46,8";"47,7";NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;57;no;0;NA;healthy;NA;NA;male;"44,8";43;"1,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;58;no;0;NA;healthy;NA;NA;female;"47,9";47;"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;59;no;0;NA;healthy;NA;NA;female;"46,1";43;"3,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;60;no;0;NA;healthy;NA;NA;male;"47,3";"46,4";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
