Ecology;Site;Site_code;Latitude;Longitude;Year;Date;Sample;N;ID;DN;Rate_of_aneuploid_cells;Ploidy_of_aneuploid_cells;BTN_genotype;COI-test_Hemo;COI-test_Foot;Sex;L;Last_ring;Increment;Age;ring1;ring2;ring3;ring4;ring5;ring6;ring7;ring8;ring9;ring10;ring11;ring12;ring13;OGP_sample;OGP_site
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;46;no;0;NA;healthy;NA;NA;NA;"34,6";"33,6";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;47;no;0;NA;healthy;NA;NA;NA;"35,9";"34,6";"1,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;48;no;0;NA;healthy;NA;NA;NA;"33,5";"31,3";"2,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;49;no;0;NA;healthy;NA;NA;NA;"33,2";"31,9";"1,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;50;no;0;NA;healthy;NA;NA;NA;"37,6";"36,9";"0,7";8;4;"6,4";"9,5";17;"22,1";"28,3";"33,4";"36,9";NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;51;no;0;NA;healthy;NA;NA;NA;"35,3";"34,5";"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;52;no;0;NA;healthy;NA;NA;NA;"36,8";"36,1";"0,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;53;no;0;NA;healthy;NA;NA;NA;"38,4";"36,1";"2,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;54;no;0;NA;healthy;NA;NA;NA;"38,7";"36,9";"1,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;55;no;0;NA;healthy;NA;NA;NA;"36,5";"34,4";"2,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
