"","sample.id","year","latitude","longitude","n.obs","nirv.gs.avg","nirv.gs.med","nirv.gs.q90","nirv.max","nirv.max.lwr","nirv.max.upr","nirv.max.doy"
"1","S_1",2006,55.1300984,159.9137893,1,0.180609540386556,0.180609540386556,0.180609540386556,0.181017158492074,0.181017158492074,0.181017158492074,227
"2","S_1",2009,55.1300984,159.9137893,10,0.161372621920832,0.160641431835475,0.171932679670357,0.171932679670357,0.155612085807264,0.173878490847416,218
"3","S_1",2010,55.1300984,159.9137893,2,0.157166356071664,0.157166356071664,0.157615686279863,0.159949481326495,0.159387818566246,0.160511144086744,219
"4","S_1",2011,55.1300984,159.9137893,1,0.171204586349566,0.171204586349566,0.171204586349566,0.171255799173579,0.171255799173579,0.171255799173579,218
"5","S_1",2012,55.1300984,159.9137893,2,0.159171973516616,0.159171973516616,0.1594402471315,0.160664259948777,0.160328917930172,0.160999601967382,216
"6","S_1",2013,55.1300984,159.9137893,3,0.1600843099101,0.164347619818056,0.164961057450162,0.164961057450162,0.162553908782278,0.165177915624418,215
"7","S_1",2014,55.1300984,159.9137893,7,0.161952768896245,0.160072226366108,0.170338485763627,0.171532570584937,0.154383428877019,0.177508166462963,218
"8","S_1",2016,55.1300984,159.9137893,3,0.165608106621086,0.171492255879951,0.172599731745394,0.172599731745394,0.160584524492117,0.173025225582444,200
"9","S_1",2017,55.1300984,159.9137893,2,0.163343789595306,0.163343789595306,0.168713222083336,0.168713222083336,0.156775523962645,0.170191709341895,195
"10","S_1",2018,55.1300984,159.9137893,5,0.172909929747336,0.169901576225607,0.182528262575005,0.182528262575005,0.164124311666,0.184701593733308,193
"11","S_1",2019,55.1300984,159.9137893,2,0.158804799050885,0.158804799050885,0.159087491178083,0.159087491178083,0.158609437289725,0.15931616760772,193
"12","S_1",2020,55.1300984,159.9137893,12,0.156264739361117,0.154060819006224,0.161322741095177,0.161322741095177,0.152839784988871,0.174334432235627,190
"13","S_1",2021,55.1300984,159.9137893,3,0.156099664241427,0.154437289021084,0.161403419143707,0.161403419143707,0.152794896391105,0.163144951674363,186
"14","S_1",2022,55.1300984,159.9137893,3,0.153507409423011,0.152541898673235,0.156173602794154,0.156173602794154,0.151896071488446,0.159903937019024,188
"15","S_1",2023,55.1300984,159.9137893,4,0.15461586150891,0.153418204637792,0.158595361181454,0.158595361181454,0.152532957750197,0.160786225050787,189
"16","S_1",2024,55.1300984,159.9137893,2,0.15796006580468,0.15796006580468,0.160576631993067,0.160576631993067,0.158854998762428,0.16143233416249,188
"17","S_10",2005,55.1241009,159.922591,2,0.168437337297818,0.168437337297818,0.169788311901022,0.170413948334722,0.168725230080717,0.172102666588727,175
