"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"694","S_40",55.0842913,160.0448118,2004,2023,20,0.9028,0.033,"2003to2023","ndvi.max",-0.00195,0.8985,-0.251,0.1417,-0.041,-4.6,"no_trend"
"695","S_400",55.1465417,159.9833609,2004,2023,20,0.8169,0.0258,"2003to2023","ndvi.max",-0.00073,0.9474,-0.111,0.5289,-0.015,-1.6,"no_trend"
"696","S_401",55.083909,159.9254254,2004,2023,20,0.8309,0.0441,"2003to2023","ndvi.max",-0.00437,0.7284,-0.415,0.0143,-0.092,-12.6,"browning"
"697","S_402",55.1313107,160.0634496,2004,2023,20,0.8352,0.0298,"2003to2023","ndvi.max",-0.00041,1.0331,-0.064,0.7264,-0.009,-0.9,"no_trend"
"698","S_403",55.1005386,159.9366237,2004,2023,20,0.8227,0.0361,"2003to2023","ndvi.max",0.00016,0.9026,0.006,1,0.003,0.3,"no_trend"
"699","S_406",55.1331035,159.9439738,2004,2023,20,0.8043,0.0295,"2003to2023","ndvi.max",-0.00041,0.9027,-0.064,0.7264,-0.009,-1,"no_trend"
"700","S_407",55.1268673,159.913245,2004,2023,20,0.8351,0.036,"2003to2023","ndvi.max",-0.00141,1.0666,-0.228,0.1837,-0.03,-2.8,"no_trend"
"701","S_408",55.0985149,160.0207345,2004,2023,20,0.8368,0.0217,"2003to2023","ndvi.max",-0.00061,0.9814,-0.076,0.6746,-0.013,-1.3,"no_trend"
"702","S_41",55.081835,159.9836526,2004,2023,20,0.8378,0.0269,"2003to2023","ndvi.max",-0.00259,1.1343,-0.368,0.0301,-0.054,-4.8,"browning"
"703","S_410",55.0926794,160.0412698,2004,2023,20,0.8406,0.0237,"2003to2023","ndvi.max",-0.00035,0.7835,-0.088,0.6243,-0.007,-0.9,"no_trend"
"704","S_411",55.1027557,160.0608104,2004,2023,20,0.8853,0.0206,"2003to2023","ndvi.max",-0.00045,0.9237,-0.111,0.5289,-0.009,-1,"no_trend"
"705","S_412",55.142988,159.9893923,2004,2023,20,0.8066,0.0264,"2003to2023","ndvi.max",-3e-04,0.8625,-0.041,0.8337,-0.006,-0.7,"no_trend"
"706","S_415",55.1306687,159.9792064,2004,2023,20,0.8775,0.0237,"2003to2023","ndvi.max",-0.0018,1.156,-0.345,0.0424,-0.038,-3.3,"browning"
"707","S_416",55.1388449,160.0015263,2004,2023,20,0.8408,0.0147,"2003to2023","ndvi.max",0.00031,1.2254,0.053,0.7796,0.007,0.6,"no_trend"
"708","S_417",55.1006362,160.0565226,2004,2023,20,0.8617,0.0326,"2003to2023","ndvi.max",-0.00171,1.2004,-0.228,0.1837,-0.036,-3,"no_trend"
"709","S_418",55.1125134,160.0855259,2004,2023,19,0.8388,0.0264,"2003to2023","ndvi.max",0.00013,0.9906,0.046,0.8202,0.003,0.3,"no_trend"
"710","S_42",55.0891343,160.0769015,2004,2023,20,0.9061,0.0293,"2003to2023","ndvi.max",-0.00235,1.0279,-0.427,0.0118,-0.049,-4.8,"browning"
"711","S_420",55.0992523,160.0292163,2004,2023,20,0.871,0.0271,"2003to2023","ndvi.max",-4e-04,1.1049,-0.053,0.7796,-0.008,-0.7,"no_trend"
"712","S_422",55.1125092,160.0859961,2004,2023,18,0.8412,0.0375,"2003to2023","ndvi.max",0.00105,0.7126,0.191,0.3031,0.022,3.1,"no_trend"
"713","S_423",55.1411096,160.0834779,2004,2023,20,0.8568,0.0287,"2003to2023","ndvi.max",-0.00337,1.0344,-0.497,0.0033,-0.071,-6.9,"browning"
"714","S_424",55.1029255,160.0090916,2004,2023,20,0.8463,0.0201,"2003to2023","ndvi.max",-0.00038,0.9832,-0.076,0.6746,-0.008,-0.8,"no_trend"
"715","S_426",55.1014203,160.0593644,2004,2023,20,0.8517,0.0287,"2003to2023","ndvi.max",-0.00105,0.9672,-0.17,0.3273,-0.022,-2.3,"no_trend"
"716","S_427",55.0931434,160.1400027,2004,2023,19,0.8728,0.0242,"2003to2023","ndvi.max",0.00094,0.8969,0.111,0.5445,0.02,2.2,"no_trend"
"717","S_428",55.113335,159.883776,2004,2023,20,0.793,0.0388,"2003to2023","ndvi.max",0.00207,0.6424,0.24,0.1617,0.043,6.7,"no_trend"
