"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"447","S_374",55.138003,159.9723267,2005,2023,19,0.2034,0.0149,"2005to2023","nirv.max",-0.00165,0.2861,-0.412,0.0189,-0.031,-10.8,"browning"
"448","S_377",55.1263668,159.9080583,2006,2023,18,0.1739,0.0103,"2005to2023","nirv.max",0.00013,0.1939,0.074,0.7108,0.002,1,"no_trend"
"449","S_378",55.0872986,160.1012938,2005,2023,18,0.2224,0.017,"2005to2023","nirv.max",-0.00113,0.2619,-0.353,0.0529,-0.021,-8,"browning"
"450","S_38",55.1307537,159.9340372,2005,2023,19,0.2369,0.0207,"2005to2023","nirv.max",-0.00213,0.2763,-0.412,0.0189,-0.04,-14.5,"browning"
"451","S_380",55.0966849,159.9468765,2005,2023,19,0.205,0.013,"2005to2023","nirv.max",-0.00102,0.2268,-0.268,0.1297,-0.019,-8.4,"no_trend"
"452","S_382",55.1024601,160.000146,2005,2023,18,0.1709,0.011,"2005to2023","nirv.max",0.00112,0.23,0.397,0.029,0.021,9.1,"greening"
"453","S_39",55.1476274,159.9824461,2005,2023,18,0.1776,0.0139,"2005to2023","nirv.max",-0.00126,0.2652,-0.426,0.0189,-0.024,-9,"browning"
"454","S_390",55.0842856,159.9465836,2005,2023,17,0.1861,0.0133,"2005to2023","nirv.max",-0.00137,0.2251,-0.35,0.0649,-0.026,-11.6,"browning"
"455","S_391",55.0894954,159.9697391,2005,2023,16,0.1766,0.0146,"2005to2023","nirv.max",-0.00056,0.1728,-0.2,0.3223,-0.011,-6.4,"no_trend"
"456","S_392",55.1322214,160.0517099,2005,2023,19,0.2275,0.014,"2005to2023","nirv.max",-0.00085,0.3028,-0.19,0.2889,-0.016,-5.3,"no_trend"
"457","S_393",55.0905362,159.9401504,2005,2023,19,0.1942,0.0097,"2005to2023","nirv.max",1e-05,0.2565,0.007,1,0,0,"no_trend"
"458","S_396",55.1489289,160.0526201,2005,2023,19,0.2201,0.0148,"2005to2023","nirv.max",-0.00129,0.2822,-0.399,0.023,-0.025,-8.9,"browning"
"459","S_397",55.1155496,159.9125165,2005,2023,19,0.3505,0.0346,"2005to2023","nirv.max",0.00159,0.2291,0.15,0.4047,0.03,13.1,"no_trend"
"460","S_4",55.0789045,160.0442014,2005,2023,18,0.2636,0.0212,"2005to2023","nirv.max",-0.00251,0.2871,-0.368,0.0435,-0.048,-16.7,"browning"
"461","S_40",55.0842913,160.0448118,2005,2023,19,0.2349,0.0181,"2005to2023","nirv.max",-0.00031,0.3196,-0.033,0.8796,-0.006,-1.9,"no_trend"
"462","S_400",55.1465417,159.9833609,2005,2023,19,0.1791,0.0148,"2005to2023","nirv.max",2e-05,0.1971,0.02,0.9396,0,0,"no_trend"
"463","S_401",55.083909,159.9254254,2005,2023,19,0.1788,0.0128,"2005to2023","nirv.max",-0.00109,0.1829,-0.333,0.0582,-0.021,-11.5,"browning"
"464","S_402",55.1313107,160.0634496,2005,2023,19,0.1851,0.0102,"2005to2023","nirv.max",-5e-05,0.2076,-0.02,0.9396,-0.001,-0.5,"no_trend"
"465","S_404",55.0967666,160.0362045,2005,2023,17,0.1948,0.0116,"2005to2023","nirv.max",0.00055,0.2879,0.167,0.3923,0.01,3.5,"no_trend"
"466","S_405",55.0965455,159.9981178,2006,2023,17,0.1742,0.0118,"2005to2023","nirv.max",-0.00011,0.2278,-0.033,0.8926,-0.002,-0.9,"no_trend"
"467","S_406",55.1331035,159.9439738,2005,2023,18,0.1723,0.0135,"2005to2023","nirv.max",0.00012,0.1709,0.029,0.9016,0.002,1.2,"no_trend"
"468","S_407",55.1268673,159.913245,2006,2023,17,0.1725,0.0154,"2005to2023","nirv.max",-1e-05,0.2085,0,1,0,0,"no_trend"
"469","S_408",55.0985149,160.0207345,2005,2023,18,0.1773,0.0104,"2005to2023","nirv.max",0.00027,0.2259,0.132,0.4838,0.005,2.2,"no_trend"
"470","S_409",55.0803204,160.0362492,2005,2023,17,0.3276,0.0305,"2005to2023","nirv.max",-8e-04,0.4065,-0.15,0.444,-0.015,-3.7,"no_trend"
"471","S_411",55.1027557,160.0608104,2005,2023,18,0.2395,0.0202,"2005to2023","nirv.max",-0.00062,0.354,-0.132,0.4838,-0.012,-3.4,"no_trend"
"472","S_414",55.1328291,159.9091461,2005,2023,18,0.1675,0.0086,"2005to2023","nirv.max",0.00044,0.2088,0.206,0.2661,0.008,3.8,"no_trend"
"473","S_415",55.1306687,159.9792064,2005,2023,19,0.2625,0.0197,"2005to2023","nirv.max",-0.00265,0.3486,-0.516,0.0031,-0.05,-14.3,"browning"
"474","S_42",55.0891343,160.0769015,2005,2023,18,0.2598,0.0234,"2005to2023","nirv.max",-0.00212,0.3263,-0.265,0.1494,-0.04,-12.3,"no_trend"
"475","S_420",55.0992523,160.0292163,2005,2023,18,0.2385,0.0241,"2005to2023","nirv.max",-0.00093,0.2589,-0.132,0.4838,-0.018,-7,"no_trend"
"476","S_423",55.1411096,160.0834779,2005,2023,19,0.1913,0.0163,"2005to2023","nirv.max",-0.00101,0.2345,-0.307,0.0814,-0.019,-8.1,"browning"
"477","S_425",55.1083918,160.1526642,2005,2023,18,0.2626,0.0166,"2005to2023","nirv.max",8e-05,0.3338,0.029,0.9016,0.002,0.6,"no_trend"
"478","S_426",55.1014203,160.0593644,2005,2023,17,0.1831,0.0132,"2005to2023","nirv.max",-0.00081,0.2263,-0.2,0.3004,-0.015,-6.6,"no_trend"
"479","S_427",55.0931434,160.1400027,2005,2023,17,0.2568,0.0129,"2005to2023","nirv.max",-4e-04,0.2346,-0.117,0.5584,-0.008,-3.4,"no_trend"
"480","S_43",55.0899388,160.0773932,2005,2023,18,0.2624,0.0269,"2005to2023","nirv.max",0.00075,0.189,0.118,0.5366,0.014,7.4,"no_trend"
"481","S_430",55.084939,159.8958396,2005,2023,18,0.239,0.0161,"2005to2023","nirv.max",-0.00055,0.1717,-0.074,0.7108,-0.01,-5.8,"no_trend"
"482","S_431",55.1505258,160.055016,2005,2023,19,0.1968,0.0128,"2005to2023","nirv.max",-0.00078,0.2688,-0.255,0.1501,-0.015,-5.6,"no_trend"
