"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"1","S_1",55.1300984,159.9137893,2004,2023,20,0.3834,0.0233,"2003to2023","evi.max",0.00015,0.4296,0.018,0.9442,0.003,0.7,"no_trend"
"2","S_1000",55.1340716,160.0559937,2004,2023,20,0.4382,0.0354,"2003to2023","evi.max",-0.00012,0.5143,-0.029,0.8887,-0.003,-0.6,"no_trend"
"3","S_1001",55.1128265,159.8795319,2003,2023,21,0.3672,0.0282,"2003to2023","evi.max",9e-04,0.439,0.084,0.6265,0.019,4.3,"no_trend"
"4","S_1002",55.1460555,159.9767589,2004,2023,20,0.3747,0.0206,"2003to2023","evi.max",0.00069,0.3823,0.099,0.5756,0.014,3.7,"no_trend"
"5","S_1003",55.092632,160.0149435,2004,2023,19,0.3455,0.0271,"2003to2023","evi.max",0.00018,0.403,0.033,0.8796,0.004,1,"no_trend"
"6","S_1004",55.0977322,160.0493937,2004,2023,20,0.4154,0.022,"2003to2023","evi.max",-0.00018,0.4061,-0.064,0.7264,-0.004,-1,"no_trend"
"7","S_1005",55.1116249,159.8964366,2003,2023,21,0.3911,0.0271,"2003to2023","evi.max",-0.00106,0.4418,-0.232,0.163,-0.022,-5,"no_trend"
"8","S_1006",55.139736,160.0556726,2004,2023,20,0.4023,0.0221,"2003to2023","evi.max",-0.00023,0.5995,-0.018,0.9442,-0.005,-0.8,"no_trend"
"9","S_1008",55.147897,159.9824527,2004,2023,20,0.4057,0.0296,"2003to2023","evi.max",-0.00209,0.5221,-0.357,0.0358,-0.044,-8.4,"browning"
"10","S_101",55.1298506,159.9462497,2003,2023,21,0.354,0.0261,"2003to2023","evi.max",0.00233,0.3247,0.347,0.035,0.049,15.1,"greening"
"11","S_1012",55.0703052,159.9415553,2004,2023,20,0.4312,0.0342,"2003to2023","evi.max",-0.00061,0.4888,-0.088,0.6243,-0.013,-2.7,"no_trend"
"12","S_1013",55.0982964,160.0146169,2004,2023,20,0.3861,0.0263,"2003to2023","evi.max",0.00146,0.5481,0.251,0.1417,0.031,5.7,"no_trend"
"13","S_1014",55.1070078,159.9010357,2004,2023,20,0.4501,0.0266,"2003to2023","evi.max",-0.00183,0.4744,-0.322,0.0589,-0.038,-8,"browning"
"14","S_1015",55.0834712,159.9813428,2004,2023,20,0.5003,0.0386,"2003to2023","evi.max",-0.00232,0.6795,-0.263,0.1237,-0.049,-7.2,"no_trend"
"15","S_1018",55.1243633,159.923538,2004,2023,20,0.3896,0.0289,"2003to2023","evi.max",1e-05,0.3656,0.006,1,0,0,"no_trend"
"16","S_1019",55.07841,159.939396,2004,2023,19,0.4466,0.037,"2003to2023","evi.max",-0.00069,0.4931,-0.176,0.3247,-0.014,-2.8,"no_trend"
"17","S_1020",55.1401735,159.9361397,2004,2023,20,0.3924,0.022,"2003to2023","evi.max",0.00175,0.4774,0.345,0.0424,0.037,7.8,"greening"
"18","S_1021",55.0943317,159.9374188,2004,2023,20,0.3922,0.0231,"2003to2023","evi.max",0.00246,0.4035,0.392,0.0209,0.052,12.9,"greening"
"19","S_1022",55.084259,160.0485709,2004,2023,19,0.5521,0.0284,"2003to2023","evi.max",-0.00154,0.6732,-0.229,0.1978,-0.032,-4.8,"no_trend"
"20","S_1023",55.132457,159.9227837,2004,2023,20,0.3955,0.0285,"2003to2023","evi.max",-0.00126,0.3892,-0.31,0.0689,-0.026,-6.7,"browning"
"21","S_1025",55.1166489,159.9097193,2003,2023,21,0.4437,0.0387,"2003to2023","evi.max",0.00158,0.5628,0.2,0.23,0.033,5.9,"no_trend"
"22","S_1026",55.1384005,160.0542255,2004,2023,20,0.4491,0.0312,"2003to2023","evi.max",-0.00032,0.5562,-0.053,0.7796,-0.007,-1.3,"no_trend"
"23","S_1027",55.1048396,160.0058482,2003,2023,19,0.4047,0.0342,"2003to2023","evi.max",0.00145,0.4514,0.229,0.1978,0.03,6.6,"no_trend"
"24","S_1028",55.1145625,159.9360111,2004,2023,20,0.316,0.0242,"2003to2023","evi.max",0.00064,0.2689,0.123,0.4841,0.013,4.8,"no_trend"
"25","S_1029",55.1337976,159.9237557,2003,2023,21,0.3558,0.0298,"2003to2023","evi.max",-0.00098,0.4147,-0.084,0.6265,-0.021,-5.1,"no_trend"
"26","S_1031",55.0883398,159.9452692,2004,2023,20,0.3878,0.0274,"2003to2023","evi.max",-0.00078,0.3939,-0.135,0.4415,-0.016,-4.1,"no_trend"
"27","S_1032",55.0911584,159.9975135,2004,2023,20,0.3966,0.0238,"2003to2023","evi.max",0.00166,0.3825,0.368,0.0301,0.035,9.2,"greening"
"28","S_1033",55.0875974,159.9711032,2004,2023,19,0.4694,0.0273,"2003to2023","evi.max",-0.00137,0.4887,-0.15,0.4047,-0.029,-5.9,"no_trend"
"29","S_1034",55.1334383,159.9355116,2004,2023,19,0.4063,0.021,"2003to2023","evi.max",-5e-05,0.4867,-0.02,0.9396,-0.001,-0.2,"no_trend"
"30","S_1035",55.0898743,160.1145263,2004,2023,19,0.5236,0.0494,"2003to2023","evi.max",-0.00385,0.6289,-0.32,0.069,-0.081,-12.9,"browning"
"31","S_1036",55.1138664,159.9562193,2004,2023,20,0.7014,0.0419,"2003to2023","evi.max",-0.00142,0.7853,-0.088,0.6243,-0.03,-3.8,"no_trend"
"32","S_1037",55.1319823,159.9834735,2004,2023,20,0.5115,0.0315,"2003to2023","evi.max",-0.00106,0.7341,-0.123,0.4841,-0.022,-3,"no_trend"
"33","S_1038",55.1207342,159.9041672,2004,2023,20,0.3839,0.0256,"2003to2023","evi.max",-3e-05,0.3132,-0.018,0.9442,-0.001,-0.3,"no_trend"
