"Sample_ID";"Min_Salinity_predicted";"Mean_Salinity_predicted"
"Z _0.5_09";0.938188440481555;16.844874954164
"BS_2_05";15.471794534238;23.8457142165691
"BS_1.5_09";11.3332805602646;22.3359736474336
"BS_1_09";7.49574942076205;20.7087407082387
"BS_0.5_09";3.73346398987719;17.8530999010804
"BS_-0.5_09";3.73346398987719;17.8530999010804
"BS_-1.5_09";3.73346398987719;17.8530999010804
"BN_-0.5_09";2.60204293416943;17.445008851138
"BN_0.5_09";2.60204293416943;17.445008851138
"BN_1_09";6.55706520044633;20.4469403059091
"BN_1.5_09";10.5911879120488;22.1575342055913
"BN_2_09";14.9417124049534;23.744616758716
"MidN_2_09";19.6189076633469;24.6366531515376
"MidN_1.5_09";17.1390642198356;23.7319998689055
"MidN_1_09";14.8395730267615;22.7569438558764
"MidN_0.5_09";12.5851698962967;21.0458122329823
"MidN_-0.5_09";12.5851698962967;21.0458122329823
"MidN_-1.5_09";12.5851698962967;21.0458122329823
"MidN_-3.5_09";12.5851698962967;21.0458122329823
"MoS_2_09";22.1134118011568;25.1124058943758
"MoS_1.5_09";20.6312649173219;24.5717148893398
"MoS_1_09";19.2569105341296;23.9889457491922
"MoS_0.5_09";17.9095042760979;22.9662407032992
"MoS_-0.5_09";17.9095042760979;22.9662407032992
"MoS_-1.5_09";17.9095042760979;22.9662407032992
"SS_1.5_10";12.3372882607919;22.5773917158084
"SS_1_10";8.76573395413038;21.0629412525671
"SS_0.5_10";5.26421012407003;18.4052230862965
"SS_-0.5_10";5.26421012407003;18.4052230862965
"SS_-1.5_10";5.26421012407003;18.4052230862965
"SN_-3.5_10";6.26252282028276;18.7653034244809
"SN_-1.5_10";6.26252282028276;18.7653034244809
"SN_-0.5_10";6.26252282028276;18.7653034244809
"SN_0.5_10";6.26252282028276;18.7653034244809
"SN_1_10";9.59398473676189;21.2939416075638
"SN_1.5_10";12.9920758915706;22.7348382821398
"SN_2_10";16.6566839996977;24.0716967694172
"MoN_-1.5_10";18.9078169723106;23.3263210414836
"MoN_-0.5_10";18.9078169723106;23.3263210414836
"MoN_0.5_10";18.9078169723106;23.3263210414836
"MoN_1_10";20.0851613167611;24.2199461041889
"MoN_1.5_10";21.2860525481006;24.7291614556712
"MoN_2_10";22.5811313269961;25.2016095336579
