LONGITUDE;LATITUDE;LABEL
28,3011196;59,7698132;2023_A
28,3159210;59,7371268;2023_A
28,2881683;59,7118410;2023_A
28,3930116;59,6779211;2023_A
28,3473739;59,7587121;2023_A
28,3726597;59,7482278;2023_A
28,3597084;59,8173010;2023_A
28,4003044;59,8913643;2023_A
28,4163650;59,8822633;2023_A
28,4211832;59,9068895;2023_A
28,4334962;59,8908289;2023_A
28,4479507;59,9084955;2023_A
28,4591931;59,8967178;2023_A
28,4741830;59,9095662;2023_A
28,4870314;59,8908289;2023_A
28,4966677;59,9138490;2023_A
28,5111222;59,9042127;2023_A
28,5202232;59,9245561;2023_A
28,5336070;59,8924350;2023_A
28,5362838;59,9122430;2023_A
28,5485969;59,8999299;2023_A
28,5619807;59,8822633;2023_A
28,5603746;59,8613846;2023_A
28,5828594;59,8769098;2023_A
28,5994553;59,8613846;2023_A
28,5844654;59,8458594;2023_A
28,6240815;59,8378291;2023_A
28,5518090;59,9250914;2023_A
28,5609099;59,9122430;2023_A
28,5716170;59,8993945;2023_A
28,5839301;59,8897582;2023_A
28,6015967;59,8769098;2023_A
28,6208693;59,8704856;2023_A
28,5742937;59,9229500;2023_A
28,5855361;59,9111723;2023_A
28,5941018;59,9031420;2023_A
28,6117684;59,8935057;2023_A
28,6294350;59,8817279;2023_A
28,6428188;59,8683441;2023_A
28,6181926;59,9042127;2023_A
28,6053441;59,9149197;2023_A
28,6347885;59,8951117;2023_A
28,6529904;59,8876168;2023_A
28,6529904;59,8876168;2023_A
28,6610207;59,8587078;2023_A
28,6760106;59,8688795;2023_A
28,6781520;59,8838693;2023_A
28,6818994;59,8501422;2023_A
28,6968893;59,8587078;2023_A
28,6995660;59,8742330;2023_A
28,6995660;59,8426473;2023_A
28,7134852;59,8544250;2023_A
28,7236569;59,8672734;2023_A
28,7161619;59,8319402;2023_A
28,6974246;59,7880414;2023_A
28,7204448;59,8190918;2023_A
28,7247276;59,7703748;2023_A
28,7359700;59,8512129;2023_A
28,7466770;59,8437180;2023_A
28,2378252;59,7489607;2023_A
28,1687648;59,8469301;2023_A
28,7666967;59,8388416;2023_A
28,7666967;59,8388416;2023_A
28,7666967;59,8388416;2023_A
28,7666967;59,8388416;2023_A
28,7621572;59,8231117;
28,7685033;59,8032763;
28,7751650;59,7820422;
28,7893210;59,8436627;
28,7218716;59,8444954;
28,8093060;59,8474099;
28,8288747;59,8499080;
28,8276256;59,7824586;
28,8367854;59,8707257;
28,8459452;59,8619823;
28,8559377;59,8503243;
28,8596849;59,8286739;
28,8659302;59,8145179;
28,8576031;59,8773874;
28,9535728;59,8107707;
28,9456621;59,8303393;
28,9922937;59,8207632;
28,9810522;59,8474099;
28,9614835;59,8648967;
29,0293493;59,8432463;
29,0505834;59,8623986;
29,0281002;59,8569860;
29,0081152;59,8611496;
28,9693943;59,8852981;
29,0106133;59,8790528;
29,0260184;59,8761383;
29,0472525;59,8732238;
29,0501670;59,8994541;
29,0231040;59,9052831;
29,0076989;59,9094467;
28,9735578;59,9081976;
28,9410822;59,9177737;
29,0035353;59,9194392;
29,0247694;59,9244354;
29,0551632;59,9402569;
29,0539142;59,9519148;
28,9914610;59,9589928;
28,9523237;59,9893867;
28,9451069;59,9986853;
28,9444824;60,0155476;
29,0637679;59,9687078;
29,0287941;59,9936890;
29,0194262;60,0024325;
29,0821916;59,9749531;
29,1046747;59,9805738;
29,1034257;60,0355326;
29,1140427;60,0099268;
29,1259088;59,9886928;
29,1321541;60,0018079;
29,1502655;59,9899418;
29,1733732;59,9918154;
29,1571354;60,0142985;
29,1465183;60,0392798;
29,1902355;60,0436515;
29,1939827;60,0292873;
29,2039752;60,0086778;
29,2158413;60,0005589;
29,2464434;60,0349081;
29,2433207;60,0205439;
29,2445698;60,0055551;
29,2445698;60,0055551;
29,2520641;59,9886928;
29,2720492;60,0355326;
29,2689265;60,0174212;
29,2689265;60,0024325;
29,2770454;59,9893173;
29,3063984;59,9868192;
29,3201381;59,9974362;
29,3170154;60,0124250;
29,3213871;60,0255401;
29,3469929;60,0267892;
29,3376250;59,9861946;
29,3638553;60,0086778;
29,3694761;60,0236665;
29,3626062;59,9818229;
29,4250594;60,0374062;
29,4075725;60,0080532;
29,4025762;59,9961871;
29,3932083;59,9849456;
29,3938328;59,9637115;
29,4056989;59,9624624;
29,4225612;59,9612134;
29,4325537;59,9737040;
29,4325537;59,9737040;
29,4325537;59,9737040;
29,4487916;59,9961871;
29,4525387;60,0105514;
29,4656539;60,0267892;
29,4400481;59,9836965;
29,4525387;59,9649606;
29,4569105;59,9774512;
29,4669030;59,9905664;
29,5000031;60,0068042;
29,4993786;59,9886928;
29,4943824;59,9693323;
29,4943824;59,9693323;
29,4943824;59,9693323;
29,4861560;59,9638864;
29,5162668;59,9642861;
29,5392895;59,9743585;
29,5457646;59,9894672;
29,5601538;60,0024175;
29,5407284;60,0074537;
29,5695068;59,9534942;
29,5802987;59,9714807;
29,5802987;59,9714807;
29,5802987;59,9714807;
29,5851271;59,9831679;
29,5967920;59,9972885;
29,6010895;59,9715031;
29,6007826;59,9369178;
29,6071266;59,9483780;
29,6165403;59,9614754;
29,6257494;59,9743681;
29,6345492;59,9878748;
29,6509210;59,9858283;
29,6437583;59,9721170;
29,6310702;59,9579964;
29,6241123;59,9455130;
29,6202240;59,9346667;
29,6357771;59,9336435;
29,6488745;59,9440804;
29,6511256;59,9543128;
29,6605393;59,9678194;
29,6664741;59,9825540;
