11.3009	5.8357
11.3178	5.5139
11.4872	5.1414
11.7581	4.7689
12.0121	4.4302
12.2322	4.1931
12.6725	3.6851
13.1297	3.3126
13.6208	2.9231
14.4674	2.4659
15.2802	2.4321
15.7882	2.4829
16.2285	2.6691
16.7026	2.8723
17.1768	3.1602
17.6509	3.5497
17.9896	3.9561
18.0743	4.5149
17.9896	4.8705
17.9049	5.1922
17.6679	5.6325
17.4816	5.8865
17.1937	6.0897
16.9397	6.2251
16.5841	6.3267
16.2624	6.3775
15.8729	6.3775
15.4496	6.259
15.1448	6.1743
14.8061	6.0727
14.3658	6.0558
13.7732	6.0219
13.2144	6.005
12.7741	5.9881
12.3846	5.9711
12.1814	5.9542
11.9444	5.9542
11.7581	5.9542
11.4533	5.9881
