Square,Sample,Morph,Length,Status,Site
2,A,E,19,dead,Ryazhkov
2,A,E,20,dead,Ryazhkov
2,A,E,17,dead,Ryazhkov
2,A,E,18,dead,Ryazhkov
2,B,T,19,dead,Ryazhkov
2,B,T,21,dead,Ryazhkov
2,B,T,30,dead,Ryazhkov
2,B,T,25,dead,Ryazhkov
2,B,T,20,dead,Ryazhkov
2,B,T,20,dead,Ryazhkov
2,B,T,27,dead,Ryazhkov
2,B,T,19,dead,Ryazhkov
2,B,T,19,dead,Ryazhkov
2,B,T,15,dead,Ryazhkov
2,B,T,12,dead,Ryazhkov
2,B,E,34,dead,Ryazhkov
2,B,E,29,dead,Ryazhkov
2,B,E,26,dead,Ryazhkov
2,B,E,23,dead,Ryazhkov
1,A,T,29,dead,Ryazhkov
1,A,T,32,dead,Ryazhkov
1,A,T,25,dead,Ryazhkov
1,A,T,22,dead,Ryazhkov
1,A,T,24,dead,Ryazhkov
1,A,T,30,dead,Ryazhkov
1,A,T,24,dead,Ryazhkov
1,A,T,23,dead,Ryazhkov
1,A,T,20,dead,Ryazhkov
1,A,T,19,dead,Ryazhkov
1,A,T,21,dead,Ryazhkov
1,A,T,20,dead,Ryazhkov
1,A,T,19,dead,Ryazhkov
1,A,T,22,dead,Ryazhkov
1,A,T,19,dead,Ryazhkov
1,A,E,29,dead,Ryazhkov
1,A,E,19,dead,Ryazhkov
1,A,E,26,dead,Ryazhkov
3,B,T,25,dead,Ryazhkov
3,B,T,33,dead,Ryazhkov
3,B,T,31,dead,Ryazhkov
3,B,T,24,dead,Ryazhkov
3,B,T,20,dead,Ryazhkov
3,B,T,24,dead,Ryazhkov
3,B,T,23,dead,Ryazhkov
3,B,T,27,dead,Ryazhkov
3,B,T,27,dead,Ryazhkov
3,B,T,23,dead,Ryazhkov
3,B,T,28,dead,Ryazhkov
3,B,T,24,dead,Ryazhkov
3,B,T,25,dead,Ryazhkov
3,B,T,25,dead,Ryazhkov
3,B,T,22,dead,Ryazhkov
3,B,T,21,dead,Ryazhkov
3,B,T,29,dead,Ryazhkov
3,B,T,20,dead,Ryazhkov
3,B,T,25,dead,Ryazhkov
3,B,T,21,dead,Ryazhkov
3,B,T,23,dead,Ryazhkov
3,B,T,24,dead,Ryazhkov
3,B,T,22,dead,Ryazhkov
3,B,T,21,dead,Ryazhkov
3,B,T,21,dead,Ryazhkov
3,B,T,19,dead,Ryazhkov
3,B,T,20,dead,Ryazhkov
3,B,T,19,dead,Ryazhkov
3,B,T,19,dead,Ryazhkov
3,B,T,21,dead,Ryazhkov
3,B,T,20,dead,Ryazhkov
3,B,E,34,dead,Ryazhkov
3,B,E,24,dead,Ryazhkov
3,B,E,27,dead,Ryazhkov
3,B,E,28,dead,Ryazhkov
3,B,E,25,dead,Ryazhkov
3,B,E,25,dead,Ryazhkov
3,B,E,24,dead,Ryazhkov
3,B,E,18,dead,Ryazhkov
3,B,E,18,dead,Ryazhkov
3,A,T,38,dead,Ryazhkov
3,A,T,26,dead,Ryazhkov
3,A,T,25,dead,Ryazhkov
3,A,T,26,dead,Ryazhkov
3,A,T,27,dead,Ryazhkov
3,A,T,21,dead,Ryazhkov
3,A,T,23,dead,Ryazhkov
3,A,T,26,dead,Ryazhkov
3,A,T,21,dead,Ryazhkov
3,A,T,24,dead,Ryazhkov
3,A,T,19,dead,Ryazhkov
3,A,T,23,dead,Ryazhkov
3,A,T,17,dead,Ryazhkov
3,A,T,22,dead,Ryazhkov
3,A,T,31,dead,Ryazhkov
3,A,T,23,dead,Ryazhkov
3,A,T,31,dead,Ryazhkov
3,A,T,26,dead,Ryazhkov
3,A,T,21,dead,Ryazhkov
3,A,T,22,dead,Ryazhkov
3,A,T,17,dead,Ryazhkov
3,A,T,20,dead,Ryazhkov
3,A,T,24,dead,Ryazhkov
3,A,T,23,dead,Ryazhkov
3,A,T,23,dead,Ryazhkov
3,A,T,21,dead,Ryazhkov
3,A,T,16,dead,Ryazhkov
3,A,T,21,dead,Ryazhkov
3,A,E,29,dead,Ryazhkov
3,A,E,28,dead,Ryazhkov
3,A,E,30,dead,Ryazhkov
3,A,E,22,dead,Ryazhkov
3,A,E,21,dead,Ryazhkov
3,A,E,29,dead,Ryazhkov
3,A,E,24,dead,Ryazhkov
3,A,E,22,dead,Ryazhkov
3,A,E,22,dead,Ryazhkov
4,A,T,20,dead,VorKorg
4,A,T,20,dead,VorKorg
4,A,T,18,dead,VorKorg
4,A,T,25,dead,VorKorg
4,A,T,20,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,17,dead,VorKorg
4,A,T,19,dead,VorKorg
4,A,T,18,dead,VorKorg
4,A,T,21,dead,VorKorg
4,A,T,17,dead,VorKorg
4,A,T,22,dead,VorKorg
4,A,T,20,dead,VorKorg
4,A,T,15,dead,VorKorg
4,A,T,14,dead,VorKorg
4,A,T,19,dead,VorKorg
4,A,T,22,dead,VorKorg
4,A,T,18,dead,VorKorg
4,A,T,17,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,19,dead,VorKorg
4,A,T,15,dead,VorKorg
4,A,T,19,dead,VorKorg
4,A,T,13,dead,VorKorg
4,A,T,15,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,17,dead,VorKorg
4,A,T,18,dead,VorKorg
4,A,T,21,dead,VorKorg
4,A,T,17,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,17,dead,VorKorg
4,A,T,19,dead,VorKorg
4,A,T,17,dead,VorKorg
4,A,T,15,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,15,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,13,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,13,dead,VorKorg
4,A,T,14,dead,VorKorg
4,A,T,13,dead,VorKorg
4,A,T,14,dead,VorKorg
4,A,T,19,dead,VorKorg
4,A,T,14,dead,VorKorg
4,A,T,19,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,14,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,16,dead,VorKorg
4,A,T,13,dead,VorKorg
4,A,T,13,dead,VorKorg
4,A,T,15,dead,VorKorg
4,A,T,13,dead,VorKorg
4,A,T,13,dead,VorKorg
4,A,T,14,dead,VorKorg
4,A,T,11,dead,VorKorg
4,A,T,13,dead,VorKorg
4,A,E,28,dead,VorKorg
4,A,E,22,dead,VorKorg
4,A,E,23,dead,VorKorg
4,A,E,23,dead,VorKorg
