species,Lat,Lon,Temp,Sal
Arrhis phyllonyx,69.58048,20.51447,6.07313013076782,34.2740821838379
Arrhis phyllonyx,69.4328,17.316981,7.34068393707275,34.3043823242188
Arrhis phyllonyx,69.3321,17.0677,7.27522087097168,34.278736114502
Arrhis phyllonyx,68.26453,14.76412,7.50095510482788,33.8923034667969
Arrhis phyllonyx,70.028972,29.29721,5.66623210906982,33.1307601928711
Arrhis phyllonyx,70.026806,29.28436,5.66623210906982,33.1307601928711
Arrhis phyllonyx,70.025906,29.28276,5.66623210906982,33.1307601928711
Arrhis phyllonyx,65.45653,12.10443,8.16251564025879,33.6885757446289
Arrhis phyllonyx,62.66467,6.36868,9.13840293884277,33.3010559082031
Arrhis phyllonyx,69.95443,20.70948,6.54834413528442,34.2970886230469
Arrhis phyllonyx,68.187267,16.411633,7.07945203781128,33.5914916992188
Arrhis phyllonyx,68.181033,16.40715,7.07945203781128,33.5914916992188
Arrhis phyllonyx,59.012866,5.696934,9.81223392486572,32.0045967102051
Arrhis phyllonyx,67.85583,15.19385,7.48909187316895,33.6884803771973
Arrhis phyllonyx,67.8604,15.198029,7.48909187316895,33.6884803771973
Arrhis phyllonyx,67.8669,15.215682,7.48909187316895,33.6884803771973
Arrhis phyllonyx,67.87263,15.22982,7.48909187316895,33.6884803771973
Arrhis phyllonyx,69.99845,20.697081,6.54834413528442,34.2970886230469
Arrhis phyllonyx,69.99173,20.70365,6.54834413528442,34.2970886230469
Arrhis phyllonyx,68.43857,14.85498,7.39610719680786,34.0241470336914
Arrhis phyllonyx,68.43732,14.85272,7.39610719680786,34.0241470336914
Arrhis phyllonyx,62.44072,6.82727,9.02017402648926,33.2956581115723
Arrhis phyllonyx,70.869919,25.446829,6.20594501495361,34.1515998840332
Arrhis phyllonyx,70.875549,25.474849,6.20594501495361,34.1515998840332
Arrhis phyllonyx,66.03388,12.48453,7.97072410583496,33.8517532348633
Arrhis phyllonyx,66.03242,12.47775,7.97072410583496,33.8517532348633
Arrhis phyllonyx,66.02878,12.48003,7.97072410583496,33.8517532348633
Arrhis phyllonyx,69.85528,20.72322,6.45029401779175,34.2961235046387
Arrhis phyllonyx,69.86093,20.7181,6.45029401779175,34.2961235046387
Arrhis phyllonyx,68.17308,16.15438,7.1410608291626,33.6051712036133
Arrhis phyllonyx,69.515917,17.694934,7.17644691467285,34.3382682800293
Arrhis phyllonyx,69.13887,17.632749,6.9560170173645,34.0034103393555
Arrhis phyllonyx,69.14065,17.63952,6.9560170173645,34.0034103393555
Arrhis phyllonyx,69.13923,17.642,6.9560170173645,34.0034103393555
Arrhis phyllonyx,69.15025,17.67593,6.92777109146118,34.0132713317871
Arrhis phyllonyx,63.36605,9.26467,8.8199291229248,33.2017555236816
Arrhis phyllonyx,69.09693,17.52933,6.98997783660889,33.9930953979492
Arrhis phyllonyx,69.09313,17.5048,6.98997783660889,33.9930953979492
Arrhis phyllonyx,63.32947,9.1241,8.84695434570312,33.346492767334
Arrhis phyllonyx,68.47862,15.01778,7.35077476501465,33.959716796875
Arrhis phyllonyx,68.84752,15.03728,7.47498178482056,34.3021774291992
Arrhis phyllonyx,69.94385,20.696771,6.54834413528442,34.2970886230469
Arrhis phyllonyx,69.94293,20.7061,6.54834413528442,34.2970886230469
Arrhis phyllonyx,69.6568,18.185771,6.84340476989746,34.2886810302734
Arrhis phyllonyx,69.64957,18.18505,6.84340476989746,34.2886810302734
Arrhis phyllonyx,69.55027,17.771771,7.05503797531128,34.333854675293
Arrhis phyllonyx,68.859767,17.111267,7.03408479690552,33.822208404541
Arrhis phyllonyx,70.761679,25.749548,6.10116195678711,33.9443283081055
Arrhis phyllonyx,70.872827,27.347624,6.35987997055054,34.0824432373047
Arrhis phyllonyx,70.867077,27.374764,6.35987997055054,34.0824432373047
Arrhis phyllonyx,61.940899,5.129301,9.26763725280762,33.1126022338867
Arrhis phyllonyx,61.968279,5.150751,9.26763725280762,33.1126022338867
Arrhis phyllonyx,69.32215,18.00998,6.75976419448853,34.2549057006836
Arrhis phyllonyx,69.3226,18.01182,6.75976419448853,34.2549057006836
Arrhis phyllonyx,69.32357,18.01448,6.75976419448853,34.2549057006836
Arrhis phyllonyx,69.3255,18.02053,6.75976419448853,34.2549057006836
Arrhis phyllonyx,68.8706,16.4202,7.22129487991333,33.9414558410645
Arrhis phyllonyx,64.0987,10.123899,8.8857889175415,33.6605682373047
Arrhis phyllonyx,63.937799,9.991903,8.87935352325439,33.332592010498
Arrhis phyllonyx,63.45833,10.816669,8.63298416137695,33.1721420288086
Arrhis phyllonyx,68.94307,15.31685,7.50874805450439,34.290210723877
Arrhis phyllonyx,65.011433,11.735933,8.51572227478027,33.6151123046875
Arrhis phyllonyx,65.009217,11.73725,8.51572227478027,33.6151123046875
Arrhis phyllonyx,65.009434,11.761717,8.45570945739746,33.6198806762695
Arrhis phyllonyx,65.01478,11.72858,8.51572227478027,33.6151123046875
Arrhis phyllonyx,65.010317,11.767951,8.45570945739746,33.6198806762695
Arrhis phyllonyx,69.82728,19.520299,6.40172100067139,34.2408828735352
Arrhis phyllonyx,69.82958,19.5298,6.40172100067139,34.2408828735352
Arrhis phyllonyx,68.96252,16.47145,7.26471376419067,33.9980773925781
Arrhis phyllonyx,70.814377,27.575842,6.27461290359497,33.9646453857422
Arrhis phyllonyx,70.815966,27.574913,6.27461290359497,33.9646453857422
Arrhis phyllonyx,70.820516,27.489563,6.29456520080566,33.9586753845215
Arrhis phyllonyx,69.47045,17.87425,6.96967601776123,34.3354606628418
Arrhis phyllonyx,69.47142,17.87732,6.96967601776123,34.3354606628418
Arrhis phyllonyx,69.473517,17.877367,6.96967601776123,34.3354606628418
Arrhis phyllonyx,68.71976,17.143469,6.9739031791687,33.7874755859375
Arrhis phyllonyx,68.72195,17.155679,6.9739031791687,33.7874755859375
Arrhis phyllonyx,68.721,17.151449,6.9739031791687,33.7874755859375
Arrhis phyllonyx,68.882166,17.107167,7.03408479690552,33.822208404541
Arrhis phyllonyx,67.69997,15.82062,7.33954620361328,33.6808395385742
Arrhis phyllonyx,68.72962,17.315,6.9402379989624,33.805850982666
Arrhis phyllonyx,68.7387,17.30058,6.9402379989624,33.805850982666
Arrhis phyllonyx,70.916179,25.336819,6.21624422073364,34.1599006652832
Arrhis phyllonyx,70.030659,29.323397,5.66623210906982,33.1307601928711
Arrhis phyllonyx,59.415887,10.646643,9.89635753631592,28.1371688842773
Arrhis phyllonyx,70.53223,23.56432,6.19056606292725,34.3540954589844
Arrhis phyllonyx,70.53615,23.567549,6.19056606292725,34.3540954589844
Arrhis phyllonyx,60.575699,5.39878,9.43969821929932,32.5993919372559
Arrhis phyllonyx,60.579419,5.42845,9.43416309356689,32.6041946411133
Arrhis phyllonyx,69.90472,21.86943,6.29147100448608,34.0971412658691
Arrhis phyllonyx,61.388779,4.989851,9.36943244934082,32.8865013122559
Arrhis phyllonyx,76.4994,31.1935,2.06587290763855,34.4789695739746
Arrhis phyllonyx,66.16158,12.39935,8.06442546844482,33.9190864562988
Arrhis phyllonyx,66.15963,12.39718,8.06442546844482,33.9190864562988
Arrhis phyllonyx,66.16427,12.407251,8.06442546844482,33.9190864562988
Arrhis phyllonyx,66.18322,12.39373,8.15876388549805,33.9534301757812
Arrhis phyllonyx,61.92162,5.53847,9.15190982818604,33.1148948669434
Arrhis phyllonyx,61.921766,5.521717,9.15190982818604,33.1148948669434
Arrhis phyllonyx,70.63695,24.600099,5.8357892036438,34.1034812927246
Arrhis phyllonyx,68.26287,14.762081,7.50095510482788,33.8923034667969
Arrhis phyllonyx,70.875499,24.63197,6.17976713180542,34.4254379272461
Arrhis phyllonyx,70.87597,24.63485,6.17976713180542,34.4254379272461
Arrhis phyllonyx,68.40182,15.36163,7.30192613601685,33.7323608398438
Arrhis phyllonyx,68.40712,15.39345,7.30192613601685,33.7323608398438
Arrhis phyllonyx,70.21892,21.813771,6.54593801498413,34.0656852722168
Arrhis phyllonyx,70.21962,21.805679,6.54593801498413,34.0656852722168
Arrhis phyllonyx,70.21582,21.814949,6.54593801498413,34.0656852722168
Arrhis phyllonyx,70.20198,21.80267,6.54593801498413,34.0656852722168
Arrhis phyllonyx,69.57895,20.51822,6.07313013076782,34.2740821838379
Arrhis phyllonyx,63.45833,10.43833,8.68671131134033,33.1592483520508
Arrhis phyllonyx,63.46333,10.44,8.68671131134033,33.1592483520508
Arrhis phyllonyx,70.12608,23.3563,5.96874380111694,33.9338455200195
Arrhis phyllonyx,68.04327,13.1382,7.81914710998535,33.9935188293457
Arrhis phyllonyx,68.04692,13.14758,7.81914710998535,33.9935188293457
Arrhis phyllonyx,68.4815,17.335958,6.782958984375,33.7504043579102
Arrhis phyllonyx,68.48823,17.359,6.782958984375,33.7504043579102
Arrhis phyllonyx,74.773167,49.002267,2.11045598983765,34.7168617248535
Arrhis phyllonyx,74.823033,46.65665,2.55600309371948,34.757625579834
Arrhis phyllonyx,69.88638,19.7772,6.47928619384766,34.2742767333984
