species,Lat,Lon,Temp,Sal
Eurytemora velox,59.32514,18.1044,8.43201160430908,6.18409204483032
Eurytemora velox,59.32695,18.10451,8.43201160430908,6.18409204483032
Eurytemora velox,51.907361,-8.312704,12.1922082901001,34.5504341125488
Eurytemora velox,59.299368,11.001218,10.0178089141846,28.1141834259033
Eurytemora velox,53.254784,-4.025063,11.3980550765991,33.6728439331055
Eurytemora velox,53.295309,-4.198797,11.4302139282227,33.8645629882812
Eurytemora velox,50.727676,-1.544616,12.6663370132446,34.4174156188965
Eurytemora velox,51.682857,3.839058,12.1112880706787,30.4659309387207
Eurytemora velox,51.684752,3.832774,12.1314172744751,30.2998123168945
Eurytemora velox,51.392116,3.805249,12.1518774032593,31.1814956665039
Eurytemora velox,53.681398,-2.985579,11.3846282958984,32.9929275512695
Eurytemora velox,52.026958,1.443159,12.005428314209,34.2264518737793
Eurytemora velox,60.02,23.475,7.96168994903564,5.22710418701172
Eurytemora velox,51.468976,-3.081134,12.4105949401855,31.6348266601562
Eurytemora velox,51.491113,-3.117667,12.4101676940918,31.6457557678223
Eurytemora velox,51.22835,2.9518,12.4658718109131,32.8094711303711
Eurytemora velox,51.497849,-3.118553,12.4101676940918,31.6457557678223
Eurytemora velox,65.5865,22.617,5.63226699829102,3.9561939239502
Eurytemora velox,65.73333,23.08333,5.64330196380615,3.9524610042572
Eurytemora velox,59.428299,10.430387,9.90078830718994,28.187105178833
Eurytemora velox,59.450871,10.784033,9.89175510406494,28.145601272583
Eurytemora velox,59.372891,10.879068,9.95254707336426,28.1054630279541
Eurytemora velox,59.464465,10.833352,9.89777374267578,28.1437892913818
Eurytemora velox,59.445226,10.848986,9.89777374267578,28.1437892913818
Eurytemora velox,59.439168,10.840811,9.89777374267578,28.1437892913818
Eurytemora velox,58.41,8.78,10.3845510482788,29.3922863006592
Eurytemora velox,58.41,8.78,10.3845510482788,29.3922863006592
